hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note,discovery_method,confidence_score,detected_hotel_name
BOD001,Aksoy Taş Ev,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkIxM3gn6-Mx41DGg0vZy8xMXJuYl92MnZnEAE?q=Aksoy%20Ta%C5%9F%20Ev%20Akyarlar%20Bodrum&ved=2ahUKEwitl7jilb6WAxVUBgYAHS1tBGUQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggAKgIKAA,verified_direct,2026-08-26T11:17:10Z,"detected='Aksoy Taş Ev' vs expected='Aksoy Taş Ev' (card near-text was 'Aksoy Taş Ev otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Aksoy Taş Ev
BOD002,Armonia Holiday Village & Spa,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChcIib6os8m5kedkGgsvZy8xdGdkd24xZBAB?q=Armonia%20Holiday%20Village%20%26%20Spa%20Akyarlar%20Bodrum&ved=2ahUKEwjt_JDplb6WAxV9QEECHTAXHqwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,2026-08-26T11:17:24Z,"detected='Armonia Holiday Village & Spa' vs expected='Armonia Holiday Village & Spa' (card near-text was 'Armonia Holiday Village & Spa otelini yeni sekmede aç', 29 candidates on page) -> score=95",,95,Armonia Holiday Village & Spa
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkI_fH789a1ipI4Gg0vZy8xMXR4bDRma2tiEAE?q=ASPAT%20HOTEL%20BODRUM%20Beach%20Restaurant%20Akyarlar%20Bodrum&ved=2ahUKEwiuiazwlb6WAxXsakECHVPSOXkQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T11:17:39Z,"detected='ASPAT HOTEL BODRUM Beach Restaurant' vs expected='ASPAT HOTEL BODRUM Beach Restaurant' (card near-text was 'ASPAT HOTEL BODRUM Beach Restaurant otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,ASPAT HOTEL BODRUM Beach Restaurant
BOD004,Bendis Beach Hotel,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChcI-p_dtL_R4bl3GgsvZy8xdGZyN2htMhAB?q=Bendis%20Beach%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwjT-_z2lb6WAxXtZkECHZ0_DHgQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T11:17:53Z,"detected='Bendis Beach Hotel' vs expected='Bendis Beach Hotel' (card near-text was 'Bendis Beach Hotel otelini yeni sekmede aç', 17 candidates on page) -> score=95",,95,Bendis Beach Hotel
BOD005,ByAkkan,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoI1N7IttjHkMeqARoNL2cvMTF0MzM5a3h4aBAB?q=ByAkkan%20Akyarlar%20Bodrum&ved=2ahUKEwjIr8_9lb6WAxVyIwYAHWzxDSAQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T11:18:07Z,"detected='ByAkkan' vs expected='ByAkkan' (card near-text was 'ByAkkan otelini yeni sekmede aç', 35 candidates on page) -> score=95",,95,ByAkkan
BOD006,Club Marma Hotel,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkIj8qbsqi-7bAUGg0vZy8xMXEyeWtoNF8yEAE?q=Club%20Marma%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwj_yYuElr6WAxVRe0ECHVDNCIwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,2026-08-26T11:18:21Z,"detected='Club Marma Hotel' vs expected='Club Marma Hotel' (card near-text was 'Club Marma Hotel otelini yeni sekmede aç', 35 candidates on page) -> score=95",,95,Club Marma Hotel
BOD007,Kefaluka Resort,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/CgsIqP3Kl9GCnvv4ARAB,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoIuoenmK7E3fPtARoNL2cvMTFwNWxtMV9jcBAB,verified_direct,2026-08-26,carried over from v1 (already live-verified in phase 1/2),phase1_2_manual_or_prior,100,
BOD009,LİV OTEL,Akyarlar,google_travel,,NOT_FOUND,2026-08-26T11:18:34Z,"detected='Liv Otel · 304 sonuç' vs expected='LİV OTEL' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=60",,60,Liv Otel · 304 sonuç
BOD010,Mare Garden Hotel,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoI46nXrt78--3mARoNL2cvMTFqOTJjZHdqZxAB?q=Mare%20Garden%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwic3diRlr6WAxVjg3wGHQE6LnYQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T11:18:49Z,"detected='Mare Garden Hotel' vs expected='Mare Garden Hotel' (card near-text was 'Mare Garden Hotel otelini yeni sekmede aç', 35 candidates on page) -> score=95",,95,Mare Garden Hotel
