hotel_id,hotel_name,area,google_travel_url,google_travel_status,google_travel_confidence,trip_url,trip_status,trip_confidence,policy_trip_url,platform_coverage_count,manual_review_required,enabled_google,enabled_trip,enabled_policies
BOD001,Aksoy Taş Ev,Akyarlar,https://www.google.com/travel/hotels/entity/ChkIxM3gn6-Mx41DGg0vZy8xMXJuYl92MnZnEAE?q=Aksoy%20Ta%C5%9F%20Ev%20Akyarlar%20Bodrum&ved=2ahUKEwitl7jilb6WAxVUBgYAHS1tBGUQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggAKgIKAA,verified_direct,95,,NOT_FOUND,0,,1,False,True,False,False
BOD002,Armonia Holiday Village & Spa,Akyarlar,https://www.google.com/travel/hotels/entity/ChcIib6os8m5kedkGgsvZy8xdGdkd24xZBAB?q=Armonia%20Holiday%20Village%20%26%20Spa%20Akyarlar%20Bodrum&ved=2ahUKEwjt_JDplb6WAxV9QEECHTAXHqwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,95,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,verified_direct,100,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2,False,True,True,True
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,https://www.google.com/travel/hotels/entity/ChkI_fH789a1ipI4Gg0vZy8xMXR4bDRma2tiEAE?q=ASPAT%20HOTEL%20BODRUM%20Beach%20Restaurant%20Akyarlar%20Bodrum&ved=2ahUKEwiuiazwlb6WAxXsakECHVPSOXkQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,95,https://www.trip.com/hotels/detail/?hotelId=106791418,verified_direct,95,https://www.trip.com/hotels/detail/?hotelId=106791418,2,False,True,True,True
BOD004,Bendis Beach Hotel,Akyarlar,https://www.google.com/travel/hotels/entity/ChcI-p_dtL_R4bl3GgsvZy8xdGZyN2htMhAB?q=Bendis%20Beach%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwjT-_z2lb6WAxXtZkECHZ0_DHgQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,95,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-4416296/bendis-beach-hotel/,verified_direct,100,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-4416296/bendis-beach-hotel/,2,False,True,True,True
BOD005,ByAkkan,Akyarlar,https://www.google.com/travel/hotels/entity/ChoI1N7IttjHkMeqARoNL2cvMTF0MzM5a3h4aBAB?q=ByAkkan%20Akyarlar%20Bodrum&ved=2ahUKEwjIr8_9lb6WAxVyIwYAHWzxDSAQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,95,,NOT_FOUND,68,,1,False,True,False,False
BOD006,Club Marma Hotel,Akyarlar,https://www.google.com/travel/hotels/entity/ChkIj8qbsqi-7bAUGg0vZy8xMXEyeWtoNF8yEAE?q=Club%20Marma%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwj_yYuElr6WAxVRe0ECHVDNCIwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,95,,NOT_FOUND,0,,1,False,True,False,False
BOD007,Kefaluka Resort,Akyarlar,https://www.google.com/travel/hotels/entity/CgsIqP3Kl9GCnvv4ARAB,verified_direct,100,https://www.trip.com/hotels/bodrum-hotel-detail-9894522/kefaluka-resort-ultra-all-inclusive/,verified_direct,100,https://www.trip.com/hotels/bodrum-hotel-detail-9894522/kefaluka-resort-ultra-all-inclusive/,2,False,True,True,True
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,https://www.google.com/travel/hotels/entity/ChoIuoenmK7E3fPtARoNL2cvMTFwNWxtMV9jcBAB,verified_direct,100,https://www.trip.com/hotels/detail/?hotelId=4057611,verified_direct,95,https://www.trip.com/hotels/detail/?hotelId=4057611,2,False,True,True,True
BOD009,LİV OTEL,Akyarlar,,NOT_FOUND,60,,NOT_FOUND,53,,0,False,False,False,False
BOD010,Mare Garden Hotel,Akyarlar,https://www.google.com/travel/hotels/entity/ChoI46nXrt78--3mARoNL2cvMTFqOTJjZHdqZxAB?q=Mare%20Garden%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwic3diRlr6WAxVjg3wGHQE6LnYQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,95,https://us.trip.com/hotels/bodrum-hotel-detail-60107472/mare-garden-hotel/,verified_direct,100,https://us.trip.com/hotels/bodrum-hotel-detail-60107472/mare-garden-hotel/,2,False,True,True,True
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,https://www.google.com/travel/hotels/entity/ChoI2P6A2dPx45zGARoNL2cvMTFwYzRzdmNoORAB?q=Radisson%20Collection%20Hotel%2C%20Bodrum%20Akyarlar%20Bodrum&ved=2ahUKEwjszO-Xlr6WAxXABQYAHdCYLG8QvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,95,https://uk.trip.com/hotels/bodrum-hotel-detail-75487192/radisson-collection-hotel-bodrum/,verified_direct,100,https://uk.trip.com/hotels/bodrum-hotel-detail-75487192/radisson-collection-hotel-bodrum/,2,False,True,True,True
BOD012,Selectum Collection Bodrum,Akyarlar,https://www.google.com/travel/hotels/entity/ChgI-abrn5G19OiAARoLL2cvMXRzcjVkZG4QAQ,verified_direct,100,https://www.trip.com/hotels/bodrum-hotel-detail-7877878/selectum-collection-bodrum/,verified_direct,100,https://www.trip.com/hotels/bodrum-hotel-detail-7877878/selectum-collection-bodrum/,2,False,True,True,True
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,https://www.google.com/travel/hotels/entity/ChkI89S85_60gP2gARoML2cvMXE2anpicjRqEAE,verified_direct,100,https://uk.trip.com/hotels/bodrum-hotel-detail-10720331/sentido-bellazure-all-inclusive/,verified_direct,100,https://uk.trip.com/hotels/bodrum-hotel-detail-10720331/sentido-bellazure-all-inclusive/,2,False,True,True,True
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,https://www.google.com/travel/hotels/entity/ChkI-e2c7Lvi3so-Gg0vZy8xMXZscmIxNWZwEAE?q=Suum%20Bodrum%20Hotel%20%26%20Beach%20Akyarlar%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwjDy8-elr6WAxWJOQYAHSpSBBkQvukIegQIAxAC,verified_direct,95,https://us.trip.com/hotels/bodrum-hotel-detail-116725989/suum-bodrum-hotel-beach/,verified_direct,100,https://us.trip.com/hotels/bodrum-hotel-detail-116725989/suum-bodrum-hotel-beach/,2,False,True,True,True
BOD015,The Ni Villas Akyarlar,Akyarlar,,NOT_FOUND,41,,NOT_FOUND,0,,0,False,False,False,False
