hotel_id,hotel_name,area,policy_status,has_checkin,has_checkout,has_children_policy,has_extra_bed_policy,has_breakfast_policy,has_pet_policy,has_service_animal_policy,has_age_rule,has_license,has_facilities,has_private_beach,has_indoor_pool,has_outdoor_pool,has_kids_pool,has_kids_club,has_playground,has_spa,has_sauna,has_gym,has_restaurant,has_bar,has_wifi,has_airport_pickup,has_airport_dropoff,has_parking,has_tennis,has_diving,has_snorkeling,has_childcare,has_conference_room,amenity_count,family_feature_count,wellness_feature_count,water_feature_count
BOD002,Armonia Holiday Village & Spa,Akyarlar,PARTIAL,True,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,11,4,3,1
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,PARTIAL,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,3,1,0,1
BOD004,Bendis Beach Hotel,Akyarlar,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,12,3,3,2
BOD007,Kefaluka Resort,Akyarlar,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,15,4,3,3
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,7,2,0,0
BOD010,Mare Garden Hotel,Akyarlar,PARTIAL,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,True,8,1,0,3
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,PARTIAL,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,11,1,3,1
BOD012,Selectum Collection Bodrum,Akyarlar,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,12,3,3,1
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,PARTIAL,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,11,2,3,0
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,COMPLETE,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,5,1,2,1
BOD016,Xanadu Island,Akyarlar,PARTIAL,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,11,1,3,1
BOD017,Ambrosia Otel Beach & Spa,Bitez,PARTIAL,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0
BOD020,Bitez Risa Hotel,Bitez,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,9,2,1,0
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,4,3,3
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,PARTIAL,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,1,0,1
BOD029,Mumu Bodrum Hotel,Bitez,PARTIAL,True,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,1,0,0
BOD031,Okaliptus Otel,Bitez,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,8,1,0,1
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,11,1,3,0
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,True,False,False,True,9,1,3,1
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,10,1,1,1
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,PARTIAL,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,13,1,3,3
BOD045,Salmakis Resort & Spa,Bodrum Merkez,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,16,4,3,2
BOD048,Babana Hotel,Göltürkbükü,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,9,2,0,1
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,4,1,0,1
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,PARTIAL,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,7,1,0,1
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,4,3,3
BOD058,Bodrum Beach Resort,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,4,1,0,0
BOD059,Bodrum Hotel Baba,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,False,True,9,1,1,1
