review_id,hotel_id,hotel_name,area,source_platform,source_rating,source_rating_max,rating_5_scale,review_title,review_text,review_date_raw,stay_date_raw,traveler_type,room_type,reviewer_location,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,source_url,collected_at
1,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,Guest User,"Posted June 21, 2026","I’ve stayed in more than 30 hotels, hostels, and resorts in my life, but never in my wildest dreams did I think I’d end up in a place this bad. We trusted the reviews—big mistake. Rooms: Imagine the size of a café bathroom, that’s your room. Blood stains on the walls, a mattress older than my teenage years, and cleaning done with the same rag for the toilet and the sink. Towels smell like they’ve been fermenting somewhere, soap sticks to your hands like glue. Sleeping on the floor tiles would’ve been more comfortable. Food: Maximum one edible dish per day if you’re lucky. Six days, not a single proper meat dish—just liver and turkey on repeat. Chicken only edible when fried, fish so bad it’ll make you cry. Snacks? A “hamburger” that’s basically plastic between two buns. Pizza and döner? Go buy frozen ones from a discount supermarket, they’ll taste better. Bars: Want two drinks? Get ready to stand in line for 15 minutes. The bartenders don’t know half the cocktails, so maybe study recipes online before you go. Glasses are filthy, hygiene is a fantasy, and yes—their fingers go inside the glass. At night, only one bar stays open, so imagine the chaos. Eventually, we just bought sealed drinks from the market to stay sane. Staff: Rude, unfriendly, and careless. They even took our ball from the sunbed to let other guests play with it—then lost it and told us, “If we find it, we’ll give it back.” The audacity! I’m 35, and I thought I’d seen it all. But this was on another level. Save your money, your nerves, and your vacation—don’t make the same mistake we did.",Family,,aLper B,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
2,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,"This is a great hotel, best beach, great food, clean bright rooms, friendly staff. I keep coming back year after year. Great place for families with kids any age. I travelled other places, but, I keep coming back to Armonia. Need I say more?!?!","Posted June 21, 2026",Stayed in June 2026,Family,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
3,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,"Everything is excellent! Animation, mini disco, mini club for kids have every day another activity and thank Moana, Una and Jovana for take care of child and make for them fun time!","Posted August 21, 2026",Stayed in August 2026,,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
4,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,2.0,10.0,1.0,,"Our 6-month-old baby was attacked by a cat while sitting in his stroller on the hotel premises. This cat was present at the hotel every day. Our baby suffered bleeding wounds and had to be taken to the hospital immediately for rabies vaccination, antibiotics and further medical treatment. Instead of taking responsibility, the hotel shifted everything to the municipality. Guest Relations told us that the municipality had already been contacted several times and that the cats were on a waiting list. After contacting the municipality and the veterinary clinic ourselves, we found out this was not true: there is no waiting list, and the cats can be taken directly to the clinic without an appointment for microchipping, vaccination and health checks. We were not looking for compensation; we only expected understanding and responsibility. The hotel offered a dinner at the à la carte restaurant as a “gesture”. Later, we discovered that this was already included in our package. So this was presented as something extra, while it was not. We requested a late check-out so we could properly treat and care for our baby’s wounds in the room. First, we were told this was impossible because there were no rooms available. Shortly afterwards, it suddenly became possible — but only for an additional fee. It seems that everything comes down to money. The final disappointment was the statement from Guest Relations that we “should have protected our child better”. A hotel should take responsibility for the safety of its guests. Unfortunately, in our experience, guest safety, honesty and responsibility are clearly not priorities at this hotel. I absolutely cannot recommend this hotel.","Posted August 6, 2026",Stayed in August 2026,,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
5,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,"A very nice hotel with a wonderful atmosphere. Very pleasant and friendly staff, Especially the guest manager, Zarina, is very attentive and responsive. Nice pools. The quality and selection of food in the restaurants and snack bar were excellent. Interesting entertainment/evening shows every day, allowing you to relax and have a good time. The rooms are cleaned daily. Everything is great!","Posted June 5, 2026",Stayed in June 2026,Couple,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
6,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,"A highly recommended hotel with delicious food, a fantastic atmosphere, and very friendly and helpful staff. The entertainment team encourages guests to join in the fun and spreads positive holiday energy. Special greetings and thanks to Ramazan from the Lotus Bar. Without him, this hotel wouldn’t be the same. The best bartender we have ever met!!! Hotel godny polecenia, pyszne jedzenie super atmosfera bardzo miła i pomocna obsługa. Animatorzy którzy zachęcają do zabawy i zarażają pozytywną wakacyjną energią. Szczególne pozdrowienia i podziękowania dla Ramazana z Lotus baru. Bez niego ten hotel nie byłby taki sam. Najlepszy barman jakiego kiedykolwiek spotkaliśmy!!!","Posted June 3, 2026",Stayed in June 2026,Couple,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
7,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,"Great experience in general. The staff was very friendly, cozy room, great food. Shoutout to the SPA & Massage team for delivering a great massage & skin peeling experience. The beach is great, crystal clear. Also the pools are awesome. As far as being critical, our bed sheets were not changed for the whole week, just room cleaning and towels changed but not bed sheets.","Posted July 29, 2025",Stayed in July 2025,,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
8,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,10.0,10.0,5.0,,"Everything in this hotel is just amazing. The reception, rooms, bars and obviously the views. We are very happy of that pick. We had a lot of fun visiting this hotel. Thank you very much animation team and Rubi Ercan Sercan we love you. The food is amazing also.","Posted April 30, 2025",Stayed in April 2025,Family,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
9,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,2.0,10.0,1.0,,"I’ve stayed in more than 30 hotels, hostels, and resorts in my life, but never in my wildest dreams did I think I’d end up in a place this bad. We trusted the reviews—big mistake. Rooms: Imagine the size of a café bathroom, that’s your room. Blood stains on the walls, a mattress older than my teenage years, and cleaning done with the same rag for the toilet and the sink. Towels smell like they’ve been fermenting somewhere, soap sticks to your hands like glue. Sleeping on the floor tiles would’ve been more comfortable. Food: Maximum one edible dish per day if you’re lucky. Six days, not a single proper meat dish—just liver and turkey on repeat. Chicken only edible when fried, fish so bad it’ll make you cry. Snacks? A “hamburger” that’s basically plastic between two buns. Pizza and döner? Go buy frozen ones from a discount supermarket, they’ll taste better. Bars: Want two drinks? Get ready to stand in line for 15 minutes. The bartenders don’t know half the cocktails, so maybe study recipes online before you go. Glasses are filthy, hygiene is a fantasy, and yes—their fingers go inside the glass. At night, only one bar stays open, so imagine the chaos. Eventually, we just bought sealed drinks from the market to stay sane. Staff: Rude, unfriendly, and careless. They even took our ball from the sunbed to let other guests play with it—then lost it and told us, “If we find it, we’ll give it back.” The audacity! I’m 35, and I thought I’d seen it all. But this was on another level. Save your money, your nerves, and your vacation—don’t make the same mistake we did.","Posted September 10, 2025",Stayed in September 2025,Family,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
10,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,2.0,10.0,1.0,,"During our stay at the hotel, my son unfortunately hit his head at the aquapark and had to receive stitches. This incident was very upsetting for us. In such a serious situation, we expected more attention and support from the hotel management. Unfortunately, we experienced a lack of communication and care throughout the process. The purpose of sharing this experience is to highlight that the hotel should review its safety measures and guest support, and to remind families considering this place to take these aspects into account","Posted August 26, 2025",Stayed in August 2025,,,,,,,,,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,
