review_id,hotel_id,hotel_name,area,source_platform,review_text,review_text_clean,source_rating,source_rating_max,rating_5_scale,rating_group,review_date,review_date_raw,stay_year,stay_month,stay_date_raw,traveler_type,traveler_type_raw,room_type,room_type_raw,reviewer_location,reviewer_country,customer_tier,customer_tier_raw,reviewer_review_count,review_hash,source_url,collected_at,quality_flags
1,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,Guest User,Guest User,10.0,10.0,5.0,HIGH,2026-06-21,"Posted June 21, 2026",,,"I’ve stayed in more than 30 hotels, hostels, and resorts in my life, but never in my wildest dreams did I think I’d end up in a place this bad. We trusted the reviews—big mistake. Rooms: Imagine the size of a café bathroom, that’s your room. Blood stains on the walls, a mattress older than my teenage years, and cleaning done with the same rag for the toilet and the sink. Towels smell like they’ve been fermenting somewhere, soap sticks to your hands like glue. Sleeping on the floor tiles would’ve been more comfortable. Food: Maximum one edible dish per day if you’re lucky. Six days, not a single proper meat dish—just liver and turkey on repeat. Chicken only edible when fried, fish so bad it’ll make you cry. Snacks? A “hamburger” that’s basically plastic between two buns. Pizza and döner? Go buy frozen ones from a discount supermarket, they’ll taste better. Bars: Want two drinks? Get ready to stand in line for 15 minutes. The bartenders don’t know half the cocktails, so maybe study recipes online before you go. Glasses are filthy, hygiene is a fantasy, and yes—their fingers go inside the glass. At night, only one bar stays open, so imagine the chaos. Eventually, we just bought sealed drinks from the market to stay sane. Staff: Rude, unfriendly, and careless. They even took our ball from the sunbed to let other guests play with it—then lost it and told us, “If we find it, we’ll give it back.” The audacity! I’m 35, and I thought I’d seen it all. But this was on another level. Save your money, your nerves, and your vacation—don’t make the same mistake we did.",FAMILY,Family,UNKNOWN,,aLper B,aLper B,OTHER,Verified by,,478894bde8a5434e1aca0511e25217fbebbe0bc64708deb3229990dd7689f69d,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,VERY_SHORT
2,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"This is a great hotel, best beach, great food, clean bright rooms, friendly staff. I keep coming back year after year. Great place for families with kids any age. I travelled other places, but, I keep coming back to Armonia. Need I say more?!?!","This is a great hotel, best beach, great food, clean bright rooms, friendly staff. I keep coming back year after year. Great place for families with kids any age. I travelled other places, but, I keep coming back to Armonia. Need I say more?!?!",10.0,10.0,5.0,HIGH,2026-06-21,"Posted June 21, 2026",2026,6,Stayed in June 2026,FAMILY,Family,UNKNOWN,,,,NONE,,,89b2a2f5d16bb80d12275b9d89dc106691f88d37c6809e3a07f48db2bbe820c5,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
3,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"Everything is excellent! Animation, mini disco, mini club for kids have every day another activity and thank Moana, Una and Jovana for take care of child and make for them fun time!","Everything is excellent! Animation, mini disco, mini club for kids have every day another activity and thank Moana, Una and Jovana for take care of child and make for them fun time!",10.0,10.0,5.0,HIGH,2026-08-21,"Posted August 21, 2026",2026,8,Stayed in August 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,a65927cb4cd7acff6166824495c757572d01e5a20c25269fa0eb861861300429,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
4,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"Our 6-month-old baby was attacked by a cat while sitting in his stroller on the hotel premises. This cat was present at the hotel every day. Our baby suffered bleeding wounds and had to be taken to the hospital immediately for rabies vaccination, antibiotics and further medical treatment. Instead of taking responsibility, the hotel shifted everything to the municipality. Guest Relations told us that the municipality had already been contacted several times and that the cats were on a waiting list. After contacting the municipality and the veterinary clinic ourselves, we found out this was not true: there is no waiting list, and the cats can be taken directly to the clinic without an appointment for microchipping, vaccination and health checks. We were not looking for compensation; we only expected understanding and responsibility. The hotel offered a dinner at the à la carte restaurant as a “gesture”. Later, we discovered that this was already included in our package. So this was presented as something extra, while it was not. We requested a late check-out so we could properly treat and care for our baby’s wounds in the room. First, we were told this was impossible because there were no rooms available. Shortly afterwards, it suddenly became possible — but only for an additional fee. It seems that everything comes down to money. The final disappointment was the statement from Guest Relations that we “should have protected our child better”. A hotel should take responsibility for the safety of its guests. Unfortunately, in our experience, guest safety, honesty and responsibility are clearly not priorities at this hotel. I absolutely cannot recommend this hotel.","Our 6-month-old baby was attacked by a cat while sitting in his stroller on the hotel premises. This cat was present at the hotel every day. Our baby suffered bleeding wounds and had to be taken to the hospital immediately for rabies vaccination, antibiotics and further medical treatment. Instead of taking responsibility, the hotel shifted everything to the municipality. Guest Relations told us that the municipality had already been contacted several times and that the cats were on a waiting list. After contacting the municipality and the veterinary clinic ourselves, we found out this was not true: there is no waiting list, and the cats can be taken directly to the clinic without an appointment for microchipping, vaccination and health checks. We were not looking for compensation; we only expected understanding and responsibility. The hotel offered a dinner at the à la carte restaurant as a “gesture”. Later, we discovered that this was already included in our package. So this was presented as something extra, while it was not. We requested a late check-out so we could properly treat and care for our baby’s wounds in the room. First, we were told this was impossible because there were no rooms available. Shortly afterwards, it suddenly became possible — but only for an additional fee. It seems that everything comes down to money. The final disappointment was the statement from Guest Relations that we “should have protected our child better”. A hotel should take responsibility for the safety of its guests. Unfortunately, in our experience, guest safety, honesty and responsibility are clearly not priorities at this hotel. I absolutely cannot recommend this hotel.",2.0,10.0,1.0,LOW,2026-08-06,"Posted August 6, 2026",2026,8,Stayed in August 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,24a08ea724b563d0c1e22a30d2f9aae107b6fd15d0818ce95728a2c223a848cf,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
5,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"A very nice hotel with a wonderful atmosphere. Very pleasant and friendly staff, Especially the guest manager, Zarina, is very attentive and responsive. Nice pools. The quality and selection of food in the restaurants and snack bar were excellent. Interesting entertainment/evening shows every day, allowing you to relax and have a good time. The rooms are cleaned daily. Everything is great!","A very nice hotel with a wonderful atmosphere. Very pleasant and friendly staff, Especially the guest manager, Zarina, is very attentive and responsive. Nice pools. The quality and selection of food in the restaurants and snack bar were excellent. Interesting entertainment/evening shows every day, allowing you to relax and have a good time. The rooms are cleaned daily. Everything is great!",10.0,10.0,5.0,HIGH,2026-06-05,"Posted June 5, 2026",2026,6,Stayed in June 2026,COUPLE,Couple,UNKNOWN,,,,NONE,,,4265986573740e56dbb3f2de627fb73a34f3c18420c752970ce606d3e317a4bc,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
6,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"A highly recommended hotel with delicious food, a fantastic atmosphere, and very friendly and helpful staff. The entertainment team encourages guests to join in the fun and spreads positive holiday energy. Special greetings and thanks to Ramazan from the Lotus Bar. Without him, this hotel wouldn’t be the same. The best bartender we have ever met!!! Hotel godny polecenia, pyszne jedzenie super atmosfera bardzo miła i pomocna obsługa. Animatorzy którzy zachęcają do zabawy i zarażają pozytywną wakacyjną energią. Szczególne pozdrowienia i podziękowania dla Ramazana z Lotus baru. Bez niego ten hotel nie byłby taki sam. Najlepszy barman jakiego kiedykolwiek spotkaliśmy!!!","A highly recommended hotel with delicious food, a fantastic atmosphere, and very friendly and helpful staff. The entertainment team encourages guests to join in the fun and spreads positive holiday energy. Special greetings and thanks to Ramazan from the Lotus Bar. Without him, this hotel wouldn’t be the same. The best bartender we have ever met!!! Hotel godny polecenia, pyszne jedzenie super atmosfera bardzo miła i pomocna obsługa. Animatorzy którzy zachęcają do zabawy i zarażają pozytywną wakacyjną energią. Szczególne pozdrowienia i podziękowania dla Ramazana z Lotus baru. Bez niego ten hotel nie byłby taki sam. Najlepszy barman jakiego kiedykolwiek spotkaliśmy!!!",10.0,10.0,5.0,HIGH,2026-06-03,"Posted June 3, 2026",2026,6,Stayed in June 2026,COUPLE,Couple,UNKNOWN,,,,NONE,,,03214af53c651ad1a4c38f6315af55010d3c8708297c9a534c28a462d3ffb975,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
7,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"Great experience in general. The staff was very friendly, cozy room, great food. Shoutout to the SPA & Massage team for delivering a great massage & skin peeling experience. The beach is great, crystal clear. Also the pools are awesome. As far as being critical, our bed sheets were not changed for the whole week, just room cleaning and towels changed but not bed sheets.","Great experience in general. The staff was very friendly, cozy room, great food. Shoutout to the SPA & Massage team for delivering a great massage & skin peeling experience. The beach is great, crystal clear. Also the pools are awesome. As far as being critical, our bed sheets were not changed for the whole week, just room cleaning and towels changed but not bed sheets.",10.0,10.0,5.0,HIGH,2025-07-29,"Posted July 29, 2025",2025,7,Stayed in July 2025,UNKNOWN,,UNKNOWN,,,,NONE,,,2f67324cc2f9d45d6710071200a648733a944df4527a0e6a6f5cd153d2676f83,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
8,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"Everything in this hotel is just amazing. The reception, rooms, bars and obviously the views. We are very happy of that pick. We had a lot of fun visiting this hotel. Thank you very much animation team and Rubi Ercan Sercan we love you. The food is amazing also.","Everything in this hotel is just amazing. The reception, rooms, bars and obviously the views. We are very happy of that pick. We had a lot of fun visiting this hotel. Thank you very much animation team and Rubi Ercan Sercan we love you. The food is amazing also.",10.0,10.0,5.0,HIGH,2025-04-30,"Posted April 30, 2025",2025,4,Stayed in April 2025,FAMILY,Family,UNKNOWN,,,,NONE,,,a67758ad4b99189d2060e2139c8d0ec22901aa1f6adbe4a2b3650f716aa8d817,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
9,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"I’ve stayed in more than 30 hotels, hostels, and resorts in my life, but never in my wildest dreams did I think I’d end up in a place this bad. We trusted the reviews—big mistake. Rooms: Imagine the size of a café bathroom, that’s your room. Blood stains on the walls, a mattress older than my teenage years, and cleaning done with the same rag for the toilet and the sink. Towels smell like they’ve been fermenting somewhere, soap sticks to your hands like glue. Sleeping on the floor tiles would’ve been more comfortable. Food: Maximum one edible dish per day if you’re lucky. Six days, not a single proper meat dish—just liver and turkey on repeat. Chicken only edible when fried, fish so bad it’ll make you cry. Snacks? A “hamburger” that’s basically plastic between two buns. Pizza and döner? Go buy frozen ones from a discount supermarket, they’ll taste better. Bars: Want two drinks? Get ready to stand in line for 15 minutes. The bartenders don’t know half the cocktails, so maybe study recipes online before you go. Glasses are filthy, hygiene is a fantasy, and yes—their fingers go inside the glass. At night, only one bar stays open, so imagine the chaos. Eventually, we just bought sealed drinks from the market to stay sane. Staff: Rude, unfriendly, and careless. They even took our ball from the sunbed to let other guests play with it—then lost it and told us, “If we find it, we’ll give it back.” The audacity! I’m 35, and I thought I’d seen it all. But this was on another level. Save your money, your nerves, and your vacation—don’t make the same mistake we did.","I’ve stayed in more than 30 hotels, hostels, and resorts in my life, but never in my wildest dreams did I think I’d end up in a place this bad. We trusted the reviews—big mistake. Rooms: Imagine the size of a café bathroom, that’s your room. Blood stains on the walls, a mattress older than my teenage years, and cleaning done with the same rag for the toilet and the sink. Towels smell like they’ve been fermenting somewhere, soap sticks to your hands like glue. Sleeping on the floor tiles would’ve been more comfortable. Food: Maximum one edible dish per day if you’re lucky. Six days, not a single proper meat dish—just liver and turkey on repeat. Chicken only edible when fried, fish so bad it’ll make you cry. Snacks? A “hamburger” that’s basically plastic between two buns. Pizza and döner? Go buy frozen ones from a discount supermarket, they’ll taste better. Bars: Want two drinks? Get ready to stand in line for 15 minutes. The bartenders don’t know half the cocktails, so maybe study recipes online before you go. Glasses are filthy, hygiene is a fantasy, and yes—their fingers go inside the glass. At night, only one bar stays open, so imagine the chaos. Eventually, we just bought sealed drinks from the market to stay sane. Staff: Rude, unfriendly, and careless. They even took our ball from the sunbed to let other guests play with it—then lost it and told us, “If we find it, we’ll give it back.” The audacity! I’m 35, and I thought I’d seen it all. But this was on another level. Save your money, your nerves, and your vacation—don’t make the same mistake we did.",2.0,10.0,1.0,LOW,2025-09-10,"Posted September 10, 2025",2025,9,Stayed in September 2025,FAMILY,Family,UNKNOWN,,,,NONE,,,cc509fa155802a791c653e097cecd83ecaf64503ee455de3639679ca1d931ff8,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
10,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"During our stay at the hotel, my son unfortunately hit his head at the aquapark and had to receive stitches. This incident was very upsetting for us. In such a serious situation, we expected more attention and support from the hotel management. Unfortunately, we experienced a lack of communication and care throughout the process. The purpose of sharing this experience is to highlight that the hotel should review its safety measures and guest support, and to remind families considering this place to take these aspects into account","During our stay at the hotel, my son unfortunately hit his head at the aquapark and had to receive stitches. This incident was very upsetting for us. In such a serious situation, we expected more attention and support from the hotel management. Unfortunately, we experienced a lack of communication and care throughout the process. The purpose of sharing this experience is to highlight that the hotel should review its safety measures and guest support, and to remind families considering this place to take these aspects into account",2.0,10.0,1.0,LOW,2025-08-26,"Posted August 26, 2025",2025,8,Stayed in August 2025,UNKNOWN,,UNKNOWN,,,,NONE,,,1d2fe206e6751e0aa83d6213ce87d6c670a3d26786dd5ffe1b2f1795f0f22aff,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
