otel_adi,yorum,hizmet,tarih,puan
Bendis Beach Hotel,"Ağustos ayı başında üç gün iki aile konakladık. İlk verilen odanin temizliği rezalet olduğu için resepsiyona gidip oda değişikligi talep ettik, personeller güler yüzlü olumsuz hiç geri bildirimleri yok, yeni yapilmis bir oda verdiler. Ancak problem temizlikte kontrolsüzluk ve temizlik işini yapan kişilerin egitimsizligi. Üstün körü bir temizlik anlayışı var. Genel manada zaten oda temizlikleri de müşteri şikayeti olan bir otel. Çok daha ilginç olan durum musluklardan tuzlu su akıyor😊 ortak sebilden subl alip içiyorsunuz ancak temizliği bu kadar şaibeli bir işletmenin aritmasi nasıldir ayrı bir konu. Diğer olumsuzluk yemekler anangemek sürekli tavuk. İçerdeki meşe ve yemekler hep aynı,lezzetsiz. Köfte yapıyorlar ama yenmez. Kahvaltı fena değil. Üç gün boyunca tavuk, pide ve simit yedik. Havuzlarda kural yokz terlikle girenler mi ararsın. Terlikle havuz suyuna temas edip geçen mi? Ayrıca üç gün boyunca geç saatlere kadar oturduk havuzun temizlendiğini görmedik. Diğer otellerde dibe vihaz atıp dip temizliği yaparlardı. Burda yok. İçki kalitesi çok düşük sulu bira ve markasını bilmediğiniz suruplu bir kaç kokteyl, sahilde aldığımı kokteyl meyve suyu bozuktu icemedik. Ortak tuvalet ve lavaboları temizliği gerçekten kötü. Deniz vok güzel, kum ve tertemiz. Bu arada personellerin güvenlikten resepsiyona çok gizler yüzlü olduklarını iletmek lazım. Otel yönetiminin acil temizlik ve yemek kalitesine çözüm bulması dileği ile.","Odalar1,0Hizmet1,0Konum3,0",Google üzerinde 2 hafta önce,1/5
Bendis Beach Hotel,"öncelikle bu puanı ödediğimiz ücretin karşılığında verdiğimi belirtmek istiyorum. 4 gece için iki kişi 17.500 TL ödedik. bu yüzden büyük beklentilerim yoktu. daha fazla ödeme yapmış olsaydık puanım 2 olurdu.
giriş saatimizden 2 buçuk saat daha geç gittik ve en az 40 dakikaya odanın hazır olacağı söylendi. ETStur rehberi Emre Bey sayesinde odamız 5 dakika içinde hazırlandı ama eşimle konaklamamız için 3 tane tek kişilik yataklı oda verildiğini gördük, 15 dakika içinde yine ETS rehberi Emre Bey sorunumuzu çözdü.
oda temizliği yeterince iyi değil. odalarda tuzlu su gibi bi su akıyo dişimizi şişe içme suyuyla fırçaladık. su duşta da göz yakıyo kendinizi temiz hissedemezsiniz.
yemeklerin kalitesiz malzemelerden yapıldığı belli, kötü diyemesem bile lezzeti olmayan dümdüz tatsız yemekler. açık büfe sırasında insanlar yokluktaymış gibi meyve ve tatlılara yöneldiği için sadece bir gün pasta yiyebildim, önceki günlerde pastanın varlığını bile görmemiştim. biten yiyecekler kişi sayısına göre yenilenmiyor belli ki. meyve suları hazır tozla hazırlanan yapay meyvesuyu. alkollü kokteyller güzeldi. gece çorbasında da akşam yemeğinden kalan makarna, köfte ne varsa karıştırıp çorba hazırlıyorlar.
plajı güzel, suyu tertemiz, şezlong ve şemsiyesiz kalmadık gayet rahattık. havuzda çoğunlukla çocuklar olduğu ve çok fazla sesli bi yer olduğu için hiç girmedik.
genellikle aile ortamı olan bir otel. muhafazakar insanlara da uygun gibi bir izlenim aldım. akşamları çocuk eğlencesi ve bingo oyunu gibi aktiviteler vardı. eğlence istiyorsanız farklı bir yer arayabilirsiniz burası biraz daha sakin bi yer.
Emre Bey’e evlilik yıldönümümüz dahil tüm sorunlarımızla ilgilendiği için teşekkür ederiz.","Odalar3,0Hizmet3,0Konum5,0
Otelde öne çıkanlarBüyük fırsat",Google üzerinde 2 ay önce,4/5
Bendis Beach Hotel,"Berbat bir tesis,o kadar pis ve bakımsızdıki uzun yoldan geldiğimiz için o gece konaklamak zorunda kaldık ve ertesi sabah hemen çıktık. …",,Tripadvisor üzerinde 3 hafta önce,1/5
Bendis Beach Hotel,Öncelikle tamamen hayal kırıklığı yaşadık. Etstur ile iki ayla gittik. Fotoğrafta paylaşılan yerle otelin alakası bile yok tamamen sanki yapay zekayla yapılmış ve genişletilmiş gibiydi fotoğraflar otel çok küçük alanlar çok küçük yemek yeme yerleri çok küçük havuz çok küçük kaydırak çok çok küçük fotoğraftakine aldanmayın çocuk parkındaki kaydıraklar neredeyse aynı. Yemekler kesinlikle çeşit yok 15 dakikada her şey bitiyor yerine konmuyor. Bir söylediğ lütfen anlayış bekleyiniz diyorlar ne demekse anlayış ben yemek saati gelir gelmez gidiyorum 15 dakika sonra bulamıyorum hiçbir şeyi yerine başka türlü farklı daha nasıl desem dandik yemekleri koyuyorlar ilk önce bir ana yemek olarak birkaç tane güzel konuyor sonra bitiyor çok az yapıyorlar onunla da zaten onların da tadı yok bakmayın da. Gecenin üçünde kalkıp lavaboya tamir ettim ben o kadar pis koku geliyordu ki lavabo dolmuş dışarıya siyah siyah pislik akıyordu. Havuzların içi tamamen taş dolu gece bir kere temizlendiğini görmedim gece ikiye kadar oturduğum halde üçe kadar oturduğum halde resmen izledim baktım sadece su arıtması çalışıyor devridaim çalışıyor ama yerler tamamen kaygan ayaklarınız kayıyor pislikten Taşlar dolu bir de ince ince Taşlar batıyor ayağınıza. Hele içkiler tamamen vasat hiçbir içkiyi bulamıyorsunuz size diyorlar ya yerli içkiler ücretsiz yalan birkaç tane içki çeşidi var başka hiçbir şey yok. Ayran bile bir gün vardı bir gün yoktu. Otopark deseniz küçücük bir otopark var ön tarafında arka tarafa inşa yolluyorlar sizi toz toprağın içine otoparka koyuyorsunuz arabanizi leş gibi üstü toz kaplanıyor. Kumsala arabaların geçtiği yoldan çocuklarınız da zorla gidiyorsunuz en az 200 metre ileride kumsal. Bir de sorun kumsalda dönüyorsunuz otelin dibinde Duşluklar kumsalın orada bir duş alacağınız bir yer yok. Plajda hafta içi içe kullanıyorsunuz otelde olmayan insanlar bile şezlonglara oturmuşlar kaldıramıyorsunuz ve güvenlik de yok kimse de karışmıyor yani anlayacağınız halk plajı ile karışık bir plajdasınız. Anlayacağınız tamamen hayal kırıklığı yaşadık kesinlikle ama kesinlikle tavsiye etmiyorum.,"Odalar1,0Hizmet1,0Konum1,0
OdalarSivrisinek dolu. Lavaboları bozuk tuvaletleri akıtıyor.
Yakındaki etkinliklerEtkinlik veya hiçbir şey yok çevresinde.
Yiyecek ve içeceklerKesinlikle tavsiye etmiyorum vasat çeşit yok aynı şeyleri önünüze sunup sunup koyuyorlar.",Google üzerinde 2 hafta önce,1/5
Bendis Beach Hotel,"Resepsiyon’dan başlayan tebessüm biz otelden ayrılana kadar hep devam etti. Çalışanlar çok ilgili ve güleryüzlü. Ama bazı garsonlar yerli ve yabancı turistler arasında ufak çaplı bir ayrımcılık yapılıyor. Söz konusu bahşiş olabilir. Yemekler çeşitli ve lezzetliydi. Yerli alkollü alkolsüz içeceklerden, 24.00’a kadar yararlanabilirsiniz. Otel tam fiyat performans oteli ne çok lüks ne çok vasat, beklentinizi karşılar. Etkinlikler ve turlar değerlendirmeye değer. 1 puan kırma sebebim; odalarda ki sular şebeke suyu olduğu için çok tuzlu. Yıkanma olayı biraz sıkıntı. Odalardaki taşınmazlar revizyona gidebilir. Bu arada konsept apart tarzı olduğu için, çocuklu aileler özellikle, aile odası ve suit oda almasını tavsiye ederim. Standart oda ufak ve oda’da bir çift kişilik bir tek kişilik yatak yanyana olduğu için adım atacak yeriniz kalmayabilir. Bunu dikkate alarak seyahat edebilirsiniz :)","Odalar4,0Hizmet4,0Konum5,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde bir ay önce,4/5
Bendis Beach Hotel,"Temmuz ayında 4 kışilik çekirdek ailem ile 6 gecelik bir tatil planladik. Planlamamis olsaydikdedikm İlk olarak yemekler hakkında yorum yapayım. Ana yemek tek çeşit ve bu tek çeşit yemeği almak için uzun uzun kuyruklar var. Odalar hiç temiz değildi. 6 gecelik konaklama temizlik talep etmenize rağmen nevresimler hic değişmedi. Havlular günü birlik hiç değişmedi. Resepsiyonu aramamiz ile bir gün ancak değişti. Çalışanlar iyi en azından çözüm odakliydi. Çocuklar için etkinlik çok çok az. Günün belirli saatlerinde Mini Clup ama onda boyama kağıtları falan hiç yok, çocuklar kendileri çizip boyuyor. Akşam mini Clup biz orada iken iki gece olmadı. Akşam canlı müzik ya da başka bir etkinlik de çok çok az.Gündüz havuz etkinlikleri vs yok denecek kadar azdı
. Havuz küçuk. Otelin tek artisi havuz başında yemek yiyebilme imkanı olmasi. Deniz suyu soğuktu, sahili tasli idi.","Odalar1,0Hizmet3,0Konum3,0
OdalarTemizlik hiç yoktu.
Yakındaki etkinliklerEtkinlikler pek azdi
Güvenlikİyi
Yürüme olanaklarıEh işte
Yiyecek ve içeceklerTek çeşit ana yemek
Önemli ayrıntılarDeniz suyu soğuk sahil taşlı",Google üzerinde 2 hafta önce,2/5
Bendis Beach Hotel,"Bendis Beach Hotel maalesef beklentilerimizin çok altında kaldı ve tatilimiz tam anlamıyla hayal kırıklığına dönüştü.
Otele giriş yaptığımız andan itibaren ciddi sorunlarla karşılaştık. Öncelikle sivrisinek problemi tahmin edilemeyecek kadar yoğundu. Odamızda duvarların üzerinde ezilmiş sivrisineklerin ve kan lekelerinin bulunması hem hijyen hem de bakım açısından kabul edilemez bir görüntü oluşturuyordu. Çocuklu bir aile olarak bu şartlarda rahat bir konaklama yapmamız mümkün olmadı.
Genel temizlik seviyesi de beklentimizin oldukça altındaydı. Otelin birçok noktasında bakım ve temizlik eksikliği hissediliyordu. Bunun yanında bizi en çok rahatsız eden konulardan biri, bir personelin küçük bir çocuğa karşı azarlayıcı bir üslupla konuşması oldu. Misafir ilişkileri açısından kesinlikle kabul edilemez bir davranıştı.
Resepsiyon ekibi ise yaşadığımız sorunlara çözüm üretmek yerine ilgisiz ve yetersiz bir yaklaşım sergiledi. Karşılaştığımız problemlere verilen cevaplar ve iletişim şekli, misafir memnuniyetinden ne kadar uzak olunduğunu gösteriyordu.
Sonuç olarak yaşadığımız olumsuzluklar nedeniyle tatilimizin devamını burada geçirmek istemedik ve bir gecelik ücretimizi yakmayı göze alarak başka bir otele transfer olduk. Tatilimizin geri kalanını farklı bir otelde geçirmek zorunda kalmamız, bu tesis hakkındaki görüşümüzü özetlemeye yetiyor.
Bu oteli tercih etmeyi düşünenlere tavsiyem, rezervasyonlarını mümkünse bir turizm şirketi aracılığıyla yapmalarıdır. Böylece memnun kalmadığınız takdirde alternatif çözümler üretmeniz ve farklı bir tesise geçiş yapmanız daha kolay olabilir.
Ne yazık ki bizim için unutulmaz bir tatil değil, unutmak istediğimiz bir konaklama deneyimi oldu.","Odalar1,0Hizmet2,0Konum2,0",Google üzerinde 2 ay önce,1/5
Bendis Beach Hotel,"Hayatımda kaldığım en kötü otel 4 yıldız değil aslaa. Temizlik berbat. Bizi bir bucuk saat beklettiler odanız hazırlanıyor dediler. Oda pisti resepsiyonu aradım kaç kere ilgilenmediler. Kendimiz marketten gidip deterjan alıp tuvaleti fırçaladık. Kulak çubuğu, oda terliği, sabun vs odaların hiçbirinde yoktu. Tanıştığım bütün aileler şikayetçiydi. Paraya yazık tatilim de zehir oldu. Mikrop kapmak istemiyorsanız otelin yanından bile geçmeyin. Çeşmelerden akan su bile tuzlu değişikti diş fırçalayamazsın suyun iğrenç tadından. Tatile rahatlamaya geldim sinir olup gidiyorum. Burada çamaşır suyu keşfedileli çok oldu o pis banyo ve tuvaletlerinize bir zahmet alında dökün. 1 yıldız.......","Odalar1,0Hizmet1,0Konum2,0",Google üzerinde 4 hafta önce,1/5
Bendis Beach Hotel,Otel genel olarak fiyat performans oteliydi. Yemekleri çok waow lezzetli diyemem ama kötü de değil. Yemek çeşidi iyiydi. Konumu denize yakın olduğu için plaja gitmek yorucu değildi. Otel çalışanları genel olarak ilgili ve güler yüzlüydü. Resepyondaki arkadaşlardan Eylül hanım ve müdüre hanım gerçekten çok yardımcı oldular. İlk gittiğimiz zaman odamızı beğenmediğimizi söylediğimiz zaman hamile olduğumuz için bize konumu ve içerisi daha güzel ve refah oda sunarak yardımcı oldular. Animasyon ekibi ve etkinlikleri çocuklar için güzeldi. Biz çocuksuz geldik ama çocuklar için çok eğlenceli vakit geçirilebilir. Herkese çok teşekkür ederiz.,"Odalar5,0Hizmet5,0Konum4,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde 2 hafta önce,4/5
Bendis Beach Hotel,"Etsden aldığımız rezil bir tatil,Ets tesis yetkilisi yaşanan problemlere karsi ""haklsiniz""dan öteye gidemedi çözüm sifir,bizden sonra gelen her misafir ile nedense çok samimiydi ve bizi ne zaman görse görmezlikten geldi.
Otele ilk girişinizde Yaşayacağıniz olumsuzluklar ,""""merhaba ben buradayim diyor"" check in işlemi başlamadan bir önceki misafirlerin front office ile kavgasina şahit olduk,Odaya adim atar atmaz keskin gider kokusu, lekeli aynalar,zemin,mobilyalar, sizleri bekliyor,Havlular, çarşaflar lekeliydi gorulmemesi imkansiz sekilde,Luandry bag, terlik, diş seti(isteğe bağlı veya ücretli dahi yok) eşime bileklik verilmemiş resepsiyona gelmeniz gerekli diye resepsiyona çağırdılar ki bellboy eşliğinde birakmalari rica edildi,Hk müdürü sağ olsun hızlı şekilde tekrar temizlik sağlandı ,2 gün sonra Front Office Müdürü Merve Hanim sağ olsun gerekli aksiyonlari aldı Hk müdürü ile birlikte otelin en samimi çözüm odakli personelleriydi (her gün onlarca problemle karşılaşmalarına rağmen hala sabır ve güler yüzlü yaklaşımları ile devam ediyorlar ayri bir teşekkür hak ediyorlar
Misafir hizmetleri Guest Relations var ama kendine yetecek kadar var iş takibi yok olaylari akışında izliyor,
Personeller genel olarak, işini yapmaya çalışıyor ama ,zor şartlarda çalıştıklari için ister istemez size yansiyor hizmet kusurlari,
Aşçı başı ilgisiz gölge gibi
Ön büro ve Kat hizmetleri müdürü ilgili
Spa Çalışanları samimi,ilgili
Yiyecek içecek personeli nötr","Odalar1,0Hizmet1,0Konum1,0
OdalarEski,kirli,hijyen yok , diş seti traş seti yok ,kuru temizleme poşeti ve terlik dahi yok,gider ağır gider kokusu var,
GüvenlikZayif
Yiyecek ve içeceklerYiyecek içecek çok çok zayif fiyasko denilebilir, fiyat performansa göre bakanlar fiyatini ödeyebilirsiniz ama peeformansini alamazsiniz,her gün bimden,a101 den alinan nugget,patates tava, soğan halkasi , makarna fiks olarak sabah öğle aksam karşınızda bunlari hazirlamak için konulan yağdan artik yiyeceklerin iri iri siyah yağ tortusu içinde yüzüğünü görebilirsiniz, menü planlamasi hazırlanması sıfır ,yiyecekler içecekler o kadar kalitesiz ve lezzetsiz ki tek tük iyi olan şeylere aşırı talep oluyor,ve kalmiyor tazelenmiyor , poğaça ,simit vb hamur isini baş aşçıdan rica ettik "" varsa yollariz bizim misafirler çok yiyor kalmiyor yanitini aldik"" problem çözmek için orada olan yetkililer problemin parçası oluyorlar"" sıra beklemek istemeyen misafirler aç kaliyor(her öğünde 25- 45 dakika yemek sirasindasiniz) menü hep aynı az,kalitesiz,lezzetsiz, gelişi güzel sunum , rezalet ötesi ,personellerin mutsuzluğu, yorgunluğu, uzun çalışma saatleri gözlem yapmaya kalmadan direkt yüzünüze çarpıyor
Önemli ayrıntılarFiyat performansa aldanip yüksek beklentiye girmeyiniz,mide koruyucunuzu yaninizda bulundurunuz, duş için sular çok tuzlu deniz suyu gibi , kişisel temizlik ürünlerini eksiksiz yaninizda bulundurmaniz tavsiyedir",Google üzerinde bir ay önce,1/5
