otel_adi,yorum,hizmet,tarih,puan
Mare Garden Hotel,"Benim için çok kötü bir otel deneyimi oldu.Özellikle çoçukla gittiğim için ekstra hazetmediğim durumlar oldu.
1.Öncelikle odaya girdiğinizde rutubet kokusu vardı perdeler kokuyordu tuvaletteki çöp boşaltılmamıştı odayı tekrar temizletip üzerine ben tekrar temzledim.
2. Oda fotografda gözüktüğü gibi aydınlık değil karanlık bir oda koltuğun artık rengi dönmüş pislikden üzerinde sigara yanıkları vardı sigara içildiği içinde odada çok ağır bir koku vardı. Siz söylemedikçede temizlik yapmıyorlar.
3. KAHVALTI!!! oda kahvaltı satın aldım.Hijyen 0 !!! Kahve içmek istedik temiz bardakların bulunduğu bardaklıkdan aldı eşim kahve doldurdu kenarında ruj izi vardı !!!Ekmekliğin içinde saç vardı. Çatal bıçak koyulan demir tepsi leş gibiydi kenarları lekeliydi içünden yağlı kaşık çıktı içeriye gönderdim.Burda bu yorumları yaparken kimsenim hakkını yemiyorum çünkü benim verdiğim paranın asla karşılığını vermediler.4 gün boyunca sabah dışarda kahvaltı ettim.
4.Havuz leş gibi hele çocuk havuzu ekstra kirli !!
5. Sahilde biraları çok pahalıya satıyorlar.
Birdahada asla tercih etmeyeceğim.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
Mare Garden Hotel,Otel çok tatlı konumu ve plajı çok kullanışlı. Çalışanları ilgili ve güler yüzlü. Berker bey özellikle keyifle ilgilendiği belliydi teşekkür ediyoruz. Eksi yanı maalesef yemeklerinin iyileştirilmesi gerek. Yemekler ziyan edilmiyor buna şahit olduk ziyan edilen fazla yemekler hoşlandığım bir şey değil bu anlayış çok güzel fakat daha özenli ve lezzete de dikkat edilse otel çok daha iyi bir seviyeye gelecektir.,"Odalar4,0Hizmet3,0Konum5,0
Otelde öne çıkanlarSessiz",Google üzerinde bir ay önce,3/5
Mare Garden Hotel,"Mare Garden'de üçüncü yaz tatilimiz. İki aile geliyoruz. İlk yıl hayvan dostu otel arayışında karar kıldık. Sonra da vazgeçilmezimiz oldu. Ben balkondan başlayayım. Karşımda begonviller, yumuşak bir esinti, sağ taraftan denizi de görebiliyorum. Güler yüzlü çalışanlar, temiz odalar, şahane bir koyda denize girmek, sahilde yenen akşam yemekleri... Bu yıl yemekler gerçekten çok başarılı. Mehmet Şef'in eline, emeğine sağlık. Meze meraklısı olmasam da mezrlerini çok severek yedim. Serviste Şerif Bey işinin hakkını veriyor. Diğer personel de her an yardımınıza koşuyor. Tolga Bey'e de içten ilgisi için teşekkür ederim. Biz seviyoruz ve gerçekten dinleniyoruz burada.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Mare Garden Hotel,"Konum olarak denize çok yakın olması ve çalışanların güler yüzlü yaklaşımı dışında maalesef memnun kaldığımız hiçbir nokta olmadı.
En büyük hayal kırıklığı yemeklerdi. Sabah kahvaltısı açık büfe olmasına rağmen çeşit çok azdı ve birçok ürün sürekli eksikti. Akşam yemeği ise tek menüydü; porsiyonlar oldukça küçüktü ve yemeklerin kalitesi gerçekten çok düşüktü. Üstelik servis inanılmaz yavaştı. Yemek saati 20.00’de başlamasına rağmen çorba çoğu zaman 20.30’da, ana yemek ise 21.00’e doğru servis edildi. Çorbalar bile yeterli miktarda gelmiyordu. İkram ya da misafir memnuniyetini artıracak herhangi bir detay da yoktu.
Temizlik konusunda da büyük hayal kırıklığı yaşadık. Çarşafların değiştirilmesini istememize rağmen birkaç gün sonra değiştirildi. Zaten ilk girdiğimizde yastık kılıfları ve çarşaflar lekeliydi.Bu durum hijyen açısından kesinlikle kabul edilemezdi.
Maalesef ödediğimiz ücretin karşılığını kesinlikle alamadık. Yemek kalitesi, porsiyonlar, servis ve temizlik açısından beklentimizin çok altında kaldı. Denize yakın konumu ve güler yüzlü personeli dışında olumlu söyleyebileceğim bir şey yok. Bir daha tercih etmeyi düşünmüyorum ve kesinlikle tavsiye etmiyorum.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
Mare Garden Hotel,"Tatilimize farklı bir hotel ile başladık sorun yaşadık. Tolga Bey ile iletişime geçtik, telefonda bile tatilinizde bir gün boşa geçmesin detaylar için yardımcı olacağım deyip bizi hotele davet etti. Onun desteği ile diğer hotelde yaşadığımız sorundan dolayı tatilimize hiç moralimizi bozmadan devam edebildik. Hotel bengonvillerle kaplı, denizi Bodrum da girdiğim en güzel sulardan biri. Tolga Bey in pozitif enerjisi, misafirperverliği tüm ekibine yansımış. Günay , İrem ve Ayşe Hotel de sizi karşılayıp , tatilinizde güzel vakit geçirmeniz için her detayınıza yardımcı oluyor. Denizinin temizliği, bengonvillerle kaplı bahçesi, odanın hijyeni ve Tolga Bey in tüm destekleri için Bodrum 'a geldiğimizde kalacağımız tek yer. Tatilimizi güzelleştirdiğiniz için çoool teşekkürler 🙏🌺","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Mare Garden Hotel,Denizi hariç tadına varamadığımız bir tatil deneyimi oldu. Öncelikle odalar eski ve oldukça küçük. Tuvalet kokuyordu. Temiz olduğunu söyledikleri nevresimlerin de temiz olduğundan şüpheliydik. Kahvaltıda seçenekler idare eder düzeydeydi fakat çok fazla eksik vardı. Bardaklar bitiyor yenisi gelmiyor kaşık çatallar pis ve ne sorsanız yok cevabı alıyorsunuz. Deniz kenarında da aynı şekilde menüde seçenekler çok az. Akşam yemekleri çok lezzetsizdi. Porsiyonlar çok azdı ve yemekler çok uzun sürede geliyor masaya. Bekliyorsunuz ve sonuç da üzücü oluyor. Geleni yemek zorunda kalıyorsunuz. Otelin havuzu da pisti. Temizlendiği söylense de çocuk havuzu da dahil olmak üzere temiz değildi. Çalışanların kibar ve duyarlı olması dışında artısı yok. Gelecek olan misafirlerin bunu bilmesi için yazıyorum.,"Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
Mare Garden Hotel,4 gece olarak konakladık. Genel anlamda sakin. Odalar eski ama temiz. Çocuklar için deniz yada havuz dışında alternatif yok. Havuz başında bişeyler yiyip içemiyorsunuz. Akşam yemeği 8 de başlıyor plajda özel yerleri var orada servis ediliyor. Geçe kalıyor yemek. Onun dışında sade butik bir işletme. Şef garson dışında ki garsonlar son derece bilgisiz ve acemi. Tolga beye teşekkürler,"Odalar3,0Hizmet2,0Konum4,0
Otelde öne çıkanlarSessiz",Google üzerinde 2 ay önce,3/5
Mare Garden Hotel,"Biz tatilimize biraz zor durumda kalarak başladık. Ama Tolga bey bize destek olarak oteline hemen kabul etti ve elinden gelenin fazlasını yaptı. İki kadın arkadaş olarak ne kadar teşekkür etsek az. Otel, çalışanlar, ortam, deniz o kadar güzel ki. İrem Hanım, Günay Hanım, Ayşe Hanım güler yüzlü ve çok tatlı insanlar bir ihtiyacınız olduğunda destek olmak için hemen yanınızda bitiyorlar. Ağustos ayında ailem ile beraber tekrardan Tolga bey’i ve oteli ziyaret edeceğim. Bundan sonra Bodrum otelim burası olacaktır. Keyifli, konforlu ve tertemiz bir otele ihtiyacınız varsa düşünmeden burayı tercih etmenizi öneririm 👏🏻 Teşekkürler Tolga Bey ve ekibi 🤍","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Mare Garden Hotel,"ailecek tercih ettiğimiz otel. çalışanlar çok tatlı ve ilgili. kaldığımız süre boyunca çokça güzel vakit geçirdik. fiyat performans oteli. odalar temiz, kaldığınız süre boyunca istediğiniz takdirde temizliği de yapılıyor. evcil hayvan konusunda da oldukça duyarlılar ve çok tatlı patili dostlar ediniyorsunuz🫶🏻gönül rahatlığıyla tercih edebilirsiniz","Odalar4,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,4/5
Mare Garden Hotel,Otelde geçirdiğim iki günden memnun kaldım. Özellikle deniz muhteşemdi. Tüm personel son derece ilgiliydi. Tolga Bey'in göstermiş olduğu misafirperverliğe çok teşekkür ederim.,"Odalar3,0Hizmet4,0Konum5,0",Google üzerinde 3 hafta önce,4/5
