otel_adi,yorum,hizmet,tarih,puan
Xanadu Island,"Bu konsept otellerin çoğunda kaldım, hepsini genel olarak denerim ama bu otel tam bir fiasko. Böyle güzel konumda olan bir otel için işletme durumu sıfır. …",,Tripadvisor üzerinde 3 hafta önce,2/5
Xanadu Island,"Öncelikle konum olarak havaalanına çok uzak bir otel, Bodrum’un sonu gibi düşünebilirsiniz.
Kesinlikle High Class değil o konuda çok ama çok eksik, açık büfesi çok yetersiz ve her gün aynı yemekler çıkıyor, balık restoranı gibi bir açık büfe, menüde çoğu zaman tek et seçeneğiniz balık olmak zorunda kalıyor. Masalarda o kadar çok sinek var ki sinek kovucu herhangi bir şey olmadığı için sineklerle yemek yiyorsunuz.
Bar kısmından bahsetmek bile istemiyorum sürekli limon suyuna şurup basıp yolluyorlar, yapılmasını istediğiniz bir şey varsa “yapamayız malzememiz yok” diyip yolluyorlar. Yalnızca Roof tarafındaki bar çok iyi geri kalanların hepsi çöp.
Odalar geniş ve ferah ama odalardaki temizlik de yeterli değil, (görselleri paylaşıyor olacağım) sabah oda temizlensin diye bilgi veriyorsunuz akşam 3-4 gibi odaya çıkarsanız hala temizlenmemiş oluyor ve cevap olarak da “sıra sıra geziliyor odalar” oluyor. Zaten girerken de saat 14.00 de girmek gibi bir hayaliniz olmasın çünkü o temizliği de yetiştiremiyorlar odaya 15.30 da girebildik.
Hizmet çok yetersiz içerdeki personele belli ki sürekli eğitim veriliyor “her şeye memnuniyetle diyin” diyorlar ancak personel hizmete yetişemiyor, restoran kısmında verdiğiniz bir içecek siparişi yemek sonunda geliyor. Yemek sonrası Kahve çay vs istemeyi düşünmeyin bile gelmiyor çünkü. Masalar sürekli pis, bir sipariş verdiğinizde masayı temizlemeden getirip koyuyorlar, ekmek kırıntıları ve yemek artıkları eşliğinde devam ediyorsunuz yemeğinize.
Deniz ve havuz hayaliyle geliyorsanız rüzgardan dolayı girebileceğiniz tek saat öğlen saati, sonrasında mümkün değil giremezsiniz.
Akşam gösterileri fena değil çalışan tek ekip animasyon ekibi zaten. Sonuç olarak high class bir otel için inanılmaz eksik, bir daha asla tercih edeceğim bir otel olmaz. Büyük bir hayal kırıklığı.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce düzenlendi,1/5
Xanadu Island,"Xanadu island gerçekten güzel bir tatil deneyimi sunuyor. Ana restaurant yemekleri ve tatlıları başarılı. Özellikle italyan a la carte ta creme bruuleyi mutlaka deneyin. Xanadu snack bar ana restoranta ihtiyaç duymanıza gerek kalmayacak kadar iyi hizmet veriyor. Burada da xanadu burger ve pizzalar çok başarılı ayrıca burada kübra hem güleryüzü ,neşesi ve özverisiyle işinin gerçekten hakkını veriyor. Kokteyller ortalama diyebilirim çok etkilenemedik sanırım çözülmesi gereken bir şeyler var bütün barları denedik otelde fakat hepsi ortalamaydı kokteyllerde. Otel genel anlamda Temizlik ve hijyenikti rahatsızlık duyulacak bir şey görmedim. Gelelim denizine +16 iskelesi inanılmaz iyi muhteşem bir denizi var akvaryumda diyebiliriz deniz gözlüklerinizi getirmeyi unutmayın bu iskeleye servis yapan genç çok kibar adını unutsam da yorumu okuyacak olan yöneticilerine teşekkür ederim. Animasyon ve gece etkinlikleri dolu dolu tüm animasyon ekibi arkadaş gibi ellerinden geleni yapıyorlar. Sait ve diğer adını hatırlayamadığım arkadaşlara teşekkürler. Genel olarak çok güzel bir tatil yaşadık görünen ve görünmeyen tüm ekibin eline emeğine sağlık.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Xanadu Island,"Xanadu Island Hotel’de geçirdiğimiz tatil, beklentilerimizin çok üzerinde ve unutulmaz bir deneyim oldu. Daha otele giriş yaptığımız ilk andan itibaren sıcak bir şekilde karşılandık, ayrıldığımız ana kadar da kendimizi gerçekten değerli hissettik.
Odamız oldukça geniş, konforlu ve son derece temizdi. Otelin genel hijyen seviyesi gerçekten çok yüksekti. Yemeklerin lezzeti ve kullanılan malzemelerin kalitesi bizi fazlasıyla memnun etti. Menü çeşitliliği bazı otellere göre daha az gibi görünebilir ancak bize göre kesinlikle yeterliydi. Gereksiz yüzlerce çeşit yerine, olması gereken her şey vardı ve hepsi çok lezzetliydi.
İçecek kalitesi, havuz ve plaj servisleri oldukça başarılıydı. Özellikle QR kod ile sipariş sistemi çok pratik ve hızlı çalışıyordu. Havuz hem büyük hem de tertemizdi. Plaj seçeneklerinin fazla olması büyük bir avantajdı. Özellikle +16 yaş plaj alanı çok iyi düşünülmüş; sakin, huzurlu ve keyifli vakit geçirmek isteyenler için harika bir seçenek olmuş.
Akşam eğlenceleri oldukça kaliteli ve profesyoneldi. Gündüz düzenlenen spor ve eğlence aktiviteleri de çok başarılıydı. Bu noktada animasyon ekibine ayrıca teşekkür etmek istiyoruz. Başta Zeynep Hanım ve Kübra Hanım olmak üzere tüm ekip, enerjileri ve samimiyetleriyle tatilimizi çok daha eğlenceli ve unutulmaz hale getirdi.
En önemlisi ise tüm personelin güler yüzlü, ilgili ve yardımsever olmasıydı. Kendinizi gerçekten misafir değil, evinizde gibi hissediyorsunuz.
Ayrılırken yanımıza hazırlanan ikram paketi ve arkamızdan su dökülmesi gibi Türk misafirperverliğini yansıtan ince düşünceler ise bizi ayrıca mutlu etti. Bu küçük ama anlamlı detaylar, otelin misafirlerine verdiği değeri açıkça gösteriyor.
Emeği geçen tüm Xanadu Island ailesine teşekkür ediyoruz. Kesinlikle tekrar tercih edeceğimiz ve gönül rahatlığıyla herkese tavsiye edebileceğimiz bir otel.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Xanadu Island,"Balayı için bu oteli tercih ettik. Üç farklı denize giriş alanı mevcut. Bir tanesinde +16 yaş sınırı var. Bu kısım otelin en güzel kısmıydı. Hem sessiz, hem su tertemiz ve berrak hem de dalga az. Ayrıca nerede olursanız olun qr ile sipariş verdiğinizde (ücretsiz) getiriyorlar. Magnum gibi markalı dondurmalar sürekli var ve ücretsiz. Öğle saatinde waffle yaptırabiliyorsunuz. Yemek çeşitliliği çok fazlaydı ve lezzetliydi. Karides gibi ürünler de mevcut. İçecekleri garsonlar getiriyor, gidip sıra beklemeniz gerekmiyor. Kahvaltıda omlet yaptırabiliyorsunuz. Alkollü içecek çeşitliliği çok fazla ve iyi markalar kullanılıyor. Tek beğenmediğimiz yanı havuz başındaki barmenler tecrübesizdi, kokteyl bilmiyorlardı. Üst kattaki tecrübeli barmenler de asık suratlı ve bıkkınlardı. Akşamları zaman geçirmek için bowling, playstation, dart, masa tenisi, langırt gibi oyun alanları mevcut. Ayrıca her akşam animasyon veya disko gibi etkinlikler oluyor. Havuz başında plaj havlusu dağıtılıyor, istediğiniz zaman kuru havlu bulabiliyorsunuz. Biz romance suit odada kaldık. Oda büyük ve ferahtı. Çalışanların ilgisinden memnun kaldık. Burayı kesinlikle öneririm.
Not: Bodrum’un suyu her zaman soğuk. Soğuk bir denizde yüzeceğinizi bilerek burayı gitmenizi öneririm.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Romantik",Google üzerinde 3 hafta önce,5/5
Xanadu Island,"Sanırım konakladığım en sorunsuz oteldi. Çok büyük bir alan üzerine kurulu, tüm odalar suit şeklinde kocaman, o yüzden bu büyük alan içinde biraz yürümek gerekiyor. Oda, yemek alanı, havuzlar, sahiller, biraz yürümek gerekli ama yeşilliklerin çiçeklerin arasında keyifli 5-10 dakikalık bir yürüyüş. Bazı odalar zeminde havuz hizasında, bazı odalar üst katlarda, bazı blokların da asansörü yok, rezervasyonda tercih belirtmek faydalı olabilir. Denize giriş için 3 alan var, biz kum sahil olanı kullandık yalnızca, diğerlerini bilmiyoruz, deniz taşlı ancak mükemmeldi. 2 havuz var, biz ana havuzu kullandık, diğer havuzda çocuk havuzu ve oyun alanı da vardı. Havuzda su biraz serindi ancak sessizliği çok güzeldi. Asla bangır bangır müzikli bir havuz deniz ortamı yok. Deniz ve havuzla ilgili en mükemmel konuysa şezlonglar, gölgelikler ve havlu sistemiydi. Şezlonglar çok rahat, şemsiye yok her şezlongun kendi gölgeliği var, hiç güneşte kalmadan yanmadan uzanmak önemliydi bizim için. Havlulara gelince, kart sistemi yok, sınırsız havlu alınabiliyor, gölgeyi sağlama konusunda çok kullandık. Evlilik yıl dönümümüze denk geliyordu tatil, çok tatlı minik jestler yaptılar, teşekkür ediyoruz. A la carte restoranların birini denedik, denemiş olmak için. Ama hiç gerek yok çünkü ana restoran çok çok güzel, çok lezzetliydi hemen her şey. Midemize de asla dokunmadı, kaliteliydi. Çalışanların tamamı belli bir kalitenin üstünde hizmet ediyor. Animasyon ekibi kibar genç insanlardı ve eğlenceler dinlenmek isteyeni asla rahatsız etmiyor. Valizler konusunda yardımcı olan Suat ve Emre beye, eğlence ekibindeki kızlara ve Ram'e, barda kokteyl isteklerimizi karşılayan ekibe, müşteri ilişkilerine, çıkan ufak sorunları anında çözen resepsiyona ayrıca teşekkür etmek isterim. Bir otele tekrar gitme alışkanlığımız yok asla ama sanırım burayı tekrar ziyaret edeceğiz. Her şey için teşekkürler.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Büyük fırsat",Google üzerinde 2 ay önce,5/5
Xanadu Island,"25-30 mayıs tarihlerinde bayram tatili için xanadu ısland Bodrum'u tercih ettik. Biz çok memnun kaldık. Otele girince güzel bir karşılama sizi bekliyor. Resepsiyon görevlileri zaten çok iyi, güleryüzlüler. Odaya geçmeden otel hakkında ayrıntılı bilgilendirme yaptılar. Biz courtyard suit tutmuştuk ama yer olduğu için ücretsiz bir şekilde sunset suit odasına upgrade ettiler. Odamız şimdiye kadar kaldığımız en iyi otel odasıydı diyebilirim. Çok geniş, ferah, manzaralı... En çok da banyosuna bayıldık bir oda büyüklüğündeydi neredeyse🙈 Yemekler yeterli çeşitlilikteydi ve daha da önemlisi lezzetliydi. Biz öğle yemeklerini xanadu snack barda yedik hep. Adı snack ama yemekler restoran ayarında. Antrikotu, levreği, pizzaları,hamburgerleri çok çok iyiydi. Otelde ayrı bir patisserie yok. Biz tatlı sevmediğimiz için buna takılmadık. 15-17 arası waffle saati var. Gayet güzel o da ama 2 saat biraz az gibi sıra oluyor çünkü hep. Akşam yemeğinde çıkan tatlıar da çeşitliydi.
Sahile gelince, çok uzun öyle yürüyüş yapılacak bir sahili yok ama şezlong alanı yeterli bence sürekli boş yer oluyor, zemini daha çok kum ama çakıl da var. 2 tane iskelesi var. Biri çim iskele diğeri normal tahta iskele. Normal iskelede 16 yaş sınırı var. Sessiz, sakin yalnızca dalga seslerinin duyulduğu bir iskele. Biz bu iskeleyi çok sevdik. Deniz muhteşem zaten su çok berrak. Şnorkeliniz varsa mutlaka getirin hiç görmediğimiz farklı bir sürü balık türü gördük.
Havlu kartı olayı yok bu arada bu da güzeldi.
Oda temizliği gayet iyiydi her gün havlularımızı değiştiriyorlardı, armatürlerdeki su lekeleri bile günlük siliniyordu.
Genel olarak oteldeki personeller güleryüzlü ve işlerini çok iyi yapıyorlar. Xanadu snack barda çalışan Süleyman beye ayrı bir yer açmak istiyorum. Çok çalışkan ve sempatik biri, bir an bile boş durmuyor. Bir yandan diğer personelleri organize ediyor, bir yandan masalara bakıyor. Eşim de ben de enerjisini çok sevdik.
Archipelago bar var bir de iskeleye yakın. Orada sadece 2 kişi çalışıyor. Hem bar servisi, hem snack servisi hem de iskeleye servis yapıyorlar. Çalışanlar bir an boş durmuyor ama öyle bir yere 2 kişi çok yetersiz. Umarım orada çalışan personel sayısını artırırlar.
Akşam eğlenceleri de fena değildi canlı müzik şeklindeydi daha çok, biz eğlendik.
Biz genel olarak memnun kaldık. Bir de otelden ayrılırken yolda yemek için atıştırmalık paket hazırlamışlar o da ayrı mutlu etti bizi. Umarım tekrar görüşürüz Xanadu Bodrum🤍","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz",Google üzerinde 2 ay önce,5/5
Xanadu Island,"Bence Bodrum un en güzel koyundaki denize sahip. Otel iyi bir yerleşime sahip ve her yere rahat yürüyerek ulaşımıyla özellikle orta yaş üstü misafirler için oldukça konforlu. Uzun zaman olmasına rağmen son ziyaretimden atmosferi yine çok güzel buldum. Buna karşılık, personelin ve şefin samimi gayretlerine rağmen mutfak tarafında bir miktar daha önceye göre geri gidiş mi var bilemedim. Belki otelin müşteri kitlesine özel menüye bazı eklemeler yapılmış olabilir bununla birlikte bence Türk mutfağı gelen turistler için kesinlikle ilgi çekici olacaktır. Birkaç eleştirim var , fırın ürünlerinde ne yazık ki pişen hamurlarda çok fazla sert idi. Bazı ürünlerden ekonomik anlamda türetilmiş yemekler vardı , patlıcan kebabı türevi yemekler olan bir patlıcanlı, soğanlı, mantarlı ve birkaç adet daha aynı tatta ama farklı görünümde olduğu düşünülen ama aynı yemek adedi çok fazlaydı bence. Tatlılar için de keza farklı görünüm ama aynı tat ama baktığında çeşit fazla.
Odalar, atmosfer, deniz için diyebilecek birşey yok. Akşam eğlenceleri de bence yeterli idi. Oyun salonu bowling, masa yenisi vs elden geçmeye ihtiyaç ver, biraz kaderine terkedilmiş havada hissettim.","Odalar5,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Çocuklar için uygun",Google üzerinde 2 ay önce,4/5
Xanadu Island,"Bu sene paramızla nasıl ""görünmez"" olabileceğimizi ve lüks içinde nasıl çile çekileceğini Xanadu Island sayesinde deneyimledik. Hizmet sektöründe çığır açmışlar; ne söylerseniz söyleyin harika bir meditasyon sessizliğiyle dinleyip, asla aksiyona geçmeyerek sabrınızı sınıyorlar.
Metropol Esintisi: Dünyanın parasını verip Bodrum’a geliyorsunuz ama otel size o kadar samimi bir ortam sunuyor ki, kendinizi İstanbul’un en gürültülü apartman dairesinde komşu kavgaları dinlerken buluyorsunuz. Gurur duyulası bir lokal vizyon!
Gizlilik mi? O da ne?: Odanıza canı ne zaman isterse ""çat kapı"" dalan personelle her an sürpriz bir sosyalleşme yaşayabiliyorsunuz. Kapı çalma adeti bu topraklara henüz uğramamış.
Ülke Simülasyonu: Şikayetlerinize gösterilen o derin umursamazlık, ülkenin genel havasını o kadar iyi yansıtıyor ki otelden hiç çıkmasanız bile Türkiye simülasyonunun tam ortasındasınız. ""Parayı aldık, gerisi kader"" felsefesi odalara kadar sinmiş.
Teknoloji Detoksu: Bozuk sipariş sistemi ve çağ dışı oda altyapısı sayesinde adeta bir ""dijital detoks"" yaşıyorsunuz. Teknik yeterlilik hak getire, ama geçmişe yolculuk hissi paha biçilemez!
Nezih, sakin ve kaliteli bir yaşam sürmeye alışmış olanlar buraya adımını bile atmasın. Ha, eğer ""Ben gürültü seviyorum, laftan anlamayan kalabalıklar arasında paramla rezil olmak istiyorum"" diyorsanız, kesinlikle doğru adrestesiniz. Kalite gerçekten yerlerde, verdiğiniz her kuruşa yazık.","Odalar1,0Hizmet1,0Konum4,0",Google üzerinde bir ay önce,1/5
Xanadu Island,"Haziran sonu 4 günlük bir tatil için burayı tercih ettik. Beklentimin üzerinde bir tatil oldu. Öncelikle odalar temiz, büyük ve ferahtı. Otel genel olarak çok temizdi.
Ada tamamen otel olduğu için 4-5 çeşit plajı var. Çiftlerin yüzdüğü iskeleler ayrı, çocuklu aileler için olan plajlar ayrı, karışık olanlar da var. Hepsi çok güzeldi. Havuz seçeneği de aynı şekilde çeşitli.
En güzel yönlerinden biri ada olduğu için inanılmaz güzel esiyor. Sıcaktan bunalmışlık hissi hiç gelmiyor.
Yemekler de çeşitli ve güzeldi.
En önemlisi tüm çalışanlar çok güleryüzlü. Garsondan, fotoğrafçıya kadar herkes inanılmaz güzel iletişim kuruyor ve sizi rahat hissettiriyor.
Benim için her anlamıyla 10 üzerinden 10 bir tatildi. Sadece alakart restoranları küçük, rezervasyon için yer bulmak biraz zor oluyor.
Otelin bulunduğu alan çok büyük ama otelin oda kapasitesi ona oranla daha az, bu yüzden hiç kalabalık hissettirmiyor. Sakin bir adaya tatile gelmişsiniz hissi var. Özellikle akşamları adanın çevresini yürümek çok çok keyifliydi.
Ben kesinlikle tavsiye ederim ve yeniden tercih edeceğim bir otel.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
