otel_adi,yorum,hizmet,tarih,puan
Natur Garden Hotel Bitez Bodrum,"resmen paramızla rezil olduk, otelin denizine girilmiyor. bulunduğu mevkiden denize giriş resmen yasak olmalı. denizin içi balçık ve çamur ile kaplı, en son kızım araç lastiği gördüğünü söyledi. ki doğruydu bizzat gördük ailece. denizin …",,Tripadvisor üzerinde 3 hafta önce,1/5
Natur Garden Hotel Bitez Bodrum,"Bu otelde konaklamayı düşünen herkese tavsiyem, lütfen bu yorumu dikkatlice okuyup ciddiye almanızdır. Biz sadece bir oda değil, toplam 4 oda tuttuk ve ne yazık ki deneyimimiz son derece olumsuzdu.
Odalar beklediğimizden çok daha kötü durumdaydı. Eski olmaları bizim için sorun değildi; önemli olan hijyen ve temizlikti. Ancak temizlik konusunda otel sınıfta kaldı. Odaya girdiğimizde çöp kutuları doluydu, banyoda şampuan yoktu, çarşaflar lekeliydi, perdeler yırtıktı ve odanın zemininde sigara izmaritleri vardı. Hatta yatağımızın kenarına yapıştırılmış büyük bir sakız bile vardı. Banyolardan biri ise o kadar küçüktü ki rahatça duş almak mümkün değildi. Neyse ki odamızı değiştirebildik.
En büyük sorunlardan biri, girişten önce ücretin tamamının tahsil edilmiş olmasıydı. Yaşadığımız tüm bu olumsuzluklara rağmen para iadesi yapılmayacağı söylendi ve mecburen 3 gece otelde kaldık.
Personelin büyük kısmı çözüm odaklı değildi. Sadece bir teknik görevli gerçekten yardımcı olmaya çalıştı. Resepsiyona duş başlığının yerinden çıkıp kafama düştüğünü söylediğimde aldığım cevap ise, “Bu normal, evde de böyle şeyler olabilir.” oldu. Böyle bir yaklaşımı kabul etmek mümkün değil. Üstelik yaşananlar için kimse özür bile dilemedi.
Yemekler fena değildi ancak çok çeşitli de değildi. Havuz ve restoran alanı kabul edilebilir durumdaydı. Buna rağmen odaların durumu, otelin genel kalitesini ciddi şekilde düşürüyor.
Kendi deneyimimize dayanarak bu oteli kesinlikle tavsiye etmiyorum. Bizim için büyük bir hayal kırıklığı oldu ve ödediğimiz paranın karşılığını kesinlikle alamadık.","Odalar1,0Hizmet1,0Konum2,0
Odalarawful
Yakındaki etkinliklerbeach
Yiyecek ve içeceklernot bad",Google üzerinde 2 hafta önce,1/5
Natur Garden Hotel Bitez Bodrum,"25.06.2026-04.07.2026 tarihleri arasında 9 gece 10 gün olacak şekilde konaklama gerçekleştirdim. Odamızı verdiklerinde klima çalışmıyor sadece fan üflüyordu. Durumu söyledim klimalar eski anca bu kadar üflüyor denildi. Gece saat 22:00 a kadar bekledik ama herhangi bir soğuma olmadı odada. Tekrar durumu bildirdim teknik personel klimanın gazının bitik olduğunu tespit etti ve düzeltti. Ben bu otele geçen senede geldim. Geçen seneki yönetim kadrosu güleryüzlü yemekleri lezzetli personel güleryüzlü ve ilgiliydi. Ama bu sene yemekler rezalet, mezeler bir önceki günden kalan yemeklerle yapılmış ve kokuyor halde hazır köfte ve hazır tavuktan başka bişey yok. Personeller bir kişi hariç oda bardaki İbrahim diğerleri suratsız sanki cennetten kovulmuşlar ve maaşını bizden alamamışlar gibi. Oda temizliği deseniz içler acısı yukardan akan tuvaletin giderinden kaynaklı tuvalet idrar kokuyor. Tam anlamıyla rezalet bir otel kesinlikle bu kadroyla bu otel çekilmez rezalet. En son oda kartı anahtarı düştü ufak bir kırık oldu kullanıma engel olmayan ufak bir çatlak iiçin çıkarken 600 tl para istediler neye göre istiyorsunuz bunu diyerek ödeme yapmadım. Kesinliklee tavsiye etmiyorum.","Odalar1,0Hizmet1,0Konum1,0
Otelde öne çıkanlarSessiz
Odalar10 gün boyunca çarşaflar değişmedi
Yiyecek ve içeceklerRezalet",Google üzerinde bir ay önce düzenlendi,1/5
Natur Garden Hotel Bitez Bodrum,"Natur Garden Hotel’de geçirdiğimiz tatilden çok memnun kaldık. Otelin bahçesi ve atmosferi oldukça huzurlu, kendinizi gerçekten dinlenmiş hissediyorsunuz. …",,Tripadvisor üzerinde bir ay önce,5/5
Natur Garden Hotel Bitez Bodrum,"Otelin konumu gayet güzel denize yakın olması güzel yemekler kötü lezzetsız ve çeşit az
Kahvaltı orta
Süıt Oda almıştık tuvalet banyo çok küçük çok dar yatak örtüleri çok eski mutlaka çarşafınızı yastığınızı giderken götürün
Odada bırakılan havlular ve içerisinde lekeler vardı otelin performansı konumu çok güzel fakat içerisinde kullanılan malzemeler eskimiş değiştirmesi gerekiyor bence bu tarz yenilikler hizmetler otele değer katar. Gökhan Bey var mutfak alanında ilgili personel. Gidilebilir fakat beklentiyi yüksek tutmamakta fayda var. Sakin bir otel","Odalar3,0Hizmet4,0Konum5,0
Otelde öne çıkanlarSessiz
OdalarTemiz değil, malzemeler eski
Yiyecek ve içeceklerÇeşitlilik az. Öğle ve akşam yemeklerinde çay, kahve gibi içecekleri almak için bara gitmek gerekiyor",Google üzerinde bir ay önce,4/5
Natur Garden Hotel Bitez Bodrum,Otel fıyat performans olarak iyi çok güzel diyemem ama dinlenmek amaçlı bi yer odaları biraz eski olsa da biz en çok animasyon ekibine bayıldık. Oteli daha eğlenceli ve yaşanılabilir kıldıkları için. Berivan ve Şakina hanıma tekrardan teşekkür ediyoruz ilgi alaka ve güler yüzleri için her otelin bünyesinde çalıştırması gereken işini severek yapan arkadaşlardı. 🩷,"Odalar1,0Hizmet3,0Konum4,0
Otelde öne çıkanlarSessiz",Google üzerinde bir ay önce,4/5
Natur Garden Hotel Bitez Bodrum,Kendimize ait pilajımız var diyorlar otel içinden geçiş yok dışarıya çıkıp 2 dk yürüyorsunuz. Pilaj nerde diye sorduğumuz zaman ise 3 ortak kullanıyoruz biz o pilajı diyor ve çok küçük Pilaj .3 otel nasıl sığsın oraya ?? Bari açıklamalarda belirtin bunları bizde tutmayız . inanılmaz derecede kötü bir otel hiç bir şekilde çarşaflar değiştirilmedi havlulular değiştirlmedi . Biz 6 gün gittik ama hiç birinde değişmedi yerleri bazen siliyorlar bazen kalıyor. Kokuyor Herşey. Su hizmetleri yokmuş sadece 2 tane girişte verdiler o kdar. Yemek seçenekleri az günde an fazla 3 ana yemek oluyor. Yani bence ucuz diye gitmeyin az fazla verip çok daha iyi bir yere gidebilirsiniz.,"Odalar1,0Hizmet3,0Konum3,0
OdalarÇok kötü pis kokuyor Herşey lekeli havlular ve çarşaflar 1 hafta değiştirmiyorlar
Yiyecek ve içeceklerSeçenek az",Google üzerinde bir ay önce,1/5
Natur Garden Hotel Bitez Bodrum,Fiyat performans oteli diyebilirim . Her şey dahil paketinden yararlanmıştım. Bar kısmındaki arkadaşlar ilgili gayet ama kokteyllerdeki alkol oranı düşük geldi bana. Yemekler iyidi özellikle pide çok lezzetliydi. Animasyon ekibinden eren sağolsun bizi otel dışı aktivitelere götürdü eğlendirdi. Bu etkinlikler sayesinde yalnız bile gelseniz diğer misafirlerle kaynaşmış oluyorsunuz. Her şey icin tesekkurler,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Natur Garden Hotel Bitez Bodrum,"Aile odasında 3 yetişkin 1 çocuk kalmaktayız, klimalar güzel soğutuyor ama kumandaları pilleri olduğu halde çalışmıyor, açıp kapatamıyorsunuz, banyosu aile odası için çok küçük. Kapı açıldığında duşa giremiyor, çıkamıyorsunuz dönecek yer yok.
Yemekleri çeşit az ama lezzetli, mide yakma vs. sorunu olmadı.
Personeller işini keyifle yapmıyor, sıkıntıları ve bezmişlikleri her hallerinden belli oluyor, yaşları genel olarak çok küçük, deneyimleri yok.
Konum olarak güzel bulurken sıkıntı yaşamadık yürüyüş için de güzel bir konumda.
Yürüyüş mesafesinde deniz var ama giremiyorsunuz pis olduğu için yasak.
Genel olarak sakin bir yer aile için uygun. Beklentiniz yüksek olmasın.",,Google üzerinde bir ay önce,3/5
Natur Garden Hotel Bitez Bodrum,"Yorumlara bakınca çok şaşırdım yani bir kaç da olsa olumlu bir şeyler var inanılmaz kötü inanılmaz kalite düşüklüğü. 3 yıldızlı bir hotel demek imkansız apart daha temiz ve kullanışlı. Yemek kalitesi ni paylaşamayaşaığım çünkü yemek bulamıyosun yenilemiyolar saat gelince herkes hücum ediyo ilkde şaşırdım sonrasında anladım.
Barı rezalet en azından hijyen bekliyosun temiz havlu çarşaf yastık tümmherşey kokuyo ve lekeli dolaba 2 tane bardak su başka birşey yok sıcaksu için ketııl yok bebeğimiz için yatak istedik verdiler yatak yok içinde tahta üztüne çarşaf ya anlatılmaz yaşanır yaşamak deneyimlemeyek isteyen gidebilir 12 saat taahamül edemedik çıktık
Not tek iyi şey var 2 3 çalışan çocuk yaşta arkadaşlar mevcut çok kibarlar onları otel hizmetinden muaf tuttuyorum","Odalar1,0Hizmet1,0Konum1,0
OdalarEski kokuyor
Yakındaki etkinliklerYok
GüvenlikZayıf
Yürüme olanaklarıYok
Yiyecek ve içeceklerKötü
Önemli ayrıntılarBebekli aile gitmesin",Google üzerinde 3 ay önce,1/5
