otel_adi,yorum,hizmet,tarih,puan
Paloma Family Club Bitez,"Paloma Bitez’de 3 gün konakladım. Fiyatı oldukça uygun olduğu için beklentimi çok yüksek tutmamıştım ama otel beklentimin çok üzerinde çıktı. Odalar temiz,klimalar sorunsuz çalışıyordu. Yemekler de fiyat-performans açısından gayet yeterli ve doyurucuydu.
Beni en çok etkileyen ise çalışanların ilgisi ve güler yüzü oldu. Resepsiyondan restoran ekibine, temizlik personelinden sağlık personeline kadar herkes son derece nazik, samimi ve yardımseverdi. Kendimi gerçekten çok değerli ve özel hissettim.
Özellikle yemek servisi bölümünde görev yapan Fırat Bey’e ayrıca teşekkür etmek istiyorum. İşini büyük bir özveriyle yapan, sürekli güler yüzlü, ilgili ve misafirlerle yakından ilgilenen biri. Böyle çalışanlar bir otelin kalitesini gerçekten yükseltiyor.
Fiyat-performans açısından kesinlikle çok başarılı bir otel. Güzel bir tatil geçirmemi sağlayan tüm ekibe emekleri ve misafirperverlikleri için gönülden teşekkür ederim. Tekrar gelmeyi çok isterim ve gönül rahatlığıyla tavsiye ederim.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde bir ay önce,5/5
Paloma Family Club Bitez,"Maalesef hic memnun kalmadik ve 1 gece zor kalabildik.
Oncelikle 14:00te check-in yapildigi soylendigi icin biz 14:10da otele vardik, resepsiyondaki kisi odanin temizlik durumu ile ilgili bilgi alamadigi icin yarim saat bekledik
Ardindan otel ve odalarla ilgili pek detay bilgiye sahip olmayan birisi bizi odamiza goturdu, odanin isigini hepbirlikte aradik ve bulamadik =)
Oda temizdi ancak inanilmaz rutubet kokuyordu, muhtemelen sonradan odaya cevrilmis bir alandi, banyoda havalandirma yoktu
Aksam yemegi tam bir kaostu, herkes ellerinde tabaklarla masa bosalsin diye bekledi
Garsonlar kendi aralarinda sanki etrafta kimse yok gibi bir uslupla konusuyorlardi
Havuz ve restaurantlarin misafir sayisina gore cok kucuk kaldigini soyleyebilirim
Otelde kapali su yoktu, her yere sebil koymuslar ordan icmemiz bekleniyordu, gidip resepsiyondan istedik,”Boyle bir konseptimiz yok” cevabini aldik, usteleyince icerde kapali bir alandan zorla kapali su getirdiler 2 tane
Yemeklerin lezzeti konusunda hicbir beklentimiz kalmamisti ama bu kadar olumsuzluga ragmen kotu degildi","Odalar1,0Hizmet1,0Konum3,0",Google üzerinde bir ay önce,1/5
Paloma Family Club Bitez,"Geçen yıl ailecek bu otelde 1 haftalık tatil planlamıştık. Daha ilk günlerden o kadar memnun kaldık ki tatilimizi 3 gün daha uzatma kararı aldık. Bu yıl ise hiç tereddüt etmeden tekrar aynı oteli tercih ettik ve 15 günlük rezervasyon yaptırdık. Bu bile otelden ne kadar memnun kaldığımızın en büyük göstergesi.
Bu oteli özel yapan sadece konumu ya da hizmet kalitesi değil, çalışanlarının samimiyeti ve misafirperverliği. Daha kapıdan girdiğiniz anda kendinizi evinizde gibi hissediyorsunuz.
Sabah barda görev yapan Ramazan gerçekten çok düşünceli, güler yüzlü ve temiz kalpli biri. Misafirleri adeta kendinden önce düşünüyor. Ayrıca yaptığı kokteyller harika.Arda bey de çok güzel kokteyl yapıyor. Akşam barda görev yapan Derviş ve Mehmetcan da en az onun kadar sıcak kanlı, eğlenceli ve güler yüzlü. Bir yandan keyifli sohbetleriyle tatilinizi güzelleştirirken bir yandan da birbirinden lezzetli kokteyller hazırlıyorlar.
Bar şefi Hakan Bey son derece ilgili ve samimi. Otel müdürü Şener Bey ise her konuda inanılmaz yardımcı oluyor. En küçük ricamızı bile anında yerine getirerek misafir memnuniyetine ne kadar önem verdiklerini hissettiriyor. Gerçekten otelde çalışan herkes, misafirlerin mutlu ayrılması için elinden gelenin fazlasını yapıyor.
Yemekhanede görev yapan Fırat Bey'in ilgisi ve güler yüzü, Zübeyde Hanım'ın samimiyeti ve tüm ekibin yaklaşımı sayesinde kendinizi büyük bir ailenin parçası gibi hissediyorsunuz.
Odalar tertemiz, konforlu ve oldukça bakımlı. Yemekler ise hem çok lezzetli hem de oldukça çeşitli. Tatilimiz boyunca her şeyden fazlasıyla memnun kaldık.
Bize unutulmaz bir tatil yaşatan başta Ramazan, Derviş, Mehmetcan, Hakan Bey, Şener Bey, Fırat Bey, Zübeyde Hanım ve ismini sayamadığımız tüm çalışanlara gönülden teşekkür ederiz. Böyle güzel bir ekiple karşılaşmak gerçekten büyük bir şans. Seneye de tekrar burada tatil yapmayı şimdiden sabırsızlıkla bekliyoruz. Gönül rahatlığıyla herkese tavsiye ederiz.","Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Çocuklar için uygun
Yiyecek ve içeceklerKokteyllerin efendisi dervişten kokteyllerinizi almayı unutmayın",Google üzerinde bir ay önce,5/5
Paloma Family Club Bitez,Herzamanki gibi tercihim yine Bdrum Bitez PALOMA fAMİLY'di gerçekten her yıl daha da kendini yenileyerek en güzel ortamı ve rahatlığı saglamak için elinden geleni yapıyor tün ekip herkese ayrı ayrı teşekkür ediyorum özellikle yemek kısmında …,,Tripadvisor üzerinde 3 hafta önce,5/5
Paloma Family Club Bitez,"Tam bir f/p oteli. İmkanlarıyla ve kaliteli hizmetiyle biz çok memnun kaldık. Yemekler çok iyiydi. Biz açık büfe kullandık hep. Garsonlar güler yüzlü ve oldukça ilgiliydi. Özellikle ana restorandaki garsonlardan Ahmet bey e burdan ilgisi için ayrıca teşekkür ederiz, şahsi olarak ağırlanmış hissettirdi. Organizasyon ekibinin enerjisi de oldukça iyiydi. Şu kötüydü diyebileceğimiz herhangi bir sorunla karşılaşmadık.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarRomantik · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Paloma Family Club Bitez,"Paloma Family Club Bitez’de geçirdiğim 5 gece 6 gün kelimenin tam anlamıyla harikaydı. Hatta tatilim daha dün bitti ama şimdiden bir sonraki gelişimi planlamaya başladım bile.
Resepsiyonda Seher Hanım giriş ve çıkış işlemlerimiz boyunca son derece ilgili ve güler yüzlüydü🥰
Restoranda Ahmet Bey’in bize hazırladığı sürpriz çiçekli masa tatilimizin en güzel anılarından biri oldu. Bu jest kendinizi sadece bir misafir gibi değil, aileden biri gibi hissettirdi🌺 Mutfak ekibinden Serap Hanım, Yusuf Bey ve Hasan Bey’e de emekleri için teşekkür ederim.🙏🏻
Bar bölümünde Derviş Bey’e ayrıca teşekkür etmek isterim. Güler yüzü, samimi iletişimi ve bizlerle kurduğu sıcak ilişki çok hoştu. Hazırladığı kokteyller hem sunum hem de lezzet açısından çok başarılıydı. (Alkolden hoşlanmayan biri olmama rağmen bağımlısı oldum resmen🤭) 💙
DJ Bilal Bey’in enerjisi ve şarkı seçimleri otelin keyifli atmosferine büyük katkı sağlıyordu💃🏻
Son olarak çıkış günümüzde transfer konusunda yaşadığımız bir aksaklıkta Zübeyde Hanım adeta hızır gibi yetişti ve sağolsun sorunumuzu kısa sürede çözdü🥰
Bu güzel deneyimin arkasında emeği geçen tüm ekibe teşekkür ederim💖💖💖","Odalar3,0Hizmet5,0Konum5,0
Otelde öne çıkanlarRomantik",Google üzerinde 2 ay önce,5/5
Paloma Family Club Bitez,"5 günlük tatilimizde genel olarak memnun kaldık. Bu otel için en büyük övgüyü ve olumlu yorumlari çalışan arkadaşlar hakediyor . Tek tek sayacak olursam, Restaurantta çalışan Sevgi,Nurullah, bu iki arkadaşa özellikle teşekkür ediyorum. İceceklerimizi hazırlayan Arda'ya ve Animatör Tolga beye ilgi alakalarından ve güler yüzünden dolayı teşekkür ederim. İşlerini çok düzgün yapıyorlar emeklerine sağlık, temizlik gayet iyi, yemekleride fiyat performansa bakıldığında ortalamanın üstünde.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Paloma Family Club Bitez,"Otelin konumu bitezde çok nezih ve her yete ulaşımı var. Otel çalışanları çok ilgililerdi. Bize çooook güzel bir tatil deneyimi yaşattılar.
Çok samimi bir ortam var. Animatörümüz de bu deneyimin zevkini üçe beşe katladı diyebilirim. Tavsiye ederim","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarBüyük fırsat",Google üzerinde bir ay önce,5/5
Paloma Family Club Bitez,Odalar çok küçük. ufacık bi pencereden 3 kişi nefes almaya çalıştık. Oda temizliği için geliyolar fakat çarşaflar değişmiyor. Sadece yeni havlular ve pikeler bırakıyolar. Yemekler konusunda da her yemeğin içinde baharat var yani bırakın da biz koyalım baharatı. Et ve mezeler konusunda çok başarılılar tek yiyebildiğimiz şeyler onlardı. Deniz çok pis temizlediklerini düşünmüyorum zaten şezlong bulabilmek büyük bi maharet. Plajların orda ne çöp kovası var ne duş alabiliceğim bi yer. Ses çıkarmadığınız sürece bişi ayarladıkları da yok. Etrafta aşırı sinek var ilaçlama da yapılmıyor sanırım. Bi çok otelde konakladım böyle bişi görmedim açıkçası. Böyle bi yorum yaptığım için de çok üzgünüm keşke böyle bi 6 gün geçirmeseydik. Bunun dışında çalışanların çoğu bi çok konuda destek de olmaya çalıştı teşekkür ediyorum onlara da.,"Odalar1,0Hizmet2,0Konum5,0",Google üzerinde bir ay önce,1/5
Paloma Family Club Bitez,"İş seyahati nedeniyle 3 gün konaklama yaptığım Paloma Family Club'dan oldukça memnun ayrıldım. Her şey dahil konsepti gerçekten başarılı. Kahvaltı, öğle ve akşam yemekleri oldukça çeşitli ve lezzetliydi. Alkollü ve alkolsüz içeceklerin gün boyu sunulması da büyük bir avantaj.
Otelin odaları temiz ve bakımlı, ortak alanlar düzenliydi. Tüm personel son derece güler yüzlü, ilgili ve misafir memnuniyetine önem veren bir yaklaşım sergiliyor. Plaja ve sahile yakın konumu sayesinde ulaşım açısından da oldukça rahat.
Yemek çeşitliliği, hizmet kalitesi, temizlik ve personelin ilgisi düşünüldüğünde Bodrum'daki birçok otelin önüne geçtiğini rahatlıkla söyleyebilirim. Hem tatil hem de iş amaçlı konaklamalar için gönül rahatlığıyla tavsiye ederim. Emeği geçen tüm ekibe teşekkürler.",,Google üzerinde 2 ay önce,5/5
