otel_adi,yorum,hizmet,tarih,puan
Casa Del Mar Bodrum,Aşırı ilgili sıcak ve samimi insanlar. İstekleriniz anında karşılanıyor. Eksikleriniz söylediğiniz hallediliyor . Gelmeden önce yorumları okudum ve Ceyhun beyle tanışmaya geldim otelde konaklamıyorsanız bile mutlaka uğrayın 😄,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Casa Del Mar Bodrum,Çok güzel bir işletme Ceyhun bey çok ilgi ve alakalıydı Herşey mükemmeldi çok memnun kaldık…||Havuz başı akşamları çok güzel ışıklandırılmış oturup kalkamıyorsunuz…||Herşey çok keyifli ve güzeldi çok teşekkür ediyorum…||Başarılarının devamını dilerim…,,Tripadvisor üzerinde 3 yıl önce,5/5
Casa Del Mar Bodrum,İlgisiz bir müdür akşam 8 den sonra kimse yok resepsiyonda otelde su bile vermiyorlar klimalar surekli arıza veriyor çalışmıyor. Otel sahibine söyledigimizde yapabileceğim bı şey yok beğenmiyorsanız çıkın dedi resmen kovuyor gelen müşterileri. Arkadasimin sırtında pislikten yara çıktı Kesinlikle kalmayın.,"Odalar1,0Hizmet1,0Konum1,0 …Devamı",Google üzerinde 3 ay önce düzenlendi,1/5
Casa Del Mar Bodrum,"Yılmaz Can Yıldız (ylmzcnyldz)
Google üzerinde 8 ay önce",,Google üzerinde 8 ay önce,1/5
Casa Del Mar Bodrum,Konum güzel. 4 gece konakladığımız oda bir kere bile temizlenmedi. Havlu değiştirilmedi. Şirket ayarladığı için mecbur kaldık. Valiz açarsanız odada yürüyemezsiniz. Banyo ve odalar kirli. Ne aile için ne bireysel konaklamalar için tavsiye etmem.,"Odalar1,0Hizmet1,0Konum3,0",Google üzerinde 8 ay önce,1/5
Casa Del Mar Bodrum,5 aydır konakladığım küçük ve sevimli bir işletme ufak tefek eksikleri olsada kendimi evimde gibi hissediyorum,"Odalar4,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Casa Del Mar Bodrum,"Yurtiçi yurtdışı yüzlerce otelde konaklama fırsatım oldu, fakat bu hayatımda yaşadığım en kötü deneyimdi. Diğer 1 puanlı yorumlara verilen cevaplara bakarsanız zaten otel sahibinin tutumunu çok açık bir şekilde görebilirsiniz.
Burası herhangi bir temizlikle temizlenebilecek bir durumda değildi. Söylenecek yazacak çok şey var aslında ama hangi birinden bahsedeceğim bilemiyorum. Oda küf ve rutubet içindeydi duvarlar yataklar kirliydi, çok fazla toz vardı. Çarşaflar havlular çok lekeliydi. Yatak çökmüş yayları can yakıyordu.
Otel sahibi fiyat performansa değinmek istemiş ama burası bırakın para verip kalmayı üstüne para verseler kalınmayacak bir yer. Ne tatilinizi ne de paranızı hiç etmeyin. Olumlu yorum yapan kişilerin profillerine bakarsanız, yaptığı yorum ve katkı sayısına bakın zaten nasıl bir aldatmaca döndüğünü anlayacaksınız.
Otel sahibinin yorumuna cevap;
Hatalar düzelti demişsiniz naptınız oteli yıkıp tekrardan mı inşaa ettiniz ancak öyle düzelebilir. Ki biz size şikayetlerimizi ilettiğimizde de herşeyi normalleştirip kibrinizden yukardan baktınız. Ben temizlikle düzelemeyecek kadar kötü durumda dediğimde yüzünüz düştü siz işletmeci değil patronluk oynuyorsunuz.
Bu zamana kadar sadece 1-2 yorum yapmış fake hesaplarla puanınızı yükseltmeye kafa yoracağınıza hizmet vermeye kafa yorsaydınız.
Birisi işinden mi olmuş çok komiksiniz. Otele kalmaya gelmeden 1 hafta önce aradığımda telefondaki arkadaş yeni başladım dedi. 1 hafta sonrası otelde kaldığımızda da servis yapan arkadaşla konuştuğumuzda dün başladım dedi. Siz çalışanlara da kötü şartlar sağlıyorum diyememişsiniz de işinden oldu diye demogoji yapmayı tercih ediyorsunuz.
Kahvaltıda heryeri arılar basarken tabiki masadan kalkıcaktık, küstah cevaplarınızı bundan sonraki tüm müşterilerin görecek olması da olumlu bir gelişme :) Kendisinin 10 dakika dahi kalmayacağı oda için bu kadar savunması da ayrı bir ironi. Fotoğraflara bakan zaten herşeyi anlamıştır.","Odalar1,0Hizmet1,0Konum3,0
OdalarKüf ve rutubetli. Kirli toz içinde sağlıksız",Google üzerinde 11 ay önce düzenlendi,1/5
Casa Del Mar Bodrum,"Acilen google'nun herkese acık yorumu ve puan sistemini kapatması lazım. Ben şahsen kötü de yorum olsa bizzat gidip deneyimlemek isterim. otele girişten çıkışına kadar bana her konuda yardımcı olan insanlarla dolu gerek emrah bey gece karşıladı. Sabahında Ceyhun beyle tanıştık. Sahibiymiş. Yorumlar ve puan sistemi üzerinde bayağı geniş çaplı sohbet ettik
Otel butik bir otel ve 21 odalı. Her otelde her türlü ufak veya büyük çaplı sorunlar olabilir. Buna nasıl karsılık aldığınız önemlidir. Ben tatilim boyunca tam 8 gün kaldım. Kahvaltıya 8-10 arası. Bazen ben 11 de indiğim halde bana kahvaltı verdiler. Hiçte sorun etmediler. Deniz hemen bi patika yol var kısacık ordan yürüyüp 2 dk içinde denizde oluyorsunuz.
Geçen yıl canlı müzik ve restoran açıkmış. Bu yıl yapmayı uygun görmemişler ama bar kısmı 24/7 açık. Gördüğüm en temiz havuzlardandı. Kirli suya ilaç atıp rengini açmak yerine tamamen boşaltıp yeni suyla dolduruyorlardı. Ben açılışa denk geldiğim için şahit oldum. Ailecekte, tek başına da, sevgilinle de gelinebilecek butik bir otel. Gölköy başlı başına havasıyla suyuyla zaten bir star. Her şey için teşekkürler.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarRomantik · Sessiz · Çocuklar için uygun · Büyük fırsat",Google üzerinde bir yıl önce,5/5
Casa Del Mar Bodrum,2 günlügüne geldim ve aşırı dinlendim kafam dagıldı sessiz sakin ışıl ışıl. Zaten çok ilgileler. Sahibi Ceyhun beyle tanıştık. Arada kaçacağım nadir yerlerden birisi yenilenmişler. Çokta güzel olmuş.,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce düzenlendi,5/5
Casa Del Mar Bodrum,"Hayatımda yaşadığım en kötü konaklama deneyimlerinden biri.
Öncelikle buraya verilen oyların gerçek olduğunu düşünmüyorum. Merak eden iyi yorum yapanların ve kötü yorum yapanların toplam yorum sayısına bakabilir.
Otele gelirsek;
Oda aşırı kirliydi yatağın altında 2-3 cm toz var. Banyo bildiğiniz temizlenmemiş. Duşakabin çok kirli dedim bodrumun suyu kireçli ondan dediler.
Çarşaflar havlular lekeliydi. Yastık kılıfları kullanılmış değiştirilmemiş. Talebimiz üzerine değiştirdiler ama onlar da lekeliydi.
En kötü konuya gelirsem; oda bildiğiniz küf kokuyordu parfümle bastırılmaya çalışılmış ama yatağa yattığınızda zaten kokuyu alıyorsunuz.
Oda aşırı bakımsız duvar kağıtları soyulmuş yatak batıyor konforlu değil, heryerde lekeler var.
2 gün burda nasıl geçecek dedik. Yatmadan yatmaya geldik ama uyumakta bile zorlandık.
Pencereler kirli sineklik takmışlar sinekliğin altı boş. Camlara o kadar uzun süre dokunulmamış ki arı kovan yapmaya başlamış.
Tam kahvaltı iyi diyecektim 2 gün arka arkaya kahverengi ekmekten küçük sinek çıktı. Bu otelle ilgili değil aldıkları yer ile ilgili ama kalitesizlik kalitesizliği çekiyor .
2 gece 11.000 tl verdik.
Kesinle tercih etmeyin.
İşletme sahibinin yanıtına istinaden; yatağın altındaki tozlar da mı kat görevlisi ile ilgili? Toz kaplamış pencere kenarı? Arı kovanı? Küften kalkmış duvar kağıtları?
Ödediğimiz parayı (2 gece 11.000 tl) az bulmuşsunuz, tabii sizin gibi lüks otomobiline binip işletmesinden ayrılanlar için öyle olabilir :) fakat sizden sonra sizden çok daha uygun bir fiyata bir butik otelde kaldık. Harikuladeydi. Yorumlarımdan bakabilirsiniz.","Odalar1,0Hizmet1,0Konum4,0",Google üzerinde bir yıl önce,1/5
