otel_adi,yorum,hizmet,tarih,puan
Selvi Bodrum,"Yakın arkadaşımızın düğünü vesilesiyle hem de bir kaç gün tatil yapmak için geldik. Haziran sonu deniz ve hava gayet sıcaktı. Plajın girişi çakıl fakat bir kaç adım sonrası tamamen kum. İskele de mevcut. Kahvaltı gayet yeterli ve lezzetliydi. Öğlen ve akşam yemekleri için otelin restoranını kullanabilirsiniz, kalabalık bir grup otelde konakladığımız için her şeyi tatma fırsatımız oldu ve çok çok lezzetliydi. Porsiyonlar büyük ve doyurucuydu. Kokteyller başarılı, alkolden kaçmıyorlar. Otelin peysajı, ambiyansı çok güzel insana huzur veriyor. Odalar yeterli ve çok temiz. Fakat bu ambiyansa bir tık yenileme (özellikle banyolara) yakışır diye düşünüyorum. Düğüne gelecek olursak hizmet, yemekler ve ortam şahaneydi. Uzun zamandır bir düğünde bu kadar lezzetli yemek yememiştim, şefin ellerine sağlık ve kıymeti bilinmeli. Bize her daim güleryüzü ve beyefendiliği ile servis yapan Alaattin beye de çok teşekkür ederiz. Resepsiyon, restoran ve housekeeping de çalışan herkes işini özenle yapıyor ve hizmet seviyenizi en üst seviyeye taşıyorlar, ayrıca çok teşekkür ederiz. Otelin konumu da gayet güzel, otelde yemek yemek istemezseniz yürüme mesafesinde de bir çok yere gidebilirsiniz. Çok memnun kaldık, seneye de tekrar görüşüceğimize eminim. Herkese sonsuz tavsiyelerimizle.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Sessiz · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Selvi Bodrum,"Selvi Beach Hotel, 60 odalı, havuzlu, palmiye ağaçlarıyla çevrili geniş bahçesiyle Göltürkbükü’nün en güzel otellerinden biri. Denize sıfır konumu, iskelesi ve dingin atmosferiyle her şey tam bir tatil rüyası gibi. …",,Tripadvisor üzerinde 10 ay önce,5/5
Selvi Bodrum,"Deniz kenarında, ağaçlar ve çiçekler içinde bir mekan. Plajı, iskelesi, restoranı... her şeyi ile beklentimizi karşıladı. Tam bir fiyat performans tatili imkanı sunuyor.",Otelde öne çıkanlarMuhteşem manzara · Sessiz,Google üzerinde 2 ay önce,5/5
Selvi Bodrum,Her şey iyi güzeldi ama resepsiyonda aynı ücreti iki kere çektiler. Sonra kaç kere arayıp iade istedim. Ettik ediyoruz yapıyoruz yapacağız derken ben baydım bankaya şikayet ettim attım. 2 gün tatil yaptık 30 gün emek israfı yaptık.,"Odalar3,0Hizmet1,0Konum3,0",Google üzerinde 2 ay önce,1/5
Selvi Bodrum,"Otelin ortamı inanılmaz huzurlu ve yeşillikler içinde. Doğayla iç içe olmayı sevenler için tam bir kaçış noktası. Yemekler çok lezzetliydi, her gün ne yiyeceğimizi heyecanla bekledik. Konumu da oldukça iyi, çevrede gezilecek yerlere yakın ama aynı zamanda sakin ve kalabalıktan uzak.
Çalışanlar çok ilgili ve güler yüzlüydü. Küçük ama bence önemli bir detay: bikinimi otelde unuttuğumu fark ettiğimde hemen yardımcı oldular ve hiç uğraştırmadan kargoladılar. Bu kadar yüksek fiyatlı otellerin arasında, buranın daha samimi, içten ve rahat bir havası var. Gerçekten çok memnun kaldım, gönül rahatlığıyla tavsiye ederim. 🌿✨","Odalar4,0Hizmet5,0Konum5,0",Google üzerinde bir yıl önce,4/5
Selvi Bodrum,"Selvi Bodrum Otel’de konaklamamız çok keyifli geçti. Tesisin yemyeşil bahçesi, bakımlı havuzu ve huzurlu ortamı harikaydı. Dileyenler otelin iskelesinden denize girebiliyor, bu da büyük bir kolaylık sağlıyor. Tuvaletler tertemiz ve özenliydi. Bodrum’un iklimine rağmen her alanın çimlerle kaplı olması ayrı bir güzellik katmış. Doğayla iç içe, konforlu ve temiz bir tatil için kesinlikle tercih edilebilir.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 10 ay önce,5/5
Selvi Bodrum,"Bodrum gibi turizm cenneti bir yerde, bu kadar kötü yönetilen ve müşteriyle bu kadar alay edercesine ilgisiz bir işletmeyle karşılaşmak açıkçası şok ediciydi. …",,Tripadvisor üzerinde bir yıl önce,1/5
Selvi Bodrum,"Pandemide gelmeye başladığımız bir Beach. Tercih sebebimizin başında mekanın temizliği, geniş ve ferah oluşu, çocuklar için uygunluğu geliyor.Çocuklar için bahçesinde oyun odası, dış mekanda trambolin ve oyuncaklar var. Çocuğunuzun gözünüzün önünde güven içinde oynaması sizin rahatlığınız açısından çok büyük artı. Tüm bunlara personelin nazik ve profesyonel hizmeti yemeklerin lezzeti ile Macide Hanımın enfes atıştırmalıkları eklenince alışkanlık yapan bir Beach haline geliyor. Denizinin de güzelliği ile Özellikle çocuklu ailelere kesinlikle tavsiye ederim.",,Google üzerinde bir yıl önce,5/5
Selvi Bodrum,"Parayı verdikten sonra otelinden, çalışanına, oturmayıp bütün gün havlusuyla işgal ettiği şezlongundan plajına kadar satın aldığını düşünen insanları saymazsak harika bir yer👌 çalışanların samimiyetleri, temizliliği, çocuklar için açtıkları alanlar hepsi nefisti. Kendimi iki çocukla en rahat hissettiğim yerdi bu yaz. Umarım bu şezlong tutma muhabettine bir yaptırım yapıp boş yere yer tutanların önüne geçersiniz harika olur, tek yıldız eksiğim bundan dolayıydı, emeklerinize sağlık 💙🙏","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir yıl önce,4/5
Selvi Bodrum,Kişi başı günübirlik beach giriş ücreti 400₺ ve harcama limiti 800₺ şemsiyeli şezlonglar bitmiş oluyor çoğu şezlong şemsiyesiz yanıyorsunuz. Özellikle buradan soğuk kahve içmeyin soğuk suya 3ü 1 arada atıp getiriyolar diye düşünüyorum,,Google üzerinde bir yıl önce,3/5
Selvi Bodrum,"Kötü yorumların hepsi doğru , eksiği var fazlası yok , iyi yorum yapan arkadaşlar da eti görmemiş ciğere bayılıyorlar . Buradan sayın belediye başkanımıza sesleniyorum , hani iskeleleri kaldıracaktınız? Ne oldu seçimden sonra ne değişti , sahilde adım atmak mümkün değil google dan bir bakın iskeleden sahil görünmüyor , hani halk partisiydi bu parti.",,Google üzerinde bir yıl önce,1/5
