otel_adi,yorum,hizmet,tarih,puan
Jasmin Beach Hotel,"Biz bu otelde 5 gün kaldık. Gitmeden önce yorumları okuyunca biraz endişelendim ve daha kötü bir şey bekliyordum. Ama geldiğimizde hoş bir şekilde şaşırdık.
Otelin alanı güzel ve temiz. Odalar her gün temizleniyor, ihtiyacınız olan her şey var. Yemekler de bence 4 yıldızlı bir otel için oldukça iyi.
Otelde birkaç havuz var. İsterseniz müzik ve aktivitelerin olduğu daha hareketli havuzu tercih edebilirsiniz, isterseniz de daha sakin havuzlarda dinlenebilirsiniz. Bu benim çok hoşuma gitti.
Animatörler az sayıda olmasına rağmen işlerini gerçekten çok iyi yapıyorlar. Dart, mini disko ve bazı yarışmalar düzenleniyor. Ancak gün boyunca çok fazla aktivite yok. Bu yüzden sürekli eğlence, spor ve etkinlik arayan çok aktif kişiler birkaç gün sonra sıkılabilir. Ama dinlenmek, yüzmek ve güneşlenmek için gelenler için bence gayet uygun bir otel.
Genel olarak tatilden çok memnun kaldım. Temizlik, servis ve yemekler konusunda hiçbir sorun yaşamadım. Ben bu oteli tavsiye ederim. 😊
Belki de kötü yorumların çoğu birkaç yıl önce yazılmıştır. Otelde tanıştığımız bazı sürekli misafirler, geçmişte gerçekten bazı eksikler ve sorunlar olduğunu söylediler. Ancak zamanla bunların düzeltildiğini belirttiler. Şu anda ise otel hakkında izlenimlerimiz tamamen olumlu. Biz herhangi bir ciddi sorunla karşılaşmadık ve tatilimizden memnun kaldık. 😊
Bence biraz da turistin düşüncesine bağlı. Eğer bir insan sadece kötü şeylere bakarsa, her otelde kötü şey bulabilir. 3 yıldızlı otelde de, 5 yıldızlı otelde de eksikler olabilir.
Ama eğer insan dinlenmek ve tatilin tadını çıkarmak için gelirse, küçük eksiklere çok dikkat etmez. Daha çok güzel şeyleri görür.
Bu yüzden bence önce kendinize sorun: Buraya dinlenmek ve keyif almak için mi geldiniz, yoksa başka otellerle karşılaştırıp sadece kötü şeyleri görmek için mi geldiniz?
Biz tatilimizin tadını çıkardık ve güzel vakit geçirdik. 😊ÇOK TEŞEKKÜR EDERİZ 🙏","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Jasmin Beach Hotel,"20-25 temmuz tarihlerinde bölgeye ve otele ilk kez gideceğim için bilgi edinmek amaçlı yorumları okudum acaba burayı seçerek hata mı yaptım diye düşündüm ama ailemle birlikte kusursuz bir tatil geçirdik. Otele girişten çıkışa kadar resepsiyondaki çalışanlar ne sorduysak neye ihtiyacımız var dediysek 5-10 dakika içinde taleplerimizi güler yüzlü şekilde fazlasıyla karşıladılar. Odalar talep etmeden temizlendi havlular her gün düzenli değiştirildi. Kahvaltı, öğlen yemeği ve akşam yemeği hepsi fazlasıyla iyiydi. Her akşam ızgara tarafı aktif, beyaz et, kırmızı et, balık hepsi eksiksizdi, soğuk meze ve salata çeşitliğine diyecek hiç bişey bulamıyorum hepsi süper. Sağlam alkol kullanan birisi olduğum için tereddütlü gitmiştim taki barmen arkadaşlara talebimi söylediğim an bütün endişem gitti. Özellikle Kaan, Ahmet, Serhat, Muhammet ve ismini hatırlamadığım diğer barmen arkadaşlara kusursuz hizmetlerinden dolayı çok teşekkür ederim. Bütün Jasmin personellerini kaliteli ve kusursuz hizmetlerinden dolayı tebrik ediyorum, misafir perferliğinizden dolayı teşekkürler, seneye görüşmek üzere 🤝","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Çocuklar için uygun · Büyük fırsat",Google üzerinde bir ay önce,5/5
Jasmin Beach Hotel,"Heryil tatilbudur üzerinden tatile gidiyoruz. Bu yılda bu site üzerinden Jasmin beach otelde 5 gece kaldık. Otelin konumu yiyecekleri muhteşem. Geçen yıl Dedeman Kemer otelde kalmıştık. Bu yıl Bodrum Jasmin beach otelde kaldık tek eksiği akşam yapılan etkinliklerin çok kötü ve vasat olması. Bu yüzden beğenmedik. Diğer hersey çok güzeldi. Sabah zorla havuzda jimnastik, zorla havuzda top oyunu. Akşam zorla etkinliğe katılmak gerekiyor. Etkinlik demeye bin şahit lazım. Animasyon ekipleri yok. Akşam eglenemiyorsunuz. Bu yüzden 2. Gece sıkıldık. Aile için çok güzel değil. Eğlence ekibi vasat. Yemekleri ve havuzu güzel. Club aile odasında kaldık. Canınız sıkılmasın Akşam bol etkinlik istiyorum eğlence bol olsun istiyorsanız bu otel size uygun değil. Bu animasyon ya da eğlence ekibinin derhal değişmesi lazım. Bu otele yakışmiyorlar. Otel harika ancak bu ekip berbat. Türk gecesi yaptılar. Sadece personel ortada halay çekti. Her gece aynı müzik. Eglelenicez diyorsaniz buraya gelmeyin. Sıfır etkinlik. Sıfır ekip. İnsan tatile gidipte biran önce bitse şu tatil gitsek der mi? Biz dedik.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,1/5
Jasmin Beach Hotel,"Jasmin Beach Otel’e ikinci kez gelişimiz ve her seferinde aynı güler yüz, aynı kaliteli hizmetle karşılanmak gerçekten çok güzel. Otelin konumu harika, yemeklerin çeşitliliği ve lezzeti ise mükemmel. …",,Tripadvisor üzerinde bir ay önce,5/5
Jasmin Beach Hotel,"19-22 temmuz arasında 5 kişi (2 oda) konakladık. Ücretini son kuruşuna kadar hakeden bir işletme gerçekten biz çok memnun kaldık. Yemekleri şahane, hergün ızgara var. Balık et tavuk ne ararsanız var. Çok lezzetlii. Asla aç kalmıyorsunuz. Kapalı ayran bile var yani biz şaşırdık. Animatörler çok ilgili özellikle çocuklar için akşam etkinlikleri çok güzel. Odalar çok şık, hergün temizlendi temiz havlular vs verildi. Çalışan arkadaşlar güleryüzlü ve pozitif. Tek eksi yanı (otele bağlı değil) gümbetin denizi şahane değil ama temizdi. Onun dışında her şey okey :) iyi tatiller herkese","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarÇocuklar için uygun · Büyük fırsat
OdalarÇok şık ve temiz
Yakındaki etkinliklerAkşamlar çocuk etkinlikleri ve bazı günler normal gösteriler oldu
GüvenlikGüvenli bir otel
Yürüme olanaklarıDenize otelin kapısından 10-15 adımda varıyorsunuz endişe etmeyin
Yiyecek ve içeceklerSon derece lezzetli ve bol çeşitli
Önemli ayrıntılarÇocukla gelenler için güzel tercih. Bizim gibi arabasız gelenler için taksiyle falan çok rahat konumda.",Google üzerinde bir ay önce,5/5
Jasmin Beach Hotel,Otel hakkında yapılan yorumları okuyunca biraz tereddütte kalarak otele gittim. Ancak otelden memnun kaldım. İlk giriş esnasında lobby personeli tarafından gayet güzel bir şekilde karşılandık. Rezervasyon yaptırdığımız oda dışında gayet güzel ve manzaralı bir oda verdiler. Türkiye'nin hemen hemen her bölgesinde 5 yıldız ve 4 yıldızlı otellerde tatil yapmış biri olarak bu yorumu yapıyorum. Otelin tüm personeli işini canla başla yapmaya çalışıyor. Konakladığımız her gün kırmızı ve beyaz et vardı. Bazı günler ızgara balık da verildi. Otelin yemekleri çeşit olarak az olsa da gayet lezzetli ve kaliteli malzeme ile yapıldığı belli. Kahvaltıda ikram edilen peynirler genel olarak her damağa hitap edebilecek düzeyde. Aromatik ve yöresel peynir tabii ki yok. Öğlen ve akşam yemekleri gayet yeterli. Otelin özellikle hamur işleri gayet güzel. Deniz pis diyenler olmuş. Biz konakladığımız süre boyunca herhangi olumsuz bir durumla karşılaşmadık. Gayet güzel bir şekilde denize girdik. Otelin havuz büyüklüğü yüksek sezonda yetersiz kalabilir. Animasyon ekibi sizi eğlendirmek için elinden geleni yapıyor. Eksik olarak söyleyebileceğim tek şey otelin barı. İçki kalitesi gerçekten çok düşük. Bu nedenle normalde alışık olduğumuz bar önündeki sıralar burada yok. Genel olarak fiyat ve performans açısından değerlendirme yaparsak 10 üzerinden 10 verebilirim. Köfte parası verip İskender yemek isteyenlerin yorumlarına kanmayın.,Otelde öne çıkanlarÇocuklar için uygun · Büyük fırsat,Google üzerinde 2 ay önce,5/5
Jasmin Beach Hotel,Bayram tatilinde 3 kişi gittik otele fakat otel biraz küçük geldi bana . Konumu fena değil ulaşım iyi güzel. Yemekleri normal iyi degil oladar ayrica cay saati 9.30 da sonra hemen kaldırılıyor sacma birsey. Izgara sırasında uzun kuyruk oluyor cok bekledik iki köfte almak icin.odalar fena değil ama biz 3 kişiydik kucukngeldi oda bize. Odada bocek sesi vardi rahatsız olduk bazen. Tv de kanal yok az var 13 tane komikti. Havuz guzel fakat ufaktı biraz. Plajda beach bar yoktu sanırım belediye ile ilgili bir olay ama cok kotu bkr durum plaja gidemedik bundan dolayi. Temizlik yapıldı iyiydi. Genel itibari ile vasat bir oteldi,"Odalar3,0Hizmet3,0Konum4,0",Google üzerinde 2 ay önce,3/5
Jasmin Beach Hotel,"Havuzdaki Ramazan Bey beachteki Ferhat Bey dışında verimli personel yok 14:00 öğle yemeği bitiyormuş 10 dk önce içeri girdik kaşık çatal her şey toplanmış , personele yemeklerden almak istediğimi söyledim zamanı bitti diyor. Bir dakika beklemeye tahammülleri yok ! İçeride misafir var iki dadikasını alacakken. Personelin coğu Kürt zaten eglence akşamları bol bol halay çekip servis ederken Türkçe anlamadığımızı sanip bol bol küfür ettiler . Asla önermiyorum. tatil budurdan aldığım en kötü otel! Dünyayı gören biri olarak bu kadar kötü mutfak personeli ve hizmeti görmedim! BALİ’den Avrupaya..
Beachte müzik yok beacha hiçbir içecek servisi yok kendiniz alırsanız snak bar 3. Katta insanlar ulaşmasın diye.
antalyadan geliyorum Turizmin içinden böyle rezillik görmedim herkes emek ,zaman para veriyor karşılığını alamadık .","Odalar3,0Hizmet1,0Konum5,0",Google üzerinde 2 ay önce,1/5
Jasmin Beach Hotel,"2 aile otelimizde 6 gece 7 gün kaldık bütün çalışanlar son derece özverilliydi çok yardımcı oldular özellikle kahve yapan esra'ya Ramazan abiye veli'ye Gabriye Soner bey e restoranta canla başla calisan tüm personele çok teşekkür ediyoruz.
ortak alan son derece yeterliydi yemekler fena değildi ancak akşamları özellikle ızgara dumanından biraz rahatsız olduğumuzu söylemek isterim. Odalar her gün temizlendi masaj hizmetinde memnun kaldık evet plajda bar yok mümkünse gelirken bir termos getirmenizi öneririm resepsiyondaki bar sahile yakın 😆","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde bir ay önce,5/5
Jasmin Beach Hotel,Otelden bugün çıktık ve yaşadıklarımızdan sonra biraz sitem etmeye hakkımız var diye düşünüyorum. Otelin tek iyi yanı eğlence ekibi. Armağan ve Biray işlerini severek tüm misafirler ile tek tek ilgilenerek yapıyorlar. İkisine de teşekkür ederiz. 25/05 giriş 30/05 çıkış olarak rezervasyon aldık. Daha otele girer girmez park yeri problemleri ile karşılaştık. Olabilir dedik lobiye girdik. Kalacağımız odaya yönlendirdiler her şey çok yolundayken fotoğrafta görebileceğiniz böcek kapıların altındaki boşluklar sebebi ile odaya girmiş kendisine kapının altına yuva yapmış. Fotoğraflarını çekip resepsiyona gittiğimizde yaşanan durum için kusura bakmayın cümlesini bir kenara bırakıyorum yüzümüze bakmaya tenezzül etmediler. Resepsiyonist belboydan bizlere bir oda göstermesini istedi. Balkonun kapısını açtığımız an avuç içi kadar bir örümcekle daha karşılaştık. Başka bir odaya bakalım dedik duvara bakan balkonunda iki kişinin ayakta duramayacağı bir odayı gösterdiler dalga geçer gibi. İlk gösterdikleri odaya geçtik çünkü koca otelde başka bir yer yokmuş. Odanın üstünde tüm mutfağın motor fanı bütün gün ve gece çalıştığı için sesten uyuyamadığımız 2 gece geçirdik. Bütün bu yaşananlar bir yana her şey dahil gittiğiniz otelde yemekler rezalet. Sadece ızgara bölümünde taze yemekler var kalan tüm yemekler bayat. Giriş yaptığımız günden bugüne sadece çarşamba günü yani 27/05 tarihinde taze yemek yiyebildik. Izgara kısmında yemek yemek için ise minimum 20 dakika beklemeniz gerekiyor. Izgaranın tüm dumanı restoranın içine giriyor. Nefes alınmaz göz açılmaz bir haldeydik. Alkol kullanıyorsanız çeşit çeşit kokteylleri şimdiden unutmanızı tavsiye ederim biralar da aynı şekilde. Sizlere 4cl votkanın içine döktüleri şeker şurupları ya da likörlerle karıştırılmış sprite verecekler. Tekila çeşitli viskiler vs parasını verseniz dahi alamıyorsunuz. Yetişemiyorlarmış tekilaya barmen bey öyle söyledi. Havuza gidelim diyoruz şezlong yok denize gidelim diyoruz çakıl taşı çirkin bir kum ve kırılmış soda şişesi camları… Bizler bu sebeple TatilBudur’u arayıp 1 gün erken çıkmak istiyoruz diyerek iademizi aldık ve odayı boşalttık. Bu gerçekleri bilin buna göre otel seçimi yapın.,"Odalar2,0Hizmet2,0Konum2,0",Google üzerinde 2 ay önce,2/5
