otel_adi,yorum,hizmet,tarih,puan
Jasmin Elite Residence & Spa,"Otel gerçekten çok güzel. Kahvaltı açık büfe, omletinize kadar hazırlanıyor isteğinize göre. Yemekleri de çok beğendim. Odalar tertemiz ve genişlik olarak gayet yeterliydi.
Otelde hem açık hem de kapalı havuz mevcut. Yalnız kapalı havuza girecekseniz boneniz olması gerekiyor.
Çalışanlar çok ilgili. Her durumda yardımcı oluyorlar güleryüzlüler.
Otel marinaya da çok yakın, tek sıkıntısı yokuş çıkıp inmeniz gerekiyor. Ancak taksi imkanı var ve fiyatları uygun, merkeze inip dönerken taksi yapılırsa daha az yorucu oluyor :)
İlgi ve alakanız için tekrar teşekkürler.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce düzenlendi,5/5
Jasmin Elite Residence & Spa,"Otelden genel anlamda memnun kaldık , çalışanlar çok yardımsever ve güleryüzlüydü.Tam fiyat performans oteli. Spa ve masaj çok güzeldi , masör hanımefendiler işlerinde çok iyi çok tatlılar , güçlüler baya 😅 Kahvaltı da çok güzeldi , herşey lezzetliydi ve tazeydi, yumurtamızı yapan hanımefendinin eli çok lezzetli ve hızlıydı teşekkür ediyoruz kendisine.
Benim için 2 puan kırma sebebim odamızda lavabo başlığı hareket ediyordu , lekeliydi bataryalar temizlenmemişti , tuvalet fırçası çok pisti ve içi su doluydu. Kullananlar temiz kullanmamış değiştirilmesi gerekirdi diye düşünüyorum çok eskimişti. Midemiz bulandı yani.
Diğer bir sebepte burcu hanıma teşekkür ediyorum yardımcı olmaya çalıştı bize sormamız üstüne ancak önerdiği tekne turu bodrumda yapabileceğiniz en kötü tekne turu olabilir . Otelin birlikte çalıştığı tekne turuymuş. 1 puan bile verilecek bir tur değildi ancak onlara puan verebileceğim bir platformda bile değiller o kadar kötüler sanırım.Tercih etmemenizi tavsiye ediyorum. Tur bodrumun en kötü koylarına götürdü bizi ve koya yaklaşmadılar bile bildiğiniz denizin ortasında denize sokmaya çalıştılar bir sürü insanı, akıntı insanları çekiyordu resmen.Yemek olarak resmen nugget verdiler ve bu tur 35 euro kişi başı. Akyakada 1300 liraya yaptığımız tekne turunda balık vardı siz hesap edin.insanların terliklerini bir poşete tıkıyorlar , herkesin bastığı yerlere basıp ıslak tuvaleti çıplak ayak kullanmanızı istiyorlar resmen korkunçtu , insanlar güneşin altında gidip geldi , oturup yemek yiyecek masaları bile yoktu yemeğini alan gidip uzandığı yerde oturup yiyordu . Denize girebilmek için sadece dik ve 1 tane merdiven vardı insanlar sıra bekleyip 10 dk da anca giriyordu denize , sıra size gelene kadar suda olan insanlar çıkmak istediği zaman onları beklemek zorunda kalıyorsunuz çünkü 1 tane var. Teknenin arkasında tekneye binilen platformu indirmelerini rica ettik tamam diyip indirmediler. Bizim dışımızda başka biri daha rica edince tamam diyip zorla indirdiler. Madem indirebiliyorsunuz neden insanlara acı çektiriyorsunuz ? Yaşlı kadınlar giremiyordu suya , bunu orda çalışan adama söyleyince aman girmesinler zaten yaşlılar diye ukalaca bir cevap verdi ? , sana bu parayı kim verirse versin senin işin hizmet sunmak , ukala ve kötü insanlardı.Yani yapılması gereken ne varsa bu tekne turunda kesinlikle yoktu… boşu boşuna 4bin lira para verdik çöp oldu resmen….","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz",Google üzerinde bir ay önce,3/5
Jasmin Elite Residence & Spa,"Pansiyon gibi bi otel.kuralcı görünüyor ama asla yakından bile geçmez kural😁 3 gün kaldım fakat tam bi hayal kırıklığı oldu,iş için tercih etmiştim ama inanılmaz minnetsiz bir yer ister kal ister kalma tavırları var.resepsiyon da çalışanlar …",,Tripadvisor üzerinde 6 ay önce,1/5
Jasmin Elite Residence & Spa,"Bayram tatilinde 2 gece konakladık. Odaların boyutu, havuzu, restoranı ve kapalı havuzunu beğendik. Temizlik konusunda sıkıntı yaşamadık.Şehir merkezine yürünüyor fakat yol yokuşlu. Kahvaltıda açık büfesi mevcut. İçerik ve lezzet olarak gayet iyi. Akşam yemeği açık büfe değil, menü halinde. Özellikle çorabaları iyi. Öğlen yemeği yok. Öğlen yemeği için ekstra ödeme yaparak yiyorsunuz fakat o da çok pahalı değil ve lezzetli. Havuzun yanındaki bar pahalı değil kokteyleri iyi. Kapalı havuzda boneye ekstra ücret istiyorlar yanınızda getirmeyi unutmayın :) kısacası keyif alarak konakladık. Bardakçı koyuna yakın konumu yol sadece yokuşlu. Gümbet sahilden çok bardakçı koyunu tercih etmemiz konusunda uyardıkları için de teşekkür ediyorum :)","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Sessiz · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Jasmin Elite Residence & Spa,28 Haziran'da 8 gece 9 gün bir tatil geçirdik ve gerçekten yıllardır Her Şey Dahil olan büyük otellere gittiğimizde Çok pişman kaldık bu kültüre tamamen artık karşı olduğumuz için bir artı bir kahvaltı dahil bir daire de tatilimizi geçirdik 3 kişi için çok yeterli ve ideal bir odaydı her gün temizliği kahvaltı dahil olan hizmeti ve havuzları çok çok yeterliydi kapalı havuz sauna çok temiz ve Kullanıma çok uygundu konum olarak merkeze yakın ama yürüme mesafesinde değildi Biz araçla gidip merkeze de bir otoparka park ederek gezilerimizi tamamladık denize girmek için ise farklı koyları gittik Kısacası Biz çok memnun kaldık tavsiye ederiz Bu oteli tercih ederken bizim gibi her şey dahil israf kültürünü karşı çıkan Nezih sakin bir tatil geçirmek isteyen Ayrıca bodrumu keşfetmek isteyenler için çok ideal olabilir fakat ufak çocuk da aileler için çocukları eğlendirme konusunda problem yaşayacağını düşünüyorum Farklı alternatifleri değerlendirebilirler. Çalışanlar için de güler yüzlü ve yardımsever oldukları için teşekkür ederim mutlaka diğer tatillerimde bu oteli değerlendireceğim Ayrıca rezervasyon yaparken tur şirketlerinde daha yüksek fiyatlarla karşılaştım ben kendi sitelerinden rezervasyon tamamladım çok çok daha avantajlı oldu bunu da dikkate almanızı tavsiye ederim Her şey için teşekkürler,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Sessiz · Büyük fırsat",Google üzerinde bir ay önce,5/5
Jasmin Elite Residence & Spa,Otelde 4 gece kaldık olumsuz tek yaşadığımız konuştuğumuz odada ilk gün kalamayışımız olmasaydı onuda ertesi sabah telafi ettiler kahvaltısından odaları hamamı gayet güzel temizdi masaj hizmetlerinde fiyatta yardımcı oldular restoranda fiyatlar gayet makul bu fiyatlara kalabilceniz en güzel otel 👋,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde bir ay önce,5/5
Jasmin Elite Residence & Spa,"9 aylık bebeğimizle 4 gece konakladık. Müşteri iliskileri başarılı. 1+0 dairede kaldık. Oldukça geniş ve yeterliydi bizim için. Odamız her gün temizlendi.Sürdürülebirlik politika uygulaması olarak, çarşaf değişimi istemezseniz kahve ikram ediyorlar. Bunu da başarılı buldum. Kahvaltı açık büfe bol çeşitli. Spa yı denemek için zamanımız olmadı.Restoranın yemekleri de oldukça lezzetli. Bir de çıkış yapacağımız gün uçağımızın akşam 9 da olduğunu belirttik. Bebegimizle zor durumda kalmamamız için çıkış saatimizi 13.00 a çektiler. Çok teşekkür ederiz bir kez daha Keyifli bir deneyim oldu bizim için .
Tavsiyedir. Instagram: mugladanevar
Geziliptus
Apoliptus","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde 9 ay önce,5/5
Jasmin Elite Residence & Spa,Gerçekten çok keyifli ve kaliteli bir tatil deneyimi yaşadık. Toplamda 2 gece kaldık. Gerek temizliği gerekse havuz ve restoran kısmından çok memnun kaldık. Mutlaka tekrar gelmek isteyeceğim bir otel.,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Jasmin Elite Residence & Spa,"Otel Gümbet’de. Temiz ferah. İnternet başarılı. Kahvaltı beklentimin üzerindeydi. Kahve benim gibi kahve içicisi için kötüydü. Ama bol ve kaliteli idi. Maalesef yan odamız gece çok gürültü yaptı! Rahat uyuyamadım. Aslında bir aparatda kaldık. Çamaşır, bulaşık makinesi; büyük buzdolabı, mikro dalga fırın ocak mutfak gereçleri var.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz · Çocuklar için uygun …Devamı",Google üzerinde 5 ay önce,4/5
Jasmin Elite Residence & Spa,"2+1 odada kaldık. Çok genişti, 2 banyoluydu.
Resepsiyondaki herkes çok yardımseverdi.
Oda rezervasyonundaki yaşanan karışıklığı müdür İbrahim Bey çözdü ve asla mağdur etmedi.
Bodrum’a gelince tekrar kalacağım otel.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz
Yiyecek ve içeceklerKahvaltısı çok çeşitli ve lezzetliydi",Google üzerinde bir ay önce,5/5
