otel_adi,yorum,hizmet,tarih,puan
Mirada Exclusive Bodrum,"Çift olarak seyahat ediyoruz. Otelde birinci günümüz bitti ve konaklamamız devam ederken deneyimlerimi paylaşmak istedim. 15 Temmuz haftası seyahat ettiğimiz için açıkçası her yerde sıra beklenilen kaotik bir her şey dahil otel olmasından çekincelerim vardı ancak otel kalabalık olmasına rağmen tüm alanlar yeterli ve asla hengamenin olduğu bir tatil gibi hissettirmiyor. Otel kalabalık olmasına rağmen çok sessiz sakin ve atmosfer muhteşem. Deniz gerçekten çok keyifli. Servis harika, çalışanlar hızlı ve güleryüzlü, istediğimiz bir şeyi ikinci kez tekrar etmemize hiç izin verilmedi. Kaldığım diğer her şey dahil konseptli oteller ile kıyasladığımda yemek çeşitliliği az ancak asla yetersiz değil her şey olması gerektiği kadar ve tüm ürünler çeşit çok olan otellerin aksine lezzetli ve kaliteli. Biz superior deniz manzaralı odada konaklıyoruz ve oda büyüklüğü, tasarımı , minibar da oldukça yeterli. Otel çok kompakt, her yer ulaşılabilir. Sakin ancak her şeyin ulaşılabilir olduğu bir tatil beklentimiz vardı ve Mirada kesinlikle bunu karşıladı. Tüm ekibe çok teşekkür ederiz. Gönül rahatlığıyla tercih edebilirsiniz 🌸🌸","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,5/5
Mirada Exclusive Bodrum,"23-27 temmuz arasi kaldik. Beklentimin cok ustunde bir otel. Hizmet, yemeklerin kalitesi mukemmel oda temizligi, mini klup aktiviteleri ve cocuklara olan ilgi muhtesem. 4 gece konakladik emin olamadigimz icin kisa tutalim dedik ve pisman …",,Tripadvisor üzerinde 4 hafta önce,5/5
Mirada Exclusive Bodrum,"2024 yazında ailecek gitmiştik, tadı damağımızda kalmıştı. Yemekler inanılmazdı, içki kalitesi çok iyiydi, odalar güzeldi. Lüx tatilin tam karşılığıydı.
2 sene sonra da yine aynı kaliteyi umarak 6 gecelik rezervasyon yaptık. Fiyatlar epey artmıştı. Bütçemin çok üstünde olmasına rağmen yer ayırttım. Fakat hüsrana uğradık diyebilirim. Yemek kalitesi aşırı düşmüş. Kahvaltıdaki haşlanmış yumurtalar her gün soğuktu. Kahvaltı ve akşam yemeklerindeki çeşitlilik azalmış ve lezzetli yiyecek bulmak epey zordu. Ve çok fazla hazır gıda vardı.
Yunan restoranının kalitesi yok denecek kadar azdı. Sıradan bir rakı-balık restoranında bile daha çok meze vardır ve çok daha lezzetlidir. Banyo eskiydi. Akşam sinekler çok fazla ısırıyordu.
Akşam vakit geçirecekseniz uzun kıyafet giymenizi öneriyorum.
Her şey mi kötüydü? Hayır tabiki.
Otelin havuz ve deniz kısımları halen tertemizdi. Fakat iskelenin bir bölümünü PARALI yapmaları hoş olmadı elbette.
Personellerin ilgisi ve bilgisi oldukça iyiydi.
Kids Club 23:00’e kadar açık olması çok güzeldi. Fakat orda da hesap edilmeyen en önemli şey şuydu: akşam yemeğinden sonra Kids Club’a giden çocuklar yine enerji sarfettikleri için 23:00 sonrası yiyecek-atıştıracak hiçbir şey olmamasını anlayamadık.
Sözün özü şu ki ödenen ücretle alınan hizmet arasında çooooook fark var. Bizim bu sene son tatilimizdi bu otelde. Bu tamamen bizim yaşadığımız tecrübenin sonucunda yazdığım yorumumdur. Belki sizde çok daha güzel izler bırakır. Bizde güzel anılar bırakan birkaç kare fotoğraf ile yorumumu sonlandırıyorum ve yorumu okuyan herkese iyi tatiller diliyorum.","Odalar3,0Hizmet3,0Konum2,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde 2 hafta önce düzenlendi,1/5
Mirada Exclusive Bodrum,"Genel İzlenim
Geçen sene de geldiğimiz, bu sene 5 kisi geldiğimiz Mirada Exclusive Bodrum'daki tatilimiz beklentilerimizi gerçekten karşıladı. Konumundan yemeğine, personel ilgisinden oda konforuna kadar pek çok konuda keyifli bir deneyim yaşadık. Birkaç küçük aksaklık dışında, gönül rahatlığıyla önerebileceğimiz bir tesis oldu.
Konum ve Manzara
Tesisin en sevdiğimiz yanlarından biri konumu ve manzarasıydı. Çevre düzenlemesi başarılı, ortam huzurlu; hem dinlenmek hem de güzel anlar biriktirmek için ideal bir atmosferi var. Manzara, tüm tatil boyunca yüzümüzü güldürdü.
Oda Konforu
Odamız ferah ve rahattı. Yatak konforu, genel düzen ve oda olanakları gayet tatmin ediciydi; uzun bir tatil için rahatça vakit geçirilebilecek bir alandı.
Yemek ve İçecek
Yemekler kesinlikle tesisin yıldızlarından. Açık büfe hem çeşitlilik hem kalite olarak çok başarılıydı; özellikle et yemekleri gerçekten övgüyü hak ediyor. Ayrı bir parantez de taş fırına açmak istiyoruz: Şevket Bey'in elinden çıkan pideler ve pizzalar harikaydı, fırının başında işini severek yapan bir usta olduğu her lokmada belli oluyordu.
Plaj ve Havuz
Plaj ve havuz alanları dinlenmek için keyifli ve iyi düzenlenmişti. Manzarayla birleşince tatilin tadına tat kattı. Manzara tek kelimeyle şahane.Beach bar'da Melike Hanım'ın ilgisi ve güler yüzü ayrıca dikkatimizi çekti; işini gerçekten iyi yapıyor.
Hizmet ve Personel
Personel genel olarak güler yüzlü ve yardımseverdi, misafire yaklaşımları sıcaktı. Tek önerimiz, özellikle plaj tarafında garson sayısının biraz artırılması; yoğun saatlerde servis zaman zaman yavaşlayabiliyordu. Bu küçük dokunuş, deneyimi daha da iyi hale getirir diye düşünüyoruz.
Geliştirilebilecek Yönler
İki ufak konu vardı. İlki, yukarıda değindiğimiz servis hızı ve plajdaki garson sayısı. İkincisi ise tesisin genelinde zaman zaman karşılaştığımız küçük sinekler; açık alanların doğası gereği olsa da, bu konuda alınacak ek önlemler konforu artırabilir. Mirada'nin bu konuda da yakın zamanda önlem alacağından eminiz.
Genel Değerlendirme
Toparlamak gerekirse, Mirada Exclusive Bodrum konum, yemek, oda konforu ve sıcak personeliyle beklentileri karşılayan, keyifli bir tesis. Şevket Bey'in taş fırını ve Melike Hanım'ın ilgisi gibi güzel detaylar tatili daha da özel kıldı. Küçük aksaklıklar bir kenara bırakıldığında, (ki büyük ihtimalle siz gittiğinizde çözülmüş olacaktır)huzurlu ve doyurucu bir tatil arayan herkese gönül rahatlığıyla önerebiliriz.","Odalar5,0Hizmet4,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik",Google üzerinde 2 ay önce,5/5
Mirada Exclusive Bodrum,"Otelin kapısından girdiğimiz andan itibaren her şey kelimenin tam anlamıyla mükemmeldi. Personelin güler yüzü, ilgisi ve profesyonelliği tatilimizi ekstra konforlu hale getirdi. Her konuda inanılmaz yardımcı ve naziktiler. Restoran performansı tek kelimeyle harikaydı. Yemeklerin lezzeti, çeşitliliği ve sunumu hem göze hem damağa hitap ediyordu. Her öğün ayrı bir keyifti. Otelin genel temizliği, odaların hijyeni ve düzeni kusursuzdu. Otelin konumu muhteşem bir noktada. Denizinin temizliği, sahilin güzelliği ve sunduğu manzara büyüleyiciydi. Hem dinlenmek hemde dört dörtlük bir tatil yapmak isteyen herkese tavsiye ederiz 🙏🏼 Ayrıca Gökhan Bey’e de burdan tekrar teşekkür ederiz kendisi gerçekten çok nazikti yardıma ihtiyaç duyduğumuz birkaç kritik noktada bize sağladığı destek ve çözüm odaklı yaklaşımı işimizi inanılmaz kolaylaştırdı ☺️ Mirada ailesine kocaman sevgiler seneye görüşmek üzere 💐","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun
OdalarOdada bulunan minibar oldukça yeterliydi superior deniz manzaralı odada konakladık gayet geniş ve konforluydu
Yakındaki etkinliklerSu sporlarını mutlaka deneyimlemenizi tavsiye ederiz
Yürüme olanaklarıOdalardan çok kolay bir şekilde sahile ya da restorana inebiliyorsunuz",Google üzerinde bir ay önce,5/5
Mirada Exclusive Bodrum,"Yaklaşık bir ay önce Mirada Exclusive Bodrum’da geçirdiğimiz harika tatilin ardından, bulduğumuz ilk fırsatta yeniden buraya geldik. Bir otele bu kadar kısa süre içinde tekrar gelmek tesadüf değil. İlk tatilimizde yaşadığımız güzel deneyim ve özellikle VIP iskelesi ekibinden aldığımız olağanüstü hizmet, Mirada’yı yeniden tercih etmemizin en önemli sebebi oldu.
İlk ziyaretimizde başta Cem Bey olmak üzere Bahar, Kadir, Emre ve Sidelya'nın sunduğu üst düzey hizmetten çok etkilenmiştik. İkinci gelişimizde de aynı samimiyeti, ilgiyi ve yüksek hizmet kalitesini görmek, ilk izlenimimizin kesinlikle tesadüf olmadığını gösterdi.
Cem Bey’in liderliğindeki VIP iskelesi ekibi yalnızca talepleri karşılayan bir ekip değil; misafirlerinin ihtiyaçlarını daha dile getirmeden fark eden, tatilin her anını daha konforlu ve özel hâle getiren çok değerli insanlardan oluşuyor. Cem Bey’in profesyonel ve çözüm odaklı yaklaşımı, ekibiyle kurduğu güçlü düzen sayesinde hizmetin her ayrıntısına yansıyor.
Bahar, Kadir, Emre ve Sidelya ise güler yüzleri, samimiyetleri ve her an yanımızda olduklarını hissettiren yaklaşımlarıyla tatilimizi yine unutulmaz hâle getirdiler. Gerçekten misafirlerinin mutlu, rahat ve değerli hissetmesini önemsediklerini her davranışlarında görebiliyorsunuz. Bu kadar içten ve uyumlu bir ekiple karşılaşmak gerçekten çok kıymetli.
Normal iskele tarafında görev yapan Enes de ilk ziyaretimizde olduğu gibi pozitif enerjisi, samimiyeti ve kaliteli hizmetiyle tatilimize ayrı bir güzellik kattı. Enes’e ilgisi ve içten yaklaşımı için gönülden teşekkür ederiz.
Bu ziyaretimizde ayrıca resepsiyonda görev yapan Yiğit Bey’e özel bir teşekkür etmek istiyoruz. Bizi ilk gelişimizden hatırlaması, daha o anda kendimizi değer verilen misafirler gibi hissetmemizi sağladı. Oda konusunda gösterdiği özen, taleplerimizi dikkatle dinlemesi ve konforumuz için içtenlikle yardımcı olması bizim için çok kıymetliydi. Her ayrıntıyla yakından ilgilenmesi, çözüm odaklılığı, nezaketi ve güler yüzü sayesinde ikinci tatilimiz daha ilk andan itibaren çok güzel başladı. Misafirini hatırlayan, önemseyen ve memnuniyeti için gerçekten emek veren bir çalışanla karşılaşmak büyük fark yaratıyor. Yiğit Bey’in yaklaşımı, Mirada’yı yeniden tercih etme kararımızın ne kadar doğru olduğunu bir kez daha hissettirdi.
Ana restoranda görev yapan Göksel Bey’e de ilgisi, nezaketi ve güler yüzlü hizmeti için teşekkür ederiz. Gösterdiği özen ve samimi yaklaşımı, ana restorandaki deneyimimizi daha keyifli hâle getirdi.
Bir otele tekrar gelmek için güzel odalar, iyi yemekler ve kaliteli imkânlar elbette önemlidir. Ancak bir yeri gerçekten unutulmaz yapan, orada çalışan insanların misafirlerine hissettirdikleridir. Mirada Exclusive Bodrum’da bizi yeniden buraya getiren asıl şey de tam olarak bu oldu.
Başta Cem Bey olmak üzere Bahar, Kadir, Emre, Sidelya ve Enes; ayrıca Yiğit Bey ve Göksel Bey, Mirada’yı bizim için yalnızca güzel bir otel olmaktan çıkarıp tekrar tekrar dönmek isteyeceğimiz özel bir yere dönüştürdüler.
Bu isimlerin her biri, üçüncü ve sonraki tatillerimizde de Mirada Exclusive Bodrum’u tercih etmemizin en önemli sebeplerinden olacak. Böylesine değerli çalışanların kıymetinin bilinmesini ve emeklerinin takdir edilmesini gönülden diliyoruz.
Mirada Exclusive Bodrum’a ikinci gelişimizden de çok mutlu ve son derece memnun ayrılıyoruz. İlk gelişimizde bizi etkileyen hizmet kalitesinin devam ettiğini görmek bizim için çok değerliydi.
Başta VIP iskelesi ekibi olmak üzere tatilimizi güzelleştiren herkese sonsuz teşekkürler. Mirada Exclusive Bodrum artık bizim için yalnızca tavsiye edeceğimiz bir otel değil; her fırsatta yeniden gelmek isteyeceğimiz çok özel bir yer.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik",Google üzerinde bir ay önce,5/5
Mirada Exclusive Bodrum,"Arkadaşımla konakladığımız süre boyunca her şeyden çok memnun kaldık. Odalar temiz, yemekler lezzetli ve çeşitliydi. Otelin atmosferi manzarası çok huzurluydu. Herkese tavsiye edeceğimiz bir tatil oldu. Özellikle personelin güler yüzü ve misafirperverliği bizi çok mutlu etti ayrıca aquabeachteki enes beye ve lounge bardaki cömert beye çok teşekkür ederiz. Böyle kaliteli bir hizmet sundukları için temizlik ekibine de ayrıca teşekkür ederiz. Tekrar görüşmek dileğiyle.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Mirada Exclusive Bodrum,"ömer faruk altınmakas
Google üzerinde 2 ay önce düzenlendi",,Google üzerinde 2 ay önce düzenlendi,5/5
Mirada Exclusive Bodrum,Otel kompakt çok büyük sayılmaz ve böylece bir yerden bir yere ulaşımı kolay. İtalyan restoranı ve yunan restoranı harika. Yemekler abartılı iyi değil ama yeterli ve lezzetli. Denizi çok güzel. Çalışanlar çok ilgili. İtalyan restoranında yemek yerken Nuray hanım bebeğimizle ve bizle çok ilgilendi. Bunun dışında da tüm personel yardım sever ve iyi kalpliydi. Bununla birlikte beachte aşkam üstü çalan Dj Soner hem müzik kalitesi hem de sempatikliğiyle bizden tam puan aldı. Ayrıca bebeğimiz için kids club ve çalışanlarına özel teşekkürler. Bebeğimizle ilgilendiler ve bizi yönlendirdiler. Oteli çocukları olanlara özellikle tavsiye ederim.,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce düzenlendi,5/5
Mirada Exclusive Bodrum,"Mirada Exclusive Hotel’de ikinci kez konaklama deneyimi yaşıyoruz ve açıkçası ilk ziyaretimizde oluşan yüksek beklentimizin bu tatilde de aynı seviyede, hatta daha da üzerinde karşılandığını memnuniyetle söyleyebilirim. 6 gündür burada eşim ve oğlumla birlikte geçirdiğimiz tatil, baştan sona kusursuz bir deneyim sundu.
Otelin genel atmosferi, mimari düzeni ve özellikle temizlik konusundaki hassasiyeti gerçekten üst segment bir işletmeye yakışır düzeyde. Otelin konumu, denizi, denizin temizligi gercekten cok guzel. Odalardan ortak kullanım alanlarına kadar her noktada titizlik hissediliyor. Bu özen, misafire verilen değerin en net göstergesi.
Hizmet kalitesi ise ayrı bir parantezi fazlasıyla hak ediyor. Tüm ekip son derece profesyonel, güler yüzlü ve çözüm odaklı. Ancak özellikle bazı isimleri anmadan geçmek haksızlık olur. Restoran bölümünde görev yapan Mustafa Bey’in ilgisi, havuz barda Eyüp Bey’in
enerjisi ve misafirle kurduğu iletişim, deniz tarafındaki barda görev yapan Enes Bey ve Mert Bey’in hızlı ve özenli servisleri, guleryuzleri gercekten keyif katiyor tatile.
İki yildir tatilimizin bir bölümünü burada geciriyoruz ve tum arkadaslarimiza tavsiye ediyoruz, tavsiyemizle gelen arkadas gruplarimiz da cok memnun kaldilar.
Mirada Exclusive, sadece bir tatil noktası değil, yüksek standartları, detaylara verdiği önem ve güçlü hizmet anlayışıyla tekrar tekrar tercih edilecek bir destinasyon. Kaliteli, huzurlu ve gerçekten “iyi hissettiren” bir tatil arayan herkese gönül rahatlığıyla tavsiye ederim.
Emeği geçen tüm ekibe içten teşekkürler","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks
OdalarGenis ve temiz
Yiyecek ve içeceklerOrtalamanin uzerinde",Google üzerinde bir ay önce,5/5
