otel_adi,yorum,hizmet,tarih,puan
Sami Beach Hotel,"Otelden genel olarak çok memnun kaldık. Özellikle yemekleri gerçekten harikaydı. Salatalar ve mezeler oldukça çeşitli, lezzetli ve her zaman tazeydi. Kullanılan sebzelerin ve meyvelerin tazeliği de ilk lokmadan itibaren hissediliyordu. Neredeyse günün her saatinde yiyebileceğiniz bir şeyler var, bu konuda gerçekten çok başarılılar.
Öğle yemeğinin ardından hamburger, sosisli sandviç ve dondurma ikramı bulunuyor. Hemen sonrasında ise bar bölümünde kuru pasta ve atıştırmalıklar servis ediliyor. Aç kalmanız neredeyse imkânsız.
Denizi ve plajı mükemmel, havuzu da çok temiz ve keyifliydi. Ayrıca otelin düzenlediği tekne turuna da katıldık ve çok keyifli vakit geçirdik. Tur boyunca 5 farklı koyda yüzme imkânı bulduk. Birbirinden güzel koyları görmek ve berrak sularda yüzmek tatilimizin en güzel anılarından biri oldu. Bu deneyimi kesinlikle tavsiye ederiz.
Tek olumsuz tarafı, şezlong ve havlu konusunda zaman zaman sıkıntı yaşanabiliyor. Bazı misafirlerin geceden havlu bırakıp yer ayırması nedeniyle gündüz boş şezlong bulmak zor olabiliyor. Bu konuya bir düzenleme getirilirse çok daha iyi olacaktır.
Biz anex odalarda konakladık. Yorumumuz yalnızca bu odalar için geçerli; diğer odalar hakkında bir değerlendirme yapmamız doğru olmaz. Kaldığımız anex odalar biraz eski kalmıştı ve özellikle ahşap kapıların yenilenmesi gerektiğini düşünüyoruz. Ayrıca bizim kaldığımız tarafta güvenlik kamerasının bulunmaması da bizi biraz rahatsız etti. Buna rağmen odalar her gün düzenli olarak temizleniyor ve en ince ayrıntısına kadar özen gösteriliyordu. Temizlik konusunda gerçekten başarılılardı.
Bar bölümü akşam 23.00’e kadar hizmet veriyor. Rakı ve bira damak tadımıza çok hitap etmese de kokteyller başarılıydı. Özellikle Sex on the Beach en beğendiğimiz kokteyllerden biri oldu. Barda çalışan ekip son derece ilgili, hızlı ve güler yüzlüydü. Özellikle barda görev yapan garson Arcan Bey, samimiyeti ve misafirperverliğiyle tatilimizi daha da keyifli hale getirdi.
Ayrıca Vale Volkan Bey’e ayrı bir parantez açmak isterim. Otele ilk girişimizden ayrıldığımız ana kadar güler yüzü, saygısı, yardımseverliği ve çözüm odaklı yaklaşımıyla gerçekten fark yarattı. Her konuda yardımcı olmaya çalışması ve misafirlerle yakından ilgilenmesi sayesinde kendimizi çok değerli hissettik. Böyle çalışanlar bir otelin kalitesini gösteriyor. Kendisine emekleri ve ilgisi için ayrıca çok teşekkür ederiz.
Genel olarak eksiklerine rağmen çok keyifli bir tatil geçirdik. Özellikle yemekleri, denizi, temizliği, personelin ilgisi ve sunduğu olanaklarla tekrar tercih edebileceğimiz bir otel. Emeği geçen herkese teşekkür ederiz.","Odalar3,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
OdalarKlima vs mevcut",Google üzerinde bir ay önce düzenlendi,5/5
Sami Beach Hotel,Bar bölümünde iki tane gencecik güzeller güzeli iki kızımız var fatma ve hazal ilgileri alakaları o kadar güzeldi ki yorumsuz bırakmak ayıp olurdu acele ile çıkmak zorunda kaldığımız için teşekkür edemedik sayelerinde aksamadan güzel bir 10gn geçirdik okuyup çalıştıkları içinde ayrıca mutlu olduk ve ayrıca sorumlu bey efendiyi es geçmemek gerek sorunları göz önünde bulundurup anında yardımcı olması harikaydı bar bölümüne ayrıca ve kocaman tşkler. Resepsiyonda ki bütün arkadaşlar emeğinize sağlık biz yada diğerlerine yaklaşımları konuşma tarzları harikaydı gençlerin bu denli işlerine sahip çıkmaları geleceğimizi emin ellerde olduğunu belli etmeleri harika iyi ki varsınız sayenizde güzel bir tatil geçirdik. Oda temizliği yapan kevser kızımıza çok tşk ederim. Burda en büyük teşekkürü adem beye etmek istiyorum 8ay önce aldığım tatili tarihin son güne kadar takip edip yardımları için binlerce kez tşkler 3.kez gittiğim otel her seferinde mutlu ayrıldım tek sıkıntı yemeklerdi.çeşitliliğiydi bu sene ilk kez yaşadım onun haricinde sami otel ailesine sonsuz teşekkürler.. Gençler iyi ki varsınız..,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun · Büyük fırsat
OdalarOdalar harika
Yakındaki etkinliklerOtelin kendi eğlenceleri mevcut animasyon yapan kişi önemli
GüvenlikYeterince fazla hiç şüpheniz olmasın
Yürüme olanaklarıDolmuşla her yere imkanlar mevcut
Yiyecek ve içeceklerBir tek bu konuda bu sene sıkıntı yaşadım tatlılar bitene kadar aynıydı ertesi güne diğer yemeklerden ürün üretmek hiç hoş değildi
Önemli ayrıntılarÇalışan resepsiyon bar temizlik yapan arkadaşlara ve çevre temizliği yapan arkadaşlara lütfen kibar olun emekleri çok büyük iyi ki varsınız sami otel ekipler",Google üzerinde bir ay önce,5/5
Sami Beach Hotel,Size güven ve huzur veren önce güleryüzlü ve her konuda yardım etmeye hazır çalılanlarının olması. Odalar tertemiz ve her gün mutlaka havlu değişiyor ve oda şöyle bir elden geçiriliyor. …,,Tripadvisor üzerinde bir ay önce,4/5
Sami Beach Hotel,"Kubilay Demirbaş CB Artemis
Google üzerinde bir ay önce",,Google üzerinde bir ay önce,5/5
Sami Beach Hotel,"Eşimle bu otelde tanıştık. Otelin konumu merkezde olduğu için çok güzel. Yemekler çok güzel opsiyonlar fazla, atıştırmalar çok güzel . Hizmet ve personeller çok iyi cana yakın ve kibar. Deniz havuz temiz eğlenceli etkinliklerle beraber genel olarak çok eğlenceli ve mutlu zamanlar geçirdiğimiz bir yer. 3 senedir yılda 2 kere geliyorum aile gibi olduk diyebilirim. 1 dediğimiz 2lrtmiyor. Çok teşekkür ederim sami otel eylülde görüşmek üzere","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Sessiz · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Sami Beach Hotel,Aklı olan gitmesin arkadaşımla 4 geceliğine gitmiştik yemekleri idare eder sanıyorduk taki son güne kadar ikimizde zehirlendik 3.günden çıkmak zorunda kaldık zehir olayını bir kaç yorumda daha görüp inanmamıştım. Havuzun içi denizden gelenlerin getirdiği kum doluydu suyun içi bulanık gözüküyordu tek güzel yeri deniziydi o da Allah vergisi zaten kısaca yanında o kadar güzel oteller varken buraya gitmeyim hiç bir aktivite eğlence hiç bir şey yok yan otellerde akşam eğlenceler aktiviteler varken bizim oteldekiler bilekliğimizi sormaktan başka birşey yapmıyor,"Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
Sami Beach Hotel,"Merhaba öncelikli olarak bu yorumu otelin daha da gelişimine katkıda bulunmak için yapıyorum.
12-15 Temmuz Tarihleri arasında 3 gecelik konaklama için bodrum civarında otel baktığımda burası dikkatimi çekti bu tarihlerde konaklama için otelin yolunu tuttuk
1. Giriş için resepsiyonda 2 3 arkadaş saat 13.30 da geldiğim için giriş işlemimi başlattılar bana bir oda verdiler önce 2109 nolu işlem tamam arkadaş yardımcı olsun denildi yürümeye başlayacagımız sırada başka odayı söylediler sanırım dolu veya temiz değildi 3109 nolur oda sizlere veriyoruz dediler ve gayet güzel şekilde park yatak istermisiniz diye sorular soruldu herşey olumlu gibi durum odamıza yerleştik bu kısım özetle park yatak akşama doğru 5 sanırı 6 gibi geldi ve bizim 4 defa resepsiyona gidip istememize istinaden ama geldi en azından bu kısım kurumsallığın başlangıcıdır dikkat edilmesi gereken en önemli yerdir diye biliyorum
2- Odalar ; ile ilgili yorum yapma kısmında ise söyle kimin ne beklediğine bağlı 3 yıldızlı otel olarak değerlendirirsek bence sınıfı geçer ama tek dikkat edici detay şudur dolaplar biraz eski yenilirse gayet doğru olur ki Buda şudur böyle oda resimlerini hiç görmedim ben oteli tutma aşamamda
3 - deniz sahil ; denize sıfır sahili gayet temiz ilk girişte balık çok fazla ki normal durum bu sonra ilerledikçe kalmıyor balık denizin zemini kum suyu çok temiz değil renginden ötürü tabiki bu durum sahilin 0 konumunda içeride bar bulunuyor içecek vs alıp sahilde içebiliyorsunuz
4 - havuz ; Havuz bebekli aileler için ideal durumda akşamları temizliği yapılıyor fakat sezlong ve şemsiye sorunu oluyor tabiki insanların bir gün önce havlu koymasından dolayı
4- Yemek ; bence Otelin en Dikkat etmesi gerektiği konu. Budur çünkü gıda konusuna çok hassas birisiyim sabahları peynir standları ne olursa olsun üzeri streç ile kapatılmalı oradan ürün alan insanlar üzerine eğilip arka taraftaki ürünü alırken kıl düşmesi veya ürüne saçlarının çarpması gibi. Yemek çeşitliliğine gelirsek her akşam ve öğlen ızgara tarafında ağırlıkla olarak hindi eti eşlik etmiştir menüsü bana göre çok zayıf ama kim ne ister tabiki değişir bu durum dondurma - pasta kek saatleri mevcuttur ama çıktığı dakika bitip almak için ortalama 15 dk beklemek gerekiyor düzeltmek için olabilir
5- personel ; otelde yeterli personel var gözüktü fakat kim sorumlu kim çalışan kiminle muhatap olmak gerekir gibi konular için birisini bulmak zorlayıcı durum çünkü sivil çalışan da mevcut barda bir bakıyorsunuz 2 3 çocuk içicek veriyor Buda mevcut
6- vale ; bence bu otelin şahsi olarak tek ve kocaman 5 yıldızını hak ediyor otopark kısmında bir savaş veriyor ben geldiğimde her gün bebekten dolayı aracımı alabileceğimi söyledim sağ olsun otelin önüne dar kapasite olmasına rağmen bıraktı ve her istediğimde canla başla yardımcı oldu hatta o kadar samimi birisi ki otelden ayrılacağım sıra isterseniz eşyalara yardımcı olabilirim demesi ve o içten sohbeti için benden kocaman 5 yıldızı aldı kendisi.
Özet geçersek otelden ne beklediğiniz ve ne istediğinize bağlı ama burayı yorumlarken 3 yıldızlık otele 5 vermek fazla olurdu insanları aldatmak gibi tam otelin 3 yıldızına dolu dolu 3 yıldız verdim umarım gidecek olan kişilere yardımcı olmuşumdur","Odalar3,0Hizmet3,0Konum4,0
Odalar3 yıldızlı
Yürüme olanaklarıBarlar sokağında bulunuyor",Google üzerinde bir ay önce,3/5
Sami Beach Hotel,"Kurban bayramı tatili için geldik 2 arkadaş.
4 gece kaldık. Öncelikle 2 bay almak istemediler ve çok uğraştık. 2 bay ne kelime 4-5 bay gelenler olduğunu gördük. Tam bir saçmalık, Tatilbudur üzerinden sorunu çözebildik teşekkürler. Vale var otopark sorunu yaşamadık. İlk girişte de çok kötü bir oda verdiler, pencersi bile yok. İtiraz ettik. Bahçe çıkışlı bir oda verdiler. Bu durumlar biraz moralimizi ister istemez bozdu. Fakat personelin ilgisi, arı gibi çalışkanlıkları bizi çok memnun etti. Genelde doğu kökenli bir personel kadrosu var. Ama çok iyi, çok nazik insanlar. Temizlik yapıyorlar sürekli. Odamız da hergün temizlendi, havlular değişti. Banyo çok küçük geldi bize biraz iri insanlara göre değildi. 1.90 boy olunca kollarımız çarptı. Banyoda yer var aslında genişletilebilir isteseler. Yemek çeşitleri bol, ama kırmızı et çok az çıkıyor, genelde tavuk, balık ve hindi eti veriyorlar. Salataları ve yeşillikleri çok çeşitli ve çok taze. Soğuk mezeleri güzel, tatlı çeşidi de bol. Biraları çok kötü. Rakı marka ve tad olarak berbat, cin ve vodka ehh işte idare eder diyelim. Dışardan tekel marketten bira aldığımız oldu malesef. (Herşey dahilde dışardan alkol almak :)) düşündürücü. Kahve makinaları var ama kahve çeşitleri tad olarak kötü. Çay demleme süper ve bir kaç noktada var. Denize sıfır olması çok güzel, plajda duş yok. Ayaklarınızı yıkayabildiğiniz bir çeşme var. Havuz var hiç kullanmadık. Ama çocuklu aileler için havuza bakan odaları var. Konum olarak çok iyi bir yerde. Otel dışına çıktığınızda aradığınız herşeyi bulabilirsiniz. Akşamları bir sahneleri var ve canlı müzik dahil bir kaç gösteri izleme şansımız oldu. Genel olarak memnun kaldık. Tekrar altını çizeyim personel çok iyi. Bir kez daha gidermisin ? Evet olabilir, bahçe çıkış oda verirlerse :))","Odalar3,0Hizmet4,0Konum4,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde 2 ay önce,4/5
Sami Beach Hotel,"Konaklamamızdan memnun kaldık. Otelin genel hizmet kalitesi oldukça iyiydi ancak özellikle vale olarak çalışan beyefendiyi ayrıca belirtmek isterim. Güler yüzlü, ilgili, hızlı ve her konuda yardımcı oldu. Aracımızı büyük bir özenle teslim alıp aynı özenle teslim etti. Daha otele ilk giriş anından itibaren kendimizi değerli hissettirdi. Misafir memnuniyetine verdikleri önem için valeye ve tüm otel çalışanlarına teşekkür ederiz. Tekrar tercih edeceğimiz bir otel.","Odalar4,0Hizmet4,0Konum5,0
Otelde öne çıkanlarBüyük fırsat",Google üzerinde bir ay önce,4/5
Sami Beach Hotel,Otel odamızdan müşteri tarafından resmen kovulduk saat 12 çıkışında iki çocuk valiz derken 15 dk geç çıktık ve yabancı bir turist odamıza gelip resmen bizi kovar gibi konuşma yaptı oysaki müşteri girişleri 14.00 artık resepsiyondan mı gönderildi oda numaramızı verdiler geç kaldılar çıkarın bunları diye bilmiyorum. böyle birşey hayatımızda görmedik.sonuç olarakta resepsiyondaki kişiler adamın yaptığının yanlış olduğunu anlatmaya çalışırken otel sahibinin kızı diye adlandırdıkları kişi bizim tarafımızda olacağına turisti destekleyip bize boşu boşuna gerginlik yaratıyorsunuz diye tepki verdi diğer otel çalışanları hakında hiç bir kötü sözüm olamaz restorant vale ve barlarda çalışan insanlar pırlanta gibi cana yakın ve özverili hatta vale bizi özel olarak görevi olmamasına rağmen bodruma özel götürdü ama bu güne kadar çok sayıda otel ziyaretimiz oldu böyle bir rezalet bir duruma hiç denk gelmedik. Düşünün odanıza yabancı bir adam geliyor ve sizi kovarcasına çık diyebiliyor.,"Odalar1,0Hizmet3,0Konum5,0
GüvenlikSıfır",Google üzerinde bir ay önce,1/5
