otel_adi,yorum,hizmet,tarih,puan
The Luvi Hotel,Otel fiyat performans oteli. Biz 2. Defa geldik. Temizlikte Aynur hanım odanın temizliğini her gün düzenli bir şekilde sağladı. Kendisine çok teşekkür ederiz. Bar kısmında Ahmet ve Emre bey çok ilgili ve güleryüzlüydüler. Aynı şekilde Salih bey de işini özveri ile yapan saygılı ve güleryüzlüydü. Yemekler güzeldi bir tık çeşit az fakat yine de lezzetliydi . Mezeleri yapan kişiyi tebrik ediyorum eli çok lezzetliydi. Onun dışında otel bebekli çocuklu ailelere uygun. Animasyon var fakat biraz yetersiz . Bu konuda kendini geliştirmeli . Çocuklar için akşam aktivitelerine daha çok önem verilmeli. Denize sıfır şezlonglar yeterli. Zaten olası durumda herkes çok yardımcı oluyor . Bir sorun yaşamıyorsunuz . Klimalar da güzel çalışıyor . Bir tık daha kendini yenilese daha iyi olabilir . Yataklarda ve odalarda . Onun dışında keyif aldığımız bir yer oldu . Severek gelip tatilimizi yaptık,"Odalar3,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
Odalarİyi durumda
Yakındaki etkinliklerHer yere ulaşım rahat
Güvenlikİyi
Yürüme olanaklarıVar
Yiyecek ve içeceklerYeterli",Google üzerinde bir ay önce,4/5
The Luvi Hotel,"Haziran sonu temmuz başı ailecek konakladık.Otopark kapasitesi otel önünde yaklaşık 10-15 araçlik.Ancak otelin yaklaşık 50-60 mt yukarısında park edilebilecek yol kenarı yerler var.odalar genel olarak temizdi.Bir iki kez klima arıza sorunu yaşadık,gelip çözdüler.Yemek çeşitliliği ve kalitesi biraz daha iyi olabilirdi ama aç kalmadık tabi ki her öğün yemeğimizi yedik.Otel denize sıfır konumuyla çok kullanışlı.Odalar,restorant,havuz,havuz bar ve deniz birbirine çok yakın konumda. Personel çok ilgiliydi. Özellikle restorant da bizimle çok ilgilenen bir dediğimizi iki etmeyen Salih Coşkun beye Ailecek teşekkür ediyoruz.Diger yandan Emre bey,Ahmet bey, Erhan bey ve Gürkan beye de güler yüzlü hizmetleri,ilgi ve alakaları için teşekkür ederiz. Otel, deniz,güneş ve Bodrum beklentinizi karşılıyor,ancak animasyon,mini club,akşam eglenceleri,spor aktiviteleri ,yarışmalar da olsun derseniz 5 yıldızlı başka otele bakın derim. Otel kendi klasmanında beklentileri karşılıyor. Fiyat performans Oteli diyebilirim.Yeniden görüşmek dileğiyle.",Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun,Google üzerinde bir ay önce,5/5
The Luvi Hotel,"Odaların konumu balkonlu olması çok keyifli yataklar rahat deniz tertemiz yeşil şezlong alanı çok keyifli şezlonglar kaliteli ve rahat ancak ana yemek tam olarak 4 çeşit içinde bazen tavuk var bazen o da yok. Yan ürün gibi. Vee restoranda klima çalışmıyor bozuk. Terler içinde yemek yiyorsunuz Evet ekonomik bir otel ancak temizlik, yemek ve eleman konusunda gelişmesi gerekiyor. Çeşit artmak zorunda değil ama doyurucu ve hijyen olmalı,klima çalışsa yemekler de rahat edecek.. Tek pozitif yani suyu kapalı şişede veriyor.",,Google üzerinde bir ay önce,3/5
The Luvi Hotel,"Ulaşım 9/10 : Toplu taşımayla ulaşım gerçekten kolay biz uçakla gittik ilk kez olmasına rağmen kolayca gidip gelebildik.
Hizmet 8.5/10 : Odaya ilk girişte temizlik iyiydi.
her gün temizlik var ve iyi durumda.
Garson arkadaşlar genel olarak çok ilgililer.
İnternet 5/10 : bizim kaldığımız odada sadece balkonda çekiyordu bence büyük eksik. Ama şans işi biraz da.
Sahilde veya restoran kısmında çekimle veya hızla alakalı bir sorun yok.
SAHİL KISMI 7.5/10 : Duşlardan su az akıyor ve duş başlıkları biraz alçak boyu 180 üzeri olanlar kafasını yıkaması için baya eğilmesi gerekiyor.Ayrıca müzikler gerçekten iyi değil. Çimendeki şemsiyeler büyük ve gölge olarak yeterliler.Şezlong kapmak için sabah ekren havlu koymak gerekiyor.
YEMEKLER 7/10: Çok büyük beklentiyle gelmezseniz memnun kalırsınız , doymadığım 1 gün oldu , Ogün ızgara balık vardı ama çok kılçıklıydı ailecek yiyemedik maalesef .
Ayrıca restoran kısmı çok sıcak sabah öglen akşam fark etmiyor.
Denizin %40 kısmı kum , %30 kaya, %30 yosun.
Biz tarihten dolayı fiyat olarak iyi fiyata geldik ben 4/5 veririm geneline. Otelin yorumlardaki 3.7 puanı fiyat / performans olarak doğru diyebilirim .",Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun,Google üzerinde bir ay önce,4/5
The Luvi Hotel,"Oteldeki konaklamamız boyunca kat görevlisinin güler yüzü, ilgisi ve titiz çalışması sayesinde kendimizi çok rahat hissettik. Odamız her gün özenle temizlendi ve her konuda yardımcı olmaya çalıştı. Emekleri için çok teşekkür ederiz.Nazan hanım",,Tripadvisor üzerinde 3 hafta önce,5/5
The Luvi Hotel,"Gerçekten çok güzel bir konaklama deneyimi yaşıyoruz. Otelin her yeri tertemiz ve çalışanların güler yüzü bizi ilk andan itibaren çok mutlu etti. Denize sıfır, plajı çok temiz yemekleri ise birbirinden lezzetli ve oldukça çeşitliydi. Konumu da harika; her yere rahatlıkla yürüyerek ulaşabilirsiniz. Üstelik sunduğu hizmete göre fiyatı da oldukça uygun, kesinlikle fiyat–performans açısından beklentimizin üzerinde. Her şey için tüm ekibe çok teşekkür ederiz. Tekrar geldiğimizde hiç düşünmeden yine burayı tercih edeceğiz. Gönül rahatlığıyla tavsiye ederiz. 😊","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Sessiz · Çocuklar için uygun · Büyük fırsat",Google üzerinde bir ay önce,5/5
The Luvi Hotel,"Öncelikle tüm çalışanları güleryüzlü olmasından dolayı ve ilgilerinden dolayı teşekkür ederim. Konum, temizlik, misafir kalitesi son derece düzgün. Bu fiyatlarda gelinebilecek en iyi tesis diyebilirim. Hiçbir eksiği yok. Deniz ve havuz manzaralı odamız muhteşemdi. Tekrar tercih edeceğim ve çevreme memnuniyetle önereceğim.
Ozan Ürer","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
The Luvi Hotel,"Eşim ve kızım ile geçtiğimiz yıl konakladık. Bodrum otel rezervasyonu yaparken karşıma çıkınca yazmadan geçemedim. Konumu ve sahili olması güzel yanları. Odaların bakıma ihtiyacı var ama büyük sayılabilir alana sahip. Yemekler anlatılmaz yaşanır. Bazen yiyecek bir şey bulmak zor. Lezzetsiz, donuk ürünler servis ediliyor. Personel olarak karşılama iyi ancak yemek alanındaki çalışanların iletişimi daha iyi olmalı. Tekrar tercih etmeyeceğimiz bir deneyim oldu.","Odalar3,0Hizmet1,0Konum4,0",Google üzerinde bir ay önce,3/5
The Luvi Hotel,"Bayram tatilim için Costa Luvi Otel’de rezervasyon yapmıştım ancak yaşadığım sorunları, benim gibi başka insanların da yaşamaması adına paylaşmak istiyorum.
Öncelikle duş başlığı kırıktı. Üç kez teknik ekip gelmesine rağmen sorun çözülmedi. Ayrıca sifon çalışmıyordu ve tuvalet kağıdı aparatı da kırıktı. Bunun dışında odada sıcak su yoktu. Tek kişi konaklayacağımı özellikle belirtmeme rağmen odaya tek kişilik bir yatak konulmuştu ve yatak adeta çocuk yatağı kadar küçüktü. Odamın değiştirilmesini defalarca rica etmeme rağmen yardımcı olunmadı. Açıkçası diğer odalarda da benzer ya da daha büyük problemler olduğunu düşündürdü.
Umarım bu sorunlar kısa sürede çözülür ve başka insanlar bayram tatillerini benim yaşadığım şekilde geçirmek zorunda kalmaz.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 2 ay önce,1/5
The Luvi Hotel,"Ailemle birlikte Bodrum’da Costa Luvi Hotel’de konakladık ve gerçekten baştan sona çok güzel bir deneyim yaşadık. Oteldeki tüm çalışanlar inanılmaz derecede güler yüzlü, ilgili ve yardımseverdi. Resepsiyondan restoran ve bar ekibine kadar herkes bize kendimizi çok rahat ve hoş karşılanmış hissettirdi.
Özellikle personel müdürü Gürkan Bey’e ayrıca teşekkür etmek istiyorum. Kendisi çok ilgili, profesyonel ve samimi bir insandı. Tüm servis personeli de son derece başarılıydı; her zaman güler yüzlü ve yardım etmeye hazırdılar.
Mutfak ekibine ve şefe de ayrıca teşekkür ederim. Ben gluten-free besleniyorum ve bu konuda bana çok yardımcı oldular. Yemek seçenekleri konusunda oldukça dikkatli ve anlayışlı davrandılar. Yemekler gerçekten çok çeşitliydi; her gün farklı yemekler, tatlılar, atıştırmalıklar ve birçok içecek seçeneği vardı. Gün boyu açık bar olması da ayrıca çok güzeldi.
Animasyon ekibine, özellikle İlker’e de ayrıca teşekkür etmek istiyorum. Sürekli oteldeki etkinlikler ve Bodrum’daki aktiviteler hakkında bizi bilgilendirdi. Konserler, köpük partileri, tekne turları ve diğer aktiviteler konusunda çok yardımcı oldu ve her zaman ilgiliydi.
Otel genel olarak çok temiz, huzurlu ve rahattı. Deniz ve plaj da oldukça temizdi. Konum olarak da çok iyi bir yerde bulunuyor. Hem aileler hem çiftler hem de sakin ve keyifli bir tatil yapmak isteyenler için çok uygun bir otel.
Genel olarak Costa Luvi Hotel verdiğiniz ücretin karşılığını fazlasıyla veren bir otel. Ailemle birlikte çok güzel anılar biriktirdik. Kesinlikle tekrar gelmek isterim ve Bodrum’a gelecek arkadaşlarıma da gönül rahatlığıyla tavsiye ederim.
Tüm Costa Luvi ekibine misafirperverlikleri için tekrar çok teşekkür ederiz!","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun · Büyük fırsat",Google üzerinde 2 ay önce,5/5
