otel_adi,yorum,hizmet,tarih,puan
Tropicana Beach Hotel,Temizlik olarak sadece “havlu” adı altında hizmet ediliyor. Çalışanların turistlere olan ilgi alakası keşke diğer konaklayan türk vatandaşlara da olsa. Özellikle kahvaltı anında aldığımız hizmet için 0 ın altında bir puan verebilsem keşke. Gelen turistlerin yanında çalışanlardan hizmet görmek bi yana yüzünüze bakan zor oluyor.,,Tripadvisor üzerinde 3 yıl önce,1/5
Tropicana Beach Hotel,Dün bu otelde konaklamaya geldik gelmeden önce aradık ve havuzun saat kaçta kapandığını sorduk 9 denildi ama 6 da kapanıyormuş odamıza 2.30 saat geç alındık yarım saat sonra alıcaz demelerine rağmen ve gece uyurken birden yatağı karıncalar resmen bastı yatağın içi ful karınca doluydu ve yatakta uyuyamadık koltukta uyumak zorunda kaldık sabahta çıkış yaparken resepsiyonda bulunan hanımefendiye söyledik ama şaşırmadı demekki sürekli olan bişey ama çalışanlar güler yüzlü davrandılar kahvaltı da çok iç açıcı değildi kötünün bir tık üstü diyeyim yataktaki pike sapsarıydı. ;),"Odalar2,0Hizmet3,0Konum5,0",Google üzerinde 3 hafta önce,2/5
Tropicana Beach Hotel,"Yerdeki havluları katlayıp yerine koyuyorlar siz temiz zannediyorsunuz aslında temiz değil.
Oraya yakışmayan suratsız mı suratsız özgüvensiz ve amatör resepsiyonist Esen hanım hariç otel şahane. Orayı karıştıran sadece ve sadece bu kadındır. Ondan uzak durun. İngilizcesi de berbat. Niye o işletmede bilmiyorum. Tek Memnuniyetimiz Bar Personeli ve Otel Sahibinin İlgisiydi
Bu otelde 20 gün kaldık ve ikinci gelişimizdi Ne yazık ki beklentilerimizin çok altında bir deneyim yaşadık.
Bar personeli son derece dost canlısı ve ilgiliydi
Otel sahibi kendisi çok nazik ve saygılı bir insan durumumuzla bizzat ilgilendi, özür diledi ve personelle konuştu.
Yaşadığımız Sorunlar
Temizlik Eksikliği
Duşakabin temizliği için ricada bulunduğumuzda, temizlik yapmama cezası gibi bir tutumla karşılaştık.
Yerdeki havlular toplanıp katlanarak temizmiş gibi banyoya geri konuluyordu.
Temizlikçi Dudu Hanım oldukça kaba ve saygısız bir tavır sergiledi.
Personel Davranışları
Resepsiyonist Esen Hanım son derece suratsız ve olumsuz bir tutum içindeydi. Bakışlarıyla bile rahatsız hissettirdi.
Müdür Yunis bey, resepsiyonist Esen Hanımın yönlendirmesiyle bizi haksız yere azarladı sonradan özür dilese de bu davranış kabul edilebilir değildi.
Otel sahibinin müdahalesi sonrası bir düzelme olsa da, yaşananlar tatil keyfimizi büyük ölçüde bozdu
Bar personeli ve otel sahibinin nazik yaklaşımı dışında hizmet kalitesi ve personel tutumu açısından hayal kırıklığı yaşadık Aynı oteli bir daha tercih etmeyi düşünmüyoruz.","Odalar1,0Hizmet1,0Konum5,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde 5 ay önce düzenlendi,1/5
Tropicana Beach Hotel,2 günlük deneyim ilgi alaka gayet iyiydi. Özellikle bar çalışanlarının ilgi alakası harikaydı.,"Odalar4,0Hizmet5,0Konum4,0",Google üzerinde bir ay önce,4/5
Tropicana Beach Hotel,"English is at the bottom:
Özellikle banyo temiz değildi. Oda da bardak yok, çay kahve yapmak için su ısıtıcısı kettle yok, telefon yok, TV inanılmaz küçük. Servis ve güleryüz yok. Lokasyona giderken 7-8 dakikalık karanlık ve ücra bir bölgeden geçiliyor, akşam tehlikeli çünkü koca koca köpekler dolaşıyor yol üzerinde, bu yüzden güvende hissetmedim.
Especially the bathroom was not clean. There were no glasses in the room, no kettle to make tea or coffee, no phone, and the TV was incredibly small. There was no service or friendliness. On the way to the location, you have to pass through a dark and secluded area for about 7–8 minutes, which feels dangerous in the evening because big dogs wander along the road, so I did not feel safe.","Odalar1,0Hizmet1,0Konum1,0
OdalarThere is nothing in the room, not even a glass. No kettle, no phone. The bathroom is very old and falling apart. It was also not clean Oda da hiçbir şey yok, bardak bile yok. Kettle yok, telefon yok. Banyo çok eski ve dökülüyor. Ayrıca temiz de değildi.
GüvenlikThere are big stray dogs running on the road that appears in the dark and in a secluded area. Tenha bir bölgede ve karanlıkta ortaya çıkan yol üzerinde koca koca koşturan sokak köpekleri var.
Önemli ayrıntılarI have stayed in many hotels until now, but I have never left feeling so negative and unhappy. Bugüne kadar birçok hotelde kaldım. Ama hiçbir zaman böyle negatif ve mutsuz ayrılmadım.",Google üzerinde bir yıl önce,1/5
Tropicana Beach Hotel,Oğlumla iki gün konakladığımız güzel şirin otelde kötü hiçbirşey yoktu diyebilirim. Herkes güleryüzlü heryer tertemiz bir bayan olarak çok rahat ettiğim temiz insanların konakladığı aile oteli. Kesinlikle tek başınıza veya çocuğunuzla gelip rahatlıkla kalabilirsiniz . Konum olarak heryere yakın taksi durağı çok yakın. Sahil tertemiz ve kumlu yani gerçekten cennet gibi bir iki gündü. Teşekkürler Tropicana ❤️🌺,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir yıl önce,5/5
Tropicana Beach Hotel,2 senedir geldiğimiz o müthiş otel evinizde hissediyorsunuz çok rahat ulaşımı konumu çok iyi her geldiğimizde 2 gün daha ekleyip tatil uzattığımız tüm arkadaşlarımıza tavsiye ettiğimiz üzerine bu sene arkadaşlarımızı da getirdiğimiz yer . Her ihtiyacınızı karşılıyorlar çalışanlar çok güleryüzlü özellikle Esen hanım bizimle çok ilgilendi herkese teşekkürler seneye görüşmek üzere :),"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 11 ay önce,5/5
Tropicana Beach Hotel,Ailece ilk defa kaldığımız otel personel genelde çözüm odaklı her istediğinize yardımcı oluyorlar sabah kahvaltısı yeterli özellikle Büşra hanım her sabah karşılaması ve ağırlaması çok iyi sakin lokasyon olarak her yere yakın odamizda mutfak eşyaları yeterli otopark sıkıntısı yok tüm personele teşekkür ederiz,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz · Çocuklar için uygun",Google üzerinde 11 ay önce,5/5
Tropicana Beach Hotel,Oteldeki tüm çalışanlar terbiyesiz ve ahlaksız bugün 2 müşteriyi kapıda kıstırdılar tüm çalışanlar 2 müşteriye yürüdü 10 kişi 2 kişiden dayaklarını yiyip girdiler otellerine kısacası müşterisine bunu yapan otelden ne bekliyorsunuz odaları rutubet kokuyor fiyatı 4 bin tl bi oda o fiyatlara Herşey dahil daha lüx ve elemanları terbiyeli düzgün ve temiz odalı yerler var BU OTEL KESİNLİKLE TAVSİYE EDİLECEK YER DEĞİL,"Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 11 ay önce,1/5
Tropicana Beach Hotel,Bu hotelde 10 gün misafir olduk çok temiz resepsiyonda çalışan bayanlar ikiside çok tatlı güler yüzlü ve çok yardımcı oldular ikisine de çok teşekkür ederiz. Diğer müşterilerin görüşlerini okudum ve gözde hanım isimli misafirinizin yazdığına kayılıyorum restorantinizda çalışan bir kişi gerçekten çok kustah ve ayrımcılık yapıyor otele geldiğimiz ilk günü Türk çayı varmi diye sorduğumda aldığım cevap karşısında şok oldum evet gerçekten Türk misafirler ile değil yabancı misafirler ile ilgileniyor onun dışında otel de kalmayı düşüneler varsa tavsiye ederim,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir yıl önce,5/5
