otel_adi,yorum,hizmet,tarih,puan
Baia Bodrum Hotel,"Otelin konumu güzeldi. Denizi güzel, hiç dalga yok ancak sahil taşlı ve deniz yosunlu.
Check-in sırasında bizlere özel bir oda tahsis edildiği belirtildi ancak sonradan fark ettik ki odamız bir alt segment olarak verilmiş. Odanızı teslim alırken kesinlikle dikkat etmelisiniz. Odaların manzaraları çok güzel ancak klima-yatak yerleşimleri önemsenmemiş. Yataklar rahatsızdı ve klima direkt olarak size etki ediyor, boynumuz tutuldu.
Sahildeki snack bar, a la carte restoran, kokteyller ve yemekler güzeldi. Otele günlük misafir de alınıyor ve plaj ile otel birleşik değil. Otelden çıkış yapıp sonrasında sahile geçiş yapıyorsunuz.
Çalışanların tümü güler yüzlü ve ilgiliydi. Restorandaki Alperen Bey’e güler yüzü ve yardımseverliği için ayrıca teşekkür ederiz.","Odalar1,0Hizmet4,0Konum4,0
OdalarKaldığımız odada klima direkt yatağın üzerine vuruyordu ve yataklar rahatsızdı. 5 yıldızlı bir otel için rahat olmayan bir konaklama geçirdik. Check-in sırasında bizlere daha iyi bir oda verildiği belirtildi ancak sonradan anladık ki odamız aslında bir alt segment olarak hazırlanmış. +Oda yerleşimleri en iyi manzara için güzel dizayn edilmiş.
Yiyecek ve içeceklerSnack bar ve yemekler güzeldi.
Önemli ayrıntılarCheck-in sırasında sizlere tahsis edilen odayı önceden kontrol etmelisiniz.",Google üzerinde bir ay önce,2/5
Baia Bodrum Hotel,Baia Otel’de konaklamamız boyunca hem memnun kaldığımız hem de hayal kırıklığı yaşadığımız noktalar oldu. …,,Tripadvisor üzerinde bir ay önce,3/5
Baia Bodrum Hotel,"yaklaşık 30 farklı ülkede tatil yapmış biri olarak en son tatilim için ben ve arkadaşım burayı seçtik ve 5 günlük için otel kaldık. fiyatına göre kalitesi ve hizmeti çok kötü. yemeklerde kırmızı et, balık ve ızgara oranı ve çeşitlilik çok azdı. ayrıca bişey isteyince geç getiriyorlar. iş ahlakı ve etiği çok düşük. müşterileri resmen ticari mal olarak görüyorlar. dürüst ve gerçekçi konuşacak olursak bu otele 5 yıldız veren müşteriler ya farklı ülkelerde hizmeti ve iş ahlakını görmemişler ya da ciddiyetten uzaklar...","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 3 hafta önce,1/5
Baia Bodrum Hotel,"Otelde her şey mükemmeldi ama bunların en başında çalışanların ilgisi geliyor bence. Tüm garson barista ve barmenler oldukça güler yüzlü ve her an sizinle ilgilenmeye hazırlar. Aynı şekilde resepsiyon personeli de otele erken gelmemize rağmen hemen odamızı hazır edip, gecenin bir yarısı üçlü priz isteğimizi bile yerine getirecek kadar ilgiliydi.
Denizin iskele kısmı güzel, sahil kısmı taşlı. Biz iskeleden girmeyi tercih ettik. Akşamları gündoğan çarşıya yürümek yakın ve konforlu. Canlı müzik eğlencesi oldukça güzel ve Türklere hitap ediyor diğer otellerin aksine :)
İskeledeki nespresso standı ve istediğiniz kapsülü seçmeniz mükemmel bir fikir olmuş. Sahildeki snack barda yemeklerin bir kısmını sipariş üzerine getirmeleri güzel bir sistem olmuş. Akşamları açık büfe yemekleri daha çeşitli olabilirdi tek eksi olarak.
Haricinde konumu, temizliği, personeli, eğlencesi, hizmeti ile hiç düşünmeden tercih edilebilecek bir otel. Seneye tekrar buluşacağız sanırım :)","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Baia Bodrum Hotel,Hayatımızın yoğun temposunda ailece yılda sadece bir kez tatil yapabiliyoruz. Bu yüzden bu tatilden beklentimiz çok yüksekti; sadece ödediğimiz ücretin karşılığını almak istiyorduk. Maalesef bizim için tam tersi oldu. …,,Tripadvisor üzerinde bir ay önce,2/5
Baia Bodrum Hotel,Haziran ayında 3gece 4 gün konakladık çalışanlar güler yüzlü kibar ve yardımseverler her konuda yardımcı olmaya çalışıyorlar. Odamızı sabah saatlerinde verdiler bizi bekletmediler ve çıkış tarihimizdede yardımcı oldular.Otelin konumu güzel yürüyüş yapa bilirsiniz sahil sahil.Odalar temiz ferah balkonlar geniş klimalar güzel çalışıyor.Ama sivrisinek problemi var genellikle bunu dikkate alın sinek ilacı temin ettiler sağolsunlar ama dışarda çok sinek oluyor akşamlar.Denize gelecek olursak ben pek beğenemedim iri balıklar var kum alanı yok denecek kadar küçük ve taşlı iskeleden atlarsanız fena değil zevk meselesi. Yemeklere gelecek olursak Sabah kahvaltısı güzeldi akşam yemeklerinde meze çeşitleri ve fırın bölümü daha başarılı.Sadece tek eleştirim garsonlar sürekli önünüzden tabakları almaya çalışmaları insanı yemek yerken rahatsız ediyor hemen toplama çabaları var. Akşam pek eğlence yok sadece müzik dj performansı oluyor Türk şarkıları ağırlıklı olması yerli müşteriler için güzel .Çoçuklar için pek aktivite yok çoçuk için pipetli süt meyveli yoğurt gibi seçeneklerde yok mini club çalışanı güleryüzlü ve ilgili sadece alan eski ve pek program yok çoçuk konseptli bir otel değil genelde otelde aktivite yok zaten sadece müzik var. Kafa dinlemelik bir yer balayı oteli gibi düşünülebilir.,"Odalar4,0Hizmet4,0Konum4,0
Otelde öne çıkanlarRomantik",Google üzerinde 2 ay önce,4/5
Baia Bodrum Hotel,"Konaklamasını tamamlamış biri olarak hem artı hem eksileri paylaşmak isterim. Artılarından başlarsak, kokteyl kalitesi ve kullanılan alkollü içecekler oldukça başarılıydı. Deniz temizdi, havuz ve şezlong alanları butik bir otel için keyifli ve yeterliydi. Kahve konusunda da özen gösterilmiş; Starbucks seçenekleri bulunuyor ve Nespresso için ayrı bir bar mevcut. Garsonlar ise saygılı, güler yüzlü ve yardımcıydı.
Eksiler kısmında ise en dikkat çeken konu mutfaktı. Yemek çeşitliliğini ve kaliteyi beklentilerimizin altında bulduk. Kırmızı et seçenekleri oldukça sınırlıydı, ızgara zaten çıkmıyordu dana eti kesinlikle yapmıyorlar. Ağırlıklı olarak tavuk ve hindi sunuluyordu. Izgara ürünler zaman zaman soğuk servis edildi. Ayrıca yemeklerin ve tatlıların yanında isim kartları bulunmadığından ne olduğunu anlamak zor olabiliyordu.
Tatlı bölümünde çeşitlilik yetersiz geldi. Belirli bir krema tarifi edinilip farklı içeriklere koyarak bir tatlı reyonu oluşturulmuş. Restorandaki en başarılı bölümün taş fırın olduğunu düşündük; öğle ve akşam yemeklerinde pizza ve pide seçeneklerini sıkça tercih ettik. Başka seçeneğimiz yoktu zaten.
La Vela alanının a la carte restoran olarak tanıtıldığını gördük öğle yemekleri burada olacak denildi ancak konaklamamız boyunca hizmet vermedi. Bayram döneminde oranın açılacağı belirtilmesine rağmen kullanıma açılmadı ve farklı bilgiler verildi. Sonradan 1 Haziran’da açılacağını öğrendik.
Genel olarak personel, içecek kalitesi ve denizden memnun kaldık ancak özellikle mutfak tarafında geliştirilmesi gereken noktalar olduğunu düşünüyoruz.","Odalar4,0Hizmet2,0Konum5,0",Google üzerinde 2 ay önce,2/5
Baia Bodrum Hotel,"Zaten gittiğiniz her 5 yıldızlı otelde üç aşağı beş yukarı yemek temizlik vs... gibi şeyler standartları yakalıyor. Bu oteli farklı kılan, inanılmaz sabırlı ve güleryüzlü personeli. Mesela yemekteyken garson arkadaşlardan birini çağırmak için baktım. Sanırım Kendi aralarındaki bir problemden ötürü biraz yüzü asıktı. Seslendim, daha bakar bakmaz inanılmaz bir gülümsemeye geçti. Gerçekten taktir edilesi bir durum. Her şeye her an yardımcı oluyorlar. Bu yüzden 5 yıldızı hakediyorlar.
Odalar temiz ve düzenli, havuz yeterli, aquapark biraz küçük ama çocuklar eğleniyor. Sahili temiz ve güzel. Bar yeterli ve oradaki personel de muhteşem. Yemekler biraz eleştirilebilir. Kırmızı ete biraz ağırlık vermeleri lazım. Izgara kısmı iyi değil. Ama fırın güzel. Keyifli bir tatil oldu. Teşekkür ederiz","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun
OdalarBizim kaldığımız aile odaları çok geniş ve güzel
Yakındaki etkinliklerBiz otelden çıkmadık, fakat çıkan arkadaşlar etrafı da beğenmişler
Yiyecek ve içeceklerIzgara geliştirilmeli",Google üzerinde 3 ay önce,5/5
Baia Bodrum Hotel,"Otelin canlı müziği çok keyifliydi, yemek skalaları güzel ancak tad kısmı biraz daha geliştirilebilir. Hijyen olması gerektiği gibi, çalışanlar güler yüzlü ana restaurant çalışanları çok yardım sever ve ilgililerdi. Beach iskele barda çalışan Yaren hanım, Irmak hanım ve Ali beyden de oldukça memnun kaldık. Tekrar gelinebilir diye düşünüyorum 🌺 Teşekkürler 🙏🏼","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Baia Bodrum Hotel,"Konum Mükemmel Ama Hizmet ve Yiyecek Kalitesi Fiyatının Çok Gerisinde
Kurban Bayramı döneminde Baia Bodrum’da bir hafta konakladık. Otelle ilgili en büyük hayal kırıklığımız maalesef yemekler ve hizmet standartları oldu.
Öğle Yemeği & Yemek Kalitesi: Öğle yemeğinin ana restoran yerine a la carte alanda servis edildiği gün menüdeki seçenekler bir elin parmaklarını geçmeyecek kadar azdı. Seçtiğim köfte, hayatımda yediğim en kuru ve lezzetsiz köfte-pilav tabağıydı; o gün adeta aç kaldık.
Açık Büfe Deneyimi: Sabah kahvaltısındaki kişiye özel (cook-to-order) omlet istasyonunda ciddi kuyruklar oluşuyor. Hazırlayan personelin tecrübesizliği sebebiyle malzeme ve yağ oranı her seferinde dengesizdi. Hamur işleri ve kızarmış sebzeler oldukça başarısızdı; sebzelerin düzgün kesilmiş ve doğru pişirilmiş olanına hiç rastlamadım. Açık büfede yemekleri azar azar ve taze taze ikmal etmek yerine tek seferde yığınla koyuyorlar. Bu yüzden ilk saatte gitmediyseniz saatlerce sıcakta beklemiş yemeklerle karşılaşıyorsunuz. Hatta aynı mantıkla ürünlerin günlerce tekrar önünüze geldiğini hissedebiliyorsunuz. Akşam yemeklerindeki çeşitlilik genel olarak beklentiyi karşılasa da pilav/garnitür konusunda maalesef başarısızlar.
Oda Temizliği & Mini Bar: Odamız her gün olmasa da düzenli temizlendi. Ancak mini barın yenilenmesi için çoğu zaman resepsiyonu arayıp özellikle rica etmek zorunda kaldık.
Her Şey Dahil Konsepti: Geceliğine 500$ ödenen bir otelde basit bir Red Bull’un dahi ""Her Şey Dahil"" konseptine dahil olmamasını komik buluyorum. Bu fiyat bandındaki bir otelde istediğinizi rahatça tüketemiyorsanız bu konsepte ""Her Şey Dahil"" demenin bir anlamı kalmıyor.
Starbucks Köşesi & Servis Kalitesi: Starbucks alanında uzun kuyruklar bekliyorsunuz ve çeşit çok kısıtlı. En önemlisi, kullanılan ekipmanların hijyenik şekilde temizlenmediği çok barizdi. Personel genelde yardımsever olsa da servis yapan arkadaşların yüzündeki memnuniyetsizlik ve isteksizlik dışarıdan çok net hissediliyordu.
Özetle;
Otelin konumu mükemmel ve odamızın deniz manzaralı balkonu harikaydı. Ancak bu hizmet kalitesiyle, gecelik fiyatı 280$'ın altına düşmediği sürece bu otele tekrar dönmek hiç mantıklı görünmüyor.","Odalar2,0Hizmet3,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,3/5
