otel_adi,yorum,hizmet,tarih,puan
Cape Bodrum Luxury Hotel & Beach,"İlk girdiğimiz andan çıkış yapana kadar, güleryüzlü ve çok ilgili personeller vardı. Özellikle bizi girişte karşılayıp oteli tanıtan Derin hanıma burdan kocaman kalp. Çıkışta yola çıkarken elimize iki şişe su bile verdi<3 Odalardan başlıyorum, manzara müthiş. İnsanın balkondan içeri giresi gelmiyor. Duş, yatak gayet konforluydu. Biz standart odada kaldık iki kişi için yeterliydi. Odaya bırakılan çay kahve kişisel bakım malzemeleri her gün kullandıkça oda temizliğinde yenileniyor. Odamız her gün temizlendi ve gayet yeterliydi. Havuz ve beach kısmını sevdik. Deniz çok güzel dalgasız, beach oldukça büyük şezlong arama ve kapma derdimiz olmadı. Beachteki personel arkadaşlarda yine çok ilgili ve güleryüzlüydü. Havuz çevreside çok temiz ve keyifliydi. Kahvaltı gerçekten bizi mest etti, çeşit fazla her şey taze ve lezzetliydi. Sıcakların menüden seçilip getirilmesi önemli ve doğru bir detay bizce masaya sıcak ve taze geliyor. Her gün farklı şeyler denedik ve tatmin etti. Akşam yemeklerine gelecek olursak Anda Restaurantta yediğimiz her şey harika ötesi lezzetliydi. Randevu ile geliniyor olması yoğunluk açısından mantıklı. Fakat ona rağmen servis biraz yavaştı. Mezeler ana yemek ara sıcaklar tatlılar hepsi harikaydı. Personel yine çok ilgili ve güleryüzlüydü. Biz bu tatilden +5 kilo ile dönüyoruz kısacası😅 Hotel yalıkavak ve türkbüküne yakın geceleri çıkılabilir. Bir puanı, oda servisinin yavaşlığından ve kantindeki bayan personelin bakış ve tavırlarından hoşlanmadığım için kırdım. Onun dışında her şeeeeyden çok memnun kaldık. Tüm personele çok teşekkürler ve sevgiler…","Odalar5,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde 2 ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,"Nereden başlasam bilmiyorum harika bir tatildi bizim için. Odamız havuzluydu manzarası güzeldi. Farklı oda tutmamıza rağmen jest yapıp bizi o odaya aldılar. Odalarda ücretsiz nespresso var klima yeterli dizayn şık. Günlük temizlik gayet iyi. Bakım kitlerini çok beğendim içerisinde marvis diş macunundan tutun permatik, tampon, ped vardı. Otelin içerisi şık temiz kokulu. Kahvaltısı gayet yeterli ve lezzetler güzel. Biz yarım pansiyon satın aldık akşam yemeklerinde anda restoran tercih ettik çok güzeldi. Porsiyonlar büyüktü. Tuna bey ve dilan hanım çok nazik insanlar. Kahvaltıda çalışan arkadaşların ismini unuttum ama herkes çok iyiydi istemediğimiz halde hep bir şeyler yedirmek istiyorlar. Otelin havuzu bence çok kullanıma uygun değil. Derinlik havuzu çünkü. Plaj harikaydı beach çalışanları da çok iyi. Otelden genel olarak biz çok memnun kaldık. Müşteri ilişkilerinde Süheyla ve eylüle özellikle teşekkür ederiz. Otelin sahibi kim ise içi çok rahat olsun , kadro harika. Ödedigimiz kurusu kurusuna helal olsun.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik",Google üzerinde 2 ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,"Sıkça geldiğimiz bu çok güzel otele sezon başında bir kez daha geldik. Hepsi deniz manzaralı odalar tertemiz, çok iyi seviyede banyo amenity leri var. …",,Tripadvisor üzerinde 2 ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,Beach kullanımı için geliyoruz her sene. Otele yorum yazdığım için kusura bakmayın fakat sahil tarafında girişte ödeme için elimizde çantalarla çocuklu bekletildim ödeme aldıktan sonra sahile inebilirsiniz dediler anlıyorum artniyetli insanlar olabilir fakat ufak oğlumla eşimle çantamla bekletildim şaşırdım ve üzüldüm açıkcası. Onun harici herşey mükemmel bence. Herkese teşekkür ederim. Tekrar kusura bakmayın düşük puan verdiğim için düzeleceğine inanıyorum🙏🏻,"Hizmet1,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde 3 hafta önce,2/5
Cape Bodrum Luxury Hotel & Beach,Otele az önce giriş yaptım ilk izlenimlerim bayağı iyi çıkarken bu yorumumu güncelleyeceğim umarım her şey çok iyi olur çünkü gerçekten bina ve olanaklar olarak vizyonlu bir plan görüyoruz bunun için tebrik ederim. Çalışanlar çok güleryüzlü ve başarılı. Sadece beach in müziğinin bu kadar insanı yoran stres yapan hatta mide bulandıran bir set olması beni çok üzdü. Şikayetimi misafir ilişkilerine yaptım umarım değişebilirler. 6 yaşından beri profesyonel müzikle ilgilenen ve nöromarketing alanında da uzman biri olarak hangi müziğin ne amaç taşıdığını bilirim şöyle ifade edeyim çok hızlı takip edemeyeceğiniz bir ritmin saatlerce devam etmesi sonucu stres ve mide bulantısı sorunu yaşadım müzikten uzaklaşıp içeri girnce ne yaşadığımı tam olarak anladım nefes nefese kalmış ve dişlerimi sıkmışım dışarı çıkamıyoruz müzikten umarım beach konseptine uygun dinlenebileceğimiz bir müziğe geçiş yaparlar yoksa pek dinlenemicez gibi görünüyor,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik",Google üzerinde 3 ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,"5 gece 6 gün konakladık. Çok memnun kaldık.
Çalışanların her biri o kadar güler yüzlü ki…
Mutfak hakkında konuşmaya dahi gerek yok kruvasanlar,akşam yemekleri,tatlılar buradan 3 kg alıp dönüyorum🤭
Beachi çok güzel. Biz normalde koylara gitmeyi düşünüyorduk fakat otelden ayrılamadık.
Özellikle bizim gibi yerli arkadaşlara söylüyorum evet biraz ödenen tutar ortalama üstü ama inanın değer,verdiğiniz paranın karşılığını yemeği ile hizmeti ile odanızın o güzel manzarası ile fazla fazla alıyorsunuz. Öneririm:))
giriş ve çıkışta valizlerimize yardım eden beyefendiye ayrıca teşekkür etmek istiyorum. Çok güler yüzlü birisiydi.
Tek kötü yanı konumu uzak ama zaten otelden çıkasanız da gelmiyor:)","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,3 gece rezervasyon yaptığımız tatilimizi 1 gün uzatmak istedik ve o bir gün için toplam kadar ücret ödedik. Bir gün daha uzatmak istedik bize yine aynı fiyat olduğunu söylediler ancak capenin web sitesine baktığımızrw söylenen fiyatla 200€ kadar fiyat farkı vardı bunu söylediğimizde önce web site (kendi web siteleri) ve satış ofisi arasında fiyat farkı olabildiğinin normal olduğunu söylediler sonrada bugüne özel bi kampanya olduğu için fiyatın farklı olduğunu satıştaki arkadaşın bu kampanyadan haberi olmadığını söylediler(yersen). Tamamen profesyonellik dışı bir uygulama bir önceki gün içinde kazıklandığımızı hissettik eğer biz web sitedeki durumu söylemesek bizden ödemeyi alacaklardı ve bir önceki gün içinde belki böyleydi ama bizden alınan ücret farklı. Kahvaltı kalitesi çok düşmüş kahvaltı alanında peynirlerin üzerinde sinekler geziyor (ve ürününlerinyeterince kaliteli olduğunu hissetmedim).,,Google üzerinde bir ay önce,1/5
Cape Bodrum Luxury Hotel & Beach,"Bodrum’un en eşsiz koylarından birinde unutulmaz bir tatil geçirdik. Daha ilk andan itibaren güler yüzlü ve ilgili personelin samimiyeti kendinizi özel hissettiriyor. Denizi ise gerçekten muhteşem; tertemiz, berrak ve adeta kartpostalları aratmayan bir güzelliğe sahip.
Kahvaltısı son derece zengin ve kaliteli ürünlerle hazırlanmıştı. Otelin her köşesinde lüks, konfor ve ince düşünülmüş detayları görmek mümkün.
Huzur, kaliteli hizmet ve eşsiz bir deniz arayan herkes için gönül rahatlığıyla tavsiye edebileceğim bir otel. Bodrum’a tekrar geldiğimizde ilk tercihimiz kesinlikle burası olacak. Emeği geçen tüm ekibe teşekkür ederiz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz
OdalarHepsi deniz manzaralı ve yeterince büyük",Google üzerinde bir ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,"Cape Bodrum’da konaklamamızdan çok memnun kaldık. Özellikle kahvaltısı çok lezzetli ve çeşitliydi. Tüm çalışanlar güler yüzlü, ilgili ve her konuda yardımcıydı. Keyifli ve konforlu bir tatil geçirmemizi sağladıkları için teşekkür ederiz. 🥰","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,5/5
Cape Bodrum Luxury Hotel & Beach,Bodrum’da kalınabilecek tartışmasız en iyi otel. 4. kez konaklıyoruz ve her geldiğimizde kusursuz bir tatil yaşıyoruz. Tüm odaları deniz manzaralı ve şahane dizayn edilmiş. Odalarda ihtiyacınız olan herşey düşünülmüş. …,,Tripadvisor üzerinde bir ay önce,5/5
