otel_adi,yorum,hizmet,tarih,puan
Mivara Luxury Bodrum,"5-10/Temmuz/2026 tarihinde 3 yetişkin olarak 224 nolu kara manzaralı delux odada kaldık. Deneyimlerimi paylaşmak istiyorum.
* Karşılama ve giriş: Otele saat 11:50 de geldik. Odamızın hazırlandığı ve temizlik sonrası yerleşebileceğimiz söylendi. 14:30 a kadar bekledik. Oda numaramı 3-4 kez sormama rağmen net bir cevap verilmedi. Oda numaramız olmadığı için restorandan yemek siparişi veremedik ve 14:45 te ısrarımız sonucu anahtarlarımız verildi.
* Otele ilk gelişimiz. Otelle ilgili hiç bir bilgilendirme yapılmadı. Herşeyi kendimiz öğrendik.
* Odalar konforlu ve geniş. 3 kişinin rahatlıkla sığabileceği büyüklükte. Ancak ek yatak rahat değil. Görselini ekte paylaşıyorum.
* Temizlik yeterli ancak duş alırken su odaya kadar geldi. Banyo gideri tıkalı.
* Kahvaltı gayet iyi çeşit bol yemekler lezzetli.
* Sahildeki restoran ve dondurmacıdan da memnun kaldım. Ancak fiyatların euro olması gerçekten düşündürücü. 1 top dondurma 7 euro. 1 hamburger 32 euro vb.
* Otele girişimizden beri odaya bırakılan tek ikramın görselini paylaşıyorum. Bu konuda yorum yapmak istemiyorum ancak keşke biraz daha müşteri memnuniyetine önem verilmiş olsaydı. Büyük hayal kırıklığı oldu.","Odalar5,0Hizmet3,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,3/5
Mivara Luxury Bodrum,5-10/Temmuz/2026 tarihinde 3 yetişkin olarak 224 nolu kara manzaralı delux odada kaldık. Deneyimlerimi paylaşmak istiyorum.||* Karşılama ve giriş: Otele saat 11:50 de geldik. …,,Tripadvisor üzerinde bir ay önce,2/5
Mivara Luxury Bodrum,Yaklaşık 15.000 Euro ödeyerek 20 günlük aldığım tatilimi daha otele giriş yaptığım ilk saatte mahveden bir otel müdürü ile karşı karşıya kaldık. …,,Tripadvisor üzerinde 4 hafta önce,1/5
Mivara Luxury Bodrum,Eşim ile premium queen deniz manzaralı odayı tercih ettik ve gerçekten çok memnun kaldık. Yine Bodruma gitsem tekrar aynı oteli tutardım. Otel çok temiz çok ferah ve personel çok ilgili. Denize iskeleden girdik ama isteyen küçük plajdan da girebiliyor. Kahvaltısı gayet güzel ve kaliteliydi. Teşekkürler Mivara biz çok memnun kaldık.,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Mivara Luxury Bodrum,"Otelin konumu, denizi, yemekleri, herseyi cok güzel. Bütün calısanlar cok güzelyüzlü, cok ilgili ve çözüm odaklı. Ozellikle Yusuf Bey'e işini bu kadar severek yaptığı icin cok tesekkur ederiz. Su sporlarındaki Ayse hanıma ve ekibine de ayrıca tesekkur ediyoruz. Seneye görüsmek üzere.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Mivara Luxury Bodrum,Otel çalışanlar hizmet herşey mükemmeldi. Eşim ve 1 yaşında oğlumla gittik sıcak çocuk havuzları vardı herşey güzeldi özellikle çalışanların hizmeti pozitif oluşları harikaydı tek problem kahvaltı da seçenek azdı sıcak seçenekleri yoktu bir de içerideki restoranları Euro ile çalışıyordu bu durum bizi rahatsız etti.,"Odalar5,0Hizmet5,0Konum4,0",Google üzerinde 2 ay önce,4/5
Mivara Luxury Bodrum,"Otel gündoğanın muhteşem manzarasına sahip. Girişten itibaren kendinizi özel hissediyorsunuz. Kahvaltısı, restaurantı ve plajı çok güzel ve keyifli. Belirtmeliyim ki personel çok ilgili. İşini severek yapan güler yüzlü herkesi bu otelde toplamışlar. Eşimin doğum günü sebebiyle pasta ve prosecco jestleri de çok tatlıydı. Galiba her sene tatil ritüelimiz için otelimizi bulduk. 🤍","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik",Google üzerinde 2 ay önce,5/5
Mivara Luxury Bodrum,Tatilim yeni bitti dört gün burada kaldık gerçekten her şeyi muazzamdi.otel çalışanları hepsi çok saygılı ve sempatikti. Elinden geldiğince en yüksek kalite hizmeti verdiler ki fiyatına göre çok üstünde bir performanstı. Otelin kokteylleri harika. Yemekleri harika. Garsonundan temizlikçisine aşçısına resepsionistine burdan teşekkürlerimi sunuyorum. Hiç bir kulp bulamadım. Kara manzaralı oda tuttuğumuz halde boş diye deniz manzarılıyı verdiler. Buda çok tatlı bi hareketti. Selin hanıma burdan teşekkğr ederiz,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Mivara Luxury Bodrum,"Güler yüzlü ve kaliteli personeli, tertemiz odaları, harika kahvaltısı ve güzel deniziyle keyifli bir tatil geçirdik. Özellikle balayı ve yetişkin çiftlere tavsiye ederim. Türkbükü ve Yalıkavak Marina’ya araçla yaklaşık 15 dakika mesafede. Bütçeniz uygunsa deniz manzaralı oda tercih edin; manzara gerçekten harika. Su sporları otelin önünde mevcut, mutlaka deneyin. Ayşe Hanım da bu konuda çok yardımcı oluyor.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Mivara Luxury Bodrum,"Personel ilgisi, konum ve temizlik iyidi. Otel odasındaki vücut losyonlarının tarihi geçmişti. Tarihi geçmiş ürünlerin müşteriye kullanması için servis edilmesi çok üzücü. Müşteri ilişkilerine de konuyu bildirdim. Yeni losyon getirdiler.","Odalar1,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,4/5
