otel_adi,yorum,hizmet,tarih,puan
Akyalı Butik Hotel,Berbat butun odalar kırık dokuk allah yangın vermıs uslanmamıslar eleman kullanıp sıgortasız 1 2 gun calıstırıp sıgorta odememek ıcın yol bulmuşlar tarzım degılsın deyıp atıyorlar oda yetmemiş gelenlere herkese ayrı fıat cekıyorlar sonra …,,Tripadvisor üzerinde bir ay önce,1/5
Akyalı Butik Hotel,Kara manzaralı oda diye sattıkları oda budur odalarda ışık yetersiz ayna doğru düzgün yok havasız akşam yemeğine hazırlanayım derseniz ışık ve ayna sıkıntısı çekebilirsiniz girişteki bayan aşırı suratsızdı çarşaf lekeliydi odaya konulan havlular yetersizdi kahvaltı geliştirilebilir zira 4 gün konakladım 4 güm boyunca aynı zeytin ve reçel geldi aşırı derecede park sıkıntısı var ve sürekli rahatsız edildik gecenin bilmem kaçında arayıp arabanızı çekin diyorlar rezillik seviyorsanız gelin derim biz 3 gece zor dayandık.,"Odalar1,0Hizmet1,0Konum1,0
Otelde öne çıkanlarÇocuklar için uygun
OdalarKara manzaralı odalar berbat
Yakındaki etkinliklerHiçbir etkinliği yok
GüvenlikOlumsuz
Yürüme olanaklarıHeryer uzak
Yiyecek ve içeceklerOlumsuz
Önemli ayrıntılarOlumsuz",Google üzerinde bir ay önce,1/5
Akyalı Butik Hotel,Otele adım attığınız anda tatilin başladığını hissediyorsunuz. Çalışanların ilgisi her şeyi daha da güzelleştiriyor.Kısa bir kaçamak için geldik ama unutulmaz anılarla ayrıldık. Kesinlikle tavsiye ediyoruz,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarRomantik",Google üzerinde bir ay önce,5/5
Akyalı Butik Hotel,"Oteldeki konaklamamdan memnun kaldım, tesis oldukça konforluydu. Özellikle barista Volkan Bey'in hazırladığı kokteyller oldukça başarılıydı, kendisinin eline sağlık. Keyifli bir deneyimdi, teşekkürler.",Otelde öne çıkanlarMuhteşem manzara,Google üzerinde 2 ay önce,5/5
Akyalı Butik Hotel,Tatil için 3 gün kaldığımız çok güzel ve ferah bir butik otel . Hizmet kalitesini çok beğendim . Ayrıca çalışanları çok güler yüzlü ve çok misafirperver insanlar. Hep tercih edeceğim bir yer ... Iyi çalışmalar dilerim!,Otelde öne çıkanlarMuhteşem manzara,Google üzerinde 2 ay önce,5/5
Akyalı Butik Hotel,3 gündür konakladığım akyalı butik otelde çok güzel hizmet aldım odaların temizliği gayet idealdi fiyat performans olarak tercih edilebilecek bir otel konumu ve odamın manzarası çok güzeldi,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Büyük fırsat",Google üzerinde 2 ay önce,5/5
Akyalı Butik Hotel,Yorum yazanların hepsı arkadaşları kendisi bizzat soyledı akyalı butık otel bodrumun en berbat oteli odalar kırık kapısı balkon dolap calısmıyor havuz pıslık ıcınde furkan otel sahibinin kardesı fazla fıat verip kazııkladım dıye sevinip sacma sapan ıcerde bagırıyor tercih sızın bın pısman olup cope atıp paranızı yazık etmeyın tatılınıze,,Google üzerinde bir ay önce,1/5
Akyalı Butik Hotel,Otel fiyatları performans bakımından çok iyiydi. Konumu güzeldi. Denizi çok güzel ve temizdi. Çalışanlar çok ilgiliydi.Herkese tavsiye ederim.,"Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz",Google üzerinde 4 hafta önce,5/5
Akyalı Butik Hotel,"Otelde geçirdiğimiz süre boyunca çok memnun kaldık. Odalar temiz ve konforluydu. Personel güler yüzlü, Fatma hanım her konuda yardımcı oldu . Konumu da oldukça güzel. Keyifli ve huzurlu bir tatil geçirmek isteyenlere tavsiye ederim. Teşekkürler!”","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun · Büyük fırsat · İleri teknolojili",Google üzerinde 2 ay önce,5/5
Akyalı Butik Hotel,"Mükemmel bir tatil geçirdik. Personelin ilgisi ve misafirperverliği gerçekten takdire değerdi. Odalar temiz, konforlu ve düzenliydi. Herkese gönül rahatlığıyla tavsiye ederiz. ⭐⭐⭐⭐⭐","Odalar5,0Hizmet5,0Konum4,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz",Google üzerinde 2 ay önce,5/5
