otel_adi,yorum,hizmet,tarih,puan
Greenport Bodrum,"Bu otel tam “beklentiyi doğru ayarlarsan mutlu ayrılırsın” konsepti. 😄
Deniz gerçekten harika. Sırf deniz için bile gelinir. Otel 3 yıldızlı ve bunu hissettiriyor. Odalar bayağı eski ama zaten odaya tatil yapmaya değil, uyumaya giriyorsunuz. Temizlik her gün yapılıyor, görevli arkadaşlar da sürekli “Bir ihtiyacınız var mı?” diye soruyor, gayet ilgililer.
Otelin merdivenleri ilk bakışta “Bugün bacak günü galiba.” dedirtiyor ama ilginç şekilde insanı çok yormuyor.
Yemekler için Michelin yıldızı beklemeyin. Üç öğün çıkıyor, çeşitler fena değil. Ama mezeler beklediğimden başarılıydı. Karnınız aç kalmıyor.
Animasyon kısmı ise tam bir gizem… Sanırım animasyon ekibi görünmezlik pelerini kullanıyor. 😄 Eğlence arıyorsanız burası değil; kafa dinlemek istiyorsanız tam yeri.
Otel dolu olmasına rağmen çocuklu ailelerin çoğu havuz tarafında vakit geçirdiği için deniz kısmı oldukça sakin oluyor. Gürültüden uzak, dinlenmelik bir ortam var.
Aracınız varsa akşamları otele mahkûm değilsiniz. Çıkıp çevrede güzel yerleri gezebilir, farklı mekanlarda vakit geçirebilirsiniz.
Bir de musluklardan deniz suyu geliyor. Tuvaletten arındırılmış olması iç rahatlatıyor ama dişinizi fırçalarken “Bugün de iyot takviyesi aldık.” hissi yaşayabilirsiniz. 😅
Fiyatına göre değerlendirecek olursam, denizi, sakinliği ve ilgili personeliyle gayet makul bir otel. Lüks beklentiniz yoksa, “Ben denize gireyim, kafamı dinleyeyim.” diyorsanız gönül rahatlığıyla tercih edebilirsiniz.","Odalar2,0Hizmet4,0Konum3,0
Otelde öne çıkanlarRomantik · Sessiz",Google üzerinde 3 hafta önce,4/5
Greenport Bodrum,"26-30 Mayıs tarihleri arasında ailece konakladık. Otelin konumu oldukça avantajlı; hem havaalanına hem de Milas Otogarı’na yakın olduğu için ulaşım konusunda hiç zorluk yaşamadık. Otele girişimizden itibaren çalışanların yaklaşımı oldukça samimiydi. Özellikle resepsiyonda görev yapan Atakan Bey, oda seçimi konusunda bize yardımcı oldu ve ilettiğimiz eksikliklerle yakından ilgilendi. Odalar biraz eski olsa da teknik ekibin arızalara hızlı müdahale etmesi memnuniyet vericiydi. Yemekler genel olarak çeşitli ve lezzetliydi. Sadece kahvaltıda kullanılan bazı ürünlerden çok memnun kalmadık. Bar bölümünde çalışan Ahmet Bey ve Muhammet Bey’e ise güler yüzleri, samimi yaklaşımları ve yoğunlukta bile hızlı ve özenli hizmet verdikleri için ayrıca teşekkür etmek isterim. Konaklamamız boyunca yaşadığımız en önemli sorun temizlik oldu. Beş günlük tatilimiz süresince odamız yalnızca bir kez temizlendi ve temizlik kalitesi yeterli değildi. Bu konuda otelin gelişime ihtiyacı olduğunu düşünüyorum. Havuz, otelin kapasitesine göre biraz küçük kalıyor. Özellikle yoğun dönemlerde rahat yüzmek zorlaşabiliyor. Ayrıca bazı kalabalık grupların havuz çevresindeki yüksek sesli ve küfürlü konuşmaları aileler açısından rahatsız edici olabiliyor. Bu durumu çıkışta resepsiyon ekibiyle de paylaştık. Bunların dışında otel, çocuklu aileler için tercih edilebilir bir tesis. Deniz oldukça derin olduğu için özellikle küçük çocuklu ailelerin bu noktaya dikkat etmesini öneririm. Sahili Güvercinlik’in güzel noktalarından birinde bulunuyor. Sessizlik arayanlar için her zaman ideal olmayabilir ancak aile odaklı bir tatil için genel olarak keyifli bir konaklama deneyimi yaşadık.","Odalar3,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde 2 ay önce,4/5
Greenport Bodrum,"Yorumumu samimiyetle yazıyorum. Lütfen dikkate alın ve aklınız varsa gitmeyin. Otelin otoparkı yok ve arabanızı yola koyarsanız polis ceza yazıyor. Odalara temizlik için çatkapı izinsiz giriliyor ve güya temizlik deniyor ama dahada beter bırakılıyor. Ayrıca temizlikçinin suratıda çok asık ve ilgisiz. Poşette ki kıyafeti çöp sanıp bize sormadan atmış ve otel yönetimi de bu konuda hiç bir şey yapmadı. O poşette değerli bir eşyamızda olabilirdi. Daha önce çok otele gittik ama poşette ki çöpü bile temizlikçiler bize sormadan atmadılar. Yemeklere gelince kahvaltı da her gün aynı menü çıkıyor.Genel olarak yemekte çalışan garsonlar güler yüzlüydü teşekkür ediyorum. Bunun dışında odalarda duş terliği, ayak havlusu vs hiç bir malzeme yok. Örümcek ağı böcek sinek dolu. Çarşaflar beş gün boyunca hiç değiştirilmedi.Odaya girdiğimde her yeri sildim ve peçete simsiyah oldu. Havuza o kadar insan pislik sokuyor içeçek döküyor yemek yiyip giriyor ama otel tarafından uyarılmıyor. Çok eski düzensiz ve başıboş bir otel. Ayrıca çocuklu aileler için özellikle uygun değil. Animasyon gösterisi vs gibi şeyler zaten hiç beklemeyin.Zira çocuk için süt bile bulunmuyor.","Odalar1,0Hizmet1,0Konum2,0
Otelde öne çıkanlarSessiz",Google üzerinde bir ay önce,1/5
Greenport Bodrum,Girişte cook nazik ve kibar karşıladılar oda girişimiz 2 olmasına ragmen biz erken geldik ve bizi hızlıca takribi 11 gibi odamıza aldılar odalar evet biraz eski ama tertemiz porsonel gayet nazik ve ellerinden geldigince yardımcı olmaya …,,Tripadvisor üzerinde bir ay önce,5/5
Greenport Bodrum,"İlk defa bu otele geliyoruz öncelikle kişisel deneyimimi belirteyim. Tatile geliyorken ne istediğinize göre seçim yapmanız en önemli husus diye düşünüyorum. Biz iki kadın arkadaş dinlenmek ve keyif yapalım diye geldik. Butik tatlı bir yer, çalışanları çok yardımcı olmaya çalışıyorlar ve güler yüzlü samimilerdi. Sadece odaları biraz eski ve çok mükemmel bir temizlik yok. Ama bunlar dışında her şeyi keyifliydi. Alkol çok tüketmiyoruz ama oda dahilmiş çok içen biri olmadığımız için sürekli aşağı yukarı yapmadık.Türk kahvesinin dahil olmaması sadece benim için üzücüydü ama onada çözüm bulduk deniz kenarında ki mini bakkal gibi küçük bir yerde ücreti dahilinde sağlıyorlar. Dinlenmek istiyorsanız tercih edebilirsiniz genel olarak aileler bulunuyor rahat edersiniz.","Odalar3,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz
OdalarBiraz eski ama idare eder.
Yakındaki etkinliklerBiz etkinlik tercih etmedik fakat var istediğiniz zaman götürüyorlar.
GüvenlikGüvenlik açısından bir sıkıntı yok.
Yürüme olanaklarıKüçük bir kasaba gibi akşam deniz kıyısında gezebilirsiniz.
Yiyecek ve içeceklerMükemmel değil ama aç kalmazsınız gayet orta lezzetlerde.
Önemli ayrıntılarTürk kahvesinin dahil olmaması dışında bir sorun yok :)",Google üzerinde 2 ay önce,5/5
Greenport Bodrum,İlk defa bir yer hakkında yorum atacağım. 4kişilik bir aile olarak geldik. Bu otelde hizmet namına hiçbir şey yok personelin müşteri memnuniyetine dair hiçbir alakası yok yemekleri konusuna gelirsek 1 haftada tavığun ve hindinin her çeşidini yedik öğle ve akşam yemeği yenilemicek gibi değil hatta güzel dediklerim bile oldu fakat kahvaltıda son 4 gündür sadece tahin pekmez yiyorum soğuk patates soğuk ve neye benzediğini anlamadığım bir menemen peynirler desen hiçbiri yenicek gibi değil .Odalarda küf ve nem kokusu var ve bunu da geçtim en büyük sıkıntı musluktan tuzlu su akıyor elinizi yüzünüzü yıkarken dikkat edin gözünüz yanabilir. Bu otel yaşca büyük ve sakinlik isteyen insanlar için iyi olabilir belki fakat biraz olsun eğlence isteyenler için kıraathane aktiviteleri dışında bir şey yok maalesef otelin konumu da merkeze uzak ve saat 10da bar kapanıyor gece için yemek yok ve dışardan yemek istediğinizde de getir yemeksepeti buraya hiçbir şey getirmiyor karnınızı akşam iyi doyurun yani. Müzik sesini açtırmak istediğimizde saçma sapan tepkilerle karşılaştığımız bir kantinci var ve gerçekten siz eğlenmek istediğinizde çıkıp dans ettiğinizde suratı düşen bir animatör ve kantinci ikilisi var maalesef . Uzun lafın kısası bu otel ucuz ve sürümden kazanıcam diye hijyen personel yemek eğlence her şeyden kısmış ve tadınızı kaçırmak istemediğiniz her dakika önünüze yeni tadsız bir olay çıkıyor. Gelmeyin tavsiye etmem.,"Odalar1,0Hizmet1,0Konum1,0
Otelde öne çıkanlarMuhteşem manzara
Yakındaki etkinliklerYok",Google üzerinde bir ay önce,1/5
Greenport Bodrum,"Otelin konumu muhteşem, sahilin hemen yanında kafeteryası da var, otelden çıkıyorsun 10 mt. sonra deniz. Ancak odalar bir o kadar korkunç. Biz tur ile geldik otele bizim seçme şansımız yoktu ama odaların da bu kadar kötü, bakımsız ve pis olmasına da gerek yoktu. Uygun fiyatlı bir otel olması demek odaların bu kadar pis olması demek değildir. Çarşafların değişmediğini düşünüyorum çünkü biz odaya girdiğimizde benim çarşafımda kan lekesi vardı sanki bizden öncekiler sivri sinek öldürmüş gibi, saat çok geç olduğu için resepsiyondan değiştirmelerini de istemedik. Yalnızca bizim odada mıydı yoksa diğer odalarda aynı şekilde miydi bilmiyorum ama envai çeşit böcek vardı odada. Kokarca, örümcek, güve benzeri uçan bir tür karşılaştığımız böceklerden. Kasa pastan çürümüştü, tuvalet banyo içler acısı, komodinin üzeri bizden öncekilerden kalma kırıntılarla doluydu, korkudan yatakların altına bakamadım. Akşam yemeği ve kahvaltı fena değildi, kafeteryanın fiyatları saplamaca değil piyasa fiyatlarıydı. Bu kadar güzel bir yer bu kadar kötü bırakılmamalı.","Odalar1,0Hizmet3,0Konum5,0",Google üzerinde 3 hafta önce,1/5
Greenport Bodrum,Otel öncelikle 3 yıldızlı bi otel bunu bilerek gelin. Otelde kalıp para verip 5 yıldızlı lüks otel konforu beklemeyin. Otel tam bi fiyat performans oteli çevredeki otellere göre herşey dahil konsepti ile emsal otellere göre gayet uygun fiyatı eşim ben ve çocuğumuzla geldik merdivenlerden dolayı in çık yorulabilirsiniz. Yemeklerden ultra bişe beklemeyin ekonomik bi Otel olduğu için genelde tavuk ağırlıklı çıkıyor. Odalar ve banyo biraz küçük ama bunu bilerek gelin. Otele 5 yıldız vermemin sebebi 2 kişi 3 gece 15 bin liraya kaldığımız için ve 3 yıldızlı bi otelin kapsamını sonuna kadar sundukları için. 1 yıldız veren kişiler muhtemelen hem ucuz olsun hem lüks olsun kafasındalar. Öyle bi Otel zaten ülkede bulamazsın. Çalışanlar gayet ilgililer ve her konuda yardımcı oluyorlar. Temizlik konusunda her gün temizlikçi abla gelip temizlik yapıyor kimsenin şüphesi olmasın. Havuzda gayet temiz ayrıca denizin dibinde bi otel yürüme mesafesinde 500 metre ileride plaj şezlong var veya direkt otelin önünde iskeleden denize girilebilir. Otel biras eski ve bakımsız daha iyi olabilir ama normal 3 yıldızlı bi otel için. Sonuç olarak 3 yıldızlı bi otelde herşey dahil konseptinde kimse 3 kuruşa 5 köfte beklemesin. Kafa dinlemelik ara tatil olarak değerlendirilebilir.,Otelde öne çıkanlarSessiz · Büyük fırsat,Google üzerinde 2 ay önce,5/5
Greenport Bodrum,"Eğlence isteyen birinin gitmemesi gereken ama kafa dinlemek için çok iyi olan bir otel. Hizmetten aşırı memnunuz. Havuz kirli değildi , etrafta ağaçlar olduğundan ötürü ister istemez yapraklar düşüyor ki bu normal, her gün temizliği yapılıyor. Yemekler çok güzeldi ama çıktığı gibi gidilmesi lazım bitebiliyor. Biz çok memnunuz. Tekrar kafa tatili yapmak istersek tercihimiz olur. Odaya girişte 1 2 saat havalandırılması gerekiyor. Tatilimiz güzel geçti.",Otelde öne çıkanlarMuhteşem manzara · Sessiz,Google üzerinde bir ay önce,5/5
Greenport Bodrum,"29.06.2026 tarinde ki deneyim.
Eveeet öncelikle nasıl pisliğin içinde ciğerlerinize kadar boğulurnuz anlatayım. Herşey dahil konsepti (pislikte dahil) olmasına rağmen tek kelime ile rezalet bir otel. 5 gün olarak yer ayırttım ancak 1 gün bile kalamadım. Odalar leş iğrenç bir koku var. Resepsiyona söyledim, sağolsun arkadaşlar ilgilendi. Onlara ayrıca teşekkür ederim. Bana 4 oda gösterildi her odaya 1 adıp atıp köpek gibi odayı koklamam gerekti hepsinde o ağır kötü koku vardı. En son 5.odada daha fazla ciğerlerimi iflas ettirmek istemedim biraz kokan odaya girdim. Banyo leş, çarşaflar leş havlular kokuyor. Klima kendini soğutmuyor, sıcak su yok, su tuzluydu. Tv yok (var ama kanal çekmiyor, karıncalı:)) ( 13 saat araç kullandığım için mecbur soğuk su ile duş aldım) Yatağa kendi havlumu serip yattım. Kazık gibi gece 2 de yatağa girdim 7 dede uyandım kıpırdamadan. Hemen acenta ile iletişimr geçtim otelin geri kalan günlerini iptal ettirdim. Yemekler var evet ama o çatal bıçak yağ lekeri cabası. Ben tek başıma erkek olarak bu pisliğe dayanamadım. Herşey dahile aldanmayın. Kahbaltı dahile gidin temiz otelde kalın.","Odalar1,0Hizmet1,0Konum1,0
OdalarPis Kokuyor Çarşaflar pis İntrrnet yok Tv yok
Yakındaki etkinliklerKendi havuzu ve plajı var onlar temizdi
GüvenlikYok
Yürüme olanaklarıSahilin dibinde çarşıya yakın
Yiyecek ve içeceklerÇatal bıçaklar leş gibi pisti
Önemli ayrıntılarİnsan sağlığı bukadar basit olmamalı. Otel yetkilileri gidip odaları dolaşın lütfen. Şiddetle tavsiye etmiyotum.",Google üzerinde bir ay önce,1/5
