otel_adi,yorum,hizmet,tarih,puan
Celeste Bella Luxury Hotel & Spa,"Başta herşey çok güzel çok ilgili çalışanları fakat oda temizliği kötü asla çarşaflar değiştirilmiyor yatapı örtüp yeri üstten bir silip havluları katlayıp gidiyorlar. Çocuk için ücrrt ödememize rağmen çocuk için bir çarşaf bile verilmiyor(3kere istememize rağmen) neden herkesin oturduğu koltukta çarşafsız yatıyor benim çocuğum?
Yeneklere gelecek olursak görseli bu kadar güzel sakin olan bir otelin sabah kahvaltısı hiç iç açıcı değil tabaklar pis lezzet ortalama. Yorulup otelden çıkayıp otelin restorantınında yemek yemek isterseniz etvah eyvah alkolsüz bir yemeğe 4-5 bin verirsiniz.. ufacık bir çerez tabağındaki tuzlu fıstık bile 250 tl inanılmaz.. kalacak olan misafirlere tavsiyem yemeğinizi dışarda yiyin ..","Odalar1,0Hizmet1,0Konum1,0
Otelde öne çıkanlarSessiz",Google üzerinde 2 ay önce,1/5
Celeste Bella Luxury Hotel & Spa,Tatil planlarımızı genelde Yahşiyi tercih ederiz özellikle denize sıfır. buraya gelirken biraz terettüt ettik ancak yürüme mesafesinde olduğunu yaşayıp deneyimleyince tüm derdimiz de bitti. …,,Tripadvisor üzerinde bir ay önce,5/5
Celeste Bella Luxury Hotel & Spa,"23-30 mayıs tarihlerinde bayram tatili için tercih ettik. Odaların geniş ve yüksek tavanlı olması güzel bir özellik ayrıca duvarların ses yalıtımı olarak da iyi olduğunu söyleyebilirim. Alt katta yer alan odalar için dışarı çıkıldığı takdirde çok bir mahremiyetin kalmadığını araya bir set çekildiği takdirde daha şık olacağını düşünüyorum biz tatilimiz boyunca kapıdan çıktığımız an direkt yan odamızda kalan sakinlerle muhattap olmak zorunda olduğumuzdan bahçe kullanımını pek tercih etmedik. Odaların temizliği noktasında bir problem yaşamadık lakin odalarda bulunan kanepenin temizliğinin yapılması gerekmekte bizim odamızda yer alan kanepe bir hayli lekeliydi. Tesis oda ve havuz kullanımı anlamında keyifli olsa da en büyük hayal kırıklığını kahvaltı anlamında yaşattı. Çok geç servis edilen kahvaltılar bir yana malzeme kalitesi çok kötüydü kar marjlarını düşünülerek herşeyin en ucuzuna gidilmiş olması ayrıca hijyen noktasında çok dikkatsiz davranılması, pek çok kez gelen reçel ve peynir üzerlerinde farklı yemek kalıntıları olması rahat bir yemeğin önüne geçti. Şayet kahvaltı verilmese çok daha mutlu olacağımız bir tesisti.","Odalar2,0Hizmet1,0Konum1,0",Google üzerinde 2 ay önce,2/5
Celeste Bella Luxury Hotel & Spa,"İki küçük oğlum ve eşimle otelde konakladık. Her şeyden aşırı memnun kaldık. Kapalı otoparkının olması, çok büyük bir havuzunun olması ve otelin konumu harikaydı. …",,Tripadvisor üzerinde 2 ay önce,5/5
Celeste Bella Luxury Hotel & Spa,"Otelde geçirdiğimiz süre boyunca oldukça memnun kaldık. Özellikle kahvaltı bölümünde çalışan Atilla Bey, Mübarek Bey, Arif Bey ve Sinan Bey misafir memnuniyeti için ellerinden gelenin fazlasını yapıyorlar. Güler yüzleri ve ilgileri sayesinde kendimizi çok rahat hissettik.
Odalar temiz, düzenli ve konforluydu. Manzarası oldukça güzel, havuz alanı ise keyifli vakit geçirmek için oldukça uygun. Ayrıca otelin sahile yaklaşık 10 dakikalık yürüme mesafesinde olması da büyük bir avantaj. Gerek hizmet kalitesi gerek çalışanların ilgisiyle gönül rahatlığıyla tavsiye edebileceğim bir otel.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Celeste Bella Luxury Hotel & Spa,"Celeste Bella Otel'e üç bayan olarak üç ayrı oda rezervasyonu yaptırmak için telefonla ulaştık. Görüştüğümüz görevliye özellikle rezervasyonun ETS Tur üzerinden yapılıp yapılmadığını sorduk ve bu konuda net bilgi almaya çalıştık. Bize gerekli bilgileri vererek rezervasyon işlemlerini başlattı ve kişisel bilgilerimizi aldı.
Ancak işlem sırasında yaşanan bir koordinasyon eksikliği nedeniyle başka bir müşteri odaları farklı bir kanal üzerinden rezerve etmiş. Buna rağmen bu durum bize zamanında bildirilmedi. Sonuç olarak yalnızca bir rezervasyon oluşturulabildi, diğer iki kişi için oda kalmadığı söylendi.
Rezervasyon ve ödeme sürecinde verilen bilgiler ile otelde karşılaştığımız durum birbirini tutmadı. Tatil planımız aksadı ve ciddi mağduriyet yaşadık. Müşteri bilgilendirmesinin daha dikkatli yapılması ve rezervasyon süreçlerinin daha profesyonel yönetilmesi gerektiğini düşünüyoruz. Yaşadığımız deneyim ne yazık ki beklentilerimizin çok altında kaldı.""","Odalar3,0Hizmet3,0Konum3,0
Otelde öne çıkanlarSessiz",Google üzerinde 2 ay önce,1/5
Celeste Bella Luxury Hotel & Spa,"Biz, spontane olarak bodrumdan gecerken iki günlügüne konaklamak icin tercih ettigimiz bir Hotel. Konumu merkezi sayilabilecek bir yer, Yahsi Beach veya Halk Plajina 10 dakika yürüme mesafesinde.
Hotel odalari konforlu ve ferah, tüm odalar ic tarafa, yani havuz kismina bakiyor, alt katlarin terasi, üst katlarin balkonu mevcut. Peyzaj olarakta bayagi güzel dizayn edilmis, mümkün mertebe her bos alan yesilliklerle süslenmis. Calisan her personel cok cana yakin ve güler yüzlü, her bir talebiniz ictenlikle yerine getiriliyor. Konaklama kahvalti dahil olarak sunuluyor, ama Restorant ta aksam da kaliteli yemek yiyebiliyorsunuz. Burgerden Mantiya, ozgara cesitlerinden Bifteke kadar her damak zevkine hitap ediyor. Kahvaltida ise, yok yok diyebilirim. Sigara böregi, zeytin, peynir cesitleri, omlet, menemen, sinirsiz cay vs...
Cok önemli olan bir konu ise hayvansever bir mekan. Örnegin bizim köpegimizde bu sayede kisitlama olmadan tatil yapabilmis oldu. Bir daha Bodruma geldigimizde kismetse yine burdayiz ve herkese gönül rahatligi ile tavsiye ederiz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Sessiz · Çocuklar için uygun · Büyük fırsat
OdalarKonforlu ve ferah, direk terasa cikis
GüvenlikKapali otopark alani
Yürüme olanaklarıPlajlar, yeme icme imkani",Google üzerinde bir ay önce,5/5
Celeste Bella Luxury Hotel & Spa,"Otelde 2 gece konakladık bence otel guzeldı temizlik , personelin sorun oluştuğunda çözümü, havuzunun büyüklüğünü, sessiz sakın bir oteldi sadece kahvaltı yetersiz ve özensizdi ürünler daha taze olabilirdı.. Denize uzaklığı da yürüyerek 10 dk sürüyor",,Google üzerinde bir ay önce,4/5
Celeste Bella Luxury Hotel & Spa,"Biz 3 arkadaş olarak bu otelde ilk kez konakladık ve çok memnun kaldık. Ortakent’te gitmek istediğimiz her yere yürüyerek ulaşabildik. Denize yaklaşık 10 dakikalık yürüme mesafesinde olması da büyük bir avantajdı. Odalar temiz ve konforluydu, kahvaltı ise oldukça çeşitli ve lezzetliydi. Genel olarak harika bir deneyim yaşadık. Tekrar gelmek için sabırsızlanıyoruz!","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Celeste Bella Luxury Hotel & Spa,Bayramda arkadaşlarımla bu oteli tercih ettik. Odamız tertemizdi çok memnun kaldık. Otoparkının olması ve konumunun avatajlı olmasından dolayı bu oteli seçtik. Kahvaltısından ve havuz başında vakit geçirmekten çok keyif aldık. Teşekkür ederiz!,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
