otel_adi,yorum,hizmet,tarih,puan
Viras Hotel & Beach,Temmuzun ikinci haftası ikiz yeğenlerim ile konakladık. Çok rahat ettiğimiz keyifli bir tatil oldu.|Virasın konumu çocuklarla tatil için çok ideal. …,,Tripadvisor üzerinde bir ay önce,5/5
Viras Hotel & Beach,Ailece gidilebilecek güzel bir yer konumu harika temizlik konusunda iyiler sefleri ilgili biri harıç ( baran)... Kahvaltıda her yer doluydu masanın yerini gölgeye almak yerine sorun çıkararak bizi yapabılecek birşeyim yok diyerek güneşin altında kahvaltı yapmaya mecbur bıraktı.... Neyse ki Muhammet ve Bayram kardesimiz cozum odaklı... Özellikle Muhammet sefimize ilgisi güleryüzü ve cozum odaklı yaklaşımları için tesekkür ederiz. İşini severek yaptıgı cok belli.,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde 2 hafta önce,4/5
Viras Hotel & Beach,Bodrum arena Tenis turnuvası için önerilen otel olarak gittim . Akşam yemeği kahvaltı dahil bir otel yemekler yeterli. Otel çalışanları servis konusunda gayet memnunum kaldım. Otelin konumu denize kenarı olması ve plajdaki yediğim kalamar gayet lezzetliydi. Otel odaları büyüklüğü normal ama ses yalıtımı hiç yok otel kapıları devamlı arkadan kitlemek gerekiyor ve yatakları konforlu değildi Balkonu olması ve odaların günlük temizliği iyidi. Fiyat performansı olarak tercih edilebilir bir otel,"Odalar2,0Hizmet4,0Konum4,0
Otelde öne çıkanlarÇocuklar için uygun · Büyük fırsat
OdalarOtel odaları büyüklüğü normal ama ses yalıtımı hiç yok otel kapıları devamlı arkadan kitlemek gerekiyor ve yatakları konforlu değildi Balkonu olması ve odaların günlük temizliği iyidi.
Yakındaki etkinliklerÇevresinde yeme içme ve eğlence konusunda mekânlar bulunmaktadır hepsi yürüme mesafesinde çok keyifli yürüyüş sahili var
GüvenlikÖzel otoparkı var
Yürüme olanaklarıSahilde keyifli yürüyüş yapıp farklı mekanlara ulaşabilirsiniz
Yiyecek ve içeceklerKendi Plajında her türlü yemek yiyebileceğiniz restoranı var pizza ve kalamarı tavsiye ederim
Önemli ayrıntılarFiyat performansı, lokasyon deniz ve plajı iyi",Google üzerinde 2 ay önce,3/5
Viras Hotel & Beach,"Harika bir tatil deneyimi yaşadık. Otelin temizliği gerçekten çok iyiydi. Yemyeşil ağaçların içinde, doğayla iç içe konumu insana huzur veriyor. En çok etkilendiğimiz noktalardan biri ise çalışanların samimiyeti ve misafirperverliğiydi; her zaman güler yüzlü ve yardımcıydılar. Özellikle bar ekibine ve özel akşam yemeği konseptine ayrıca teşekkür etmek isteriz.Keyifli atmosferi ve özenli hizmetiyle tatilimizi unutulmaz kıldılar. Marmaris’te dinlenmek ve kaliteli zaman geçirmek isteyenlere gönül rahatlığıyla tavsiye ederiz","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde bir ay önce,5/5
Viras Hotel & Beach,"30.05.2026. Yüksek beklentiler ile gelmezseniz harika bir tatil geçirebilirsiniz. Öncelikle tesis çok kompakt. 400 mt içinde uyuyor, yiyor, içiyor ve denize giriyorsunuz. Bu bence muhteşem bir konfor. Sahili ve denizi harika. Yorumlarda kum yazan olmuş ama minik taşlardan oluşan bir sahili var. Şezlong vs yeterli. Sahile servis var. Yarım pansiyon konakladık. Öğle yemekleri ve içecekler içinde bütçenize göre seçenekler mevcut. Fiyatlar konum itibariyle makul düzeyde. Sabah kahvaltısı ve akşam yemeği (yarım pansiyona dahil) aç kalmayacağınız, kendinize göre bir seçenek bulabileceğiniz zenginlikte. Açık büfe konseptli ama 5 yıldızlı büfe beklememelisiniz. En can alıcı noktaya gelirsek, bence bu tür mekanları kurtaran her zaman bu konudur ki; çalışanlar güler yüzlü, saygılı ve içten davranıyorlar. İyi bir tatil geçirmeniz için ellerinden geleni yapıyorlar. Bu da oluşabilecek olumsuzlukları büyük ölçüde ortadan kaldırıyor. Hepsine ayrı ayrı teşekkür ediyorum bu güzel tatil için.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz · Çocuklar için uygun · Büyük fırsat
OdalarOdalar küçük sayılır ancak tıkış tepiş değil. Günlük bakım ve temizlik yapılıyor. Klima buzdolabı ve çalışıyor.
Yakındaki etkinliklerYahşi sahili genelde sakin ve benzer tesislerden oluşuyor. Otelimiz haftada 1 canlı müzik yapıyor.
GüvenlikKapımız bacamız açık yattık. Sorun olmadı.
Yürüme olanaklarıGüzel yürüyüşler yapabileceğiniz uzun bir sahil yolu var.
Yiyecek ve içeceklerBeklentiyi yüksek tutmayın. Yiyecek içecek kalitesini vs anlatmak için ""Yeterli"" diyebiliriz.
Önemli ayrıntılarHarika, güler yüzlü, ilgili, sempatik bir personel grubu.",Google üzerinde 2 ay önce,4/5
Viras Hotel & Beach,"Arkadaşlarımızla tatile geldik, çok memnun kaldık. Denizi zaten Bodrum’daki en güzel deniz. Çalışanlar güleryüzlü ve hizmet çok iyi, açık büfe kahvaltı ve akşam yemeği seçenekleri de zengin ve lezzetliydi. Özellikle kokteyllerini çok beğendik, Kadir Bey’in ellerine sağlık, en sevdiğim de Cosmopolitan oldu.","Odalar4,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Viras Hotel & Beach,"Hizmet mükemmel otopark sorunu olmayan geniş alanlı bir otoparkı olan yer
Yemekleri HA Rİ KA kendi evimdeymişim gibi hissettim tek sorun deniz biraz çakıllı ama tek sorun o olsun bir sonraki senelerde gözüm kapalı gelebilirim","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz · Çocuklar için uygun …Devamı",Google üzerinde bir ay önce,4/5
Viras Hotel & Beach,Yıllardır sürekli gelip gittiğimiz bir otel. Çok sıcak ve samimi bir havaya sahip bütün çalışanlar çok ilgili ve çok samimi özellikle Beyza hanım. Otelin yemekleri çok güzel ve çok lezzetli yemek çeşitliliği açısındanda harika.,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Viras Hotel & Beach,Yıllardır keyifle ailecek gittiğimiz bir işletme. Hem işletme sahipleri hem çalışanlar herkesi evinde gibi hissetirmek için çabalıyor. Servis konusunda her türlü ihtiyacımıza koşan Baran ve Bayrama ayrıca teşekkürler. Herkesin eline emeğine sağlık. Çok keyifli bi 2026 yaz sezonu olsun :)),"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Viras Hotel & Beach,"Uzun yıllardır buraya geliyoruz. Hem konumu, hem hizmeti hem de lezzeti çok iyi.
Sahibi Mustafa Bey’in herkes ile tek tek ilgilenmesi çok kıymetli.
4 yaşında bir oğlum var. Burada kendini inanılmaz güvende hissediyor.
Özel bir teşekkür de Baran için. Her zaman ilgili, her zaman hızlı. Gelenler o kadar pişman olmuyor ki yıllardır gelenler artık arkadaş olduk.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
