otel_adi,yorum,hizmet,tarih,puan
Yakamoz Otel,"Özet geçiyorum. Hijyen çok çok kotü, verdikleri oda temizlenmemişti değiştirdiler ikinci verdiklerinin klozeti simsiyahtı ve yerlerde çöpler vardı.
Pikeler kirliydi. Akşam yemekleri aşırı kötü çorbalar sulandırılmış ana yemekler başarısız. Çalışanların büyük bir kısmı ilgisiz.
Buraya ödenecek fiyata aynı semtte başka butik oda tutmak mantıklı.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 3 hafta önce,1/5
Yakamoz Otel,Gerçekten çok uzun süredir keyifle gittiğimiz bir yer mütevazi fakat bu sene bıkmışlar heralde nerdeyse gelenlere niye geldi der gibi bir tavırları var onca geçirdiğimizin zamanın bile esamesi okunmuyor çok üzücü işletmede olsan uzun …,,Tripadvisor üzerinde bir ay önce,2/5
Yakamoz Otel,Otelin konumu çok iyi otoparkının büyük olması ve giriş cikislarin rahat olması denize sıfır olması sabah kahvaltısı akşam yemeginin lezzetli olması çalışan kişilerin ve yönetici Ali Bey'in ilgisi gayet mükemmeldi kesinlikle tavsiye ederim.,,Google üzerinde 3 hafta önce,5/5
Yakamoz Otel,"Daha önce gittiğim hiçbiryer için yorum yazma ihtiyacı duymadım çünkü ben ve ailem gayet makul ve içten insanlar çoğu şeyi problem etmeyiz o yüzden bilip bilmeden konuşmamak için bir yorumları okuyim dedim ve verilen cevapları görünce yazmam gerektiği kanaatindeyim. Burda bile yorumlara gelmezsen gelme keşke oraya gitseydin hiç gelmeseydin diye verilen cevaplar gerçeği yansıtmakda en az 5 senedir tercih ettiğimiz 2 sene konakladığımız bir işletme bu kadar tercih etmemizin sebebi konumu ve dediğim gibi çoğu şey göz ardı edip bir problem yaratmamak genç çalışan arkadaşlar çok kibar ve çok ilgili fakat sanıyorum işletme yönetimindeki personel inanılmaz derecede umursamaz bu kadar sene geçirmemize rağmen bile çünkü gerçekten yorumlara yazdıkları cevapları bir davranış biçimi olarak da sergiliyorlar bu kadar sene gelmiş insanları para için darlıyorlar bu zamana kadar eksik mi vermişiz kaçmişmiyiz nedir bu sürekli peşinde gezme insanın, kendileri hesaplarda fazla fazla yazdığını yakalyıncada pardon karışmış gibi birşeyi rahatlıkla söylüyorlar peki farketmesek sizin yaptığınızın adı ne oluyor .tabi bunlara birşey demezseniz sorun yok ama birşey dediğiniz zaman eşyalarınızı toplamaya başlayın hiçbir eleştiriyi kabul etmeyen bunca zamanda bir kusura bakma bile demeyen bir işletme kimsenin ekmeğinde gözümüz yok allah herkesin çarşısına pazar versin yazmaya kalksam yağ içinde patates kızartmasından zehirlendiğimiz çıtır tavuğa kadar yazılır ama başka yere gitseydin derler ki bunları söylemeden de kovmaktan beter ettiler bizim de gururumuz var ama yaşına hürmeten bilmem kaç senedir burdayım gibi klasik cümlelerle elinin tersiyle kovalayan bir işletme yolları açık olsun sadece bu kadar zaman nezaket gösterdiğim için pişmanım .yakışmadı .",,Google üzerinde bir ay önce,1/5
Yakamoz Otel,Ortakent de en mutlu olduğum bir otel. Sahipleri işin başında güler yüzlü personel muhteşem bir deniz ve ortam. Sabah kahvaltısı ve akşam yemeği var. Fiyatlar uygun. Huzur ve sakinlik için Kesinlikle herkese öneririm.,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Sessiz …Devamı",Google üzerinde bir ay önce düzenlendi,5/5
Yakamoz Otel,"Eşinizle, çocuklarınızla rahatça gelebileceğiniz bir otel. Senelerdir kalitesinden ödün vermeyen, yazlığa gelmişsin havasında olan, güleryüzlü personeliyle hizmet veren çok tatlı bir otel. Dört patili kızım olduğu için daha dikkatliyim hayvanlara karşı olan tutunlara. Tüm otel personeli ve otel sahipleri bu konuda aşırı dikkatli ve hayvansever. Onları asla unutmuyorlar. Aynı zamanda patatesli gözlemesi benim favorim :)","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun · Büyük fırsat",Google üzerinde bir yıl önce,5/5
Yakamoz Otel,"Maalesef bu mantıkla yer işleten yerler oldukça ülke hiç bir yere gitmez. Fiyatlar en üst seviyede istanbulda sanki bağdat caddesi ya da boğazda bir şeyler yer gibi fiyatlar ama ne porsiyonlar ne lezzet maalesef o tadı vermiyor. Bir porsiyon köftenin 3 adet olduğu tek yer sanırım. 4 dilim karpuz 400 tl karpuzun kilosunun 5-6 tl olduğu zamanda böyle bir fiyatın adı soygundan başka bir şey değildir. Bir kase yoğurt 200 tl bunlar aklıma gelen inanılması güç fiyatlar arkadaşlar ne eleştiriye ne konuşmaya açık 70 lerden beri bu işi yapıyormuş. Konu 70 lerden beri bu işi yapmak değil eleştireye açık olabilmek ve insan olabilmek. Senin otel olarak bu fiyatları yapman için cok üst düzey bir hizmet sağlaman lazım. 70 lerden beri odalarda tek bir bakım yok. Odalar gider kokuyor böcekler her yerde muhtemelen mobilyalardan cıkan ufak böcekler yatakların üstünde ucuyor. Belli bir para alabilmek için önce o parayı haketmek gerekiyor. Bir daha mı asla buradaki iyi yorumlara inanmayın gerçek yerel rehberlere doğru yorum yazanlara itibar edin maalesef bazı yorumlar kendi yorumları
Bu kadar şey yazdım sadece köfteye yorum yapabilmeniz süper gerçekten gelen köftenin kaç adet olduğunu görebilecek durumdayım ki bu en önemsiz şey önemli olan temizlik sıkıntısı odaların sıkıntısı saçma fiyat politikası olmayan şeylerin yazılması ödenen hesapların tekrar ödenmemiş gibi karşımıza cıkarılmalı gibi devam ediyor. Farklı hesaplardan saldırı yapılmış demeniz çok komik bu saldırı değil konaklama yapan gerçek misafirlerin sizin maalesef duymayı kaldıramadığınız gerçek yorumlarıdır","Odalar1,0Hizmet1,0Konum3,0",Google üzerinde bir yıl önce,1/5
Yakamoz Otel,Bu sene yeni döndük tatilden fiyatı artmasına rağmen hizmet ve kalite yerinde kalmış hatta çoğu şeyden kısmışlar. 3 senemizdi artık hep aynı yere gideriz diyorduk eşimle ve çocuklarla ama bir daha düşünmüyoruz otel çalışanları personel harika ama idare için aynı şeyi söyleyemeyeceğim. Eşim hesap ödemeye giderken anlaştığımız fiyat dışında bir fiyat yazılmış görüştüğümüz kişi benle anlaşmamışsınızdır dedi neyse ki gerekli hatırlatmalar yapılınca fiyatı düzelttiler. Ama çıkışta böyle bir olayın yaşanması hiç hoş olmadı. Onun dışında odalarda hiçbir yenilik yok ilk defa bu yıl saç kurutma makinesi takılmış ama bu da maddi olarak yemeklerden kısılmış sanırım eskiden porsiyonlar ve meze çeşitleri daha çoktu. 5 gece kaldık ama iki gecesinde neredeyse birbiriyle aynı olan sulu köfte verildi. Çok büyük heyecanla geldiğimiz bu yıl biz umduğumuzu bulamadık. Ama personeline ayrıca teşekkürler genç garsonlar ayrıca güleryüzlü ve yardımsever her konuda yardımcı oldular. Tavsiyem odaların günlük temizliğinin yapılması bu çok büyük bir etken ve yastık yatak değişimi çok kötü gerçekten o kadar para veriliyor ama konfor yok. Havuzun temizliği de bu yıl kaldığımız zaman boyunca sadece bir defa yapıldı. Havuzun dibi hep kumdu. Özellikle çocuk havuzu aşırı kötüydü. Diğer yıllar havuz her akşam düzenli temizleniyordu. Fiyatın iki katına çıkartılıp bu gibi şeylerden kısılması bizi çok rahatsız etti,"Odalar1,0Hizmet2,0Konum4,0
OdalarBerbat
Yakındaki etkinliklerYanında müsgebi belediye kafe var önceden otelde öğle yemeği yememize rağmen bu yıl fiyatlar çok arttığı için belediye kafede yedik",Google üzerinde 2 yıl önce,2/5
Yakamoz Otel,Odalar çok eski ve hijyen olarak da çok yetersiz. Denizini sevdiğimiz için tercih ettiğimiz bir yerdi ancak denizin güzelliği maalesef yetmiyor. Huzursuz ve zor şartlarda tatil yapmanın bir anlamı olmuyor. Hem eski hem imkan olarak her şey kısıtlı. Kısacası bir daha tercih etmeyeceğimiz kesin.,"Odalar1,0Hizmet1,0Konum3,0 …Devamı",Google üzerinde bir yıl önce,1/5
Yakamoz Otel,Kendimi evimde gibi hissettiğim bir aile işletmesi. Yemekleri çok iyi ve fiyatlar çok makul. Denizi tertemiz. Plajın yanısıra havuz alanının çevresindeki çimlerde vakit geçirmeyi çok seviyorum ❤️,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz",Google üzerinde bir yıl önce,5/5
