otel_adi,yorum,hizmet,tarih,puan
Zest Exclusive Hotel and Spa,Güzel bir aile oteli|Kendi plajı var çakıl başlayıp kuma dönüyor.|Akşam restoranı lezzetli mezeler ve güzel bir hizmet…|Gün boyu güleryüzlü hizmet alıyorsunuz.|Otelin önünde güzel bir yürüyüş yolu var.|Daha uzun kalmak için muhakkak tekrar geleceğim.,,Tripadvisor üzerinde bir ay önce,5/5
Zest Exclusive Hotel and Spa,Bayram boyunca üç gün oradaydık. Bir kere kendine ayrılmış özel yerin olması muhteşem denize girmek için çok güzel ve keyifli. Kahvaltısı bence yıkılıyor en güzel şeylerinden biri kahvaltısı. Personel çok güler yüzlü özellikle gündüz beachte bize yardımcı olan üç tane arkadaş şu an sadece birinin adını hatırlıyorum o da Mustafa. Ama diğer iki tane daha arkadaş çok iyiydi. Biraz kokteyllerine bakabilir biraz da kahvesini artık biraz değiştirebilir filtresi güzel ama espresso boğazlı olanlar çok da iyi değil,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Çocuklar için uygun · Büyük fırsat",Google üzerinde 2 ay önce,5/5
Zest Exclusive Hotel and Spa,Yemek yemek için geldiğim bir işletme. Görevli Mustafa Bey’in nazik karşılama ve ilgisine çok teşekkür ederim. Müşteriler güler yüz ve sohbet görünce hep mutlu oluyor 😊😊,"Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Zest Exclusive Hotel and Spa,"İş seyahati sebebiyle konakladık, temiz ve düzgün bir otel. Açık Büfe kahvaltısı yeterliydi.Denize sıfır konumda ve plajda kendine ayrılmış bir alanı da mevcut.",,Google üzerinde 2 ay önce,5/5
Zest Exclusive Hotel and Spa,"Resepsiyondan restorantına kadar tum gorevlılerın guler yuzlulugu gercekten harıka Bar kısmında görevli olan o guler yuzlu Azat,eren ve yasın isimli o guzel ınsanları görevlendiren Zest yonetımınede ayriyeten teşekkür ederim","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik",Google üzerinde 2 ay önce,5/5
Zest Exclusive Hotel and Spa,"Çok keyifli bir konumda ve sakin huzurlu bir otel
Çalışanların güleryüzlü ve samimi yaklaşımı tatilimizi kolaylaştırmak adına yardımları çok güzeldi
Kesinlikle tavsiye ediyorum","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 5 ay önce,5/5
Zest Exclusive Hotel and Spa,"Son 4 yıldır her yaz en az bir kere konakladığımız otelin denizi çok güzel. Sakin ve kafa dinlemeye uygun bir ortam var. Sahil boyunca oteller dönüşümlü olarak belli saatlerde müzik açıyor bu nedenle karmaşık bir gürültü kirliliği yok. Otelde özellikle kahvaltının tazeliği ve çeşitliliği harika. Ayrıca, genç ve enerjik bir ekiple çalışmanız ne kadar doğru bir yolda olduğunuzu gösteriyor. Temizlikten yemek servisine, resepsiyondan kat hizmetlerine kadar her alanda karşılaştığımız nazik ve yardımsever personel sayesinde kendimizi her zaman çok rahat hissediyoruz. Bizik tercihimiz üst kat havuz gören odalar ancak cocuklular için havuz alt katlardaha uygun olabilir. Otelin kendi araç otoparkı yok ancak çok yakinda ucretli bir otopark var. Gece kulüplerine eğlenceye biraz uzak kalıyor ama merkeze yaklaşık bir saat, turgutreise 22dk, akyarlara 20 dk yaklaşık uzaklıkta. Ailecek gidilebilecek güzel sakin bir yer. Biz severek tercih etmeye devam ediyoruz.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz · Çocuklar için uygun",Google üzerinde 10 ay önce düzenlendi,5/5
Zest Exclusive Hotel and Spa,Merhabalar. Biz kahvaltı için gitmiştik ve de bizim ile ilgilenen güler yüzlü ve ilgili hizmet eden Azat beyden çok memnun kaldık tavsiye ederiz.,,Tripadvisor üzerinde 4 ay önce,5/5
Zest Exclusive Hotel and Spa,"Eşimle beraber kurban bayramının 4. Günü giriş yaptık ve 5 gece kaldık
Otelin sadece 3 araç park edecek kadar kendine ait yeri vardı. Biz şansımıza hemen girişe park ettik.
Resepsiyonda bulunan arkadaşlar gayet güzel karşıdalar.ve bize müsait olan 2 odayı gösterip tercihi bize bıraktılar.
Odalar gayet yeterli büyüklükte ,temiz ve eşyalar gayet iyi.
İstenildiği taktirde her gün oda temizliği yapılıyordu.
Mini bar var. Her odanın yeterli büyüklükte balkonu var ve 4 parça çamaşır asmak için askı var.
deniz gözüküyor (alt katlarda biraz zor)
Kahvaltı açık büfe ve kahvaltılıklar gayet kaliteli ve çeşitli.
Deniz veya havuz için resepsiyonda havlu (peştemal)veriliyor.
Otelin havuzu temiz ve etrafı bakımlı.
Hemen önde yürüyüş yolunun önünde otelin işlettiği plaj ve restoran var.
Şezlonglar ve şemsiyeler gayet güzel.
Ön sıra şezlonglar otelin müşterisi kullanıma içindi biz kalırken.
Akşam saat 18.30-19.00 civarı diğer 2 sıra şezlong kaldırıp akşam yemeği için masa koyuyorlar .
Denize girmek isteyenler veya restorana gelen insanlar için bu biraz sıkıcı bir durum olabilir özellikle uzun yaz günlerinde.
Deniz girişte biraz çakıl ama 4-5 metre ilerisi kumluk .
Sivrisinek için balkonda sineklik var ama açık bırakırsanız anında içeri giriyorlar.
Sivrisinek kovucu muhakkak yanınıza alın.
Genelde Yahşi bölgesinde sığ ve su serin bu yüzden bu bölgeyi tercih ediyoruz.
Otelin restorandaki mezeler ,ana yemek, alkollü ve alkolsüz içecekler yakındaki yerlere göre fiyat olarak makul.
Zaten 15 dakika yürüyerek civardaki bütün mekanların fiyatlarına ve menülerini kontrol edebilirsiniz.
otel ekibi ve restoran kısmında çalışan arkadaşlar gayet güleryüzlü,ilgili ve saygılıydı.
Fiyat/performans olarak gayet iyi bir otel.
4 yıldız verme sebebimiz duş giderinden devamlı koku geliyordu.
Duş sonrası ufak bir bezle kapatıp anca öyle engelleyebildik kokuyu.
Duş gideri içindeki S ya yetersiz yada yoktu.",Otelde öne çıkanlarBüyük fırsat,Google üzerinde bir yıl önce,4/5
Zest Exclusive Hotel and Spa,"Konumu çok güzel bir yerde ve harikaydı. Otel temizdi, odalar ferah ve güzeldi... Otelden çıkıp yürüsen mini bir çarşısı bile vardı bulunduğu yerin... Koca bir sahil hattı bounca benzer oteller sıralanmış, yemek yerleri, hediyelikçiler, marketler vs her şeyi bulabileceğiniz bir alandı. Denizi fena soğuktu ilk girişte herkes ooo çok soğuk diyerek giriyordu , fakat insan kısa bir süre hareket edince alışıyor 😅🙈sadece çocuğunuz varsa onu yüzdürmek sorun olabiliyor eğer dayanamıyorsa🥹","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun
OdalarOdalar çok temizdi ve dolap alanı gayet yeterliydi, ayrıca banyosu da çok iyiydi🌿",Google üzerinde 10 ay önce,5/5
