otel_adi,yorum,hizmet,tarih,puan
Omar Hotel & Suites,"Şirin mi şirin, samimi bir aile işletmesi. Kendimizi hem evimizde hem otelde gibi hissettik. Bahçesinde huzur bulduk. Bir tarafta deniz manzarası diğer tarafta zeytin ağaçları.. Derin bir nefes aldık. …",,Tripadvisor üzerinde 6 yıl önce,5/5
Omar Hotel & Suites,"Dört kişilik aile olarak iki gecelik bir konaklama yaptık. Biz çok memnun kaldık; personel yardımsever ve güler yüzlü, odalar temiz ve rahat, otelin her köşesi fotoğraflık, kahvaltısı da çok güzel, sahil kısmı çok rahat, deniz çok güzel, havuzu tertemiz, otopark sıkıntısı hiç yok… kısaca bizim için her şey çok güzeldi. Sadece odalardaki mobilyalar eskiydi ama tertemiz ve rahattı. Bodrum’a bir daha tatile gitmem diye düşünüyordum ama bu otelden sonra her sene gelirim diyorum, hatta haftaya eşimle tekrar mı gelsem diye düşünüyorum🙃","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Omar Hotel & Suites,Oteli günü birlik kullandık. Giriş ücreti yok. Sezonda harcama limiti var. Havuz çocuklar için iyi ama sadece otel misafirleri faydalanabiliyor. Denizde iskele var ve şezlonglar çok rahat. Fiyatlar Ankara ile aynı. Torba civarında iseniz burada günübirlik konforlu bir deniz keyfi yapabilirsiniz.,"Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Omar Hotel & Suites,"İki gece konakladık ve çok memnun kaldık. Kendinizi evinizde gibi hissedebileceğiniz çok sevimli bir yer. Otoparkı, kahvaltısı, konumu, otantik odaları ve bahçesi harikaydı. Sabah gün doğumuna tanık olmak da bonusu.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Omar Hotel & Suites,Oda kahvaltı 3 kişi 200 euro fiyat performans gayet iyi,"Odalar4,0Hizmet4,0Konum5,0",Google üzerinde 2 hafta önce,4/5
Omar Hotel & Suites,"1 gece kaldık, otel temiz çalışanlar ilgili kahvaltı güzeldi, konum olarak iyi bir konumda tavsiye ederim.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz",Google üzerinde 2 ay önce,5/5
Omar Hotel & Suites,"Çok tatlı rahat bir otel. Çalışanları çok iyi, herkes kibar ve elinden gelen yardımı yapıyor. Plajı denizi çok güzel. 2 yıldır severek geliyoruz. Öğlem ve akşam yemekleri ekstra siparıs edilebiliyor çok da lezzetli. Sadece bir eksiği var o da kahvaltı. Her gün aynı şeyler çıkıyor, çok lezzetli olduğunu söyleyemem. Seçenek pek olmuyor. Daha çok hazır paketler oluyor. Yerel güzel lezzetler eklenebilir. Paket gıdalar da daha kaliteli seçilebilir.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun
OdalarÇok geniş ve ferah
Yakındaki etkinliklerGüzel restoranlar var
GüvenlikGüvenli bir otel
Yürüme olanaklarıÇok uzun olmayan bir yürüyüş yolu var manzarası çok güzel
Yiyecek ve içeceklerSınırlı
Önemli ayrıntılarManzarası çok güzel, çalışanları harika bir otel",Google üzerinde 11 ay önce,5/5
Omar Hotel & Suites,"Rezervasyon yaptırmadıysanız hemen iptal edin!çünkü her öğlen bu işletmede yememiz içmemize rağmen iskelesinde çocuklar dışardan dondurma getirdi diye personel gelip bizi uyardı. Hemde uslübu hiçte hoş değildi. Odalarında mutfak,tabak çanak bardak olmasına rağmen burda dışardan hiçbirşey yiyip içemiyormuşuz. Müdür yardımcısı beyefendi en son giderken şunu söyledi ""o zaman Bodruma tatile gelmeyeceksiniz""
Ayrıca iskelede müzik namına birşey yokken, kendi müziğimizide çalmamızın yasak olduğunu söylediker. Tatile değilde askeri kampa gelmek istiyorsanız buyurun gelin.","Odalar1,0Hizmet1,0Konum2,0",Google üzerinde bir yıl önce,1/5
Omar Hotel & Suites,"Otel odalarının mobilyaları çok eski tarz ama içi temiz ve geniş.Otel deniz kıyısında küçük bir havuzu var ama temiz.
Biz iki gece kaldık kahvaltı fena değil.Yemekler de gayet uygun ve lezzetli.Yine gider miyim diye sorsanız giderim.","Odalar3,0Hizmet4,0Konum5,0
Otelde öne çıkanlarBüyük fırsat …Devamı",Google üzerinde bir yıl önce,5/5
Omar Hotel & Suites,"Otelde 1 gece minik köpeğimizle konakladık.Harika bir otel, konum çok güzel ve temiz.Çalışanlar gayet güler yüzlü.Yemekte köfte ve çökertme kebabı tercih ettik, gayet doyurucu ve lezzetliydi.
Kahvaltısı da gayet yeterli.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarRomantik",Google üzerinde 11 ay önce,5/5
