otel_adi,yorum,hizmet,tarih,puan
Rixos Premium Bodrum,"Mükemmel bir tatil, harika bir hizmet!
Rixos Premium Bodrum'da ailece harika zaman geçirdik. Otelin denizi ve özel koyu gerçekten muhteşemdi; suyu berrak ve çok dinlendirici. Havuz alanları da son derece temiz, geniş ve keyifliydi.
Restoranlardaki yemek çeşitliliği harikaydı, her damak tadına hitap eden lezzetler sunuluyor. Tüm personelin güler yüzü, inceliği ve profesyonelliği tatilimizin kalitesini bir kat daha artırdı.
Özellikle tatilimiz boyunca bizimle yakından ilgilenen, samimiyeti ve profesyonellikleriyle süreci kusursuz kılan Misafir İlişkileri'nden İpek Hanım'a ve Mehmet Can Alper Alp Bey'e ilgileri için çok teşekkür ederiz.
Ufak bir yapıcı not olarak; Kids Club biraz daha eğlenceli ve donanımlı olabilirdi, geliştirilirse çocuklar için çok daha harika bir deneyim olacaktır.Genel olarak çok memnun kaldığımız bir konaklama oldu, kesinlikle tekrar tercih edeceğiz!","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 3 hafta önce,5/5
Rixos Premium Bodrum,Harika bir tatil geçirdik ve otelden gerçekten çok memnun ayrıldık. Tesisin güzelliği kadar gece animasyonları alakart restaurantları tek kelimeyle muhteşem! …,,Tripadvisor üzerinde 3 hafta önce,5/5
Rixos Premium Bodrum,"Genel rixos premium grupları içerisinde bakıldığında burası maalesef biraz aşağıda kalıyor. Tatilimden memnun kaldım tabii ki ama rixos göcek’te 3 kere, rixos tekirovada 2 kere kalıp çok daha memnun ayrıldım. Arada dramatik bir fiyat farkı da olmadığından orası ile kıyasladığımda eksik gördüğüm şeyler var. Birincisi tesis dağılımı çok iyi değil, iç dizaynı orta düzeyde diyebilirim fakat üst odalarda kaldığınızda shuttle ile ulaşım sağlıyorsunuz. Shuttle odalara nispeten hızlı geliyor diyebilirim ama sahilden odaya veya başka bir yere gitmek için beklemek gerekiyor. Biz genelde yürümeyi tercih ettik. Yemekleri güzel her zamanki gibi rixos grupları bu konuda hayal kırıklığına uğratmıyor. Fakat yine rixos premiumlara göre çeşit azdı. Bazı çalışanların restoran ve sahilde çok istemeyerek çalışıyorlarmış gibi tavırları vardı maalesef. Akşam yemeğinde tabakları, küllüğü ve servis edilen içecekleri masaya resmen fırlatan bir çalışan ile karşılaştık. Hatta çağırmamıza rağmen gelmeyip sanki kötü bir şey istemişiz gibi tavır takınılması çok rahatsız ediciydi, yanlış anladığımızı bile düşündüm ama her bir şey istendiğinde bu hareket yapılınca emin oldum. Tesiste çok yapacak şey yok, magnum bakery ve godiva biraz komik olmuş çünkü magnum direkt paketli dondurma veriliyor godiva ise biraz yersiz duruyor ortama gibi. Sahili ve denizi güzeldi genel olarak. Fiyat performans açısından diğer premium gruplarına göre düşük olduğunu düşünüyorum.","Odalar3,0Hizmet4,0Konum3,0",Google üzerinde bir ay önce,3/5
Rixos Premium Bodrum,"Rixos premium bodrumda 30.06.26-04.07.26 tarihleri arası eşim ve kızımla 4 gece konakladım.
1- odalar çok eski, odadaki eşyaların modelleri çok eski. (Ana bina) yeni olan odalar ile fiyat farkı çok fazla.
Odadaki Duş başlığı belki de otel ilk açıldığından bu yana kullanılan duş başlığıydı ki o kadar eski bir modeldi.
2- otelde ilk gün denizden gelip duşa girdim 1 damla şampuan yoktu. Misafir ilişkilerini arayıp istedim, getirdiler ve öylece bırakıp gittiler eski, içinde 1 damla şampuan olmayan şampuan kutusu ise 4 gün boyunca orada asılı kaldı asla getirilen yenisi ile değiştirilmedi. Saç kremi ise asla saçı açmıyor. Kısaca kalite sıfır. Odadaki mini barda alkol olarak 1 adet bira vardı odada 2 kişi konaklamıyor muyuz biz? 1 tane birayı kısmak nedir?
3- ana restorandaki yemek çeşitliliği az, lezzeti orta seviyede. Böyle premium bir otelde çok daha lezzetli ve çeşitli yemekler beklerdim. Tatlılar desen lezzet yoktu. (1-2 baklava dışında) Restorandaki garsonlardan birkaçı ""abla"" diye hitap ediyor. Bir şey sorduğumuzda şeflerden ters cevaplar aldık. Birkaç kişi dışında garsonlar da ilgili değillerdi.
4- mini kulup yetersiz, çalışanlar ilgisiz. İçecek olarak hazır meyve suları, soft içecekler var. Bunlar mini kulupte olmaması gereken içecekler. Taze sıkılmış meyve suyu yok mu dediğimizde ise olmadığı üzerine ters cevap aldık.
5- alacarte restoran sadece 2 tane ve gündüz açık değil, akşam da ekstra ücretli. Kahvaltı yapabileceğimiz bir alacarte yok. 1 tane alacarte diyebileceğimiz( ama tam değil) peoples diye restoran var orada da yemekler hep aynı ve miktarları az, lezzet fena değil. Zaten 2 tane olan alacarte restoranları öğlen de açık ve ücretsiz olmalıydı.
6- öğlen 5 çayı atıştırabileceğimiz sadece godiva kafe tatlıları ana restoran ile aynı, lezzet az. Godiva marka çikolatalar ise çeşitlilik az ve farklı tatlar değil(madlen çikolata vs.)
7- sahilde içecek servisi geç geliyor çalışan sayısı az.
8- odada o kadar çok sinek vardı ki 1.5 yaşındaki kızım kaşınmaktan sürekli uyandı. Sineklik desen yok.
9- misafir ilişkileri bizi güzel karşıladı, içecek ikram etti fakat oteli gezdirmedi kısaca nerde ne var kısaca söyleyip geçti.
10- çocuğumuzla geleceğimiz belliyken (yaşı 1.5 biliniyor bu da) bebek yatağı konmamıştı. Misafir ilişkilerinde istedik, hk getirdi ve içinde bir önceki bebekten kalma saç tokası ve oyuncak kapağı vardı. Değiştirilmesini istedik.
Otelin iyi yanları: doğası güzel, belki de bin yıllık olan zeytin ağaçlarının altında şezlongta uzanabilmek güzel, denizi güzel. Ortak alanlar temiz ama bu fiyatta bir otelde yukarda saydıklarımın olması tolere edilebilir bir şey değil. Normal 5 veya 4 yıldızlı otele gitsem bu saydıklarımın hepsini anlayabilirim belki ama şuan günlüğü 60.000 tl olan otel için aynı şeyi söyleyemeyeceğim. Beklentimizin çok çok altındaydı. Yıllar önce de aynı otelde konakladım, farklı rixoslarda( farklı şehir, farklı ülke) konakladım böyle değildi. Maalesef rixos kalitesine yakışmayan bir tatil geçirdim ve birdaha rixos otellerine gitmemeye karar verdim.","Odalar1,0Hizmet2,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,2/5
Rixos Premium Bodrum,Otelin konumuna ve denizine söylenecek söz yok. Tek kelimeyle muhteşem. Mart sonu olmasına rağmen denize girilebiliyordu. Biz tercih etmedik. Onun yerine ısıtmalı havuzu tercih ettik. Risk almadık. …,,Tripadvisor üzerinde 3 hafta önce,5/5
Rixos Premium Bodrum,"Nisan ayında balayı için tercih ettik. Bulunduğu koy çok güzel, mevsim nedeniyle denize girmedik fakat manzara ve doğası çok güzeldi. Kapalı havuz kullanıma açıktı fakat ısıtmalı değildi ve açık bir alandaydı. Havuz kısmı adult only olmasına rağmen her yerde çocuklar vardı. Ala Carte'lar hizmete açık değildi. Öğle yemeği için sahildeki People's da alacarte öğle yemeği hizmeti vardı. People's da genel olarak yediğimiz ve içtiğimiz her şey çok güzeldi. Akşam açık büfe konsepti vardı, ızgara kısmında bazı çalışan personel ilgisiz ve lakayitti, ürünleri yeniden pişirme konusunda isteksizlerdi, önceden pişirilen ve bekleyen ızgara ürünlerini almamızı istediler, her seferinde tekrar tekrar yeniden pişirebilir misiniz demek durumunda kaldık. Akşam yemeklerinde içecek servisi çok yavaştı, genel olarak yabancı personeller türkçe verilen siparişleri anlamıyordu, 2.defa türk bir garsona sipariş vermek durumunda kaldık. Akşam yemeği hizmeti bitmesine 5 dk kala, çay talebimiz kapatılma nedeniyle reddedildi. Personellerin geneli çok başı buyruk ve lakayit maalesef. Disiplinli yönetim yok sanırım, müşterilere servis edilen nargileyi personellerin içtiğine şahit olduk maalesef. Sezon olmamasına rağmen terasta yapılan canlı müzik etkinlikleri keyifliydi. Terasta hizmet veren Hazal Hanım çok kibar ve güleryüzlüydü, balayımızın güzel geçmesinde emeği çok. Odadaki diş macunu, şampuan ve vb ürünlerin kalitesi sezondaki ürünlerinden farklıydı. Diş macunu, fırçası vb çok kötü kalitedeydi. Maalesef rixos kalitesine yakıştıramadık ve standartın altında hizmet verildiğini hissettik. Aynı sahil hattında rakip sayılabilecek otel zincirinde sezon dışı konaklamış biri olarak maalesef o otel grubunun çok çok daha altında bir hizmet aldığımızı söyleyebilirim. Sezon dışı ve sezon içi konaklayan misafirlere verilen hizmette ciddi farklılıklar mevcut, sezon dışı konaklamalarda rixos kalitesinin beklenmemesi gerektiğine ilişkin açıklama yapılması daha sağlıklı olacaktır. Büyük beklentilerle gittiğimiz bu otelde maalesef bir daha tatil yapmayı düşünmüyoruz. Çok daha iyi ve çok daha uygun alternatifleri mevcut. Bu yorumlarımızı ciddiye alarak kendilerini geliştirebilirseler sadık müşteri profili oluşturma konusunda fayda sağlayabilirler.","Odalar2,0Hizmet2,0Konum5,0",Google üzerinde bir ay önce,3/5
Rixos Premium Bodrum,"Rixos premium bodrum gerçekten her anlamda muhteşem. Zaten bu otel ve diğer rixoslarin yemekleri muhtesem her zaman olduğu gibi ama burda gerçekten çığır atlamış özellikle İtalyan alakarti lolivo restaurant tattıgımiz her şey muhteşemdi. Deniz harika, kokteyller plajı her an ulasilabilir hizmet her alanda yeme içme hizmet anlamında kolay ulasilabilir olması çok iyiydi. Özellikle ufak bi olumsuz durumda sizi memnun etmek için elinden gelen herseyi bütün samimiyetiyle yapan İpek Hanım ve Hira hanıma çok teşekkürler. Yine kendimizi çok iyi ve özel hissettigimiz bi tatil oldu ❤️","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Rixos Premium Bodrum,"Oda konusunda gayet rahatlık. Fakat konaklama süresince odanın yakınında boya işleri vardı. Manzaramız çok güzeldi. Shuttle la istediğimiz alana ulaşabiliyorduk. Sadece Shuttle için personel eksikliğinden biraz beklemek gerekiyor. People restaurant bence daha önceden gittiğimiz Göcek ve Belek Premium a göre zayıftı menü olarak. Godiva ve People gibi restaurant cafelerin 18.30 gibi kapanması hayal kırıklığıydı. En çokta üzen Kalamati restaurantın kapalı olması ve alacartelerin rezervasyon dışında ekstra ücretli olması. Mevcut olan personel dişiyle tırnağıyla çalışıyordu. Rixy bölümünde genel olarak iyiydi ama sahada daima Türk personel olmalı. İlk gün çocuğum yabancı personelle anlaşamadığı için üzülmüş, ama sonraki günler ekipteki Türk personeller çok yardımcı oldular. Çok teşekkür ederiz. Sahil, havuz güzeldi. Kapalı havuz yoktu, yarı açıktı. Çocuğu kapalı ,sıcak bir havuza sokmak isterdim olmadı. Çok teşekkür ederim.",Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Çocuklar için uygun,Google üzerinde 2 ay önce düzenlendi,4/5
Rixos Premium Bodrum,Otel mükemmel. Tüm personel son derece güler yüzlü ve konukların her türlü ihtiyacında yardımcı oluyor. Her yer çok temiz ve odalar her zaman çok düzenli tutuluyor. Yemekler büyük bir çeşitlilik sunuyor; herkesin damak tadına uygun bir şeyler bulmak mümkün.,"Odalar5,0Hizmet5,0Konum4,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Çocuklar için uygun · Büyük fırsat · İleri teknolojili",Google üzerinde bir ay önce,5/5
Rixos Premium Bodrum,"Otelde 1 hafta boyunca 2 aile kaldık. Her şey harikaydı. Yemekler çok güzeldi fakat özellikle İtalyan Alacarte Restoran L’Oliva’ya bayıldık. 2 aile ağırlandık, kalabalık bir gruptuk. …",,Tripadvisor üzerinde bir ay önce,5/5
