otel_adi,yorum,hizmet,tarih,puan
Samara Hotel,"1-3 temmuz arası konakladık.otel temiz güvenilir ,aile oteli ,ailecek gelinecek bir otel ,akşam animasyonları çok zayıf kalmış. Bu çevredeki çoğu otele göre oldukça zayıf havuz başında yada denizde otururken yan otellerde eğlenenleri görünce anlıyorsunuz. Yemekleri güzel ve lezzetli .genel olarak otel içi tuvaletler temiz. Personel güler yüzlü ve ilgili .restoran kısmına girerken üstünüzün giyinik olmasını istiyorlar anlaşılır bir kural ancak herkes bikini ile otururken bir kişiyi uyarmaları çok garip geldi,denk geldiklerini uyarıyorlar diğer insanlar bikini ile oturuyor. genel bir kural olması lazım.otele giriş yaptığımızda 4 kişilik yataklı oda ayırtmıştım ancak biz odaya giriş yaptıktan sonra oda düzenlenmesi yapıldı oda yaklaşık 2 saat sürdü, hazır değildi. Emekli ve aileler için harika ,sakinlik ,huzur verici ama gençlere pek hitap etmiyor .","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,3/5
Samara Hotel,Oteli kesinlikle tavsiye etmem. Hizmet kalitesi otelin gecelik istediği fiyatla kesinlikle örtüşmüyor. Fiyat çok yüksek ve kesinlikle bir beş yıldızlı otel hizmeti yok. …,,Tripadvisor üzerinde 4 hafta önce,1/5
Samara Hotel,"Her sene düzenli tatil yapan bir aile olarak otel hakkındaki izlenimlerimiz; otelin büyük olmaması ve plaj restaurant odalar yakın olması avantaj, deniz fazla dalgalı ama iskele tarafından deniz olayı çok keyifli. Ozellikle gündüz saatlerinde deniz çok güzel oluyor. Iskele tarafında şezlong kapma olayı çok saçma, geceden havlu koyuluyor.birde iskele tarafındaki ozel bölümün gün boyu kapalı olması da ayrı saçma. Yemekler fena degil ama tatlılar kötü. Bar tarafında oturup birseyler içmek çok zor çünkü havlu koyulup gün boyu orda takılıyorlar. Animasyon yok gibi, akşam eğlence de aynı şekilde. Çalışanlar çok iyi ve iyi niyetliler.",,Google üzerinde bir ay önce,4/5
Samara Hotel,"Otelle alakalı detaylı yorum yapacağım. Özellikle bu bölgede otel ararken google yorumlarının yetersiz olduğunu gördüm.
Detay istemeyenler için bir daha gitmeyi düşünmüyorum.
Öncelikle otel 2000 li yılların başındaki trende uygun bir aile oteli. O günlerde kalmış geliştirememiş. %90 çocuklu bebekli ailelerdi diyebilirim. Çocuğunuz yok ise rahat edemezsiniz. Mümkün değil.
Oda
Oda gayet yeterli kutu gibi değil temizlik iyidi. Duşta vücut nemlendirici olmaması 5 yıldızlı bir otel için hayal kırıklığıydı. Duvarlar da çok inceydi. Yanda horlayan kişi yüzünden oda değiştirmek zorunda kaldık. Sağolsunlar resepsiyondaki arkadaşlar hızlıca çözdüler.
Yemekler
Yemekler çeşit olarak fazla ama kalite ortalama - ortalama altıydı diyebilirim. Tatlı kısmı ama kesinlikle kötüydü. Çeşit azdı ve kalitesizdi. Baklava baklava değil, çikolata çikolata değil, sütlü tatlılar zaten kötü. Tatlı hayal kırıklığıydı. Tatilimiz boyunca hiç tatlı yemedik sağlıklı oldu bir bakıma.
Kokteyller için kullanılan içki markaları kaliteliydi. Fakat menü çok dardı. Hani öyle dışarıda iyi bir yerde para verip içtiğim kokteyller içeceğim diye beklerseniz üzülürsünüz. Evde kendi yaptığınız cin tonik limon gibi basic şeyler vardı. Halbuki bir kuzu kulağı bir nohut suyu vs ekleseler çok daha şık ve kaliteli görünen kokteyller eklenebilir.
Deniz
Havuza hiç girmedim yorum yapmayacağım fakat Deniz harikaydı. Fakat buradaki absürt şey. Sahilde özellikle çocukların olmadığı istekele tarafında yer kapabilmek için insanlar sabah 6 da kalkıp şezlonglara havlularını bırakıyorlar. Tatile geldiğin bir yerde açlık oyunları oynamak vahim bir durum. Dinlenmeye gelmişsin ve bu normal değil.
Eğlence
En kötü şeylerden biri de bu diyebilirim. Özellikle akşam otelde oturup bir şeyler içmek haricinde bir aktivite yok. Yan otelde gece eğlence ışık şovları dj setler varken siz uzaktan onları dinleyip izliyorsunuz. Herkes çocuklu olduğu için düşünülmemiş herhalde.
Çalışanlar
Genel olarak herkes canla başla işini yapmaya çalışıyordu haklarını yememek lazım.","Odalar3,0Hizmet3,0Konum5,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde bir ay önce,3/5
Samara Hotel,"Otelin konumu güzel
Denizi güzel fakat öğleden sonra saatlerinde çok dalga oluyor. 3 aile olarak geldik. Genel olarak otelin olanaklarından ve yemeklerinden memnun kaldık. Açık büfe restoranda oturma alanları biraz yetersiz bu nedenle sıra beklenebiliyor. Fakat restoran bölümünde Güven Bey bizimle çok alakadar oldu ve ilgilendi. Ona bu nedenle ayrıca buradan teşekkür etmek isteriz. Ayrıca baristalar Umut ve Mustafa Beye de güzel kokteylleri ve kaliteli hizmetleri için teşekkür ederiz.","Odalar5,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Samara Hotel,"Yaklaşık 12 yıldır hemen hemen her sene gelirim Samara’ya. Personel güler yüzlü, hizmet güzel, yemekler güzel..di!! son iki senedir eskiye nazeren biraz kalitesi düşmüş..
Etkinlikler zayıf her sene söylerim bunu.. karşı otel gümbür gümbür bizim otel gece huzurevi :) ama yine de seviyorum Samara’yı.. huzur veriyor bana. Samimi işletme. Her şeyden önemlisi müşterisini memnun etmek için çaba sarf eden işetme..
Otel Fotoğrafçısı Serkan bey ile her sene ayrı pozlarımız :)
Yine tercihim Samara Eylül başı oradayım..","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 hafta önce,5/5
Samara Hotel,Eşimle 4 gece 5 gündüz kaldık. Odalar ve otel düzenli olarak temizleniyor. Her yer mis gibi. Yemekleri yeterliydi. Aşçılar çok ilgili ve yardımcıydı. Otelin organizasyonları yapan ekibi özellikle Buse Hanım ve Basri Bey vaktimizi güzel geçirmemizi sağladı. Onlara ayrıca teşekkür ederiz. Otel aile ile gelinebilecek orta düzey bir oteldi. Deniz rüzgar olduğunda dalgalı olabiliyor. Su sporlarından kano harika bir deneyimdi ve ücretsizdi.,"Odalar5,0Hizmet5,0Konum4,0",Google üzerinde bir ay önce,4/5
Samara Hotel,Samara otelde 30 Haziran 4 temmuz tarihleri arasında deluxe bahçe odasında eşimle birlikte konakladık. İlk karşılamadan itibaren personelin yaklaşımı çok misafirperverdi. Odamız çok güzel ve temizdi. Deniz kısmı biraz taşlık ve fazla balık var bu sebeple denizinde fazla vakit geçiremedim ama deniz genel olarak sığ ve temizdi. Yetişkin havuzu kısmı daha konforlu ve güzeldi. Sessiz sakin ve huzurluydu. Restoran kısmındaki yemekler biraz daha geliştirilebilir snack kısmında her gün aynı ürünler yer alıyor ancak tat olarak güzeldi. Balık alakart restoranda bi akşam yemeği yedik oranında hizmet kalitesi ve yemeklerinden memnun kaldık. Akşam eğlenceleri için aynı şeyi söyleyemeyeceğim bence eğlenceler biraz daha çeşitlendirilebilir. Sessiz sakin kafa dinlemelik deniz kenarı alanların bol olduğu keyifli bi tatil geçirdik tüm ekibe teşekkür eder genel olarak tavsiye ederim.,"Odalar4,0Hizmet4,0Konum4,0
Otelde öne çıkanlarLüks · Romantik · Sessiz",Google üzerinde bir ay önce,4/5
Samara Hotel,"4-8 temmuz tarihleri arasında konaklama yaptık. Girdiğimiz andan itibaren hiç memnun kalmadığımız bir şey olmadı. Tüm çalışanlar çok güleryüzlü ve işlerini iyi yapıyorlar. Otel düz ayak her şey yakın. Denizi çok temiz, öğleden sonra dalga başlıyor. Yemekhane çok büyük değil ama her çeşit yemek çıktı. Her öğün balık, tavuk, et, köfte oluyordu. Hamile olduğumu ve doğum günüm olduğumu söylediğimizde bize çok güzel sürprizler hazırlamışlar. Her yere yakın güzel bir oda ayarlamışlardı, bunun için de ayrıca teşekkür ederiz. Barmen Vadet’e ve şef Oğuz Beye de teşekkür ederiz, özel güzel kokteyller hazırladı. Alkoller de kaliteliydi ve yabancı marka alkoller ücretsizdi. Snack barda kapalı dondurma vs hepsi güzel düşünülmüş. Genel anlamda her şey hoşumuza gitti.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Samara Hotel,"yaz tatili icin için tercih ettiğimiz Bodrum Samara Otel’de konaklamamızda yaşadığımız deneyimleri paylaşmak istiyoruz.||Olumlu yönleriyle başlamak gerekirse; odalar temiz ve düzenliydi. Deniz gerçekten çok güzel, plaj da keyifliydi. …",,Tripadvisor üzerinde bir ay önce,2/5
