otel_adi,yorum,hizmet,tarih,puan
"Susona Bodrum, LXR Hotels & Resorts","Otele girişimizden ayrıldığımız ana kadar her şey harikaydı. Odamız tertemiz, ev rahatlığında, yemekler enfes, şeflerin ellerine sağlık, yemeklere aracı olan, hızlı ve doğru önerilerde bulunan adını öğrendiğim Önder, Arda, Eren, Zeynel, …",,Tripadvisor üzerinde 3 hafta önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","burada tatil yapmak için yer ayırttık ve otele geldiğimizde yetkililer 'iki adımda denize girersiniz' diyerek bize denize daha yakın bir oda satmak istedi, bizde kabul ettik, fakat sonra oradan denize giremeyeceğimizi bizim olduğumuz yerde etkinlik olduğu söylendi, boşu boşuna fazla para ödedik. Akşam yemeği için ezi restorana gittik, yarım saat garsonun bizimle ilgilenmesini bekledik, en sonunda siparişimizi verdik 1 saat sonra bize gelip levrek yiyemezsiniz tavuk şiş yiyeceksiniz dendi (herşey dahil paket aldık) biz de aradaki farkı ödemeye razı olup yine levrek istedik, 40 dakika sonra başka bir garson gelip 'siz ne sipariş etmiştiniz' dedi, 2 saatin sonunda gayet kötü olan yemekleri yeyip karnımızı doyurabildik. herşey dahil paket almamıza rağmen ne kahvaltı ne sonraki gün akşam yemeğini otelde yemedik, çünkü başımıza daha neler geleceği belli değildi. birde bu otelde kalacak olursanız kapılarınızı sürgüleyip yatın, oda görevlileri siz içerideyken odaya dalmakda mahsur görmüyorlar. gayet nazik ve ilgili görünüp bu kadar kötü yönetilen ambiyansıyla yönetimi tezat bir otel daha görmedim. üstüne üstlük kaldığım sürece deniz çok dalgalıydı ve nihayetin denize bile giremeden aç kalarak dünyanın parasını ödeyip otelden ayrılmak zorunda kaldık. ben çıkarken onlar basit bir özür ve güler yüzle işlerini iyi yapan harika bir ekip olduklarını zannetmeye devam ediyorlardı.","Odalar5,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
"Susona Bodrum, LXR Hotels & Resorts","24-27 Temmuz tarihleri arasında konakladığımız bu otelde Meryem hanımın güler yüzlü ve nezaketli karşılamasıyla başlayan tatilimiz Kübra hanım ve Duygu hanımın aynı nezaketle uğurlamasıyla son buldu. Ayrıca odamız balayı çifti olmamız sebebiyle upgrade edildi ve özenle her gün güzelleştirdiler. Tam anlamıyla kusursuz hazırlanmıştı temizlik hijyen açısından hiç bir eksiklik yoktu bu hususta emeği geçen Fehime hanımada çok teşekkür ederiz. Yemekler hususunda her yemek ayrı bir sunum ve şef yorumuyla sunulmakta ayrıca Ezi restaurantına attığınız ilk adım itibariyle Lara hanımın sıcak ve nezaketli karşılamasıyla Yazgülü hanım ve tüm ekibin profesyonel yaklaşımıyla eşsiz bir bodrum manzarasında keyif dolu bir yemek yiyebilirsiniz. Eğer havuz başındaysanız Suyah restorantın hemen girişinde her sorunuza memnuniyetle yardımcı olan Gamze ve Ezgi hanım karşılıyor sizleri şezlong veya kabananıza kadar sizlere eşlik ediyorlar. Her gün günümüzün nasıl geçtiğini, bir sorun olup olmadığını bizlere sordular çok ilgililer. Suyah restaurantın karar vermekte zorlanacağınız güzel sunumlara sahip lezzetli yemekleri ve atıştırmalıklarıyla fevkalade mutlu olacaksınız. Gerek güler yüzlü yaklaşımı gerekse şezlonga yapılan servisleri hızlandırdığı için Çağlar beyfendiyede teşekkür ederim. (Restaurant ve barlarda hiç birşey vermek için verilmiyor özenle düşünülerek servis edilmekte ve asla plastik ürün kullanılmamakta buna pipet dahil) eğer sevdiğiniz insanlar ile birlikte daha izole bir alan tercih etmek isterseniz bu otel kesinlikle ilk tercihleriniz arasında olmalı.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik",Google üzerinde 2 hafta önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Susona Bodrum, LXR Hotels & Resorts otelinde geçirdiğimiz tatil tek kelimeyle mükemmeldi. İkinci ıez aynı otelde kalıyoruz. Bugüne kadar çok sayıda otelde kahvaltı yaptım ancak Susona’nın kahvaltısını hiçbir otelle kıyaslamam mümkün değil; ürün kalitesi son derece yüksek, çeşitler ve çalışanların ilgisi harikaydı.
Kahvaltıda ve Suyah havuzda bizlere karşı her zaman güleryüzlü, saygılı, temiz ve işinde son derece profesyonel olan Gamze Hanım, Özge Hanım ve Aslan Bey’e; ayrıca Ezi Restoran’da sunduğu harika hizmet için Erkan Bey’e çok teşekkür ederiz. Otel çalışanları bizi mutlu edebilmek için adeta etrafımızda pervane oldular.
Otelin peyzajı, havuzların temizliği ve otel içi ses düzeni çok başarılıydı; farklı alanlardaki seslerin birbirine karışmaması huzurlu bir ortam yaratmış. Odalarda çok fazla ayna ve cam yüzey kullanılmasına rağmen her yer pırıl pırıldı. Ayrıca her gün odamıza bırakılan lokum, kolonya ve yastık spreyi gibi ince düşünülmüş minik sürprizler tatilimize çok şık bir dokunuş kattı. Otelin eşsiz konumu sayesinde muhteşem bir gün batımı manzarası eşliğinde yediğimiz akşam yemekleri ise şahaneydi.
Her detayından çok memnun kaldığımız, kalitesiyle fark yaratan bir işletme. Herkese gönül rahatlığıyla tavsiye ederim!","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks
OdalarOdaların dizaynı çok şıktı ve housekeeping ekibi mükemmeldi. Nevresimler her gün değiştirildi. Banyo ferah ve tertemizdi",Google üzerinde bir ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Gerçekten çok huzurlu, sakin bir tatil geçirdik. Otelin atmosferi ve sakinliği tam anlamıyla kusursuzdu. Özellikle Özge Hanım bizimle o kadar içten ve ilgiliydi ki, kendisine çok teşekkür ederiz. Sadece o değil, diğer tüm çalışanlar da inanılmaz güler yüzlü, yardımsever ve her an alanlarında çok profesyonellerdi. Bizim için en önemlisi köpeğimizle rahat edebilmekti. Ona olan ilgileri, sevgileri ve yaklaşım tarzları bizi çok mutlu etti. Köpeğimizle birlikte son derece konforlu ve keyifli vakit geçirdik. Her şeyinden yüzde yüz memnun kaldık.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Güleryüzlü Gamze hanım harika iletişimi ve referansıyla , yüksek enerjisiyle bizi karşılamasıyla, tesise giriş yaptık. Sayesinde harika bir tatil günü geçirdik, Ögze hanım da bizi aynı güleryüz ve enerji ile karşıladı. Gamze Hanım’a Özge Hanım’a çok teşekkür ediyorum. Denizin sıcaklığı ,havuzun hijyeni,temizliği, yemekleri her şey mükemmel iyi ki geldim dedim ailemle çok güzel vakit geçirdim tesis müdürü Nihal Hanım’a da ayrıca teşekkür ediyorum. on numara beş yıldız bir tesis","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Çocuklar için uygun · İleri teknolojili
Yiyecek ve içeceklerÇok başarılı 👍🏻çok lezzetli",Google üzerinde 2 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Otelde konakladığımız süre boyunca gayet memnun kaldık. Odalar ve otel gayet temizdi. Çalışanlar oldukça güler yüzlü ve ilgililer. Tüm restoranlarda yemekler lezzetli ancak Ezi’de yemek yediğimiz sürede servisleri çok yavaştı bununla beraber OctoZen’i deneyimledik ve her şey son derece lezzetliydi, Gamze hanımın birebir ilgilenmesi son derece nazikti.","Odalar5,0Hizmet4,0Konum5,0",Google üzerinde 2 hafta önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Suyahta personeller çok güleryüzlü ve sıcakkanlı yemekler ve temizlik mükemel fakat en çok etkilendiğiö nokta buggy ve respsiyon, restourant sabah ve akşam ekibi özellikle mehmet beyin pozitif sorun çözücü sıcakkanlı mutluluk dolu …",,Tripadvisor üzerinde bir ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Bu sihirli yeri herkese tavsiye ediyorum. Üç haftadır düzenli olarak Suyah'a geliyoruz ve çok güzel bir yer. Cennetteymisiniz gibi hissediyorsunuz. Deniz çok güzel temizlik çok guzel servis ve yiyecekler inanılmaz. Tüm yaz burada olacağız.
Restoran müdürü Aybuke hanım ve misafir ilişkilerinden Ozge hanıma da ayrı teşekkür ediyorum. Samimiyetleri ve ilgileri bizi çok özel ve güzel hissettirdi. Her alanda çok güvende hissettik. Tüm ekibin eline sağlık!","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
"Susona Bodrum, LXR Hotels & Resorts","Kısa tatilim için geldim ancak uzun bir dinlenmişlikle ayrılıyorum. Sessiz, sakin ve kaliteli bir dinlence için Torba’daki açık ara en iyi seçenek. Daha ilk andan ayrılışa kadar personelin samimi ilgisi ve mesafeli olmayan profesyonelliği son derece iyiydi. Ezi restaurantta yapılan kaliteli, uzun kahvaltılar ve lezzetli akşam yemeklerinde Torba’nın eşsiz konumunda bulunmanın getirdiği dingin manzara size eşlik ediyor. Oda, SPA, spor salonu ve plajı her daim temiz ve bakımlı. Ezi’den Özge hanım başta olmak üzere tüm çalışanlara teşekkürler. Tekrar görüşmek dileğiyle.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz",Google üzerinde 2 ay önce,5/5
