otel_adi,yorum,hizmet,tarih,puan
The Oba Hotel,"Gelirken ve ayrılırkende herşeyden hizmetten çok memnun kaldım. Özellikle sezonda yogunluga ragmen hızları bence gayet iyiydi. Yemekler , hizmet , güleryüz muazzamdı BENCE . …",,Tripadvisor üzerinde 3 hafta önce,4/5
The Oba Hotel,"Özellikle The Oba Hotel konum olarak bodrumun en güzel yerinde olması denize olan yakınlığı ve konforu ile bize çok güzel bir tatil deneyimi yaşattı. İlk defa geldiğimiz için ufak tefek soru işaretleri ile başladığımız tatil son günlerinde gitmemeyi düşündürecek kadar güzel geçti. Özellikle çalışanların samimi ve ilgili olması çok çok çok güzeldi. Aşçısından peyzajcısına, garsonların güler yüzlü hizmetinden lobide ilk karşılayanlara kadar hepsi ama istisnasız hepsi çok ilgili ve güleryüzlüydü. Havuzun olduğu havuz bar ( Herbal’oba bar ) Sermin Şef in kontrolünde bir birinden eşsiz aperatif lezzetleriyle gerçekten güzeldi. Yemekten sonra siz istemeden gelen çayın tadı da bir başka tabi 🙂 Melisa hanıma özellikle teşekkür ediyorum güleryüzlü hizmetiyle nazik duruşuyla ve içten samimi sohbetiyle bizlere güzel bir tatil geçirmemize vesile oldular.
Genel olarak çocuklu ve geniş bir aileniz varsa veya kafa dinlemeye ve güzel bir hizmet almayı hayal ediyorsanız The Oba Hotel tam aradığınız nokta diyebilirim.
Herşey için çok teşekkür ederiz. Yine geleceğiz 😊","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
The Oba Hotel,"Otelin tesisi gerçekten harikaydı. Özellikle kadınlar plajında çalışan Yağmur, Neslihan ve Leyla’ya ayrıca teşekkür etmek istiyorum. Hepsi çok güler yüzlü, yardımsever ve içten insanlardı. Tatilimizi daha güzel hale getirdiler.
Ancak son tatil günümüzde büyük bir hayal kırıklığı yaşadık. Çıkış gününde otelde birkaç saat daha kalabilmek için kişi başı ekstra ücret talep edildi. Ayrıca saat 18.00’den sonra kalmaya devam etseydik, akşam yemeği için de ayrıca ücret ödememiz gerektiği söylendi.
Bugüne kadar The Oba Bodrum’dan daha pahalı birçok otelde konakladım, ancak böyle bir uygulamayla hiç karşılaşmadım. Her şeyin doğrudan parayla ilişkilendirilmesi bizi gerçekten üzdü. Yanımızda tekerlekli sandalyeli bir misafir ve bir bebek olmasına rağmen biraz daha anlayış beklerdik.
Tesis ve çalışanlar açısından çok memnun kaldık, ancak ayrılış gününde yaşadığımız bu durum maalesef genel deneyimimizi olumsuz etkiledi.","Odalar4,0Hizmet2,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
Yiyecek ve içeceklerLecker aber jeden Tag das gleiche",Google üzerinde 2 ay önce,3/5
The Oba Hotel,"Hizmet sektöründe misafir memnuniyetini en üst düzeyde sağlamak bir hayli zordur, ancak bu standartları her yıl başarıyla koruyan bir işletmeyi takdir etmek gerekir. Muhafazakar konseptteki neredeyse tüm otelleri deneyimlemiş bir aile olarak, Oba Otel’in yeri bizde her zaman çok ayrıdır. Sektördeki sadece manzara odaklı olan diğer tesislerle kıyaslandığında; Oba Otel gerek hizmet anlayışı gerekse mutfak kalitesi ile bizim için her zaman açık ara önde konumlanıyor.
Bu sene için planladığımız tatili de büyük bir heyecanla iple çekiyoruz. Otelin deniz ve plaj kalitesi, odaların ferahlığı ve temizliği, personelin bitmeyen ilgi ve alakası, yemek servis hızı ve en önemlisi mutfaktaki lezzet ile çeşitlilik yıllardır çizgisini hiç bozmadan devam ediyor.
Bunun yanı sıra; müsaitlik durumunda odalarımızı ücretsiz olarak bir üst kategoriye yükseltmeleri, özel ihtiyaçlarımızda her an destek olmaları, hem kadınlar plajının hem de karma plajın sunduğu yeterlilik, aqua parkın büyüklüğü, mescitlerin temizliği ve genişliği gibi sayamadığım pek çok detay burayı vazgeçilmez kılıyor.
Tesisin kendisini daha da yukarı taşıması adına tek geliştirilmesi gereken nokta olarak animasyon ekibini görüyorum. Akşamları canlı müzik gibi güzel aktiviteler yapıyorlar ancak akşam eğlenceleri ve etkinlik konseptleri biraz daha çeşitlendirilebilir.
Bizlerle kurduğu kaliteli iletişim ve sunduğu profesyonel müşteri hizmetleri özelinde İlke Bey’e de ayrıca çok teşekkür ederiz. İstikrarlı başarılarının devamını dilerim.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 ay önce,5/5
The Oba Hotel,"Oba Hotel’de geçirdiğimiz tatilden çok memnun kaldık. Otel genel olarak son derece temizdi ve çalışanların profesyonelliği gerçekten takdire şayandı. Kaldığımız süre boyunca güler yüzlü olmayan tek bir personelle bile karşılaşmadık.
Yemekler oldukça lezzetli ve çeşitliydi. Plajdaki hizmet kalitesi de çok yüksekti. Odalar, klima ve genel tesis altyapısı sorunsuz çalışıyordu. Ayrıca bölgede sivrisinek olmaması bizi özellikle şaşırttı ve konforumuzu artırdı.
Otelin önemli avantajlarından biri de Acıbadem ile anlaşmalı olması. Herhangi bir sağlık durumunda hızlı destek alabilme imkânı misafirlere büyük güven veriyor. Bunun yanında havalimanına yakın konumu da ulaşım açısından büyük rahatlık sağlıyor ve tatilin başlangıcını ve bitişini çok daha konforlu hale getiriyor.
Özellikle sahilde görev yapan mavi tişörtlü Turgut Bey’e ayrıca teşekkür etmek istiyorum. İlgi, alaka ve yardımseverliği sayesinde tatilimiz çok daha keyifli geçti. Kendisine emekleri için teşekkür ederiz.
Geliştirilmesini istediğim birkaç küçük nokta da var. Aquaparktaki su sıcaklığı oldukça düşüktü; hatta hasta edecek kadar soğuk olduğunu düşünüyorum. Ayrıca erkekler bölümünde saat bulunmuyor. Saati öğrenmek için sürekli sudan çıkmak zorunda kalmak biraz rahatsız ediciydi.
Bunlar dışında her şeyden çok memnun kaldık. Temizliği, çalışanlarının güler yüzü, hizmet kalitesi, plajı ve konumuyla gönül rahatlığıyla tavsiye edebileceğim bir otel. Tekrar tercih etmeyi düşünürüm.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
The Oba Hotel,"15-18 haziran arası oba otelde konaklıyoruz bugün son günümüz çıkmadan yorumumu eklemek istedim. Eleştirecek bir nokta bulamıyorum. Çalışanlar arı gibi çalışıyor, çok güleryüzlüler girişten itibaren çok sıcak karşılama var, hiç bir istek geri çevirilmiyor ve çok hızlı dönüş sağlanıyor. Büyük emek var. Otelin konumu harika, denizi havası mükemmeldi. Asla bunalmıyorsunuz sıcaktan. Yemeklere diyecek hiç bir şey yok, çeşit çok, lezzetler yerinde, sunumlar özenli. Kahvaltı açık büfe, öğle ve akşam yemeği alacarte. Servisleri hızlı alacarte olmasına rağmen. Odalar modern kullanışlı. En önemlisi temizliğe çok önem verildiğini farkettim. Ortak alanlar ve odalar tertemiz. Yapıcı ne eleştirici yapabilirim diye düşünüyorum bulamıyorum gerçekten. Tam bir nezih aile ortamı. Akşam etkinlikleri de gayet yeterli, çocuklar için de aynı şekilde. Şimdiden seneye için plan yapıyoruz başka arayışa girmeyiz sanırım artık bodrumda. Emeğinize sağlık oba otel ekibi.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
The Oba Hotel,"Sezon başında da geldik, sezon başında gördüğümüz hizmet yok. Personel tripadvisor yazarsanız garsonlar daha hızlı servis yapar diyor. Sahilde otururken siparişiniz en az 15-20 dk yi buluyor. …",,Tripadvisor üzerinde 4 hafta önce,4/5
The Oba Hotel,15/20 haziran da otelde ailemle konakladık. Bir çok otelde kalma fırsatımız oldu şuan baktığımda fiyat olarak daha yüksek olan otelle kıyasladığımda burdaki hizmet çok konforluydu. Kendinizi özel hissetmek istiyorsanız hiç düşünmeden the oba yı tercih edin. Girişte aracınızdan indiğiniz an başlıyor hizmet. Böylesini hiç bir otelde görmedim. Her çalışan her dakika gülümsüyor. Heryer odanıza iki üç dakika öyle düşünün o kadar güzel tasarlanmışki odalar ortak yerler. Neyden bahsedeyim ki aklınıza gelen her konuda mükemmeller. Yemeklere gene hayran kaldık lezzet konusunda. Havuz başında içecek bişeyler taşımayı sevmiyorum burda bunu çözmüşler valla bravoo istediğiniz en lezzetli şekilde yanınıza geliyor. Eşimde bende bayıldık eylülde tekrar yaz kapanışı için geleceğiz inşallah.,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
The Oba Hotel,"The Oba otelde anne ve babamla kusursuz bir tatil geçirdik otele giriş itibari ile güler yüzlü kaliteli hizmetlerini başlatıp sizi uğurlayana kadar aynı özveriyle hizmet verip yolcu ediyorlar. Öncelikle otelin temizliği odaları ilgi alakaları gerçekten çok güzeldi
Restoranlar da çalışan bütün personeller garsonlar güler yüzlü sıcak samimi ilgi ve alakalılar gerek Yamçı restorant da gerek ana Restorant da yemekler çok lezzetli öğlen ve akşam yemekleri Alacarta olmasına rağmen hepsi sıcak ve zamanında servis ediliyor Kahvaltılar açık büfe bol çeşitli kusursuz lezzetler ve servis hizmeti sunuyorlar bütün garson arkadaşlarıma Mert , Erkan ve ismini hatırlayamadığım tüm personele hizmetlerinden dolayı teşekkür ediyorum
Serinlik barda bana özel bitki çaylarını tavsiye eden ilgilenen öncelikle ÖMER’e sonrasında Çağrı ve Emre ye de güler yüzleri ilgi ve alakalarından dolayı ayrıca teşekkür ederim
Kadınlar plajında sürekli güler yüzüyle o sıcakta bizi rahat ettirmek için hizmet eden garson arkadaşlarıma özellikle ismini hatırlayamadığım Kastamonu’lu garson arkadaşıma çok ama çok teşekkür ediyorum
Bizim için güzel bir tatildi otelde hiç bir sinek olmaması tesisin temizliği ve huzurlu atmosferi bize iyi geldi tek tavsiye olarak akşam aktivitelerinin biraz çeşitlendirilmesi olabilir
Güzel deneyim için tüm çalışanlara çok teşekkür ederiz Oba Ailesi Sevgiler","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks
OdalarTemiz
GüvenlikÇok iyi
Yiyecek ve içeceklerÇok lezzetli",Google üzerinde 2 ay önce,5/5
The Oba Hotel,"Oba Otel’de konaklamamızdan genel olarak çok memnun kaldık. Otelin temizliği, konumu ve sunduğu hizmetler beklentilerimizi karşıladı. Özellikle çalışan personelin güler yüzlü, ilgili ve çözüm odaklı yaklaşımı tatilimizi çok daha keyifli hale getirdi. Tüm ekibe teşekkür ederiz.
Yeme içme ve genel hizmet kalitesi oldukça başarılıydı. Eğlence programları da güzeldi ancak biraz daha profesyonel ve şık bir konseptle çok daha etkileyici olabilir diye düşünüyorum.
Fiyatlar günümüz şartlarına göre makul olsa da zaman zaman daha fazla kampanya ve indirim uygulanması misafirler açısından ekstra memnuniyet sağlayacaktır.
Genel olarak güzel bir tatil geçirdik ve tekrar gelmeyi düşünüyoruz. Emeği geçen tüm çalışanlara teşekkür eder, başarılarının devamını dileriz.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarSessiz",Google üzerinde 2 ay önce,5/5
