otel_adi,yorum,hizmet,tarih,puan
Voyage Torba,"Kaldığımız bir hafta süresinde çok güzel ağırlandık.Otel yeşillikler içerisinde tatil köyü konseptinde.Girdiğiniz gibi sizi çok güzel karşılıyorlar.Kişisel Asistanınız size tüm oteli tanıtarak tatil sonuna kadar ihtiyacınız olan her şeyde yardımcı oluyor.Odaları seçtiğiniz oda tipine göre bölüm bölüm ayırmışlar ve her bölümde havuz var.Biz o açıdan çok sewdik.Odalar gayet büyük ve tertemizdi.Kaldığım süre boyunca gün içinde odaya ne zaman girsem ilk girdiğimiz gün gibi buldum.Temizlik harikaydı.Yemeğe gelecek olursak ana restoran haricinde 24 saat açık sürekli yemek bulabileceğiniz bir restoranı var ve her damak zevkine uygun alakart (balık,kebap,italyan,meksika,uzakdoğu)restoranları mevcut.Hemen hemen hepsini deneyimledik.Lezzetler çok iyiydi.Onun haricinde patisserie bölümü efsaneydiHemen karşısında mükemmel soğuk bitki çayları tadabileceğiniz bir çay cenneti var.Kesinlikle denenmeli.Ayrıca hangi restorana gittiysek şefinden garsonuna hepsi çok ilgili ve güler yüzlüydü.Sahile gelecek olursak sahili çok güzel fakat diğer otellerde olduğu gibi burada da bir havlu atma sorunu vardı voyage da bu sorunla karşılaştığıma çok şaşırdım. Diğer yandan Aquapark denizden çok uzaga konumlandırılmıştı yani deniz bir uçta aqua bir uçtaydı ve aqua parkı çok küçüktü ve yarım saat sıra falan bekliyorsunuz.Kids clubı da bizim için hayal kırıklığı oldu.Oyun alanı ve aktiviteler çok yetersizdi kızım asla durmak istemedi.Ama genel anlamda keyif aldık.","Odalar4,0Hizmet5,0Konum4,0
Otelde öne çıkanlarLüks · Muhteşem manzara
Odalarİhtiyaca yönelik gayet şık ve Temiz ve konforluydu
Yakındaki etkinliklerOteldeki etkinlikler sabahtan başlayıp akşamüstü kadar sürüyor akşam saat 9:00’da canlı müzik gösterisi oluyor",Google üzerinde bir ay önce,4/5
Voyage Torba,"Ailece Kaliteli bir tatil geçirdik. Murat Alpsu ve Birol Tokat ı buradaki sahnede görmek isterdik. Yemekler çok çeşitli ve lezzetli, temizlik hizmetinden de memnun kaldık. …",,Tripadvisor üzerinde 11 ay önce,5/5
Voyage Torba,"Eşim ve kızımızla birlikte geçirdiğimiz 7 gecelik tatilin ardından bu otelden son derece güzel anılarla ayrılıyoruz. Daha giriş yaptığımız andan itibaren kendimizi değerli ve özel hissettik. Otelin sunduğu hizmet kalitesi, çalışanların yaklaşımı ve genel atmosferi beklentilerimizin üzerindeydi.
Yemekler oldukça çeşitli ve lezzetliydi. Özellikle alakart restoranlar ve pastane bölümü bizim için ayrı bir keyif oldu. Odalar tertemizdi, oda servisi hızlı ve özenliydi. Havuz ve plaj alanlarında da her zaman düzenli ve kaliteli bir hizmetle karşılaştık.
Bu güzel deneyimin en önemli mimarlarından biri ise hiç şüphesiz asistanımız Ömer Bey’di. Tatil boyunca her konuda yanımızda oldu, ihtiyaçlarımızı daha biz söylemeden fark edecek kadar ilgiliydi. Kendisine ne zaman ulaşsak hızlıca dönüş yaptı ve her talebimizle birebir ilgilendi. Profesyonelliğinin yanında samimiyeti ve içtenliği de bizi çok etkiledi.
Günümüzde birçok otelde konaklama fırsatı buluyoruz ancak misafir memnuniyetini bu kadar içten sahiplenen çalışanlarla karşılaşmak kolay olmuyor. Ömer Bey sayesinde tatilimiz çok daha konforlu, keyifli ve sorunsuz geçti. Kendisi bu otelin kalitesini yansıtan en önemli isimlerden biri.
Ayrıca Kebap Restoran’da görev yapan Gazi Bey’e de teşekkür etmek isteriz. İlgisi, enerjisi ve misafirperverliği sayesinde restoran deneyimimiz çok daha keyifli hale geldi.
Bizim için her detayıyla çok güzel bir tatildi. Emeği geçen tüm ekibe teşekkür ediyor, özellikle Ömer Bey ve Gazi Bey’e ayrıca sevgilerimizi iletiyoruz. En kısa zamanda tekrar görüşmek dileğiyle. 🌟🌴❤️","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun · Büyük fırsat · İleri teknolojili",Google üzerinde 2 ay önce,5/5
Voyage Torba,"Bayram tatilimizi ailecek geçirdiğimiz Voyage Torba Private'da yine unutulmaz anılar biriktirdik.
Öncelikle Meksika Restoranı'nda Orhan Şef'in ilgisi, misafirperverliği ve her tabağa yansıyan emeği gerçekten takdire şayandı. Food & Beverage Manager Ercan Bey'in misafir memnuniyeti için gösterdiği özen, Bar Manager Pusat Bey'in samimiyeti, iyi niyeti ve birbirinden özel reçeteleri tatilimizi daha da keyifli hale getirdi. Ön büro tarafında ise Hamdullah Bey'in ilk andan son ana kadar her ihtiyacımızla birebir ilgilenmesi, çözüm odaklı yaklaşımı ve bizi mutlu etmek için gösterdiği çaba tarif edilemezdi.
Yaklaşık 5 yıldır düzenli olarak Voyage Torba Private'ı tercih ediyoruz. Her yıl ""bu kadarının üzerine daha ne eklenebilir"" diye düşünürken, ertesi yıl kaliteyi, lezzeti, hizmet anlayışını ve misafirperverliği bir adım daha ileri taşıdıklarını görmek bizi gerçekten etkiliyor.
En kıymetlisi ise kızımız Mila'nın burada kendini adeta evinde hissetmesiydi. Onu bu kadar mutlu, huzurlu ve rahat görmek bizim için her şeyden değerliydi. Bir otelden çok, kendinizi ait hissettiğiniz ikinci bir eviniz varmış gibi hissettiriyorlar.
Başta Orhan Şef, Ercan Bey, Pusat Bey ve Hamdullah Bey olmak üzere emeği geçen tüm Voyage Torba Private ailesine gönülden teşekkür ediyoruz. Gösterdiğiniz samimiyet, profesyonellik ve içtenlik için minnettarız.
Her yıl olduğu gibi gelecek yıl da kendimizi yine evimizde hissedeceğimiz adres belli.
İyi ki varsınız, Voyage Torba Private.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde bir ay önce,5/5
Voyage Torba,"ilk bebekli tatilimizdi 5 gece konakladık bütün şeffaflığıyla sizlere düşüncelerimi aktarmak istiyorum. öncelikle otelin düz ayak olması sebebiyle bebek arabasıyla çok rahat ettik. zaten cok buyuk bir otel değil sahil restoranlar vs her şey yan yana bence mimarisi bu anlamda iyi. personel çok ilgili ve güler yüzlü hepsi çok güzel ilgilendiler öncelikle hepsine teşekkür etmek istiyorum. özellikle bebeğime ne yedirsem diye düşünmedim, özel isteklerim olduğunda bile yemeğini yapıp getirdiler bu beni çok rahatlattı. zaten otele girdiğinizde sizi asistanınız karşılıyor ve app üzerinden iletişime geçebiliyorsunuz appten otel etkinliklerini vs bakabiliyorsunuz. kids club güzel içerisi temizdi. bazıları cok ilgili bazıları sadece orda olmak için ordaydı gibi baby roomda vakit gecirdik.içerisinde yeteri kadar her şey vardı. bebek alt değiştirme yerinden emzirme yerine kadar hepsi düşünülmüştü. 4 yaştan sonra oyun ablalarına bırakılabiliyor sanırım öyle dediler. etkinlikleri vs güzeldi bazılarına bizde bebeğimizle katıldık.
otelin yemeklerine gelecek olursak evet cesit yeteri kadar var ama lezzet yok. açık büfe benim için hayal kırıklığıydı etleri kokuyordu ve diğer yemekleride bence lezzetsizdi. 7/24 açık restoranı var o güzel,yemekleri sınırlı tabi klasik atıştırmalıklar.
kebappa da lahmacun yemeden dönmeyin öğlede snack olarak hizmet veriyor bence bir şans verin cok guzeldi.
sahili ve denizi çok guzel fakat yer bulmak biraz zor olabiliyor. sahildeki içecek servisleri havlu hizmeti vs iyi. direkt qr okutarak bulundugunuz sezlonga sipariş verebiliyorsunuz bu detay guzeldi.
bebeğimiz olduğu için havuzu deneyimlemedik ama gördüğüm kadarıyla aquası biraz kucuktu.
favorim pastanesiydi harika tatlılar vardı giderseniz kesinlikle deneyimleyin.
genel olarak güzel bir tatil geçirdik tekrar bebegimle gitmek istersem bu otele giderim ama bebeksiz gideceksem gitmem açıkçası alternatif cok daha iyi oteller var.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde 2 ay önce,5/5
Voyage Torba,"Her şeyiyle o kadar keyifli ve o kadar güzeldiki anlatamam. Çalışanların her biri çok ilgili, çok tatlılar, çok düşünceliler. Keyifle çalışıyorlar umarım karşılıklarını fazlasıyla alıyorlardır, çünkü o hizmet olmasa gayet standart bir yer olacakken onlar sayesinde dehşet konforlu bir yer haline geliyor.
Çevredeki diğer otellere kıyasla doğrudan plajdasınız yürüme mesafesi bu çok daha rahat, özellikle çocuklu aileler çok rahat eder, bir de yazın sıcağında çevre otellerdeki gibi yürü yürü plaja gidene kadar eriyor insan bunuda göz önünde bulundurmakta fayda var diye düşünüyorum…
Yemekler çok çok lezzetli, kokteyller çok iyi. Her restoranda farklı bir atmosfer var, çok güzeldi ya… Tatlılar dehşet iyi🤤😋 Biz otelin olayını anlayana kadar 1-2 gün geçti bu arada, bir tek bu kısmı geliştirebilirler diye düşünüyorum burayı oturtmakta biraz zorlandık biz nerde ne yenir vs 🫠🤍 Bir de plajın taşlı olması biraz tatsız, eğer hassasiyetiniz varsa doğrudan iskelenin oradaki şezlongları değerlendirebilirsiniz veya deniz ayakkabısı güzel olabilir aklınızda olsun. Biz iskele tarafındaydık çok keyifliydi, qr kod ile yemek içecek kokteyl vs sipariş edebiliyorsunuz. Yani bol bol yiyorsunuz, her yerde sınırsız seçenekler var 😜 Her gün bir asistan tanımlanıyor size ve gün içerisinde restoran rezervasyonlarını vs onlar hallediyor. Akşam eğlenceleri de çok keyifliydi ve yaratıcıydı.
Otel çocuk konseptli bu arada, biz çocukları çok sevdiğimiz için sıkıntı yaşamadık ama yinede bilginiz olsun her yer bebiş kaynıyor çoook tatlılardı 🤤🤤😍 kısacası biz çok eğlendik, bundan sonra sık sık geleceğimiz bir otel oldu 🌟🩵","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Voyage Torba,"Tripadvisor hesabım olmadığı için buradan yazıyorum. Olsaydı yine de buraya yazardım. Başta housekeeping görevlisi Fedile Hanım ve misafir asistanı Orhan Şimşek ve Vista restoran görevlilerinden İsmail Bey, Blue Voyage görevlilerinden Eray Bey; isimlerini hatırlayamadığım pek çok çalışan… muhteşemsiniz. Bu kadar misafir odaklı, güleryüzlü, sizinle gerçekten sohbet eden otel görevlilerini pek fazla göremezsiniz. Genelde üstünkörü ve bitse de gitsem şeklinde iletişim kuran otel çalışanlarından sonra burası hakikaten ne kadar övülse az. Odaların temizliği, büyüklüğü, odalardaki ürünlerin kalitesi şahane. Sabahları yapılan oda temizliği dışında ara ara girip odayı tekrardan toparlıyorlar, havluları yeniliyorlar vs vs. Orhan Bey… çok cana yakın, kibar ve klas bir insan. Kendisiyle tanışmaktan ötürü ailece çok memnun olduk. Otel düzayak olduğundan her yere ulaşım çok kolay. Bununla birlikte 3-4 adet büyük havuz otelin değişik bölgelerine dağılmış durumda. Sadece yetişkin seyahati için dizayn edilmiş gibi de ama aynı zamanda çocuklar için asla zor bir otel değil. Hatta her yerden çıkan çocuklarla karşılaşabilirsiniz diyebilirim. Aqua park’ın çocuklar için olan kısmı yeterli ama geliştirilse fena olmaz. Restoranların her biri çok iyi. Ailece favorimiz İtalyan restoranı Vista. Yemekleri tek kelimeyle can alır. Ana yemek salonu, açık büfe, son derece zengin ve lezzetli. Şef aşçılar sürekli salonu gözlemliyorlar. Bu eşim ve oğlumla ikinci gelişimizdi. Bir dahakine de Voyage Torba’yı tercih edeceğiz. Misafir ilişkileri Müdür Yard. Sevil Hanım çıkış yaptığımız sırada eşimle sohbet ederken kendisine ismiyle hitap etti ve hepimiz çok şaşırdık. Aradan geçen 1 yılda unutmamış olması bizi çok mutlu etti. Voyage Torba çalışanları ile rastgele konuşup sorduğunuzda, kimisi 5 kimisi 7-8 yıldır orada çalıştığını söylüyor. Bu benim için en büyük referans. Çünkü çalışanlar maddi ve manevi olarak mutluysa çalışmaya devam ederler ve özveri gösterirler. Burada bu var. Kendilerine içtenlikle teşekkür ediyoruz. Tekrar buluşmak üzere…","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Voyage Torba,"Voyage Torba, Bodrum'da konforlu ve kaliteli bir tatil deneyimi sunan başarılı tesislerden biri. Doğayla iç içe konumu, bakımlı peyzajı ve tertemiz ortak alanları ilk andan itibaren fark yaratıyor. Odalar modern, ferah ve konforlu. Yiyecek ve içecek kalitesi oldukça başarılı; farklı damak zevklerine hitap eden zengin seçenekler sunuluyor. Personel güler yüzlü, profesyonel ve misafir memnuniyetine gerçekten önem veriyor. Sahili ve denizi oldukça keyifli, havuz alanları ise gün boyu dinlenmek için ideal. Huzurlu bir atmosferde kaliteli hizmet almak isteyenler için gönül rahatlığıyla tavsiye edebileceğim, tekrar ziyaret etmek isteyeceğim otellerden biri.",Otelde öne çıkanlarLüks,Google üzerinde bir ay önce,5/5
Voyage Torba,"Voyage Torba’daki konaklamamızdan büyük bir memnuniyetle ayrıldık. Öncelikle tüm personel ve çalışan arkadaşlara canı gönülden teşekkür etmek isterim. Tatile gelen misafirler için gerçekten hummalı, içten ve gönülden bir çalışma var. Bir talebimiz olduğunda aldığımız “Memnuniyetle” cevabı ise bu tesisin hizmet anlayışını özetliyor; ne kadar değerli ve ne kadar içten bir yaklaşım.
Asistan hizmeti ve aplikasyon üzerinden iletişim oldukça başarılı, talepler çok hızlı şekilde karşılanıyor.
Tesis hakkında:
Bodrum’da düz bir alana kurulmuş olması büyük avantaj. Sabahları havuz başında veya kumsalda şezlong kapma telaşı yok; yemek salonunda uzun sıralar ve kalabalıklar yaşanmıyor. Birçok havuz bulunuyor ve çocuklar için su parkı fazlasıyla yeterli. Pastane kısmı da oldukça başarılı.
Yemekler gayet lezzetli, a la carte restoranlar memnun edici. Odalara bayıldık; Executive Deniz Tarafı oda tercih etmiştik ve çok memnun kaldık. Tek katlı yapısı, yazlık havası ve geniş balkon/teras alanı gerçekten keyifliydi.
İskele çok güzel, deniz temiz ve şezlong kapasitesi fazlasıyla yeterli.
Genel olarak müşteri memnuniyetinin ön planda olduğu, huzurlu ve kaliteli bir tatil geçirdiğimiz bir tesis. Tekrar gelmeyi düşünüyoruz.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Voyage Torba,Yıllardan beri ailecek arkadaşlarımız ile geldiğimiz otel demiyorum ikinci evimiz. Üst düzey ilgi alaka. Üst düzey hizmet. Öncelikle Hamdullah bey ve Sevil Hanım mükemmel insanlar her sene olduğu gibi bizlerle üst düzey ilgileniyorlar en ufak bir ricamızı ikiletmiyorlar. Yemekler hizmet temizlik ilgi alaka son derece üst düzey memnuniyet. Kumsalda Ömer bey iskelede Davut Bey Oğuz bey mükemmel insanlar. Alacarte Restaurantlarda Meksika Restaurant Şefi Orhan Bey Vural Bey. Kebappada Özgen Bey harika insanlar. Meksika restaurantını özellikle tavsiye ediyorum. 5 yıldır geliyoruz uzun yıllar geçsede her sene gelmeyi çok istiyoruz. Artık arkadaşlarımızıda davet ediyoruz onlarda çok memnun kaldılar. Son olarak kıymetli genel müdür Yılmaz beyde mükemmel bir insan çok dost canlısı. İsmini hatırlayamadığım Voyage Ailesine sonsuz teşekkürler sevgiler.. Seneye görüşmek üzere..,"Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun · Büyük fırsat · İleri teknolojili
OdalarTertemiz çok rahat ve konforlu
GüvenlikÇok iyi
Yiyecek ve içeceklerMükemmel",Google üzerinde bir ay önce,5/5
