otel_adi,yorum,hizmet,tarih,puan
MyElla Hotel Resort & Spa,"7 aile olarak 5 gece konakladığımız bu otelden maalesef beklentimizin çok altında bir deneyimle ayrıldık. Bu yorum, tamamen kendi konaklama deneyimimize ve gözlemlerimize dayanmaktadır.
Öncelikle oda temizliği konusunda personelin iyi niyetli ve gayretli (hatta en güler yüzlü ve iyi personel) olduğunu söyleyebilirim. Ancak ekiplerin deneyimsiz olduğu izlenimini edindik. Oda temizliği beklentimizin altındaydı. Odamızın camları konaklama boyunca oldukça kirliydi. Odada çay-kahve için bırakılan plastik fincan ise ilk giriş yaptığımız gün temiz değildi ve konaklama süresince aynı şekilde kaldı. Ayrıca televizyonun görüntüsü düzgün değildi ve kumandası kırık durumdaydı.
Ortak kullanım alanlarındaki temizlik ise bizim açımızdan daha büyük bir hayal kırıklığı oldu. Özellikle gün içinde yoğun kullanılan ortak tuvaletlerin temizliği yetersizdi. Bu nedenle küçük çocuğumun tuvalet ihtiyacı olduğunda ortak alanları kullanmak yerine sürekli odamıza çıkmak zorunda kaldık. Tatilde böyle bir zorunluluk hissetmek bizim için ciddi bir konfor kaybı yarattı.
Yemek çeşitliliği ve lezzeti konusunda büyük bir problem yaşamadık. Ancak alkollü içecek kalitesi beklentimizin oldukça altındaydı. Sunulan içkilerin tadı ve kalitesi bize hitap etmedi. Hatta üçüncü günden itibaren mide ilacı kullanmak durumunda kaldım. Bunun kişisel bir deneyim olduğunu özellikle belirtmek isterim. Merak edip personele içkilerin markasını sorduğumda tatmin edici bir cevap alamadım. Kapalı şişe bira, kola veya benzeri içeceklerin bulunmaması, tüm içeceklerin sifondan servis edilmesi de kalite algısını olumsuz etkiledi.
Havuz alanı otelin misafir kapasitesine göre yetersiz geldi. Günün erken saatlerinde bile şezlong ve havlu bulmak için uğraşmak zorunda kaldık. Bunun tek başına eleştirilecek bir konu olmadığını düşünüyorum; ancak deniz seçeneği de bizim beklentimizi karşılamadığı için misafirler doğal olarak havuza yöneliyor ve yoğunluk daha da artıyor.
Personelin genel yaklaşımında da deneyim eksikliği hissediliyordu. Bunun sezonluk personel çalıştırılmasından kaynaklanıp kaynaklanmadığını bilemem; ancak misafir iletişiminde daha profesyonel bir yaklaşım beklerdim. Dondurma sırasında önümdeki bir aileye personelin “Kaçıncı defa geliyorsunuz, benim saatim doldu, size söyledim.” şeklindeki konuşmasına şahit oldum. Ayrıca odamın altında personelin oturup nargile içtiğini, çekirdek yediğini ve kendi aralarında oteli eleştirdiklerini görmek de profesyonellik açısından hoş bir görüntü oluşturmadı.
“Fiyat/performans oteli”, “yüksek sezon” veya “yoğunluk vardı” gibi gerekçeler elbette dile getirilebilir. Ancak bunların hiçbiri temiz oda, hijyenik ortak alanlar, çalışır durumdaki oda ekipmanları ve misafire özenli hizmet gibi temel otelcilik standartlarının karşılanmamasını benim açımdan açıklamıyor.
İlginç olan bir diğer nokta ise, 2024 yılında aynı otelde konaklayan arkadaşlarımızın ve sohbet ettiğimiz diğer misafirlerin bu yıl yaşadıkları deneyime kendilerinin de şaşırmış olmasıydı. Onların anlattığına göre önceki yıl daha bilinen içki markaları sunuluyor ve hizmet kalitesi daha yüksek hissediliyormuş. Bu nedenle yaşadığımız olumsuzlukların sadece bizim beklentimizden kaynaklandığını düşünmüyorum.
Bu yorumu oteli kötülemek için değil, hizmet kalitesinin geliştirilmesine katkı sağlaması umuduyla paylaşıyorum. Çünkü iyi niyetli ve emek veren çalışanlar olduğunu gördük. Ancak mevcut haliyle, özellikle temizlik, hijyen, personel eğitimi ve içecek kalitesi konularında ciddi iyileştirmelere ihtiyaç olduğunu düşünüyorum. Ne yazık ki bizim için tekrar tercih edeceğimiz bir otel olmadı.","Odalar2,0Hizmet1,0Konum3,0",Google üzerinde bir ay önce,1/5
MyElla Hotel Resort & Spa,"Bodrum merkezdeki konumu ve ulaşım kolaylığı dışındaki tüm vaatleri koca bir yalandan ibaret olan bir otel... ""Bir daha asla"" demenin çok hafif kaldığı, tam anlamıyla hüsran dolu 5 gün geçirdik.
Odanın genişliği ve banyonun büyüklüğü ilk bakışta aldatıcı bir konfor gibi görünse de, kapıdan girdiğiniz an hijyene dair beklentileriniz yerle bir oluyor. Yatak örtülerinin üzerinde biriken tozlar, saçlar, kıl yığınları... Hijyen anlayışları ""sıfır"" noktasına demir atmış. Banyo lavabosundaki manzara ise odadan farksızdı; temizlikten tamamen uzak bir ortamla karşı karşıya kaldık.
Deniz deseniz ayrı bir dert, havuz deseniz ayrı... Deniz, içine girilemeyecek kadar kötü ""Deniz olmadı havuzda serinlerim"" deseniz, o minicik havuzun kenarında şezlong kapmak için sabahın köründe ""köşe kapmaca"" oynamanız gerekiyor. Sanki tatil değil, hayatta kalma mücadelesi!
Mutfak ise başlı başına bir facia. Kahvaltıdaki poğaça ve böreklerin bayatlığı, bisküvi-gofret tarzı atıştırmalıkların tazeliğini yitirmiş olması güne kötü başlamak için yeterliydi. Öğle ve akşam yemeklerinde kırmızı et hayalden ibaret; 4 gece 5 gün boyunca tek bir köfte bile göremedik. Önümüze konulan etler de hep ""tiftiklenmiş"" halleriyle, geçiştirme mantığıyla sunuluyordu. Tavuk ve hindi etiyle geçiştirilen bir mönü, lezzetsiz mezeler ve salata reyonunda çamuru üzerinde duran temizlenmemiş yeşillikler... Snack bardaki atıştırmalıklar ise lezzet konusunda bir diğer başarısızlıktı.
Oteldeki ""eğlence"" kavramı ise ne yazık ki oldukça sığ. Tekdüze çalınan müzikler, tecrübesiz animasyon ekibi ve keyif vermekten uzak, zorlama etkinlikler... Havuz başında sürekli aynı playlisti dinlemekten artık kulaklarımız ağrımıştı.
En çok dikkatimi çeken ve sitem etmeme sebep olan nokta ise şuydu: Kurban Bayramı döneminde otelin neredeyse tamamı Türk misafirlerden oluşuyordu. İnsanın aklına ister istemez şu soru geliyor: ""Acaba bu özensizlik, bu kalitesiz hizmet Türk misafirlerimize reva görülen bir standart mı?""
Kısacası, tatilden zevk almayı geçtim, keşke hiç gitmeseydim dediğimiz bir süreçti. Gitmeyi planlayan varsa, vereceği parayı ve kaybedeceği zamanı 10 kere düşünsün; zira garanti veriyorum, memnuniyet sıfır.","Odalar2,0Hizmet2,0Konum3,0",Google üzerinde 2 ay önce,2/5
MyElla Hotel Resort & Spa,"Bir daha asla, kesinlikle tavsiye etmiyorum. Paranız çöp olur. İlk bakışta her şey normal gibi görünse de kaldığınız her saat yeni bir şey fark ediyorsunuz.
Odalar
Bir çok yorumdaki gibi odalar gerçekten hijyenik değil. Yastıklar bildiğin ter kokuyor. Televizyonda kanallar 1970den kalma karıncalı falan. Balkon kapısındaki sineklik yırtık. Banyoda sıcak su yok, ılık su var, keza hamamda öyle. Hamam yahu kaynar sıcak su olması lazım ama ılık. Hamam demişler yersen.
Havuzlar
Kapalı havuzda su çok soğuk. Ana havuz çok kalabalık oluyor ve hijyenik değil. Gözlerim enfeksiyon kaptı. Ağzımda yara çıktı, şaka olmalı dimi.
Animasyon
Havuzda su topu oynatıyor animasyon ekibi. Geldi kaleyi önümüze koydu. 1 saat kafamıza ha top geldi gelecek diye tedirginlikle uzanıyorsun. ki bir çok defa top üzerimize geldi. Saçma sapan bir etkinlik. Siz orda 10 kişi eğlendireceksin diye kenarda güneşlenen uzanan insanları rahatsız etmeye hakkınız yok. Akşamları bir etkinlik beklemeyin. Bingo(Tombala) oynattılar ya. Bir kağıt 200TL den satıyorlar birde. Akşamları yapılacak en iyi etkinlik turla dışarı çıkmak. Tabi çocuğunuz varsa oda mümkün değil.
Yiyecek İçecek
Ben ilk defa bir açık büfenin bittiğini gördüm. Nasıl mı şöyle örnek vereyim akşam 7de restoran açılıyor hızlıca bir tur atıp tatlılara baktım. Güzel baklava var ayva tatlısı falan var. Saat 7 buçuk 7.40 gibi geçelim dedik yemeğe, hiç biri yok. bitmiş. ve yenilenmiyor. Nasıl biter yahu yemek 7-9 arası her şey sürekli yenilenmeli saat 7de gittin aldın aldın. Bir daha yok.
Bardaklar pis. su lekesinden falan bahsetmiyorum, içerisine çöp yapışmış bardakla içecek verdiler. olur hadi 1 defa dedim. 15dk sonra tekrar aldığımda ise kum kül gibi birşeyler vardı. Verdiğimiz para itibari ile kalıpta herşeyin kalitelisi versinler diyemezsin de temiz olsun kardeşim ya. Tabaklara yapışmış saç kılları vs. Patates kızartmasında yine aynı şekilde bitmişti yenisini kızartıp kaba döktü önümde ilk ben alıyorum yani kızarmış yemekten patateslerde uzun bir saç. Söylüyorsun hep umurlarında da değil. Arkadaşlar abartmıyorum 45dk ızgara tavuk almak için sırada bekledim. iş inada bindi dedim siz yiyin yemeği ben alacam o tavuğu. Snack bar olmasa aç kalmıştık öyle söyleyeyim. Bir tek oradaki hizmet gerçekten güzel. Otelin geri kalanına göre farklı bir işletme gibi. personelde aynı şekilde. yemekler güzel.
Personel
Ben 10 sene turizm sektöründe çalıştım. Eğer personel yaptığı işi sevmiyorsa mutlu değilse o otelden hayır gelmez. Bir tane yüzü gülen personel yok. Hepsi zorla iş yapıyor. Havuz barda bir turist ayağını incitmiş ve ayağının üzerine buz koymak için buz istiyor. 15dk kadına buz veremediler. önce anlamadılar. anladıklarında da nasıl vereceklerini bilemediler. kağıt peçetede verdiler kağıt yırtıldı falan buzlar yere döküldü sonra içlerinden pipet poşetini boşaltıp içerisine koydu öyle verdiler. Özetle kalifiye personelde yok.
Özet
Kesinlikle bu parayı hak etmiyor. Ultra her şey dahil olmasına aldanmayın herşey 2. kalite falan değil 3-4 kalite falan.","Odalar1,0Hizmet1,0Konum2,0",Google üzerinde bir ay önce,1/5
MyElla Hotel Resort & Spa,"Nereden başlayacağımı gerçekten bilmiyorum. Hayatımda konakladığım en kötü otel.
Garsonlardan müşteri ilişkilerine kadar hizmet kalitesi son derece yetersizdi. Restoran hijyen açısından içler acısı durumdaydı. Bardaklar, kaşıklar, kaşıklıklar ve diğer ekipmanlar temiz değildi. Fotoğrafları da aşağıda paylaşıyorum.
Yemekler, kahvaltılar ve tatlılar ise tam bir hayal kırıklığıydı. Neredeyse hiçbirinin tadı yoktu. Tatil boyunca çoğu zaman yoğurt ve meyve yiyerek idare etmek zorunda kaldık.
Denizi berbat ayağımızı dahi sokamadık. Konakladığımız oda “Swim Up” konseptindeydi. Bu havuzun yalnızca bu oda tipini kullanan misafirlere ait olması gerekirken, adeta yol geçen hanına dönmüştü. Günün her saati dışarıdan insanlar giriyor, gece geç saatlere kadar ve sabahın erken saatlerinde yüksek ses nedeniyle dinlenmek mümkün olmuyordu.
Daha da kötüsü, odamızın kapısını içeriden ayrıca kilitlemek zorunda kaldık. Çünkü otel personeli kartlarıyla kapıyı çalıp beklemeden açmaya çalışıyordu. İki kez odamıza izinsiz girilmeye çalışıldı. Bu durum hem güvenlik hem de mahremiyet açısından kabul edilemez.
Gece yaşanan gürültü nedeniyle resepsiyonu arayıp defalarca yardım istememize rağmen hiçbir çözüm üretilmedi. Ertesi gün müşteri ilişkilerine gittiğimizde ise bize, “Odanız için herhangi bir rahatsızlık kaydı oluşturulmamış, bu nedenle yapabileceğimiz bir şey yok.” denilerek konu geçiştirildi. Otel müdürü ise bizimle görüşmeyi dahi kabul etmedi. Son gecemizi neredeyse hiç uyuyamadan geçirdik ve ertesi gün yorgun bir şekilde yola çıkmak zorunda kaldık.
Tüm bu olumsuzlukların içinde teşekkür etmek istediğim tek kişi, Müşteri İlişkileri yardımcısı Eylem Hanım oldu. Kendisi son derece nazik, anlayışlı ve yardımcı olmaya çalışan biriydi. Buradan kendisine tekrar teşekkür ediyorum.
Bu otelin sadece dış görünüşüne aldanarak daha fazla insanın mağdur olmasını istemiyorum. Araştırdığımda benzer sorunları yaşayan çok sayıda misafir olduğunu gördüm. Tatilimiz sırasında tanıştığımız birkaç aile de yaşadıkları mağduriyetleri yazılı olarak paylaşmayı kabul etti.
Ben de bu sürecin takipçisi olacağım ve gerekli tüm yasal haklarımı kullanacağım. Benzer mağduriyet yaşayan herkesten ricam, Instagram üzerinden (maps kullanıcı adı engellediğinden İnstagram adresime ismimin ve soyismimin arasında nokta koyarak bulabilirsiniz) bana DM yoluyla ulaşmalarıdır. Birlikte hareket ederek sesimizi daha güçlü duyurabilir ve başka insanların da aynı mağduriyeti yaşamasını engelleyebiliriz.","Odalar1,0Hizmet1,0Konum1,0
OdalarPislik içinde
GüvenlikSıfır
Yiyecek ve içeceklerBerbat pislik içinde",Google üzerinde 2 hafta önce,1/5
MyElla Hotel Resort & Spa,Yedi 12 Temmuz arası rezervasyonumuz vardı. Otele vardığımızda çok kötü bir karşılama otopark yok vale hizmeti yok resepsiyon sıfır yemek salonu pis demeye bile dilim varmıyor bardaklara çay almak için elimi süremedim o kadar pis bir Vaziyetteydi. Odamız önce başkasına verilmiş sonra balayı çiftsiniz diyerekten onlar çıkartılıp biz yerleştirildik odaya gittiğinizde ekşi peynir kokusu diyebileceğim pis bir koku vardı hiçbir şekilde temizlik hijyen yoktu ve iade talep ettim kalamayacağımı dile getirdim aldığım cevap bir gece kesinti sonrasını iade edebileceklerdi buna bile razı geldim çıkışımızı yapacağımız esnada resepsiyondaki müdür denilen şahıs bizi dövmekten beter etti kovarcası imalar berbat ötesi bir otel hiç kimseye tavsiye etmiyorum dört veya beş yıldız ne olduğu belli değil pislikten geçilmiyor ekte resimde de ekledim bunun gibi manzara binlerce dolu otelin her yerinde hayatımda yaşayabileceğim en kötü otel deneyimi herhalde orada kalsaydık hastalıklı bir vaziyette tatilimiz bitmiş olurdu bence bir an önce bu otele turizm bakanlığı tarafından bir el atılmalı çünkü pislik yönünde seçilebilecek bir numaralı otel personel suratsız alakasız bilgisiz ekleyebileceğim çok bir şey yok hiç kimseye tavsiye etmiyorum kesinlikle ama kesinlikle evet Google’da ilk sırada çıkıyor ama asla asla asla sakın gitmeyin,"Odalar1,0Hizmet1,0Konum1,0
OdalarPis
GüvenlikYok
Yiyecek ve içeceklerTezil
Önemli ayrıntılarSakın gitmeyin",Google üzerinde bir ay önce,1/5
MyElla Hotel Resort & Spa,"Maalesef beklentimizi karşılayan bir otel olmadı. Deniz oldukça pisti, havuz içindeki kalkmış mermerler ayağımızı kesti. Açık büfede hijyen konusunda eksikler vardı; birkaç kez yemeklerde kıl ile karşılaştık. Ayrıca restorandaki servis tabaklarının hem üstünde hem de altında yemek lekeleri olabiliyordu. Şezlong sayısı yetersiz olduğu için saat 11.00’den sonra havuz bölümünde yer bulmak neredeyse imkânsızdı. Odadaki minibar için su takviyesinin bile ücretli olması da bizi şaşırttı.
Olumlu olarak söyleyebileceğim tek şey ise barda çalışan İsmail Bey’di. Güler yüzü, ilgisi ve işini gerçekten severek yapması sayesinde tatilimizde en memnun kaldığımız kişi oldu. Açıkçası onun enerjisi olmasa otelden çok daha kötü bir izlenimle ayrılırdık. Kendisine ayrıca teşekkür etmek istiyorum.","Odalar3,0Hizmet2,0Konum4,0",Google üzerinde bir ay önce,3/5
MyElla Hotel Resort & Spa,"Öncelikle herkese merhaba, otelden bu gün çıkış yaptım ve direk yazmak istedim evlilik yıl dönümümüz için tercih ettik ets tur reklamında gördüm hepsi çok güzel gözüküyordu ta ki gidene kadar.
Gittiğimiz gibi ne bi karşılama ne bi hoşgörü saat 3buçuğu geliyordu odaya girdik,bizi çok beklettiler odamıza gitmek istedik anahtarı aldık ve bulmaya çalıştık ama bulamadık daha sonra valiz taşıyan çalışan bizimle alay eder gibi ben size bulamazsınız demiştim,ister beklersiniz ister beklemezsiniz dedi. Burda tüm modumuz düştü,sonra havuza girmek istedik her yerde havlu her yerde ama herkes yer tutuyor oturcak yer yok sabah 5 6 gibi koymaya başlıyorlar ,sordum birine bana dedi ki kendiniz taşıyın şurdan ben taşımam dedi (1şemsiye 2 Şezlongtan bahsediyor)😂
Neyse dedim yemek yiyelim gittik havuzun orda ki yemek bölümüne o yok Buda yok dendi ama başka masalara gelmeye başladı bende artık sinirlendim akşam yemeği de izdiham gibi zaten,savaş veriyorsun yani stres sinir bir arada.Oteldeki misafirler de maşallah bir sesli bir anlayışsız havuzda atlama yeri yok sürekli atladılar suratıma yapıştı su bi anda,bişey demeye gelmiyor kavga edici tipler hepsi.
Ertesi gün müşteri ilişkileri ile görüştük kıvırcık saçlı olan,o kadar tatlıydı ki kendimi ifade ettim oda bana ifade etti alakart yemek rezervasyonu oluşturdu güzeldi ilgilendi orda da biz havuzda yer bulduk mu diye kontrol etti çok teşekkür ederim ona sadece bunları yazacağımı söylemiştim tatilimi tek güzelleştiren o hanımefendi oldu ❤️
Birdaha gelirmiyim asla gelmem.","Odalar1,0Hizmet1,0Konum3,0
Yiyecek ve içeceklerKötü,aç kalmadık ama hep aynı şeyler",Google üzerinde bir ay önce,2/5
MyElla Hotel Resort & Spa,2 saat önce otelden ayrılmış biri olarak gerçekçi bir yorum yapmak istiyorum resepsiyona havuz tarafına bakan odalarınızdan rica ediyoruz dememize rağmen kara manzaralı oda verildi oda temizliği söylenmeden de yapıldı bu artılarından biri . Hem plaj hem havuz olmasına rağmen plajını kullanamadık çünkü ETS de eklenen video gibi tertemiz bi deniz değildi fazlasıyla pisti havuzunun büyüklüğü gayet iyiydi fakat havlumuzu koymaya yer bulmak için sabahın köründe kalkıp şezlong bulmak zorunda olmak fazlasıyla saçmaydı. En önemlilerinden yiyecek konusuna gelirsek çeşitlilik ve görsel anlamda çok güzel fakat lezzeti sıfır olan bi restauranttı 6 gece konakladık salata ve karpuz ile doymaya çalışmak zorunda kaldık çeşitlilikten ziyade birazda lezzete odaklanılsa verdikleri emek boşa gitmez,"Odalar3,0Hizmet4,0Konum4,0
Otelde öne çıkanlarMuhteşem manzara
Yiyecek ve içeceklerLezzet sıfır çeşitlilik 10 ama doymadıktan yiyemedikten sonra oda bi işe yaramıyor tabi",Google üzerinde 3 hafta önce,1/5
MyElla Hotel Resort & Spa,"Ultra herşey dahil konsepti diye giderseniz ultra yanılırsınız. Tam bir fiyasko. Temizlik sıfır personel sıfır hizmet sıfır. Şimdi bu yorumun altına otel yönetimi kendini savunucu yorum yapar. Boş işler bunlar. Bende işletmeciyim 40tan fazla otel gezdim. Savunulacak bi tarafı yok.
(Parantezli kısmı tesis yorumundan sonra yazıyorum. Dediğim gibi tek iş kendilerini savunmak. Adım Can Ahmet Eroğlu 6-10 Temmuz tarihleri arası 1204 numaralı odada konakladım. Ve gittiğim hiç bir ultra dahil otelin restoranında halk ekmek kuyruğu gibi yemek sırası yoktu. Restoranda tabaklar yıkanmadan yeni çıkmış gelmiş ama temizlenmemiş iğrenç bir görüntü. Denetim sıfır personel eğitimi sıfır. Restorandaki garsonlar birbiriyle tartışıyor. Engelli misafirimiz olduğu için aracımızı yakına çekmek istedik ama kapıdaki güvenlikler patronun araçlarının oraya çekildiğini ve çekemeyeceğimizi söylediler. 😁)","Odalar2,0Hizmet1,0Konum2,0",Google üzerinde bir ay önce düzenlendi,2/5
MyElla Hotel Resort & Spa,Tatilimizi dün bitirdik o yüzden hemen görüşlerimi yazmak istedim ki bizim gibi fotoğraflara falan aldanıp kimse gitmesin diye. 3 yaşında çocuğumla tatile gittik ve özel havuzlu odalardan birinde konaklamak istedik çünkü gerçekten kapasitenin üzerinde bir kalabalık vardı. Bize çocuklu ailelere o odaları veremediklerini söylediler ki ekstra fiyat farkını bile ödeyebileceğimizi söylemiştik kabul etmediler. Ertesi gün pek çok çocuklu aileye o odaları verdiklerini gördüm. O ailelerin bizden farkı neydi çok merak ediyorum. Bize verdikleri otel inşaat manzaralı sinekliği yırtılmış rezalet bir odaydı. Günlerce sineklerle uğraşmak zorunda kaldık sayelerinde. Sahil kısmı tam bir rezalet. Hiç temizlememişler ve bakmamışlar dahil demeye bin şahit ister. Böyle bir yerde otelin var ve tenezzül edip sahile bakım yapmıyorsun inanılır gibi değil. Denize kimse giremediği için herkes havuza yöneliyor haliyle ve resmen şezlong kapma yarışına girmek zorundasınız. Tatile mi gittik savaşa mı belli değil. Madem beceremiyorsunuz o halde kapasitenin üzerinde müşteri almayın. Yemek çeşitliliği sıfır her gün aynı ürünleri çıkarttılar. Mezenin maliyeti ne kadar insan bari meze barını değiştirir. Kokteyl desen rezalet. Ancak bar her gün aynı menüye yazdıklarını bile istediğinizde yok diyorlar. Madem o yok bu yok kapatın kardeşim otelinizi insanlar tatile rezillik çekmek için gelmiyor yani. Seneler öncesinde yan tarafında bir otelde kalmıştık aynı yerde bulundukları için onun gibi sandık ne büyük yanılmışız. Kimseye tavsiye etmiyorum asla ama asla gitmeyin. Paranızı çöpe atmak istiyorsanız o başka. Otelin tek iyi yanı animasyon ekibiydi umarım onlar hak ettikleri başka bir otele geçerler bu otel için çok fazlalar,"Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir ay önce,1/5
