otel_adi,yorum,hizmet,tarih,puan
Kuum Hotel & SPA Bodrum,"4 gece konakladık. Housekeeping ekibine, belboylara, resepsiyona ve özellikle Figen Hanım’a ilgileri için çok teşekkür ederiz. Otel tarafındaki hizmetten memnun kaldığımızı özellikle belirtmek isterim.
Ancak beach ve kahvaltı servisinde ciddi problemler yaşadık. Beach kısmına yalnızca ilk gün gitmemize rağmen o kadar çok sorun yaşadık ki sonraki günlerde beach alanını kullanmamayı tercih ettik ve gün içinde otelde bulunmadık.
İlk gün beachte toplamda yalnızca 4-5 şezlong dolu olmasına rağmen garsonlar kendi aralarında sohbet ediyor, müşterilerle yeterince ilgilenmiyordu. Sipariş vermek oldukça zordu. Söylediğimiz lahmacun ve pide yaklaşık 1 saatte geldi ve geldiğinde sanki uzun süredir beklemiş gibi soğuktu. Bu kadar problemden sonra menajeri çağırmalarını istedik. Kendisi özür diledi; ancak açıkçası bu durumda özellikle yiyemediğimiz ve hizmetini alamadığımız ürünlerin hesaptan düşülmesini beklerdik. Bunun yerine yalnızca %10 indirim yapıldı. Buna itiraz etmedik fakat yaşadığımız sorunlar düşünüldüğünde çok daha iyi bir şekilde telafi edilmesini beklerdik. Sonuç olarak yaklaşık 30.000 TL’lik bir hesabı, alamadığımız hizmete ve memnun kalmadığımız yiyeceklere ödemiş olduk.
Bize bayram yoğunluğu olduğu söylendi; ancak bayram tarihi önceden belli olan bir dönem. Bu yoğunluğa göre hazırlık yapılması gerekirdi. Üstelik o gün beachte sadece birkaç şezlong doluydu, bu yüzden yaşanan aksaklıklar bizim için kabul edilebilir değildi.
Kahvaltı çeşitliliği güzeldi; fakat saat 10 civarında gittiğimizde çoğu ürün bitmiş oluyordu ve biten yiyecekler yenilenmiyordu. Kahvaltıdaki garsonlar siparişleri kesinlikle hatırlamıyor, not almıyorlardı. Basit bir kahvenin gelmesi yarım saati buluyordu ve her sabah benzer sorunları yaşadık. Garsonların birbirlerine salonun bir ucundan diğer ucuna bağırarak seslenmeleri de kahvaltıdaki huzuru bozuyordu. Sürekli “Çayı siz mi istemiştiniz?”, “Kahve sizin miydi?” gibi sorularla masalara geliniyordu. Siparişler düzgün şekilde not alınsa bu problemlerin çoğu yaşanmazdı.
Özetle, otel konaklama kısmından ve özellikle bazı çalışanların ilgisinden çok memnun kaldık; ancak beach ve kahvaltı servisindeki organizasyon eksikliği, hizmet kalitesi ve telafi yaklaşımı beklentimizin oldukça altında kaldı...","Odalar5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz",Google üzerinde 2 ay önce düzenlendi,3/5
Kuum Hotel & SPA Bodrum,"Konaklamamız boyunca restoran müdürü Orhan Bey’in ilgisi, güler yüzü ve profesyonel yaklaşımından çok memnun kaldık. Misafirlerle yakından ilgilenmesi ve her konuda yardımcı olmaya çalışması sayesinde kendimizi çok rahat ve değerli hissettik. Kendisine ve ekibine teşekkür eder, başarılarının devamını dileriz.”",,Tripadvisor üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,"Her anından inanılmaz keyif aldığımız harika bir tatil geçirdik. Odalarımız son derece konforlu ve tertemizdi; denizin güzelliği ise tek kelimeyle harikaydı. Başta danışmada bizden ilgisini eksik etmeyen Figen Hanım ve Sena Hanım’a, beach alanında ise harika enerjisiyle Furkan Bey’e ve emeği geçen tüm otel çalışanlarına çok teşekkür ederiz. Misafirperverlik ve ilgi gerçekten mükemmeldi. Güzel ve keyifli bir tatil arayan herkese tavsiye ederim.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde bir ay önce,5/5
Kuum Hotel & SPA Bodrum,"Kendilerine güvenlik diyen bir ekip çok saygısız ve edepsizce tutum içinde, 5 yıldızlı değil 1 yıldızlı bir otelde bile karşılaşmadığınız bir tutumla karşı karşıyasınız. Tatilinizi mahvetmek isterseniz tek adresiniz burası . Kesinlikle tavsiye etmem","Odalar3,0Hizmet1,0Konum4,0
Otelde öne çıkanlarSessiz …Devamı",Google üzerinde 2 hafta önce,1/5
Kuum Hotel & SPA Bodrum,"Manzarası, denizi ve hizmetleriyle mükemmel bir otel! Odamız çok geniş ve rahattı. Özellikle Figen Hanım çok ilgiliydi, her ihtiyacımızda yardımcı oldu. Aynı şekilde Ahmet Bey de odamıza kadar eşlik edip, otel hizmetleri konusunda bizi detaylı şekilde bilgilendirdi. Oda temizliği her gün düzenli olarak yapıldı ve temizlik ekibi gerçekten çok başarılıydı.
Otelde spa ve masaj hizmetlerinden faydalandık. Zeynep Hanım’ın masajı harikaydı. Ayşila Hanım ve Irma Hanım da spa, masaj, spor salonu ve yüzme havuzu hakkında bizi detaylıca bilgilendirdi.
Deniz tertemiz ve derin. Duşlar hemen deniz merdivenlerinin yanında yer alıyor ve plaj havluları otel tarafından sağlanıyor.
Geliştirilebilecek bir konu ise otelin bazı plaj hizmetleri, özellikle kabanalar. Kabanalar hem konfor hem de gölgelik açısından çok iyi; ancak sayıları sınırlı, yalnızca 4-5 adet ve çoğu zaman dışarıdan gelen misafirler için rezerve ediliyor. Otelde konaklayan misafirler olarak bu alanları kullanmada önceliğimiz olmasını isterdik. Güneş gözlüklü bir plaj görevlisi, tüm kabanaların dış misafirler tarafından rezerve edildiğini ve bizim kabanadan kalkmamız gerektiğini iletti. Diğer otel misafirlerinin de benzer şekilde uyarıldığını gözlemledik. Neyseki hafta içi daha sakin bir günde kabanayı kullanma şansı bulduk.
Bu küçük aksaklığın tatilimizi olumsuz etkilemesine izin vermedik, çünkü diğer tüm deneyimlerimiz ve personel gerçekten harikaydı. Otelin konumu da çok avantajlı. Genel olarak hizmetlerden ve otelden çok memnun kaldık. Teşekkür ederiz!","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 10 ay önce,5/5
Kuum Hotel & SPA Bodrum,Rezil bir beach. Servis cok kotu. Resmen zar zor yavararak yemek yedik. Yemek soyluyoruz her sey yanlis geldi. Garsonlar bagira bagira konusuyor. Hicbir sey umurlarinda degil. Matcha soyledik sut geldi neredeyse. Yemeklerin tatlari cok kotu o yuzden porisyonlari dev gibi yapmislar,"Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 2 ay önce,1/5
Kuum Hotel & SPA Bodrum,Eski Kuum çok daha güzeldi. Locaların yerini iki kişilik park bankı koymuşlar. Eski enerjisi havası aurası asla yok. Onun dışında yemekleri ve hizmet çalışanlar yine çok misafirperver. Ama kesinlikle locaları eski yerine almaları lazım,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,3/5
Kuum Hotel & SPA Bodrum,9 yıl önce geldiğin bu yere bugün tekrardan geldim ve gerçekten hala çok güzel bir durumda. Gelmeden önce yapılan olumsuz yorumlar biraz soru işareti oluşturdu ama geldiğimde gördüm ki o yorumları hak edecek hiçbir durum yok . ambians çok güzel hizmet mükemmel çalışanların yaklaşımı harika . Bodrumun kesinlikle keşfedilmesi gereken beachlerinden biri,Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz · Çocuklar için uygun,Google üzerinde bir ay önce,5/5
Kuum Hotel & SPA Bodrum,Mahir bey ve süleyman beye ilgilerinden dolayı çok çok teşkkür ediyorum okadar kibar nazik ve cömertlerki çok teşekkür ederim tekrardan mekanı zaten anlatmaya gerek yok rüya gibi çok kaliteli,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Kuum Hotel & SPA Bodrum,"Kuum Beachclub'ı 15 yıldır tanıyorum. Oraya her zaman tekrar gidiyorum. Servis çok iyi ve çalışanlar her zaman nazik ve yardımsever. Bu vesileyle, bizimle bizzat ilgilenen Orhan Bey'e de teşekkür etmek istiyorum.","Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,“Harika bir konaklama deneyimi yaşadık. Özellikle Restoran Müdürü Orhan Bey’in ilgisi ve misafirperverliği için teşekkür ederiz. Oteli gönül rahatlığıyla tavsiye ederiz.”,,Tripadvisor üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,"10-15 Haziran tarihleri arasında arkadaşımla konakladık. Deniz harikaydı, nezih bir otel.|Hizmet kalitesinden memnun kaldık.",,Tripadvisor üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,Özellikle Mert Beye çok teşekkür ediyoruz içeride her şeyle ilgi gösterildi. İstanbul'a kıyasla fiyatlar da gayet makul teşekkür ediyoruz.,"Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara
Önemli ayrıntılarDenemelisiniz",Google üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,Her yönüyle çok kaliteli ve temiz bir otel. Denizi de çok temiz. Yaz tatili için kesinlikle tavsiye ederim,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Sessiz · Büyük fırsat",Google üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,çok memnun kaldık her şey için teşekkürler özellikle Süleyman bey ve mahir bey çok ilgilendi mekan çok temiz ve yemekler çok lezzetliydi,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Kuum Hotel & SPA Bodrum,"Otel konum olarak ne kadar öne çıksa da odalarin rahatligi ve aldigimiz hizmet, samimiyetlik çok üst düzeydi.",,Tripadvisor üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,"Personel samimi güleryüzlü, mekana para harcanmış çok kaliteli ve huzurlu eşim ile beraber bir gün geçirdik çok memnun kaldık tavsiyeederiz..","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 11 ay önce,5/5
Kuum Hotel & SPA Bodrum,"Tüm çalışanlara özellikle restorant şefi Orhan teşekkürler,kuum Beach de çok güzel günler geçirdik","Hizmet5,0",Google üzerinde 2 ay önce,5/5
Kuum Hotel & SPA Bodrum,Otel çalışanlar odalar yemekler çok iyiydi. Çalışanları çok sevdim ilgililer. Spa için özellikle konuşmak istiyorum. Çok kötüydü. Masaj kötüydü 55 dk nın 30 dk kadın tek elle yaptı ve diğer elinde telefonuyla ilgilendi. Asla hakkını vermeyen bir Spa deneyimiydi. Tüm tanıdıklarıma da kötü sakın gitmeyin diyorum. Otel sanki terk edilmiş bunlarda spa yı yeni almışlar gibiydi. Paranız çöpe gitmesin masajı ve her şeyi kötüdü. Otel onun haricinde güzeldi bir diğer şey de Sushi restoranına kesinlikle gitmeyin balıkları çok kokuyor. Benzinlikten alın çok daha güzel gerçekten söylüyorum. Macrodan alın benzinlikten alın ama o otelde sushi yemeyin normal restoranı güzel ama sushi ve spa ASLA,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
OdalarBüyük, geniş, ferah
Yiyecek ve içeceklerSushi restaurantı çok kötü onun harici kesinlikle beach kısmı çok iyi
Önemli ayrıntılarSpa’yı kesinlikle tercih etmeyin yazık olur paranıza 7 bin bende çöpe gitti",Google üzerinde bir yıl önce,3/5
Kuum Hotel & SPA Bodrum,"Otelinizin konumu gerçekten mükemmel, doğa ve manzara açısından çok etkileyici. Ancak fiyat politikanızın oldukça yüksek olduğunu düşünüyorum. Özellikle yeme-içme fiyatları oldukça abartılı; örneğin bir paket sigaranın 500 TL olması gerçekten şaşırtıcı.
Ayrıca, personelinizin genel olarak deneyimsiz olduğu izlenimini edindim. Bu durum, otelinizin genel kalitesini ve hizmet standardını olumsuz etkiliyor ve açıkçası bir butik otelden çok pansiyon işletmesi havası veriyor.
Böylesine güzel bir lokasyona ve potansiyele sahip bir tesisin, daha dikkatli yönetilmesi gerektiğine inanıyorum. Eleştirilerimi yapıcı bir geri bildirim olarak değerlendirmenizi umar, başarılar dilerim.","Odalar3,0Hizmet1,0Konum5,0",Google üzerinde bir yıl önce,1/5
