otel_adi,yorum,hizmet,tarih,puan
MACAKIZI BODRUM,Aradığımda müsaitlik vardı ama hemen bir sonraki gün aradığımda birden yer kalmadığını ancak 3 hafta sonraya rezervasyon yapabileceklerini söylediler anlayamadım üstelik erken arayıp rezervasyon yapmak istememe rağmen ayrıca telefondaki …,,Tripadvisor üzerinde bir yıl önce,1/5
MACAKIZI BODRUM,"Bodrum 'un en seçkin ve kaliteli mekanı.
Üst düzey gelire sahip insanların tercih edebileceği bir yer.
Plaj, bar, otel hizmeti mevcut.
Haftasonu yoğun oluyor.",Otelde öne çıkanlarLüks,Google üzerinde bir ay önce,5/5
MACAKIZI BODRUM,Biz yemeğe gittik yemekler ve konum çok güzeldi ama hizmet biraz aksaktı,"Odalar4,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,5/5
MACAKIZI BODRUM,Zenginler için değişik güzel palalı bir yer,,Google üzerinde bir ay önce,5/5
MACAKIZI BODRUM,Nezih temiz güzel küçük bir butik otel burası.. manzarasi çok güzel..sabah kahvaltısı muhteşemdi taze olarak özenle seçilmiş kahvaltı ürünleri tek kelime ile mükemmeldi.. personel nazik kibardi sabah saat 8 de olmasına rağmen zeytinler peynirler ekmekler omletler malzemelerin hepsi en üst kalite ve tazeydi teşekkür ederiz.odamiz da gayet iyiydi temiz ferah klima calişiyor öğlen yemekleri de menüden seçtik gayet lezzetli ve güzeldi,"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 10 ay önce,5/5
MACAKIZI BODRUM,"Ben de bir otelci olarak harika bir deneyim yasadim |Tum calisanlar cok ilgili ve guleryuzluydu, beach kismi ovguleri fazlasiyla hak ediyor , kahvaltilar ve aksam yemegi .inanilmaz kaliteli ve saglikliydi , |Bodrumda onerecegim tek otel olacak emin olabilirsiniz",,Tripadvisor üzerinde bir yıl önce,5/5
MACAKIZI BODRUM,Böyle rezil bir yer görmedim üst düzey yöneticilerimle konaklama yaptık dışarda sigara içiyordum yanıma bir güvenlik geldi burada sigara içemezsin dedi nedenini sorduğumda da bana Burası maça kızı diye cevap verdi Ne alaka dedim başımda bekliyordu yanımdan gitmesini söyledim zar zor gitti böyle bir saçma yer olamaz,,Google üzerinde 11 ay önce,2/5
MACAKIZI BODRUM,"If you are a tourist, don't come.
yabancı yada türist isen gelme dolandırılcaksın 3 arkadaşım ile geldik 200 € giriş üçreti verdik ve içerisi rezalet idi hele kapıdaki güvenlik tamamen çırkin hareketleri ile tekinsiz bi insandı
If you are a foreigner or a tourist, do not come, you will be scammed. We came with 3 friends and we paid 200 € entrance fee and the inside was a... If you are a foreigner or a tourist, do not come, you will be scammed. We came with 3 friends and we paid 200 € entrance fee and the inside was a...","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde bir yıl önce,1/5
MACAKIZI BODRUM,"BERBAT. Otelde günlük 1.250 dolara kaldım. Oda hariç her şey parayla olmasından dolayı dışarıdan alınan müşteriler daha çok önemseniyor. (Zaten oda ücretini almışlar, extra cebine girecekleri paraya bakıyorlar) Bu yüzden oda parası vermeyenlere daha iyi yerler ayrılıyor. (Şezlong, yemek masası vs)
Puanlara bakmayın çünkü çoğu otelde kalmayanların puanı. Siz de para verip kalmayın sadece yer ayırtın illa gelecekseniz. Zaten her şey ücretli, en azından oda ücreti vermezsiniz.
Not: İlginç şekilde geçen sene yaptığım yorumum (bu yorum) meğerse yayınlanmamış, umarım şimdi yayınlanır.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 3 ay önce düzenlendi,1/5
MACAKIZI BODRUM,"Bu yaz 3 kere beach kısmını kullandım ve gerçekten kendinizi çok özel hissettiren bir misafirperverlik anlayışları var. Kendimi sanki yıllardır tanıdığım kişilerin arasında hissettim. Özellikle Fatih bey ve Anıl
bey inanılmaz profesyonel oldukları kadar samimi ve sıcak kanlılar. Umarım kendileriyle istanbulda yada seneye yaz sezonunda yeniden karşılaşırız.","Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara",Google üzerinde bir yıl önce,5/5
