otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Aspat Hotel Bodrum - Beach Restaurant,Value price,8.0,"Posted April 22, 2026",,Stayed in April 2026,,,,
Aspat Hotel Bodrum - Beach Restaurant,Helpful staff member. Breakfast can be improved.. loved the access to Karaincir beach.,6.0,"Posted September 30, 2024",,Stayed in September 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,Good for the price and budget traveller,8.0,"Posted August 13, 2024",,Stayed in August 2024,,,Family,
Aspat Hotel Bodrum - Beach Restaurant,"Всё просто замечательно, всем рекомендую, прекрасные места, отель тоже красивый.",10.0,"Posted April 23, 2026",,Stayed in April 2026,,,,
Aspat Hotel Bodrum - Beach Restaurant,"Zentrale Lage mit Mietwagen, daher schnell in Botrum und Umgebung. Leider ist am frühen Morgen das Duschwasser noch etwas frisch (Sonnencollektoren).",8.0,"Posted September 22, 2024",,Stayed in September 2024,,,Family,
Aspat Hotel Bodrum - Beach Restaurant,"Horrivel. O quarto estava literalmente caindo aos pedaços, a porta que ligava o quarto para a área externa estava toda quebrada e não fechava, tivemos que fazer uma engenharia com cabides. O banheiro fedido e sujo, não tem vidro no box e a água vai toda para o banheiro, não tem chuveiro apenas chuveirinho, tem que tomar banho segurando ele. Café da manhã você tem que pagar para tomar o café, e as opções de comida são salsicha, batata frita, pão e queijo. Um verdadeiro horror, e acham que estão certos e não aceitam devolver o dinheiro. Ficamos uma noite, das três, e resolvemos sair e pagar outro hotel. Perdemos de fazer passeios pelo estresse gerado pelo hotel. Único ponto bom: a vista do hotel é bonita.",2.0,"Posted September 12, 2024",,Stayed in September 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,Kötü konaklama tesisi Bir kere berbat bir deneyim yani otel diye adlandırmamak lazım tv bozuk air condition yetersiz tuvalet terasta vs,2.0,"Posted July 19, 2024",,Stayed in July 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,"Otelden yeni ayrıldık, odanın temizliği hiç iyi değildi. Tuvalet ve banyo aşırı kirliydi ve temizliği yapan personel sadece paspas tarzı bir süpürge ile temizlik yapıyordu. Havluda lekeler vardı neyseki kendimiz yanımıza almıştık. Kahvaltısı orta halli iyiydi ama bardak, ya da çatal bıçak da temiz değildi. Ayrıca soğan kestikleri bıçak ile karpuz ve peynir de kesmişler.. bunların dışında plaja yakın yürüme mesafesinde, anlaşmalı olan plajı güzeldi.",4.0,"Posted July 22, 2024",,Stayed in July 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,Acil çözüm aradiğimiz için bir gece konakladik.Personel iyi ama otel eski ve vasat,6.0,"Posted April 25, 2024",,Stayed in April 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,Otelin konumu güzel sakin denizi efsane,10.0,"Posted March 28, 2024",,Stayed in March 2024,,,Business traveler,
Aspat Hotel Bodrum - Beach Restaurant,Boutique eccessivo…per una notte va bene! Hotel essenziale a 20 km da Bodrum. Le semplici stanze avrebbero bisogno di un po’ di manutenzione. La parte più bella è quella esterna: terrazza vista mare per colazione (basica) e la piscina…,6.0,"Posted September 7, 2023",,Stayed in September 2023,,,,
Aspat Hotel Bodrum - Beach Restaurant,Yatak rahat değildi yer guzel,8.0,"Posted October 15, 2023",,Stayed in October 2023,,,,
Aspat Hotel Bodrum - Beach Restaurant,Plaja 2 ek yürüme mesafesinde tesis konum olarak ve manzarası harika Bodrum'un en güzel denizi karaincirde olması bizim için tercih sebebi tam fiyat performans oteli,10.0,"Posted March 2, 2026",,Stayed in March 2026,,,Business traveler,
Aspat Hotel Bodrum - Beach Restaurant,"Her şey çok güzeldi, oda, kahvaltı, havuz, çalışanların ilgisi… Biz çok memnun kaldık, . Öncelikle otelin hayvansever olması çok güzel, Odalar temizdi, yemekler çok güzeldi. Otelin denize yakın olması da ayrı bir avantajdı. Otele çok yakın bir sürü market ve eczane olması da çok iyi. Her şey için tekrar teşekkür ederiz, daha sonraki tatillerimde kesinlikle tekrar geleceğim bir yer",10.0,"Posted February 27, 2026",,Stayed in February 2026,,,,
Aspat Hotel Bodrum - Beach Restaurant,"Dört kişi aile olarak konakladık. Otel genel anlamda güzel, butik otel tarzında, Bodrum evleri mimarisi ile site gibi planlanmış sakin huzurlu bir tesis. Karaincir koyunda . Havuzu otele göre yeterliydi. Kaldığımız oda ***et ferah, geniş ve rahattı. Kahvaltısı standart olup, açıkbüfe konseptinde verilmektedir.",10.0,"Posted February 27, 2026",,Stayed in February 2026,,,,
Aspat Hotel Bodrum - Beach Restaurant,Manzarali temiz odalari olan sirin bir flyat performans oteli,10.0,"Posted April 2, 2026",,Stayed in April 2026,,,,
Aspat Hotel Bodrum - Beach Restaurant,Otel de eşimle 3 gece konakladık. Otelin konumu dışındaki herşeyi çok kötüydü. Vasat bir otel. En önemli şey temizlik olmasına rağmen hiç temiz değildi. Havlu ve çarşaflar lekeli geldi. Banyo ve tuvaletler pisti. Otel çok eski ve bakımsız. Odada böcek vs vardı. Oda temizliği yapılmadı. Oda fotoğraflarına aldanmayın asla aynısı değil. Kahvaltı bu fiyata idare ederdi. Otelin hizmeti kötüydü. Personel ilgisizdi. Mini buzdolabı asla soğutmuyor. Yazın ortasında sıcakta soğuk su bulamamak çok kötüydü. Eğer rezervasyon 3 gecelik olmasa aynı gün çıkış yapardık. Bu fiyata o bölgede daha temiz ve düzgün pansiyonlar mevcut.,2.0,"Posted September 12, 2025",,Stayed in September 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,Tam Bir Fiyat/Performans Otel gerçekten eskiydi ancak otelde çalışan kişiler o kadar yardımcı olmaya çalışan kişilerdi ki ellerinden geleni yaptılar. Bir odada internet sorunu yaşadık. Kendileri odamızı değiştirerek yardımcı oldular ve sorun ortadan kalktı. Temizlik orta düzeydeydi. Kahvaltısı da orta düzeydeydi. Bulunduğu konum ve denize yakınlığı güzeldi. Yani tam bir fiyat/performans tatiliydi.,8.0,"Posted August 16, 2025",,Stayed in August 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,Sakin tatil Resepsiyondaki çalışanlar çok iyi ve güler yüzlüydü otelin konumu iyi otopark sorunu yok marketlere ve denize yakın. Oteldeki tek eksik odaların bakımsız olması. Banyo ve yatak konforlu değildi ama havuzu ***et temiz ve yeterli. Tavsiye ederim,8.0,"Posted July 30, 2025",,Stayed in July 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,0 puan Odalar çok küçük ve banyo diye adlandırılan yer içinde dusakabin içersinde klozet var hic bir şekilde sığamıyorsun resimlerdeki gibi değil. Hizmet yok zaten bir kahvalti var o kadar oda seçili yani onlarin yaptiklarinin acik bufesi secme sansiniz yok yani.,2.0,"Posted July 21, 2025",,Stayed in July 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,Güzel ama yenilenmesi gerekir Personel dostça davrandı. Otopark sorun olmadı. Kahvaltı yeterli idi. Gürültü olmadı. Havuz temiz. Deniz tavsiye etmem. Hem temiz değil hem de sahil şezlonglar ile doldurulmuş. Odamız manzaralı idi. Boyut yeterli idi. Otelin yenilenmeye ihtiyacı var. Sineklikler yok veya delinmisti.,8.0,"Posted July 6, 2025",,Stayed in July 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,"Deniz manzarasına karşı ,sessiz huzurlu ve tertemiz odasiyla konforlu bir hizmet aldık, çalışanlara teşekkürler.",10.0,"Posted May 16, 2025",,Stayed in May 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,Fiyat performans olarak yeterli Bodrumun en güzel denizine sahip bir bölge otel fiyat performans olarak bekleneni veriyor açık büfe kahvaltısı seçeneklerinin yeterli olması plajı yurume mesafesınde yaklasık 3 dk havuzu odaların manzarası bence fiyatını hak eden bir yer,10.0,"Posted August 1, 2024",,Stayed in August 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,"Çok güzel bir otel Canayakın, ilgili ve misafirperver otel çalışanlarına sahip tatlı bir otel. Panoramik manzarası olan odayı tutmuştuk. Manzarası güzeldi ve klimalar da ***et soğutuyor odayı. Kendilerine ait plajları var ve çok yakın mesafede. Plaj işletmecisi de aynı şekilde ilgili ve misafirperver idi. Yolumuz akyarlar a düşerse tekrardan gelmek isteyeceğimiz bir otel. Tekrardan teşekkür ediyoruz.",10.0,"Posted August 4, 2024",,Stayed in August 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,Yenilenmiş ve temizdi. Karaincir plajına 5dk yürüme mesafesinde. Havuzlu güzel.,8.0,"Posted August 14, 2024",,Stayed in August 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,Vasat bir yer...,2.0,"Posted July 18, 2025",,Stayed in July 2025,,,,
Aspat Hotel Bodrum - Beach Restaurant,Sakin ve huzurlu Fiyat ve performans olarak çok iyi kendi plajının olmadı açık havuzu yiyecek içecek olanakları konumu çocuklar için uygun olması tercih senebimiz olacaktır tekrat,10.0,"Posted March 28, 2024",,Stayed in March 2024,,,,
Aspat Hotel Bodrum - Beach Restaurant,***et güzel çalışanları çok ilgililer,10.0,"Posted August 18, 2024",,Stayed in August 2024,,,Business traveler,
