otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
"Radisson Collection Hotel, Bodrum",Killian Killian,10.0,"Posted February 17, 2026",Show More,,,Platinum tier member,Couple,
"Radisson Collection Hotel, Bodrum","The hotel’s location was excellent and the staff were very kind and professional. The only downside was the road leading to the hotel, which was unpaved and under construction. Thank you.",10.0,"Posted February 17, 2026",United Kingdom,"Stayed in February, 2026",1 Review,Platinum,Couple,Collection Premium Room with Sea View and Balcony
"Radisson Collection Hotel, Bodrum",In a word: fantastic. Only the breakfast could use a little improvement.,10.0,"Posted July 20, 2026",Türkiye (Turkey),"Stayed in June, 2026",3 Reviews,Platinum,Travelling with friends,Collection Superior Room -Terrace
"Radisson Collection Hotel, Bodrum",Beautiful hotel excellent location hotel on beach front Marina is also near hotel awesome food and service very very helping hotel staff specially Mehmet Ali in front office. From day 1 he upgraded my room and then help me very much to find my money Actually i forgot all my money in my hotel room and i check out ffeom hotel to airport then I personally call him and asked him I left my all money in my room He then do very help to me find money and my money is handed by him specially thanks to Mr mehmet Ali,10.0,"Posted June 19, 2025",United States,"Stayed in June, 2025",14 Reviews,Platinum,Family,Collection Superior Room -Terrace
"Radisson Collection Hotel, Bodrum",Response from Property:,7.5,"Posted August 2, 2026",Saudi Arabia,"Stayed in June, 2026",1 Review,Platinum,Travelling with friends,Collection Premium - Balcony13;10;
"Radisson Collection Hotel, Bodrum","A stunningly beautiful hotel. We were upgraded to a suite upon check-in, which was a delight! Luxurious grounds and a luxurious room. The breakfasts were delicious – Radisson knows how to make beautiful and delicious food. The coffee, champagne, and salmon were excellent. The service was 10/10.",10.0,"Posted December 19, 2025",Russia,"Stayed in November, 2025",3 Reviews,Diamond,Family,Junior Suite with Terrace
"Radisson Collection Hotel, Bodrum","It's located in a shopping mall and marina area. The rooms are clean and the staff is friendly. The beach is fantastic, I highly recommend it.",10.0,"Posted December 20, 2025",Türkiye (Turkey),"Stayed in November, 2025",20 Reviews,Diamond,Couple,Collection Superior Room -Terrace
"Radisson Collection Hotel, Bodrum","The hotel is really tired. The service is great, but the breakfasts were disappointing - weak.",7.0,"Posted May 17, 2025",Kazakhstan,"Stayed in May, 2025",24 Reviews,,Couple,Collection Superior Room -Terrace
"Radisson Collection Hotel, Bodrum","Excellent hotel, located in a park with various restaurants, shops, a bay with yachts. Good beach, you can meet the sunrise. To the center of Bodrum about 30 minutes.",10.0,"Posted January 16, 2025",Russia,"Stayed in October, 2024",1 Review,Gold,Couple,Collection Premium Room with Sea View and Balcony
"Radisson Collection Hotel, Bodrum","I really liked the hotel, it’s convenient, beautiful, delicious, the only negative is that it’s far from everything) but there is also a plus :)) we’ll come back again",10.0,"Posted June 6, 2024",Russia,"Stayed in May, 2024",23 Reviews,Diamond,Couple,Collection Superior Room -Terrace
"Radisson Collection Hotel, Bodrum",Tesis ve hizmet kalitesi olarak cok tatmin edici bir yer sadece acik alandaki yogun sinek ve ari populasyonu cok rahatsiz edici bir seviyede ve disaridaki yeme ve icme hizmetini cok olumsuz etkilemektedir,10.0,"Posted August 29, 2025",Türkiye (Turkey),"Stayed in August, 2025",1 Review,Gold,Family,Collection Superior Room -Terrace
