otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Selectum Collection Bodrum,Nurullah Dinçer,10.0,"Posted June 25, 2025",Show More,,,Gold tier member,Family,
Selectum Collection Bodrum,The food is not very tasty but you won't be hungry. The desserts are the same variety. The hotel is nice and the staff is good.,10.0,"Posted June 25, 2025",Türkiye (Turkey),Stayed in June 2025,2 Reviews,Gold,Family,
Selectum Collection Bodrum,"The hotel has a wonderful architecture, food is available 24/7, alcohol is of good quality, activities are sufficient, there is only one Azerbaijani woman who comes for a massage, the manager seems to be harassing people a lot.",10.0,"Posted June 21, 2025",United Kingdom,Stayed in June 2025,61 Reviews,,Family,
Selectum Collection Bodrum,"The entire hotel team really makes their guests feel special, they are very kind and respectful.",10.0,"Posted May 2, 2024",Türkiye (Turkey),Stayed in April 2024,1 Review,Gold,Family,
Selectum Collection Bodrum,"The restaurant provides a buffet with three meals a day, and the variety is very rich. Dinner can be eaten until two o'clock in the morning at the latest. It is very convenient for people who like to eat and drink. The front desk and bellman services are very good. Luggage needs to be carried up the stairs from the lobby to the room. The luggage cannot be moved up and down on the stone pavement, so the bellman needs help to carry it. The hotel is a good hotel. Except for the fact that the room is very humid, the quilt on the big bed is too short and cannot cover the feet, the pillows are uncomfortable and smell of greasy hair, there are many black flying insects, and the hygiene is not good enough, everything else is good. I hope the hotel can strengthen the staff. Very clean. If I have the chance to come back, I will continue to stay. Thank you.",7.5,"Posted October 19, 2023",,Stayed in October 2023,6 Reviews,,,
Selectum Collection Bodrum,"It was great, we were very pleased with everything.",10.0,"Posted August 25, 2024",Türkiye (Turkey),Stayed in August 2024,1 Review,Gold,Family,Family Room
Selectum Collection Bodrum,"I would’t give this hotel even 4 stars. Sea and beach: Beautiful Agean sea with crystal clear water, a bit cold but rereshing considering the outside temprature reached 34 degrees. Beach is sandy but some pebbles before going into the sea, better to have water shoes. Beach does not seem to be cleaned, apart from little bins that are beside the sunbeds. Staff who opens the umbrellas don’t speak English and looked like they did not want to be disturbed. Rooms: Rooms are very tired and shabby, with a lot of cracks, holes, insects in the shower etc. We booked family room and were shocked with the state of the room. When we asked if there are better rooms, we were told all rooms are like this. Staff: Some stuff don’t speak English, though they speak Russian..? Some of them looked not happy, tired and not willing to be there. Some are very helpful and nice. We need to recognise Umut to be one of them and the man at the beach bar, sadly i did not get his name. Cleaning of the room does not include mopping/sweeping the floors or changing beds, i was told by cleaning lady: if you want i can change beds. But i will change towels and empty bins.. We reported twice Tv’s not working, nobody came to fix at the end. We asked reception for someone to come to collect the bags for a certain time, no one arrived until we rang the reception. Food: Food was same every day and repetative. There was never mussles, prawns, smoked salmon for breakfast, avocado, not much seafood in general. Juice was not fresh, it was water diluted with some concentrate. There are 3 reataurants on the resort apart from main one but you can only book one per 7 nights stay, not like in other hotels you get to try each once per stay. There is a 24/7 restaurant that serves burgers, chips, pizza, pasta but you cannot take it to the room. So when we had a person not feeling well in the room and asked if we can have food to be delivered to the room, we were told that burger would cost 20eur, chips 8 and cheeseburger 20 ( mind that this food is free in restaurant). Entartainment: It was good with some activities in the morning and shows in the evening. Shows are done in English, Turkish and Russian .. Tourists: Mostly Russians, Italians. Slovaks, Croats, Turks and Poles. The resort: There are 9 x 3 storey buildings on the resort with no lifts . So if you came to the resort to do your steps, its a best place. For others it will feel tiring considering the heat etc and for those with kids and buggies will be challenging. There is a lot of greenery with palms, trees, lawns with hammocks, bean bags, tennis table. The resort is very far from everything. It took 1 hour 20 mins to get from airport by taxi. No promenade, no restaurants near it, no town. One Caffefour shop 350 meters away up the road. The ground of the resort is made with hard stones, so if you want to wear highheels, better not to. We saw few kids falling and womens heels stuck in between the stones.",4.0,"Posted August 2, 2026",,Stayed in August 2026,,,Family,
Selectum Collection Bodrum,"Guest Relations and Animation made our holiday! The hotel is amazing, with beautiful green nature and crystal clear sea. The food is very varied and delicious and all the staff are so attentive. A huge thank you especially to Ekin, Guest Relations Manager, and her team, as well as Volkan, the Entertainment Manager, and his team. They took such great care of us that we truly felt spoiled throughout our stay. ❤️ Also, many thanks to the Housekeeping team for keeping our room so clean and tidy. You should definitely come here! It’s the perfect place for a peaceful and relaxing holiday. Highly recommended!",10.0,"Posted August 11, 2026",,Stayed in August 2026,,,Traveling with friends,
Selectum Collection Bodrum,"Selectum Collection Bodrum ⭐⭐⭐⭐⭐ We had an absolutely amazing holiday at Selectum Collection Bodrum. Staff The staff are outstanding. They work incredibly hard and always keep the entire resort spotless, neat, and clean. Everyone is friendly, welcoming, and ready to help with a smile. Food The food is simply unbelievable. The quality, variety, and presentation are exceptional. Every day offers something different, making each dining experience exciting and enjoyable. The resort truly delivers a first-class culinary experience. Entertainment The entertainment is top-notch and among the best we have experienced. There is always something fun and engaging happening throughout the day and evening. DJ Parties Absolutely fantastic! The DJ parties are energetic, vibrant, and a lot of fun. Kids Club Excellent and amazing. The team does a wonderful job keeping children entertained and happy. Pool and Beach Wow, wow, wow! Both the pool and beach areas are beautiful, well-maintained, and perfect for relaxation. Activities The pool activities and all other resort activities are excellent, well-organized, and enjoyable for all ages. We will definitely be coming back again. This resort has exceeded our expectations in every way. Don’t be discouraged by a few negative reviews. During our stay, we met some people who seemed to complain about everything regardless of the situation. Our experience was completely different, and we found the resort to be exceptional. If you love hiking and beautiful scenery, this is one of the best places to visit and enjoy your dream holiday. We absolutely loved our stay, and the staff made our experience truly special. Thank you to everyone at Selectum Collection Bodrum for an unforgettable holiday. We can’t wait to return! ❤️",10.0,"Posted May 31, 2026",,Stayed in May 2026,,,Family,
Selectum Collection Bodrum,"Good location, there are hardly any waves on the sea, the water is clear so that you can see all the fishes swimming in it, When you go inside to the reception the hosts Julia and Esra are greeting each guest with a pleasant smile, even though we came in early, they helped us check in within a short period of time. After leaving the reception towards our room the A/C was already on and the room was cooled-very great-full for that, especially after a long ride. Every day the meals are different and tempting looking to try them all, very tasty. Every evening there are concerts and live music. We also had an a la carte menu, we chose Turkish, where Alican met us and served us, it was a great experience to try traditional Turkish cuisine. Even though the hotel has a big pool, we didn’t even try to swim in it because of the location close to the sea, definitely don’t regret it. The value for money ratio exceeds expectations. Room service is regular, new towels, single use slippers and minibar were changed almost every 1-2 days. Even with late shows and music if you get tired and go to your room, you won’t hear anything to disturb your sleep. Highly satisfied and recommend.",10.0,"Posted June 20, 2026",,Stayed in June 2026,,,Family,
