otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
SUUM BODRUM HOTEL & BEACH,Overall pleasant place. They need to upgrade their stuff. They should not argue around their guests.,10.0,"Posted July 21, 2025",Show More,,,Verified by,Couple,
SUUM BODRUM HOTEL & BEACH,"I loved the quietness of this hotel. The staff were top notch, all in all, I definitely recommend this hotel for anyone who is looking for a great time in Bodrum",10.0,"Posted July 21, 2025",,Stayed in July 2025,,,Couple,
SUUM BODRUM HOTEL & BEACH,Overall pleasant place. They need to upgrade their stuff. They should not argue around their guests.,10.0,"Posted September 4, 2024",,Stayed in September 2024,,,Couple,
SUUM BODRUM HOTEL & BEACH,Very boutique and relaxing stay.,10.0,"Posted July 4, 2025",,Stayed in July 2025,,,,
SUUM BODRUM HOTEL & BEACH,"What a pity for such a good product After asking many times for cleaning our room floor instead they have been changing the slippers. The waiters in restaurants and the deck area were very kind and helpful. The information regarding the hotel description is missing because the hotel renovated and open upon 2 mounths. For this matter they have a very deep staff problem. Me and my wife we witnessed several complaints at the reception area when we were waiting our car delivery. I didn’t find professional at all the approach of the guest relation manager with other guest especially when she was complaining and some others were checking in. :)))) Our complain mentioned but no any return form management. Very good product will be ruin by incapacity of the management. I have been TO and the owner of the company more then 10 years in Italy please take my critics in a positive way, not as an complain of upset a sojorn guest.",6.0,"Posted July 21, 2024",,Stayed in July 2024,,,,
SUUM BODRUM HOTEL & BEACH,Verified by,2.0,"Posted September 13, 2025",,Stayed in September 2025,,,Traveling with friends,
SUUM BODRUM HOTEL & BEACH,"Enttäuschender Aufenthalt - keine Empfehlung! Das Personal war desinteressiert an nicht türkisch sprechenden Gästen, die Schürzen meist fleckig u dreckig, Verständigung wegen fehlender Englischkenntnisse über google Übersetzer, teils junges u ungeschultes Personal im Service, Teller werden mit einem Servierwagen abgeräumt mit die Essensreste am Tisch in den angehängten Mülleimer gekippt, teils obwohl am Tisch noch gegessen wurde, der Hauptgang wurde serviert und einfach auf noch halbvolle Vorspeisenteller gestellt. Im Resto gibt es kein a la Carte Essen sondern ein festes Menü, die Vorspeisen wurden auf den Tisch gestellt, ob man wollte oder nicht, der Hauptgang kann ausgewählt werden, leider war die Qualität der Speisen mangelhaft, so dass wir die letzten Tage auswärts gegessen haben - Essen lauwarm oder kalt, Eierspeisen kalt, Joghurt auch mal sauer, Obst immer eingetrocknet oder mit Stellen, Brot alt oder bereits abgebrochen im Brotkorb, Tische wurden mit Erfrischungstüchern abgewischt, Wein wurde in Wasser oder Martinigläsern serviert, Aperol Spritz in Sektflöten - alles war ganz weit entfernt von den im Netz gezeigten Bildern, Zimmer und Balkone werden nur oberflächlich gereinigt - gebrauchtes Geschirr steht Tage herum. Barpersonal mehr am Handy als Bestellungen entgegen zu nehmen, man wurde auf sein Insta Account angesprochen oder es wurde unangenehm geflirtet, Poolliegen mit Schimmelflecken u teils mit Rissen, Rezi sehr freundlich, hilfsbereit u professionell.",2.0,"Posted October 11, 2025",,Stayed in October 2025,,,,
SUUM BODRUM HOTEL & BEACH,"⭐ (1 von 5 Sternen) Wir sind am 07.09. abends im Hotel angekommen. Leider mussten wir schon am nächsten Morgen feststellen, dass dieses Haus absolut kein 5-Sterne-Standard ist. • Zimmer & Bad: Dusche stark verschmutzt, Armaturen verrostet, Möbel abgenutzt, Mülleimer und WC-Bürste dreckig (siehe Fotos). Das Bett war nicht frisch bezogen – unter dem Laken befanden sich Haare und Flecken. Im gesamten Zimmer lagen Staub und Schmutz in den Ecken. • Frühstück: Tomaten, Gurken und Brot waren trocken und nicht frisch. Zudem haben wir Insekten im Essen gesehen. • Anlage & Strand: Überall liegen Katzen- oder Hundekot. Die Liegen und Sonnenschirme sind alt und teils kaputt. • Obwohl das Hotel als renoviert beworben wird, ist vieles nur oberflächlich gemacht – die Substanz bleibt alt und ungepflegt. Service & Personal: Die Kellner sind sehr nett und höflich und bemühen sich wirklich, den Service am Laufen zu halten. Allerdings wirkt vieles unkoordiniert – es ist oft nicht klar, welches Essen wohin gehört, und der Ablauf ist chaotisch. Trotzdem merkt man, dass sie sich Mühe geben, obwohl offensichtlich viel Stress herrscht. Wie auf den Fotos ersichtlich, entspricht dieses Hotel in keiner Weise den Angaben bei der Buchung. Besonders irritierend: Auf ******* wird es mit 9,6 „Exceptional“ bewertet – für uns völlig unverständlich. Fazit: Wir geben maximal einen Stern. Das Hotel ist weit entfernt von einem 5-Sterne-Standard und wir können es nicht empfehlen.",2.0,"Posted September 14, 2025",,Stayed in September 2025,,,Family,
SUUM BODRUM HOTEL & BEACH,"Hizmet kalitesinden memnun kaldım. Havuz ve denize kolayca ulaşmak, farklı dünya mutfaklarına ait akşam yemeği hoş detaylardı.",10.0,"Posted September 26, 2025",,Stayed in September 2025,,,,
SUUM BODRUM HOTEL & BEACH,"Otel, plajı ve deniz tertemiz. Olanaklar, yiyecek ve içecek genel itibariyle düzgün. Kafa dinlemek için ideal, eğlenmek içinse bir o kadar elverişsiz. Otelde ve civarında akşamları vakit geçirecek hiçbir şey bulunmuyor. Kahvaltıda ve öğlen servis edilen yiyecekler çeşitli ve yeterli ancak akşam yemekleri için aynı şeyi söyleyemeyeceğim. Akşam yemeklerinde acilen çözüm bulunmalı, hem lezzetsiz hem de çeşitlilik yok. Her akşam sadece 2 yemek oluyor. Aç kaldığımız veya mecburen yemek yediğimiz günler oldu.",8.0,"Posted August 31, 2025",,Stayed in August 2025,,,,
