otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Xanadu Island,Diamond+,10.0,"Posted June 7, 2026",Show More,,,Gold tier member,Couple,
Xanadu Island,"I loved the hotel's location. It offers the best views on this coast. Being surrounded by the sea on all sides creates a private and secure atmosphere. The service was top-notch, absolutely no complaints. Everything was clean and tidy. We needed to iron some clothes and asked for an iron to be brought to our room. Instead, they offered to do it for free, and it was done within about an hour while we were out. I also appreciated that we had the opportunity to get a massage, and it was wonderful.",10.0,"Posted June 7, 2026",Russia,Stayed in June 2026,1 Review,Gold,Couple,Romance Suite
Xanadu Island,Really top premium resort! Calm place with a variety of amenities!,10.0,"Posted July 21, 2024",,Stayed in July 2024,12 Reviews,,Couple,Courtyard Suite
Xanadu Island,"Good hotel. Sunset room with a beautiful sunset view. Breakfasts are decent. For dinner there is always a large selection of fish, shrimp, and meat. you can't try everything. What we got was delicious. I liked the system for ordering drinks and fruits using a QR code. On the beach, by the pool. Comfortable.",10.0,"Posted June 8, 2024",Russia,Stayed in June 2024,2 Reviews,Diamond,Couple,Sunset Suite
Xanadu Island,"What an amazing experience we had. Our first time in Turkey.. the hotel is stunning. A tear drop island south east of Turgutreis connected by a causeway. Transfer was via private minibus as we booked through Jet2 indulgent escapes which was very good albeit a 1 hour 15 minute drive through the windy roads south west from Bodrum airport. On arrival The hotel staff were so accommodating. We were upgraded to a deluxe suite which had stunning views across the Aegean Sea. Rooms were very spacious and clean with a king size bed, living room and large bathroom with an maxing spacious shower and large bath. The amenities were in the main excellent. The food was outstanding! Such an amazing selection at all meal times. The A La Carte restaurants were ok. We preferred the Italian to the Mexican one. We ate predominately in the main restaurant as the selection at every meal times was fabulous. Both snack bars were also very high quality and everything so fresh! The entertainment staff were amazing and a special thanks to Sait Ohran, Feryal Vardar, Fatmar Arslan and Zayne Prataa (hope we spelled their names correctly) always there to help, never too pushy if we just wanted to relax! Wonderful people - thank you! The hotel celebrated its 16th anniversary while we were there and we were treated to an amazing party shared with the staff and their families! What an amazing experience! Special thanks also to Arda and Memet on reception. Burak who ran the egg station and our thanks to his skills! The views around the island take your breath away.. we walked miles every day soaking up the amazing views. Sunbeds are excellent. The drinks and cocktails were lovely and nothing was too much for any member of staff. The gym was reasonably well stocked and we worked out most days. We never used the spa so can’t comment but the staff were happy to show us around. We will definitely be back and the weather in June was perfect!",10.0,"Posted June 18, 2026",,Stayed in June 2026,,,Couple,
Xanadu Island,The teachers at the mini club are very kind and friendly They are very loving and responsible for my children. I am very happy and it feels like I am meeting a sibling because of the friendliness of the teachers at the mini club we love you girls and god bless you all,10.0,"Posted August 3, 2026",,Stayed in August 2026,,,Family,
Xanadu Island,Everything here is amaizing partys at the night are fantastic the workers are very nice and friendly especially Sait,10.0,"Posted July 23, 2026",,Stayed in July 2026,,,Family,
Xanadu Island,"A massive thank you to Xanadu Island’s yoga instructor, Zeynep, for making our holiday so special! My teenage daughter and I absolutely loved her brilliant, relaxing sessions. Zeynep brings such warm, positive energy and ensures everyone feels looked after, offering clear and attentive guidance. Practicing together with a stunning sea view was an incredibly peaceful, unforgettable experience and the perfect way to unwind. Highly recommend her classes if you visit. Thank you for a wonderful experience ️☀️",10.0,"Posted July 14, 2026",,Stayed in July 2026,,,Family,
Xanadu Island,"Never been to this area before and a bit unsure about the holiday. I woke up to the most beautiful view I have ever seen. The pools were amazing and the à la carts were very good. Sometimes in the buffet , was a bit limited but we didn’t go hungry. The snack bar with waiters were amazing. We loved everything. The Rose bar was a pleasure . Most staff were good. On the down side, practically most of the staff could not speak English . I wanted the toilet but no one could understand . The cleaners came at 5 .30pm to clean our room . I had to say no as we were preparing to shower and go out. We had an incident at the pool. The young girl bringing our drinks dropped some of her drinks off the tray into my beach bag and my sun bed. Every thing was wet. I had my medication and glasses etc in the bag. She just walked away. We had to clean all our stuff as none of them spoke English . Apart from that we had an amazing holiday and will definitely come back to this hotel .",8.0,"Posted July 13, 2026",,Stayed in July 2026,,,Couple,
Xanadu Island,"Excellent hotel, looking forward to going back. Don't be put off by the look of the reception area you don't walk in and think WOW but when you walk out from the terrace at the premium bar you certainly do, beautiful views over the huge infinity pool with palm trees out to see. Reception staff are excellent, friendly and welcoming, I'd like to mention Sefa the assistant manager he's a real asset to the hotel we spoke to him numerous times he's friendly, knowledgeable about the area and really interested in all feedback good or bad, a real credit to the hotel. All staff do a wonderful job, if you take your wife book her in with John the hairdresser, he cut and coloured my wife's hair and did a brilliant job, all staff are fantastic. The 2 alacart restaurant's are amazing really good chefs and managed really, the roos are really amazing with stunning views, never a shortage of sunbeds, super decked areas with direct access to the sea, stunning main swimming pool and lovely tendered grounds. One slight let down for me and Jackie was the food in the buffet restaurant, a great selection but very hit and miss sometimes hot food was cold, 5 minute boiled eggs were raw and a lot of the BBQ food was cold. But we will definitely return in September because there are too many positives at Xanadu Island",10.0,"Posted June 30, 2026",,Stayed in June 2026,,,Couple,
