otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Bitez Risa Hotel,"I absolutely do not recommend this hotel. There is no private beach, only a public one, the path to the sea is through the trash cans. Terrible pillows are uncomfortable, too high. For breakfast, the only hot thing is scrambled eggs! Fish was very rare. There is no Internet in the rooms, only at the reception. Walking with plates of food through a very long corridor. In general, this is the first time in my life in Turkey. There were a lot of upsets. I was in complete shock! Waiters do not observe subordination, laugh and make fun of hotel guests. I work with people, and for me this hotel is just a quiet horror ... why 4 stars? There can not even be 2 stars there",3.0,"Posted June 22, 2025",Russia,Stayed in June 2025,1 Review,Platinum,Solo traveler,Standard Single Room
Bitez Risa Hotel,"Just arrived at this hotel yesterday. Was surprised by the politeness and kindness if staff, they were very helpful and solved all the issues we had very fast. The food is good and fresh, there's a lot to choose from. The gym is great and has all the necessary equipment (dumbbells, barbells, assisted pull up machine, etc.). Overall the hotel is great and cozy. With love, Mary from Belarus!",10.0,"Posted August 4, 2026",,Stayed in August 2026,,,,
Bitez Risa Hotel,"We spent a few days at the hotel in a family atmosphere thanks to the hotel staff, especially a big thanks to the manager Hasan and the front desk manager Levent who were always happy to help. The cozy hotel with a large swimming pool is located near a bay with a beautiful promenade stretching for several kilometers. The meals are varied. We recommend this hotel and will gladly return.",10.0,"Posted June 5, 2026",,Stayed in June 2026,,,,
Bitez Risa Hotel,"We stayed at the hotel for seven days. The hotel is cozy, located close to the promenade, rooms with balconies, a large swimming pool equipped with platforms from which you can jump into the water, which is rare in other hotels, the hotel staff is very friendly and helpful. If you are looking for a budget hotel with a family atmosphere in a good location, I recommend it.",10.0,"Posted May 29, 2026",,Stayed in May 2026,,,,
Bitez Risa Hotel,"Thanks so much for everyone it was amazing holiday. Especially if you want to party find Aisha from Animation team, she will organize everything!",10.0,"Posted July 18, 2025",,Stayed in July 2025,,,,
Bitez Risa Hotel,"Animator Aisha is the best person in the world! She is So cute, kind and helpfull. My experience because of her was awsome",10.0,"Posted July 9, 2025",,Stayed in July 2025,,,,
Bitez Risa Hotel,"This is the a place for people who expect good service at an appropriate price. A very professional hotel manager who certainly exceeds the class of this hotel. he was everywhere and ready for all the problems that guests sometimes came up with, all the time.",8.0,"Posted January 8, 2025",,Stayed in January 2025,,,,
Bitez Risa Hotel,Melissa and oğuzhan The hotel was amazing the stuff treated us so well!!!,10.0,"Posted June 22, 2024",,Stayed in June 2024,,,Business traveler,
Bitez Risa Hotel,"Unfortunately, the hotel photos are practically inaccurate. The filth is widespread, surfaces are sticky, and furniture needs immediate replacement. The food is bland and monotonous. We had to clean the plates, cups, and cutlery ourselves because they were smeared and stained. The only positive thing we found was the pool, whose good reputation ends right at the edge, as the drains were covered in dirt, leaves, and hair. We encountered the cleaning lady between 2 and 5 p.m., when everyone was in the room/bathroom. But that's no big deal, as room cleaning consists of taking out the trash, making the bed, changing the towels every other day, and mopping the floor with a mop so black and grimy that it was cleaner before than after. In one of our rooms, water ran in the toilet all week. We heard from other guests about a complete lack of water in the room for two days, and in another, the air conditioning broke down. To top it all off, cockroaches were a daily occurrence. They were most common on the poolside terrace, which served as the entrance to the kitchen, but also on the walls and floors in the hallways. The hotel manager, as he passed guests in front of the hotel, pretended not to see them, preoccupied with gazing at the sky. The manager deserves praise (probably, as none of them had any name tags identifying who was who), who was always smiling and engaging with guests, and the pool bartender, who worked alone from morning till night, yet was still the friendliest employee in the hotel. Unfortunately, the information provided by the travel agency differs from the actual condition of the hotel and the promised amenities. I would never recommend staying here. Avoid it completely!",2.0,"Posted August 5, 2026",,Stayed in August 2026,,,,
Bitez Risa Hotel,"The hotel is a disaster, dirty, and stinking. Dirt, stench, and malaria are everywhere. Everything is sticky, from the sidewalk in front of the hotel entrance to the ""hotel restaurant."" There are stinking, boiling garbage cans in front of the hotel, and the floors, paths around the pool, and sun loungers are muddy. While cleaning the pool tiles, the staff pushes the filth into the grates connected to the pool. It's awful. The restaurant resembles a soup kitchen for the homeless. The tables, sticky with cleaning fluids and the lingering odor, are reminiscent of a train station restroom. The beverage dispenser is rusty and sticky with artificial juices. Glasses aren't washed; they're placed directly in the steamer, and so are the plates. Plates are wiped with a dirty, greasy bathroom towel in full view of everyone, smeared and greasy. The food is a nightmare. No choice, the same thing is served over and over again—for breakfast, lunch, and dinner. Everything was dried out and wilted. The cream soups were probably made from leftovers from two days ago. In short, it was scary to eat there for fear of stomach upset and scab. The rooms were filthy, as were their balconies. The bathroom was a disaster. Mold spilled out into the hallway. The flush didn't work, the shower tray was clogged, and everything was sticky with dirt and rust. When I reported the bathroom issues, someone came three days later...nothing happened. A few hours later, the same thing happened. Toilet paper isn't allowed in the restrooms. The hotel's website description is misleading. There's no hotel beach. They'll show you the city beach, which is a meter wide and 10 meters long, strewn with cigarette butts and plastic cups, and completely unmaintained. Unfortunately, Turkey is far from Europe. If you're looking for a nice place, this isn't the place. You'll only get sick!",2.0,"Posted September 5, 2025",,Stayed in September 2025,,,,
