otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Bodrium Hotel & Spa,"The room is not big, but has a wonderful king size bed (1.8 x 2m) that I prioritize when I book hotels. Rooms are very clean and roomkeeper had a nice personal touch. Breakfast variety and quality is excellent, sometimes keeping me full until later afternoon. The bathroom is a bit small for a resort of this class (€150+), hot water for shower is not consistent, and the toilet's flushing isn't very strong. The hotel offers free sauna and hamam but I didn't try them out.",8.5,"Posted June 26, 2025",United States,Stayed in June 2025,16 Reviews,Diamond,Family,Standard Room with Garden View
Bodrium Hotel & Spa,"Absolute perfection, they've got it all! The delightful fragrance in the reception area was a lovely touch. Breakfast was perfectly adequate. The cocktails at the lobby bar were superb! The grounds are impeccably maintained. The staff are a team of true professionals; absolutely no complaints! I would love to return!",10.0,"Posted September 7, 2025",Russia,Stayed in August 2025,4 Reviews,Diamond,Couple,Superior Room Pool View
Bodrium Hotel & Spa,"I cannot understand how this hotel is 5 stars rated. Rooms were dated, terribly small, ridiculous bathroom. We had two rooms, the AC was not functioning in one of them. Ths hotel pictures on the website are not real. Pool area seems a lot bigger in the pictures, rooms pictures are not even close to the reality. The only good thing was the breakfast, which was really good.",4.0,"Posted July 13, 2025",Romania,Stayed in July 2025,5 Reviews,Diamond,Family,Standard Room with Garden View
Bodrium Hotel & Spa,Beautiful hotel. Staff are super helpful and friendly. The rooms are nice. Breakfast was good. Gym is well equipped. Location is also very good.,10.0,"Posted July 30, 2024",China,Stayed in July 2024,12 Reviews,,Couple,Standard Room with Garden View
Bodrium Hotel & Spa,Great breakfast. The pool is nice but small (the photo is deceiving!). No entertainment.,9.0,"Posted June 17, 2025",Russia,Stayed in June 2025,19 Reviews,Diamond,Family,Standard Room with Garden View
Bodrium Hotel & Spa,"1. The location is interesting, not far from the Myndos Gate, but quite far from the coast and the main tourist trails. 2. The rooms: very dark, no overhead light at all, only dim lighting on the walls. The wallpaper is already peeling off in some places. The bathroom is very small, the cabin is simple, the heated towel rail is icy, the floor is self-leveling - not tiles. There is no closet, there is a niche in the hallway with hangers. The bed is normal. Small balcony. They clean well and change towels and bed linen every day. 3. Breakfasts. Overall not bad, but disgusting coffee. The same set of dishes on the buffet every day. Very poor selection of cold meats, no fish at all. 4. SPA: not bad hamam. The sauna is very dark. The gym is very small and cramped.",7.0,"Posted January 9, 2025",Russia,Stayed in January 2025,1 Review,,Solo traveler,Standard Room with Garden View
Bodrium Hotel & Spa,"The room is not too big, and it would be troublesome to add an extra bed, so we booked two rooms directly so that everyone could have a good rest. The hotel is very nice and exquisite. Although it is not on the beach, it is only 3 kilometers away and it is quieter. The hotel service is very, very good. On the first day, I suddenly felt a little inconvenient, and the hotel immediately provided an emergency kit, which was very considerate. There is a small supermarket opposite the hotel, which is also very convenient and affordable. If time permits, it is very suitable to stay for a few more days.",10.0,"Posted July 22, 2024",China,Stayed in June 2024,21 Reviews,,Family,Standard Room with Garden View
Bodrium Hotel & Spa,"A wonderful hotel with beautiful grounds and friendly staff. We felt constant care for ourselves, which made our vacation a success! We will definitely come back if possible! We didn't want to leave, I recommend it to everyone",10.0,"Posted September 30, 2024",Russia,Stayed in September 2024,4 Reviews,Platinum,Family,Superior Room Pool View
Bodrium Hotel & Spa,"My room was a standard room, but I had problems with the door, which wouldn't close, and with the bathroom drain, which wouldn't drain the water. I stayed at the hotel for 3 days, and on the last night I was moved to another suite, where everything was in order. The staff was attentive, the breakfast was great, but we had this problem in the original suite.",8.0,"Posted August 8, 2024",Brazil,Stayed in July 2024,4 Reviews,Gold,Couple,Standard Room with Garden View
Bodrium Hotel & Spa,Super établissement propre personnels agréable et à écoute,10.0,"Posted May 30, 2026",Belgium,Stayed in May 2026,2 Reviews,Gold,Couple,Standard Room with Garden View
