otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
METT Hotel & Beach Resort Bodrum,was amazing 🤩 nice party and beach 🏖️ we love it amazing view,10.0,"Posted August 9, 2026",Kyrgyzstan,Stayed in August 2026,7 Reviews,Diamond,Traveling with friends,Deluxe Room With Sea View
METT Hotel & Beach Resort Bodrum,Hello. I really liked the hotel. The service was excellent. All the staff were so friendly and competent. The breakfasts in the restaurant were delicious. The hotel grounds and design are very modern and beautiful. I recommend it to everyone who wants to relax in Bodrum 🤩,10.0,"Posted May 13, 2026",Russia,Stayed in April 2026,1 Review,Gold,Family,Deluxe Atrium View Room
METT Hotel & Beach Resort Bodrum,"Reception is attentive and client oriented. Paid upgrade to Garden view (to get king bed instead of twin bed) was not worth it. Breakfast very good and restaurant Attiko top notch. Although tried to reserve Folie Beach sunbeds in advance, got as hotel guest only on a waiting list. Quiet embarrassing. Hotel’s own beach sunbeds are not so comfy and too close to Holiday Inn’s beach.",9.0,"Posted September 4, 2025",Slovenia,Stayed in August 2025,52 Reviews,Diamond,Couple,Deluxe Twin Room with Atrium View
METT Hotel & Beach Resort Bodrum,"Beautiful grounds, wonderful breakfasts, and very responsive and kind staff. You feel their care and assistance. The only thing I really didn't like was the Folie beach club. It's a complete scam. Not only that, but the hotel photos in the description don't make it clear that this is a separate beach club from the hotel, where a sun lounger costs an extra 100 euros per person. I love piers and jumping into the water, so I looked at the photos and expected a pier, but it turned out to be this awful Folie club. We had lunch there. We left a $500 deposit at the hotel and were told we could spend it in the restaurant. However, at Folie, they told us otherwise. We had to go to our room for our wallet and come back to pay. After that, I wrote to the hotel administrator, who said we could have paid with the deposit; they simply made fun of us at Folie. I will never go back there.",8.5,"Posted October 23, 2025","Korea, Republic of",Stayed in September 2025,9 Reviews,Diamond,Couple,Deluxe Twin Room with Atrium View
METT Hotel & Beach Resort Bodrum,Most amazing hotel! Has everything you could need and the service is top ! You don’t have to lift a finger and they provide anything you need. I didn’t want to leave ! The breakfast was too good. The view and the room is breathtaking. Will highly recommend for families.,10.0,"Posted July 16, 2025",Australia,Stayed in July 2025,2 Reviews,Platinum,Family,Deluxe Partial Sea View Room
METT Hotel & Beach Resort Bodrum,"Facilities: Very good, the hotel is quite new. Cleanliness: OK Environment: Excellent, the hotel has everything: beach, restaurant, water sports. Service: Good, everyone is very welcoming, and the food is all good! Highly recommended!",10.0,"Posted August 4, 2025",China,Stayed in August 2025,84 Reviews,,Couple,Deluxe Room With Sea View
METT Hotel & Beach Resort Bodrum,"The place is clean, the facilities are great, and the service and treatment are more than wonderful. In short, if you want to relax, this is the place to be.",9.5,"Posted July 24, 2025",Saudi Arabia,Stayed in July 2025,13 Reviews,Diamond,Solo traveler,Deluxe Atrium View Room
METT Hotel & Beach Resort Bodrum,The hotel service is very good. The restaurant is open until early in the morning. The outdoor swimming pool is super beautiful. The location is also very good. It is about a 14-minute drive to the city center. It is very convenient. Toothbrushes and toothpaste are from Mars. The toiletries are also very good.,9.0,"Posted March 30, 2024",China,Stayed in March 2024,33 Reviews,,Traveling with friends,Deluxe Room With Sea View
METT Hotel & Beach Resort Bodrum,"Rooms are nice / large and clean. Nothing around the hotel to walk to, need a taxi Hotel beach is small and loungers are a bit basic for the standard of hotel, plastic. Pool area is quite small Beach club Folie is great though - highly recommend All in all a decent hotel, but I would think twice about staying more than a couple of nights due to location and variation on offer at the hotel",8.0,"Posted May 26, 2026",,Stayed in May 2026,,,,
METT Hotel & Beach Resort Bodrum,"I recently stayed at Mett Hotel and overall had a very pleasant experience. The hotel itself is beautiful, everything was spotless, and the staff were incredibly friendly and attentive throughout my stay. My only complaint is the food. Considering the price point of the hotel, I was expecting a much more impressive dining experience. The breakfast was quite underwhelming, with very limited buffet options and a small hot food menu. The dinner menu was also fairly boring and lacked variety. Other than the food, everything else was excellent and I genuinely enjoyed my stay. I would recommend the hotel for its service, cleanliness, and overall atmosphere, but if food is an important part of your holiday experience, this may be something to keep in mind.",8.0,"Posted May 20, 2026",,Stayed in May 2026,,,Traveling with friends,
METT Hotel & Beach Resort Bodrum,"Beautiful hotel, excellent service from staff .",10.0,"Posted May 10, 2026",,Stayed in May 2026,,,Couple,
METT Hotel & Beach Resort Bodrum,"Despite its scenic location, landscaped layout and stylish rooms, this hotel currently lacks the standards of a truly higher end offering. Staff are very polite and friendly but not at all experienced. Breakfast was quite lacklustre, despite the bounty and variety of local produce. Large cleaning carts parked in guest toilets, conversations interrupted with POS machines to settle extra charges in haste signal some training and managerial issues. The hotel group may be expanding a bit too fast and its service standard is not in keeping with a five-star at all.",6.0,"Posted October 29, 2025",,Stayed in October 2025,,,Family,
METT Hotel & Beach Resort Bodrum,"The hotel is aesthetically amazing, the view when you first walk into the reception area is beautiful. However staying in the main building was confusing, different lifts and and corridors was not easy. Also the acoustics are dreadful with doors banging all day and night, with the room shaking on each occasion. The service was good, but not up to the standards of a 5 star hotel.",8.0,"Posted October 22, 2025",,Stayed in October 2025,,,,
METT Hotel & Beach Resort Bodrum,"Love the hotel decor , clean and warm ambiance , very friendly staff at reception and the restaurant, beautiful sea views , near to town centre",10.0,"Posted October 15, 2025",,Stayed in October 2025,,,,
METT Hotel & Beach Resort Bodrum,Lovely property and excellent staff willing to go above and beyond to make your stay memorable.,10.0,"Posted October 11, 2025",,Stayed in October 2025,,,Family,
METT Hotel & Beach Resort Bodrum,"This was one of the best hotels that I have ever been to, from the hospitality of the staff to food and beach! I will be definitely back. Thanks for making our stay memorable Special thanks to all the staff in Anjel restaurant specially Koray and Akif :) hopefully see you soon again",10.0,"Posted October 3, 2025",,Stayed in October 2025,,,Family,
METT Hotel & Beach Resort Bodrum,"Perfect Relaxing Break We had a very relaxing stay at the Mett Bodrum. The staff was extremely friendly and helpful and the room was very comfortable, spotlessly clean and modern. The spa facilities were excellent with the massages being one of the highlights of our stay. The private beach and pool areas are superbly maintained and well-attended. The hotel is well-situated on a hillside above the city centre and thus is very quiet and peaceful. Our room had an amazing view and was very well soundproofed. This hotel is deserving of its 5 stars and I would recommend it to anyone looking for a restorative break. We felt very welcome and even received small gifts at the end of our stay.",10.0,"Posted October 11, 2025",,Stayed in October 2025,,,,
METT Hotel & Beach Resort Bodrum,The hotel had staff available on WhatsApp. They gave advice and suggestions for restaurants in Bodrum. The hotel had closed a restaurant which we had planned to use and they had several weddings which closed Isola. But we found eating in town was more interesting.,8.0,"Posted October 3, 2025",,Stayed in October 2025,,,Family,
METT Hotel & Beach Resort Bodrum,The resort is so relaxing - I can see how it will be a party haven during busier times. The staff oh so professional ...Breakfast was my favourite meal,10.0,"Posted September 30, 2025",,Stayed in September 2025,,,,
METT Hotel & Beach Resort Bodrum,"An outstanding hotel with a top notch service. Staff are very professional, always on point and always available to help. We were amazingly staisfied with our stay that was worth evry penny we spent",10.0,"Posted September 30, 2025",,Stayed in September 2025,,,Family,
METT Hotel & Beach Resort Bodrum,We did our wedding at METT and it was unforgettable!!! Thank you Huriye and the team!! We can't thank you enough! The hotel felt like home for a week!! ❤️,10.0,"Posted September 16, 2025",,Stayed in September 2025,,,Family,
METT Hotel & Beach Resort Bodrum,Saden provided us amazing and friendly service! This is the best hotel in the world and I have stayed in many. Amazing food and great location.,10.0,"Posted September 8, 2025",,Stayed in September 2025,,,,
METT Hotel & Beach Resort Bodrum,Fabulous stay Best hotel I ever stayed at! 5 stars in every way. Sea was lovely. Fabulous views. Pool’s excellent,10.0,"Posted August 23, 2025",,Stayed in August 2025,,,,
METT Hotel & Beach Resort Bodrum,Great stay! Amazing hosts Sahara and Seden made the stay fantastic - super helpful! great restaurants to choose on the property!,10.0,"Posted August 1, 2025",,Stayed in August 2025,,,,
METT Hotel & Beach Resort Bodrum,This is a beautiful hotel overlooking a gorgeous part of Bodrum. The food was wonderful and staff was very friendly kind and thoughtful but they were often delayed with services and short staffed!,10.0,"Posted July 26, 2025",,Stayed in July 2025,,,Traveling with friends,
METT Hotel & Beach Resort Bodrum,The hotel is considered a 5 star property and it is anything but. Hair in both showers and service is subpar. The hotel is dirty and the restaurants have ants crawling on the food. You would probably get better service at the holiday inn next door.,2.0,"Posted July 16, 2025",,Stayed in July 2025,,,Family,
METT Hotel & Beach Resort Bodrum,"Most stunning hotel ever, will definitely come back for sure!",10.0,"Posted October 9, 2025",,Stayed in October 2025,,,Couple,
