otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Babana Hotel,"A Week in Paradise – Babana Hotel, Bodrum I just spent a week at Babana Hotel in Bodrum, and honestly, I didn’t want to leave. Everything about this place was AMAZING. From the moment I got there, I felt welcomed and taken care of. The staff were not just kind and attentive but they were genuinely helpful, friendly, and always around if I needed anything. They knew what you liked by the next day and I did not even need to ask for it. Such a PRO’s. The beach is literally right there—clean, peaceful, and perfect for swimming or just relaxing. The water is super easy to access and always inviting. I loved that I could go in anytime without a hassle. The food? INCREDIBLE . Every meal was fresh, tasty, creative and beautifully done. You can tell they really put care into everything they serve. I looked forward to eating every single day. But what really stood out was how much attention they give to the little things. My room was always spotless, the beach towels were ready, the music choice was perfect just the right vibe all around. The atmosphere was inviting, beautiful, and exactly what I So much effort was put in to little decorations. Babana isn’t just a hotel—it felt like home for a week. If you’re looking for a relaxing, unforgettable getaway in Bodrum, this is the place. I’m already dreaming about coming back. Thank you so much to Babana Crew.",10.0,"Posted July 27, 2025",,Stayed in July 2025,,,Family,
Babana Hotel,"We stayed at the property last weekend and I want to express my satisfaction with its maintenance, organization, and management. The property is located in a tourist area: a small paradise with spectacular views of the bay, convenient for easy access to old Bodrum and the charming fishing villages nearby. The cleanliness, discretion, and calmness of the customer service stand out. Breakfast was creative and full of Turkish specialties. Dinner was served on the deck overlooking the sea, where every guest felt unique and special. The staff was extremely kind and helpful, and a special thanks goes to Mr. Kōk, who assisted us every step of the way from reception.",8.0,"Posted June 8, 2026",,Stayed in June 2026,,,,
Babana Hotel,10 senedir her yaz ailecek ve sevdiklerimizle grup olarak 10 gün kadar konaklıyoruz. Çocuklarımızın her yaşında burada tatil yaptık ve çok rahat ettik.Şahane bir iskelesi ve manzarası var.yenilenen restaurant ve odaları da çok begeniyorz.her yaz bu tatili iple çekiyoruz.,10.0,"Posted August 10, 2025",,Stayed in August 2025,,,Family,
Babana Hotel,"Otelin konumu,temizliği,personel kalitesinden,beachinden çok memnun kaldık.Gülay hanım ın ilgisi müşteri memnuniyeti odaklı çözümleri harika.Teşekkürler tüm Babana otel çalışanları.",10.0,"Posted August 4, 2025",,Stayed in August 2025,,,Couple,
Babana Hotel,Odalar temiz. Mutfak kaliteli ve hızlı lezzetleri güzel… Tam bir aile oteli son 5 yıldır her yaz aynı otelde konaklıyoruz. Personel kalitesi 10numara resepsiyondan tutun restoranttaki bütün arkadaşlar güleryüzlü ve nazik…,10.0,"Posted July 6, 2025",,Stayed in July 2025,,,Family,
Babana Hotel,"Biz çok memnun kaldık. Odalar güzel, tesis temiz. Mutfak kalitesi ortalamanın çok üzerinde. En önemlisi de çalışan kalitesi ve ilgisi, herkes çok nazik ve güleryüzlü. 10 aylık bebeğimizle çok rahat ettik.",10.0,"Posted June 21, 2025",,Stayed in June 2025,,,,
Babana Hotel,"Hersey harikaydı,tek basina tatil bu kadar keyifli gecebilir sayenizde Tesekkurler ❤️ Bundan boyle adtesimiz belli",10.0,"Posted June 20, 2025",,Stayed in June 2025,,,,
Babana Hotel,Babana Hotelde ilk defa konakladım iş seyahati olduğu için kısa bir konaklamaydı ama tatillerimde de tercih edeceğim favori otelim oldu. Harika bir sahili var ve yemekleri gerçekten çok güzel ama menüyü çeşitlendirmenin daha iyi olacağını düşünüyorum. Resepsiyondaki Ayten hanım çok ilgili ve güler yüzlüydü odamda herhangi bir şey eksik olduğunda temin edilmesini çok hızlı sağladı.,10.0,"Posted August 13, 2024",,Stayed in August 2024,,,,
Babana Hotel,Resepsiyondaki Ayten hanımdan temizlikçi ablaya kadar herkes çok güler yüzlü ve ilgiliydi. Deniz de harikaydı. Odalar ferah ve rahattı. Garsonlar hemen gelip siparişi alıyordu. Yemek seçenekleri çokcaydı ve lezzetliydi. Plajı da çok güzeldi.,10.0,"Posted August 13, 2024",,Stayed in August 2024,,,,
Babana Hotel,"Berbat bir hizmet. Kaba çalışanlar. Otelin resepsiyonundaki iki kişi. Bir beyefendi ve bir hanımefendinin sanki biz müşteri değilizde otelde çalışanmışız gibi kaba ve azarlar davranışları iki günlük tatilimizi burnumuzdan getirdi. Örneğin akşam saatlerinde bir çay istedik odaya, bunu söylemenin 50 tane yolu varken örneğin mutfağımız şu an müsait değil, elimizde kalmadı malesef gibi vs. ‘Öyle bir hizmetimiz’ yok diyip telefonu kapattılar. Odayı temizleyebilir misiniz dedik gündüz otelden çıkarken. Temiz havlumuz kalmadı ve şampuan falan bunlar bitti onlarq ihtiyacımız vardı. Fakat akşam odaya geldiğimizde her şey aynı duruyordu oda temizlenmemiş. Allahtan akşam resepsiyonda çalışan beyefendi ilgili birisiydi sağolsun halletti odamızı temizletti. Sonrasında da çıkış yapacağımız gün 12 ye 10 kala arandık 12 de check out unuz var dediler. Bu zamana kadar bir sürü şehirde bir sürü otelde kaldım 12 de check out olur ama bir süre müsamaha gösterilir. 12 yi çeyrek geçe aranıp herhangi bir merhaba, iyi günler gibi bir giriş kelimesi olmadan odadan hemen çıkın denildi. Bu otelde kalacak kişiler saatlerini tam kursunlar programlarını tam yapsınlar eğer en ufak bir geç kalırsanız böyle azarlanabilirsiniz. Türkbükü gibi bi yerde fiyatları da diğer otellere göre yüksek olan böyle bir işletmede böyle iki kaba çalışanın olması önce müşteriler sonra da o otelde çalışan diğer kişiler için büyük şansızlık.",2.0,"Posted August 7, 2024",,Stayed in August 2024,,,Couple,
Babana Hotel,"Bu korkunç yerde kalmadık elbette. Ancak sakin, sessiz kafa dinleyelim diye gittiğimiz güzelim mekanı saçma sapan cıstak cıstak müziği ile berbat ediyor. Koca Gölköy sahilinde böyle bangır bangır müzik yapan tek mekan. Uyarmayı da denedik ama nafile. Görgüsüzlük, kabalık diz boyu.",2.0,"Posted July 29, 2024",,Stayed in July 2024,,,Family,
Babana Hotel,"Geçen sene gittiğim bu otelde erken rezervasyon için fiyat istedim aralık ayından bu yana devamlı oyalayıp durdular, rezervasyon için görüştüğüm otel müdürü değişmiş ve hiçbir şekilde yardımcı olmuyorlar aksine 10 günde bir fiyat artışı mı olur? Bu resmen sömürmek.. otel odalarının elden geçirilmesi gerek, denizi güzel ama rüzgarlı havada dalgalı ve soğuk.",4.0,"Posted April 12, 2024",,Stayed in April 2024,,,,
