otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Hotel Baba,"Posted April 22, 2026",2.0,"Posted June 24, 2026",,"Absolutely Horrendous Experience – Avoid at All Costs I have travelled to many places, but this is by far the worst hotel I have ever stayed in. Hotel Baba completely ruined what was meant to be a family holiday. From the moment we arrived, things were wrong. We were given a room that was still being cleaned, and within hours the bathroom flooded with dirty sewage water. Every time the toilet was flushed, contaminated water came back up through the floor drains. This is not just poor service, it is a serious health hazard. The hygiene standards were shocking. Bedding was dirty, cups were not properly washed, and the overall environment felt unsafe for both adults and children. Food was another disaster. “Hot meals” were served cold because there were no proper heating facilities. On top of that, we were given hot water that actually contained sand. We only realised this after leaving the water to settle and seeing the sand at the bottom of the cup. No kettle was provided in the room, so we had to keep going to the bar to request hot water, which was clearly not safe to drink. The hotel is also unsafe. The sofa bed collapsed while I was sleeping, causing me to fall and sustain injury. Instead of properly replacing it, they attempted a poor fix, and the replacement was still faulty. To make matters worse, a child in our group was trapped inside the bathroom because the shower door jammed. Customer service was appalling. The manager was rude and unhelpful, and instead of resolving issues, he threatened to call the police when we complained about the conditions. This hotel is dirty, unsafe, poorly managed, and completely unfit for families. There is no care for guest safety, hygiene, or basic comfort. Do not be misled by the location — nothing can make up for the terrible experience. This was a complete waste of money and an extremely stressful, upsetting stay. I strongly advise anyone to avoid Hotel Baba.",,Verified by,,
Hotel Baba,We booked this hotel through Love Holidays. The pictures do not look like the real life place. When we arrived they offered us a tiny/dirty room over looking a roof. We refused this and were offered a room with a better view but the bed was falling apart and the room again was dirty. We had to sleep in there for one night. The last room was ok. But the air conditioner leaked and so did the shower. I returned home with a chest infection and very unwell. I would not stay here ever again,2.0,"Posted June 24, 2026",,Stayed in June 2026,,,,
Hotel Baba,"Absolutely Horrendous Experience – Avoid at All Costs I have travelled to many places, but this is by far the worst hotel I have ever stayed in. Hotel Baba completely ruined what was meant to be a family holiday. From the moment we arrived, things were wrong. We were given a room that was still being cleaned, and within hours the bathroom flooded with dirty sewage water. Every time the toilet was flushed, contaminated water came back up through the floor drains. This is not just poor service, it is a serious health hazard. The hygiene standards were shocking. Bedding was dirty, cups were not properly washed, and the overall environment felt unsafe for both adults and children. Food was another disaster. “Hot meals” were served cold because there were no proper heating facilities. On top of that, we were given hot water that actually contained sand. We only realised this after leaving the water to settle and seeing the sand at the bottom of the cup. No kettle was provided in the room, so we had to keep going to the bar to request hot water, which was clearly not safe to drink. The hotel is also unsafe. The sofa bed collapsed while I was sleeping, causing me to fall and sustain injury. Instead of properly replacing it, they attempted a poor fix, and the replacement was still faulty. To make matters worse, a child in our group was trapped inside the bathroom because the shower door jammed. Customer service was appalling. The manager was rude and unhelpful, and instead of resolving issues, he threatened to call the police when we complained about the conditions. This hotel is dirty, unsafe, poorly managed, and completely unfit for families. There is no care for guest safety, hygiene, or basic comfort. Do not be misled by the location — nothing can make up for the terrible experience. This was a complete waste of money and an extremely stressful, upsetting stay. I strongly advise anyone to avoid Hotel Baba.",2.0,"Posted April 22, 2026",,Stayed in April 2026,,,,
Hotel Baba,"The hotel was a bit outdated, wifi only worked in the lobby which was a bit frustrating. Air con didn’t work in the rooms, very noisy at nighttime due to the local clubs / bars but this isn’t fault of the hotel. Food wasn’t good, went all inclusive but only really ate 3 times there and the rest of the holiday we ate out! The rooms were kept clean and the lovely lady always made nice shapes on the beds with towels and flowers. Staff were accommodating & friendly. Local area was great, lots to do and see, really reccomend the local boat trips!",6.0,"Posted February 14, 2026",,Stayed in February 2026,,,,
Hotel Baba,"Okay, so I just got back from what was supposed to be a relaxing getaway, but honestly, my stay at Hotel Baba was anything but. Right off the bat, the people at reception were just...rude. No smiles, no help, just a general vibe that they'd rather be anywhere else. And no matter what problem you had, they were completely useless. Needed extra towels? Tough luck. Question about the area? Blank stares. The food? Let's just say I've had better meals on a plane. Everything tasted like it had been sitting out for days, and honestly, the whole place felt grimy. Like, actually dirty. I'm not usually one to complain, but seriously, do yourself a favor and book somewhere else. This place is a total waste of money and a major letdown. There’s a specific worker who worked at the reception desk who will make you want to leave as soon as you step a foot. I uploaded a photo of him as I assume he’s made other people also feel very unwelcomed and uncomfortable.",2.0,"Posted August 19, 2025",,Stayed in August 2025,,,,
Hotel Baba,"I have stayed at this hotel many times in the past and it’s always been very basic yet clean and friendly with lots of atmosphere. This time we stayed, we found it to be quite poor, especially at breakfast in the morning. There was only ever water to drink at breakfast, during the full week there was only the first morning that there was a coffee or juice available….. the rest nothing. I also didn’t like how the hot food was left open all of the time, resulting in cold food and flies on it. When I did close one I used I was told they had to be kept open. The hot selection of food was very poor, but there was always chips for breakfast 🤣. Luckily, I like the Turkish breakfast as in the cheese and salami type meat and cucumber and tomato…. If you weren’t down there first thing for breakfast, there was no bread left. The pool side was disgusting, it wasn’t cleaned, there was a clump of hair on the drain for the first few days we were there. Pool safety was not adeared to at all. The life ring from the wall was used as a toy to float on in the pool by a Turkish family who were on holiday. I brought this to the attention of staff and was told “ well, maybe they can’t swim” which I thought was a totally ridiculous statement. If someone got into trouble in that pool, there was nothing to save them. There was also no music around the pool, nor anyone visiting the pool area with menus or asking if we’d like drinks fetching as there isn’t a pool bar. You have to walk around the side of the hotel to the front where the beach is and go to the bar, personally I would rather tip a waiter to do this for me when I’m on holiday. We would’ve eaten several times by the pool and had many drinks if this option had been available, which obviously is custom for the hotel. The rooms were clean (my cleaner was lovely and would speak when we passed in the hotel), they were cleaned daily and clean towels left. There is a fridge in some of the rooms, we had two rooms and only one had a fridge, only one had a safe which worked and only one had a key card which worked. The key card was sorted straight away and the mattress which you could feel the springs through was also changed straight away. We just used the working safe between the two rooms so that wasn’t an issue for us. Reception were always kind and courteous and spoke fantastic English…. Unlike the rest of the Hotel employees. The room I was in took some getting used to because there was a noise, like a generator or something which was on the go all of the time. I like a bit of background noise when I sleep, but this was irritating.",4.0,"Posted August 9, 2025",,Stayed in August 2025,,,Traveling with friends,
Hotel Baba,"Before I write a review about the hotel, I would like to point out that we had low expectations of it. We booked it 20 days before the trip without being informed about the hotel, aware that it only has three stars and no overly positive reviews. However, we came back delighted. It is true that the furniture in the hotel is old and there is no trace of luxury, but the kindness and friendliness of the staff makes up for it. If you are lucky enough to get rooms on the ground floor with large terraces, I am sure you will have a great time at the Baba Hotel. The beach is beautiful and not crowded, and the food is excellent, the chef is very pleasant and professional. The hotel only offers half board, but the food is so good that those two meals are quite enough for adults. But if you are going with a child, there are various restaurants in the area where you can have lunch. However, our experience shows that children do not like typical Turkish food so we ended up buying pizza in the supermarket across the street from the hotel. As for the other staff, the maids are not overly enthusiastic but if you leave them a tip from time to time you will have decent service. Not fantastic but bearable. On the other hand, the waiters on the beach are wonderful and love children very much. They often played with the children and sometimes treated them with ice cream. As far as I understood from reading the reviews here, the hotel gets the most complaints about the noise since it is surrounded by nightclubs. It is true that music can be heard all night but if you close the doors and windows you can sleep, and if you get hot in a hermetically sealed room you can use the air conditioning all night for no extra charge. In my opinion, the biggest problem with the hotel is communication, because few of the staff speak English clearly. But with the help of Google Translate, this problem is easily overcome. To summarize, Baba Hotel is one of the modest Turkish hotels I have visited but if the beach, the sea and the location in the center are more important to you than the appearance of the furniture, then this hotel is a good choice. It is located in the center of Gumbet and is surrounded by many shops. Next to it is a bus stop that takes you to the center of Bodrum very quickly for 1 euro. Of course, my impressions might not have been so positive if I had not encountered the friendliness of the hotel manager from the start, who tried to resolve any inconvenience that guests encountered. Those of tourists who would contact her directly had a much better experience than those who complained to the receptionists. But honestly, there really weren't many complaints. Most of the travelers around us were aware of what to expect, as they were mostly people who were vacationing at this hotel for the third or fourth time. We will probably follow their path too, we are already planning a return to this hotel next summer.",8.0,"Posted July 1, 2025",,Stayed in July 2025,,,,
Hotel Baba,"I was staying in room 109 next to the pool. i was a bit worried about what I was letting my in for after the reviews I've read on here and in other places. When I entered the room, there was no fridge, so I went to reception and asked about it they said they should be one in the room, but I had to wait for the following morning to get one. The guys on the bar were friendly and helpful they gave me a bag of ice for overnight to keep my drinks i purchased from the migros supermarket across the road cool. There was a lady on reception during the day who was very friendly and always chatted and remembered. My name, unfortunately, I can't remember hers. The room was cleaned daily. That's where the positives end The negatives The food offering was rubbish. I was b&b but did look at the evening meals, and they were not much better. I'm glad I didn't pay for the half board upgrade fee of 15 euro a day I had plenty of tasty meals in the surrounding bar/restaurants and the local authority run gumbet cafe just a 5 minute walk along the beach path. The hotel is located next too the 3/4 large night clubs the where the music goes on until 4am so if you want a goodnight sleep this isn't the place for you. In summary you get what you pay for and not much else",6.0,"Posted September 19, 2024",,Stayed in September 2024,,,Solo traveler,
Hotel Baba,"The hotel is was an unpleasant experience the rooms are a bit dirty. The cleaners hardly come in, you have to ask for towels or new bedding others it will be left. The beach is filthy compared to others. The food options aren’t the best there is repeatedly nearly the same foods and only like 3 options to choose from. Two of those likely to be some sort of pastry and the other always being egg.",2.0,"Posted October 4, 2024",,Stayed in October 2024,,,,
Hotel Baba,Was here last week spent 17 days the rooms are basis the cleaner's came every day but have to ask for bath towels and hand towels or you never get any towels the WiFi is not in rooms only WiFi is at the bar and reception pool very clean staff clean the loungers every day food was very good. Turkish and European breakfast,6.0,"Posted September 27, 2024",,Stayed in September 2024,,,Couple,
Hotel Baba,"Just had a medical massage from a lady who I have to say was amazing, can't fault her work. Would highly recommend a visit. Made to feel relaxed, private room with respect and dignity. Came for a Hanam yesterday was absolutely lovely again made to feel relaxed, and respected throughout.",10.0,"Posted September 15, 2024",,Stayed in September 2024,,,Traveling with friends,
