otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Club Shark Hotel,"This hotel is amazing the location is perfect and atmosphere is brilliant and the rooms are clean and tidy and the cleaners freshen your room constantly, the noise level is perfect and after 11pm the hotel is calm, the hotel staff were absolutely brilliant and were so so kind making sure you have an amazing stay, brilliant hotel 10/10 i would love to stay again!",10.0,"Posted August 19, 2026",,Stayed in August 2026,,,,
Club Shark Hotel,"⭐⭐⭐⭐⭐ Brilliant hotel with outstanding staff, but entertainment could be improved We’ve just returned from a fantastic holiday at Shark Club Hotel, and overall it was a really enjoyable stay. The hotel itself is great, but what truly makes it stand out is the staff, who go above and beyond to make guests feel welcome. A special mention has to go to David, Harry Potter, Adam, Ally and Nunu — what a team. They were consistently friendly, approachable, and always up for a laugh. Their energy and attitude really helped make the holiday memorable, and they are a real credit to the hotel. We’d also like to give a very special mention to Peter, who regularly came around the hotel and was genuinely one of the loveliest people we met during our stay. He was always smiling, always happy to stop for a chat and always there to make you smile. He really added a personal touch to our holiday and made us feel so welcome. Peter also has his own restaurant, Peter’s Place, which is definitely worth a visit! The food was absolutely wonderful and easily one of the highlights of our trip. Amazing food, a lovely atmosphere and Peter himself makes you feel so welcome. We would definitely recommend giving Peter’s Place a try while you’re there. And then… there’s the animation. 😂 Chucky, where were you?! 👀 We genuinely spent more time wondering where the animation guy had gone than actually taking part in animation. 😂 During our stay, we witnessed aqua gym twice and water polo once at around 1:30pm. The rest of the daytime entertainment seemed to consist of Chucky promoting the bus to the beach and then apparently getting on an invisible one himself because… POOF 💨 — gone until nighttime! 😂 Forget aqua gym, the real daily activity was: “Where’s Chucky?” 🔎😂 Then, like clockwork, around 9pm, he would suddenly respawn for approximately 30 minutes of a “game show”… and that was basically your evening entertainment done. 😂👏 But don’t worry, because before disappearing again we’d be reminded to meet in the lobby at 11:30pm to go to the bars. There was just one tiny problem… THE HOTEL BAR CLOSED AT 11PM. 😭😂 So apparently the final activity of the evening was a 30-minute endurance challenge called “Stand in the lobby and wait.” 😂 In all seriousness, this was the only disappointing part of our stay. There was so much potential for entertainment around the pool — music, games, competitions, quizzes, dancing, more aqua gym, literally anything to get everyone involved and create a proper holiday atmosphere. It felt like the animation programme finished before it had even started most days. Thankfully, the rest of the staff completely made up for it. ❤️ That said, the positives far outweigh the negatives, and the staff truly made the holiday what it was. Overall: * Staff: 10/10 — absolutely outstanding ❤️ * Peter’s Place: 10/10 — wonderful food and highly recommended 🍽️ * Entertainment: 5/10 — definitely room for improvement A massive thank you again to David, Ha",8.0,"Posted August 9, 2026",,Stayed in August 2026,,,,
Club Shark Hotel,"I have been to this hotel many times and I have always enjoyed it. The rooms are spotless and all the staff are so friendly and helpful, they helped organise a birthday cake and fireworks for his birthday. I can always find something to eat in this hotel and the snacks were good too. It is close to the busy part but far enough away not to bother you. The pool area is quite small but there are also plenty of seating area around. Would i go back - yes.",10.0,"Posted August 2, 2026",,Stayed in August 2026,,,,
Club Shark Hotel,"my service was great lovely staff and they was absolutely great with us very lovely and very funny, chucky had the place going at night with entertainment made are experienced so much better, we will be wil be back",10.0,"Posted July 30, 2026",,Stayed in July 2026,,,,
Club Shark Hotel,"it was very good special shout out to david he was great fun and all the other staff in the restaurant and the bar. very quick service, all good food and drinks for all inclusive hotel. rooms were clean, mattress was pristine and the cleaners were lovely too. definitely my favourite was the boy with glasses at the bar he was lovely, very good and kept everyone happy i would 100% go back and definitely recommend to other for a good get away with everything on the door step. and another great person is pete he was so confident even on our first day and made us open right up to everyone. he has his own restaurant very amazing food lovely drinks and also a lot of respect for them taking care of the strays. xx from sienna",10.0,"Posted July 30, 2026",,Stayed in July 2026,,,,
Club Shark Hotel,"Totally disappointed… We chose this hotel based on the reviews, but we had a terrible experience. The hotel is not 4*, more like 2/3*, no improvements or renovations whatsoever. We had all inclusive, but we had a terrible food poisoning both myself and my husband. The spa, the worst I ever been. We paid £30 for 1h, which i didn’t stay more than 40 min, from which the lady spent 10 min on her phone. ( The towels in there smelled sooooo bad) The swimming pool closes at 6. The rooms big, 2 bottles of water everyday, but no kettle, coffees or tea. The location is close (10min walking) to the public beach, but Gumbet area quite bad. Flabbergasted… I gave 2 stars , because of the staff , they deserve 5, they were really nice, the waitress, the guy that great us when we came and help us with the luggage, the cleaning ladies, really friendly and warm people.",4.0,"Posted July 26, 2026",,Stayed in July 2026,,,,
Club Shark Hotel,"Everything is top notch. The service is perfect, the food is excellent, the rooms are cleaned every day. The hotel is in a beautiful location, in the very center of Gumbet, the beaches are a few minutes walk away, but there is an organized transport to the beach which is free. After dinner, every evening, except on Sundays, some kind of program is organized for hotel guests. All in all, a wonderful impression and the right place for rest and socializing.",10.0,"Posted July 19, 2026",,Stayed in July 2026,,,,
Club Shark Hotel,"it was an amazing stay, staff was amazing. 10/10 would definitely come back to this hotel!! david is a very good person",10.0,"Posted July 15, 2026",,Stayed in July 2026,,,,
Club Shark Hotel,"Clean but very very very basic, you have to pay for pool towels, there are no tea or coffee facilities in your room. All inclusive drinks are awful and come in such a small cup that you spend all your time cueing at the bar. Staff are friendly and helpful, place to stay if you are going for a partying break and just a bed for the night, but avoid if you are looking for relaxation and comfort and value for money.",2.0,"Posted July 12, 2026",,Stayed in July 2026,,,,
Club Shark Hotel,"Our holiday at this hotel has been an experience we will never forget. Me and my friend had the best time here, and this is all down to the brilliant staff at Club Shark Hotel. I’d like to thank Chucky for looking after us, by making us feel comfortable during the day and safe during the night when we wanted to go outside of the hotel. He ensured we made it safely to where we wanted to go and no ask was ever too much for him. He truly is a fantastic person who we will remember forever. Special shoutout to some other wonderful members of staff who made this an incredible experience: Nurullah, Emre, David, Ozan and everyone else who was so kind to us. We will definitely be visiting again!",10.0,"Posted July 12, 2026",,Stayed in July 2026,,,,
