otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Royal Asarlik Beach Hotel,"The location is excellent, and the staff are very friendly. The entertainment was enjoyable, and the pool was great. The food wasn't bad; you're sure to find something you like. It's definitely a value-for-money hotel. I recommend it.",9.5,"Posted July 24, 2026",Türkiye (Turkey),Stayed in July 2026,27 Reviews,Diamond,Couple,Standard Room With Sea View
Royal Asarlik Beach Hotel,Really enjoyed my stay here. It was an all inclusive resort and was worth every penny. The stunning view of the rooftop restaurant was definitely the highlight of the stay. Highly recommend,10.0,"Posted June 16, 2026",United Kingdom,Stayed in May 2026,13 Reviews,Diamond,Couple,Standard Room
Royal Asarlik Beach Hotel,"We had a great room with a sea view, and everything worked perfectly. No need to rush to reserve sun loungers in the morning! Aigul at the reception was incomparable, always helping everyone. It's hot in the outdoor restaurant section; the enclosed part is poorly air-conditioned, and the area where you pick up food has no air conditioning at all! We enjoyed relaxing under the trees, as the beach was too hot. The water was excellent, 26-27 degrees Celsius. There are no sports facilities whatsoever! We stayed for 2 nights after a cruise, and I wouldn't consider staying longer. Compared to 5-star hotels in Antalya, this is a 3-star.",8.5,"Posted August 5, 2026",Russia,Stayed in August 2026,3 Reviews,Platinum,Couple,
Royal Asarlik Beach Hotel,"Very good value for money the staff were brilliant food was good rooms were cleaned daily, there were six of us and we all enjoyed it.",8.5,"Posted June 28, 2026",,Stayed in June 2026,1 Review,Gold,Family,Standard Room
Royal Asarlik Beach Hotel,Bakımsız ve yemekler kötü onun dışında kalınır,8.5,"Posted June 22, 2026",Türkiye (Turkey),Stayed in June 2026,2 Reviews,Gold,Couple,Relax Room
Royal Asarlik Beach Hotel,"Pros Location is great and close to everything. Food is actually decent for an all inclusive (not the best but you have options to pick what you like). Drinks are available all day, although not premium the local beer was nice and the piña coladas were nice but needed more alcohol. The spa is included and the pool was quiter there and also the hamam and sauna was free. Massage was offered as additional but the price was cheap. Cons The rooms are in need of refurbishment. We had ants in our room although we never had any food or spillages My partners bracelet was missing from the room, we were never drunk and certain it was left in the room. We reported it but never had any updates back from them. No iron is provided so bring your own. The hairdryer wasnt working although they replaced it within 30mins. The beach is average I've seen worst but not the best. Wake up early if you want a sunbed next to the beach as they get taken pretty fast (no drink service at the beach either). I would say this hotel is probably a 3-4 star and not a 5 star experience.",7.5,"Posted August 20, 2025",United Kingdom,Stayed in August 2025,9 Reviews,,Couple,
Royal Asarlik Beach Hotel,"Royal Asarlik Beach Hotel & Spa is very good, beautiful location, and good service and very nice staff. Mr Mustafa and Mrs Kenica at reception are very nice and helpful. Bartender Farhad is also very nice. The food and the staff in the restaurants are very nice and helpful. Perfect hotel with incredible good service.",10.0,"Posted June 16, 2024",,Stayed in June 2024,7 Reviews,Gold,Couple,
Royal Asarlik Beach Hotel,"The hotel grounds are very large and beautiful, and that's about it! We only stayed for one day, so it was long enough not to extend our stay! The staff at reception and in the panoramic restaurant were very friendly, but the same can't be said for the guys at the pool bar. We arrived with our child, stopped in for a snack at the snack bar, ordered, waited 40 minutes, and ended up getting nothing! What kind of ""all-inclusive"" package are you talking about?! Little things like these left a negative impression of the hotel!",6.0,"Posted May 25, 2026",Russia,Stayed in May 2026,5 Reviews,Platinum,Family,Standard Room
Royal Asarlik Beach Hotel,"We are very satisfied, I have been there twice and always happy to go back, I even booked my nephew's honeymoon here for 4 days, they were also very satisfied",10.0,"Posted June 18, 2025",Germany,Stayed in June 2025,15 Reviews,Diamond,Family,
Royal Asarlik Beach Hotel,"The hotel is generally clean, staff is friendly, and the food is delicious. Having two beaches was a great experience. Whether you're visiting as a family or a couple, you can have a wonderful time. We were very pleased.",10.0,"Posted June 9, 2025",Türkiye (Turkey),Stayed in June 2025,1 Review,Gold,Couple,
