otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Tropicana Beach,"This hotel is a good clean hotel. Every thing as expected apart from the upstairs restaurant which overlooks the bay is permanantly closed due to fire regulaitions This was dissapointing as we were looking forward to having a meal and watching the sunset. It should be removed from the pictures as it is no longer open. On the last day as we checked out we were billed for drinks that we didn't order. It was only four soft drinks so it was't an issue but this is not the point. It could have been a lot more. you are asked for you room number everytime you order something,we did not give our room number as we settled the bill after every meal or drink so someone has gave our room number on their order. There needs to be a system in place with wrist bands fobs that you can top up at reception and use when you order something,like a hotel in marmaris we stayed in last year. Apart from these two issues the hotel is fine and the staff are friendly.",6.0,,,Telah Menginap Pada Julai 2026,,,,
Tropicana Beach,"Stayed here with my partner and two children 10 & 14. Hotel I must say very clean. The staff are amazing wholesome welcoming could not fault at all. The room we had was in ground floor was okay for the week there, everything we needed. The pool, has no sallow end that’s a first I’ve seen. No entertainment during the day just music. Pool closed at 6pm to be honest would. Be better if it stayed open until at least 8pm because it was so so warm! Good, pretty decent didn’t have a bad meal. The cider was near £8 a bottle! 2 nights of entertainment some dance thing and other karaoke was ok. Gumbet is definitely more for couples and party people in my opinion. Taxi’s out side to bodrum marina there in 5mins and cheaply enough and is beautiful! Lovely food and a nice evening stroll. Definitely go back to stay in bodrum but possibly not this hotel as it’s just a little out of the way for us.",6.0,,,Telah Menginap Pada Oktober 2025,,,,
Tropicana Beach,"We stayed here for week the room was very basic, cleaned every day the maids were lovely, it needs a complete renovation to the rooms and the sewage system needs to be fixed as the smell was disguising, the pool area and bar were nice and up to date, but your not sleeping there, I wouldn’t go back to this hotel for the above reasons. Diane Denholm",4.0,,,Telah Menginap Pada Ogos 2025,,,,
Tropicana Beach,"Disgusting hotel room was not cleaned even once whilst we stayed, ripped bed sheets awful smell, food. Air con didn’t work, no lifts had to walk 3 flights of stairs. Drinks were horrible no fizz in the soda drinks. No toilet paper, toilet wasn’t clean either. Had to bribe the staff to give us another room because we weren’t happy with it everything is broken",2.0,,,Telah Menginap Pada Jun 2025,,,,
Tropicana Beach,"We absolutely love it here. We continuously use this hotel when we come to Gumbet. We always stay in a studio apartment and each room we have stayed in is a very good size. Beds are comfortable. Rooms are very clean and bins are changed daily. Bedding and towels are changed every 3 days unless you ask for a change before hand which is no issue. There is also a laundry service on site. Drop off your dirty laundry and the staff will have it washed, dried and ironed for you. We use this service when we are staying 2 or more weeks but is also a very handy thing to have especially if you don't want to come home from a relaxing holiday and have to do the washing (we usually come home to rain. So a very handy thing for us) The restaurant serves a good selection of meals i'm such a fussy and picky eater and they always help me out to make sure I get food i enjoy with no hassle at all. Very reasonably priced and good portions of food. The bar is also very well stocked and reasonably priced. Hotel staff whether it be the gardener, cleaners, bar staff, restaurant staff or receptionist are all very welcoming and can't do enough for you. Very friendly, amazing customer service. When coming here the vibe is just so lovely. Very chilled and just an overall enjoyable experience. The beach is just across the road from the hotel so not far to go at all. Sun loungers are given and a staff member is there to take your order. Yunis, and our tropicana family go above and beyond to make sure your holiday is an amazing time and I honestly can say I've never been disappointed.",10.0,,,Telah Menginap Pada Mei 2025,,,Keluarga,
Tropicana Beach,"Stayed at Tropicana from 18th-29th October as a solo traveller ( first ever solo trip ). Had problems with the first room as location was at the end of a long pathway and felt very out of the way. Also, unfortunately, I was not getting any hot water for showering. Receptionist & Jet2 member of staff arranged for me to move rooms. 2nd room was up 1 flight of stairs right by reception area with wonderful views overlooking the pool and beach. More importantly I had lovely hot water. Room was a basic standard double room but came with a fridge,kettle & toastie machine. Room was spotless if a little tired looking but comfortable bed. All the staff at hotel were lovely from room attendant to managerial staff. Prices for food and drink were slightly more expensive than local restaurants near beach area but not rip off prices in comparison to prices here in the UK. Overall hotel had a fairly quiet vibe seeing as it was nearing the end of the season and hotel closed for the season on 1st November. Hotel was good value for money with excellent flights from Jet2.",8.0,,,Telah Menginap Pada November 2024,,,Pelancong solo,
Tropicana Beach,"Just returned from a stay at the Tropicana, stayed here before quite a few years ago. I love the relaxed vibe about it and the very spacious apartments, though a chest of drawers would be a massive help in the bedroom. Excellent staff and facilities. My only negative, would be the Siesta next door using the hotel, beach and pool. They should have booked the Tropicana in the first place? There's a guy on the beach opposite the hotel, who looks after the sunbeds, but doesn't really monitor it well enough, people in the Jasmin and siesta were using the beds, sometimes he told them no and pointed to their beach area or just ignored them and carried on chatting to his friends or just sat and smoked. It was easy if it was the Jasmin, as they wore blue wristbands, as it was an all inclusive, perhaps the Tropicana and Siesta should have their own coloured wrist bands, just to make it easier? Being by the pool was almost an all inclusive vibe, you definitely got better service there, food and drinks being brought to your beds, but the beds are very close together and big groups of people hung out together laughing, smoking ,which if you want to chill would be impossible, equally the siesta were told they could use the pool, so limited your use of that area. The supermarket had very limited choice, drinks at the bar were expensive and the food ok. We chose to go out every night for food, as there's lots of choice in the main town or along the coastal path. The walk into Gumbet town by road, was very dark in places and the pavement uneven, didn't feel very safe, equally the coastal path was dirty and dark in places too, it just looked tired and lots of litter around. I would recommend a visit to Bitez, very chilled out place, fab places to eat and spotless, no sellers hassling you, equally preferred Bodrum by night, great places to eat and you have the castle and harbour. I would of course come back and appreciate when you choose this time of year to come away, with it being the end of season, you can just tell workers at hotels/restaurants/shops can't wait to finish, so maybe the service isn't as attentive, as at the start and thru the summer months. Cleaners and bar staff at Tropicana always cheerful tho.",10.0,,,Telah Menginap Pada Oktober 2024,,,,
Tropicana Beach,"Just returned from a week at Tropicana beach hotel. 2 of us stayed in a studio apartment. We had a lovely time, the hotel is so laid back and relaxing, the rooms are really nice, clean and comfortable. The pool is lovely, and we never had trouble getting a sunbed. The staff are friendly and welcoming, and all work really hard. Breakfast is great, if you've selected bed & breakfast, you just pick from the menu. All the food we had here was really good. Tropicana is away from the main Bar street, which we preferred. We visited Bodrum a couple of times, £5 each way in a taxi. Mistral steakhouse just along the beach is great value and amazing steaks. Overall we enjoyed our break so much, and can see why people return to this hotel again and again.",10.0,,,Telah Menginap Pada September 2024,,,Pasangan,
Tropicana Beach,"I don't usually go for self catering but I opted for B & B. I must say the breakfast was amazing. The full English had proper bacon, sausage, beans, tomatoes, eggs, mushrooms and 2 toast. My granddaughter had pancakes every day and said they were the fluffiest she has ever tasted. We stayed in a 1 bedroom apartment and they were spacious. The beds were on the hard side but we still slept OK and the pillows were of good standard. The swimming pool was lovely and we never struggled to get a sunbed, no early fights to get one, you could go down most times during the day and still get one. Most of the staff were really friendly. Location wise it was a 10 minutes walk to gumbet town or you could get the bus which stops frequently outside the hotel and for 30 lira it takes you to bodrum. Really enjoyed the holiday but a few things let it down... The hotel would be even better if they had a microwave in the apartments and during our week stay there was no entertainment. I think if there was it would make a better atmosphere in the evenings. The beach right opposite the hotel was a let down as it was dirty and hard to walk into the water, you definitely need a good pair of sea shoes",8.0,,,Telah Menginap Pada September 2024,,,,
Tropicana Beach,Just returned after an amazing week staying here. We stayed in a 1 bed apartment which was ideal and big enough having a 15 year old with us. Food at the hotel was good and cheap enough. Beer was reasonable priced at 160lt and cocktails were 350lt-400lt which yes that’s quite expensive but it’s an average price anywhere you go. Chocolate Monkey was my favourite and worth a try. all staff at the hotel was great with excellent customer service they couldn’t do enough for you. The owner was always around been hands on which was good to see. Rooms were cleaned daily and bedding changed every 2nd day but clean towels daily . i can’t fault this hotel and it’s definitely a little gem as it’s an ideal location near the beach away from the noise. If you want a beach day head up to Nagi beach we went there a few times as it was clean and the food /Service was good. Thank you for a great week at Tropicana hopefully we will return in the future :),10.0,,,Telah Menginap Pada September 2024,,,Keluarga,
