otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Oda Bodrum Gümüşlük,"For the same price, you could stay in a five-star hotel in Istanbul, Madrid, or Rome. But in Bodrum, it's nothing special because hotels here are so expensive. This hotel is comparable to a two-star hotel or a youth hostel in China. Although relatively new, the facilities are extremely basic. The location isn't very convenient either; without a car, it's practically impossible to get around. Fortunately, the manager was very helpful!",5.5,"Posted August 25, 2024",,Stayed in August 2024,25 Reviews,,Traveling with friends,Standard Triple Room
Oda Bodrum Gümüşlük,"There was no reception to greet us when we checked in; we contacted them by phone, so we couldn't use the hotel's kitchen for tea, coffee, hot water, etc. This was the only thing that disappointed us a little. Otherwise, our room was clean, the view was very beautiful, and the location was good.",9.0,"Posted October 13, 2023",,Stayed in October 2023,1 Review,Gold,Traveling with friends,Standard Suite
Oda Bodrum Gümüşlük,"It's a simple, clean, pleasant, and fairly new hotel. It's perfect for short stays. The bed was comfortable, with a soft mattress, which suited me perfectly.",9.0,"Posted September 2, 2023",France,Stayed in August 2023,1 Review,Gold,Couple,Standard Double Room
Oda Bodrum Gümüşlük,المكان نظيف جدا اماااان عالي كل الشكر للموظفين على حسن استقبالهم و تعاونهم,9.5,"Posted August 17, 2025",Saudi Arabia,Stayed in July 2025,13 Reviews,Diamond,,Standard Double Room
Oda Bodrum Gümüşlük,"This hotel is very clean and well tended. The staff were lovely and very helpful. The room was on the small side, but perfectly adequate and the bed was comfortable. I would have liked a little more surface areas on which to put stuff, a kettle in the room and a shower cap.",8.0,"Posted June 22, 2025",,Stayed in June 2025,,,Couple,
Oda Bodrum Gümüşlük,Berbat bir yatağı vardı. Gece resmen her döndüğümde yatağın sesine uyandım bu kadar rahatsız ve sesli bir yatak olamaz gıcırdadı sürekli. Temizdi ama çok küçük bir oda banyo olsun yatak olsun. Dolap vs alanları da yok sadece askılık vardı çok kullanışsız.,2.0,"Posted May 29, 2025",,Stayed in May 2025,,,Business traveler,
Oda Bodrum Gümüşlük,Lovely staff are very friendly - the room is cute and small so great if you’re travelling solo.,10.0,"Posted May 13, 2025",,Stayed in May 2025,,,,
Oda Bodrum Gümüşlük,Her şeyden memnun kaldık. Tekrar geldiğimde tercih edeceğim bir yer. Teşekkürler.,10.0,"Posted April 27, 2026",,Stayed in April 2026,,,,
Oda Bodrum Gümüşlük,Tam bir fiyat performans. Çalışanların ilgisi mükemmel,10.0,"Posted May 8, 2026",,Stayed in May 2026,,,Traveling with friends,
Oda Bodrum Gümüşlük,"1. I stayed in room number 7, which overlooked the sewage pipes and wall of the neighboring building. 2. The smell of sewage was unbearable; I went and bought lavender products, etc., but to no avail. When I asked to cancel, they said no, so I'll have to stay there, vomiting all the time! 3. The parking lot in 40-degree heat (having to go around three buildings, first from the front and then from the back to the same place) was a bit of a hassle going back and forth. 4. The toilet flush broke. A repairman was supposed to come, but since he stayed one night, we found a solution by using the toilet in the opposite room. :) 5. There was no wardrobe in the room, no place to sit, no place to put suitcases. When I asked why, they said it was part of their concept. 6. I think that's enough, I'm tired. :)",2.0,"Posted July 26, 2025",,Stayed in July 2025,,,,
