otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Hotel Gumusluk,"Lovely room, good size pool, lovely fresh produce for breakfast, relaxing atmosphere, excellent staff. .",10.0,"Posted September 6, 2025",,Stayed in September 2025,,,Family,
Hotel Gumusluk,A+ hotel Great hotel with an amazing seafront location. Cleanliness was spot on. Customer service of staff was excellent. Will definitely be a returning guest,10.0,"Posted April 4, 2025",,Stayed in April 2025,,,,
Hotel Gumusluk,Excellent quality local hotel with good size pool. Very close to beach 100m. Quiet AC and comfy bed. Very helpful staff. Would highly recommend for price. Manager recommended some beach restaurants (both excellent) and suggested asking for discount on their menu price which we received.,10.0,"Posted October 6, 2024",,Stayed in October 2024,,,,
Hotel Gumusluk,"A good choice Lovely friendly hotel with nice pool, set just behind the beach. Friendly staff",8.0,"Posted November 1, 2024",,Stayed in November 2024,,,,
Hotel Gumusluk,"Loved Hotel Gumusluk. Fresh/clean room, everything worked, the pool was clean, the free breakfast was lovely every morning, everyone was quiet friendly and respectful. A real hidden gem.",10.0,"Posted October 2, 2024",,Stayed in October 2024,,,,
Hotel Gumusluk,Wonderful as always.,10.0,"Posted September 7, 2025",,Stayed in September 2025,,,,
Hotel Gumusluk,Response from Property:,8.0,"Posted September 23, 2023",,Stayed in September 2023,,,,
Hotel Gumusluk,"Gümüşlük’te harika bir konaklama deneyimi yaşadık. Otelin konumu çok güzel, odalar temiz ve bakımlıydı. Personel son derece ilgili ve güler yüzlüydü. Huzurlu bir tatil geçirmek isteyenlere gönül rahatlığıyla tavsiye ederim. Teşekkürler!",10.0,"Posted June 23, 2026",,Stayed in June 2026,,,,
Hotel Gumusluk,"Tek başıma seyahatim için tercih ettim, oda ***et ferah ve temizdi, bir eksik ya da sorun yoktu, kahvaltıda çeşit azdı ama kötü değildi, yaz sezonu olmadığı için anlayabiliyorum, çalışanlar da ***et iyi ve kibardı, sadece otelin sahibi olduğunu tahmin ettiğim hanımefendinin otele yeni giriş yapan misafirin yüzüne bile bakmadan bir hoşgeldiniz demeden öylece resepsiyonda durması biraz tuhaf geldi, ertesi gün kahvaltıda da benzer bir durum yaşadım, daha önce gittiğim otellerin hepsinde sahipleri tarafından çok sıcak ve güleryüzle karşılandığım için bu tavrı garipsedim ve bu durum yüzünden de otele ısınamadım, bir sonraki Gümüşlük ziyaretimde farklı yerler tercih ederim",8.0,"Posted April 26, 2026",,Stayed in April 2026,,,,
Hotel Gumusluk,Gerek temizlik gerek konumu mükemmeldi,10.0,"Posted May 23, 2026",,Stayed in May 2026,,,Solo traveler,
Hotel Gumusluk,"Cok memnun kalarak ayrildik otelden. En basta cok tatsiz bir otel deneyiminden sonra bize resmen kucak actilar:) hizlica oda ayarladilar ve yerlestik. Odalar cok temiz, ozenli ve yeterli buyuklukte. Oda servisi hergun geliyor. Kahvaltisi ***et guzel ve yeterli, anlamsiz bir kalabalik ve ziyan etme durumu yok. En guzeli de hayvan dostu bir otel:) Oteldeb cikip 50 metre yuruyunce Gumusluk plajina ulasiyorsunuz, her zaman tercih ederiz.",10.0,"Posted August 7, 2025",,Stayed in August 2025,,,Family,
Hotel Gumusluk,"Plaja yakın bir güzel Otel Aile ile kalmak için uygun bir otel. Temiz, hijyenik, ilgili. Sahile yürümesi 2 dakika sürüyor. Havuzu temiz harika. Kahvaltısı güzel fakat çeşitliliği artılabilir.",8.0,"Posted August 31, 2025",,Stayed in August 2025,,,,
Hotel Gumusluk,"Kış tecrübesi Oda ısıtması çok başarılı, sıcak su 7/24 vardı. Kışın 10 gün kaldık. Tv, klima ve mini buzdolabı olması iyiydi. Su ısıtıcısı olmasını beklerdim. Otel genel olarak temiz. Kış olduğu için işçi arkadaşların lojmanı gibiydi, ama bir rahatsızlık hissetmedik. Kahvaltıda çok temel şeyler var. Konumu güzel. Yazın eminim çok daha güzel ve hareketli olacaktır",8.0,"Posted January 31, 2025",,Stayed in January 2025,,,,
Hotel Gumusluk,"Wenn wir nicht im Zimmer waren, wurde die Heizung ausgestellt. Als Argument gab das Hotel an, dass die Reinigungskraft die Heizung beim Saubermachen ausstellt.Auf diie Anwort, warum die Heizung dann beim Verlassen n8 ht wieder aufgedreht wird, gab es als Anwort..""Die Hotelleitung möchte das nicht"". Frühstücksraum war auch sehr kalt. Ich kann mich nicht erinnern, dass ich mal in meimer Winterjacke je gefrühstückt hätte. Dann lieber im.Winter das Hotel zu machen, wenn man es nicht hinbekommt.",4.0,"Posted January 2, 2025",,Stayed in January 2025,,,Couple,
Hotel Gumusluk,Konumu harika Konumu harika. Çok temiz. Mobilyalar yeni ve oda son derece estetik dizayn edilmiş. Görevliler kibar. Gümüşlüğe bir daha gelsem yine burada kalırım.,10.0,"Posted September 14, 2024",,Stayed in September 2024,,,,
Hotel Gumusluk,Sahile oldukça yakın olması çok güzel. Temiz ve rahat bir otel.,10.0,"Posted September 3, 2024",,Stayed in September 2024,,,Family,
Hotel Gumusluk,"Necesitaba relajarme y encontré el sitio perfecto! habitacion súper cómoda y con una decoración estupenda, cama comodisima, baño nuevo. Un hotel sin ruidos pero céntrico, a un minuto de la playa y con un personal de lo más atento y simpatico. Me encanta y seguro que volveré!",10.0,"Posted February 29, 2024",,Stayed in February 2024,,,,
Hotel Gumusluk,Her şey çok güzeldi,10.0,"Posted May 31, 2025",,Stayed in May 2025,,,,
