otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Paradise Gumusluk,These apartments have been recently renovated and this has clearly been planned carefully with some lovely detail while keeping it simple yet comfortable and practical. They are very clean and well looked after. The location is great and its one of the few properties in this area with a pool. The family that own the are helpful and always available on site or by message.,10.0,"Posted April 14, 2026",,Stayed in April 2026,,,,
Paradise Gumusluk,"We stayed for three nights in August at Paradise Gardens and were quite charmed by our choice. The apartments are just away from the main sea front area in this Turkish resort and everything you need from the village amenities are within easy reach. The apartments are fairly basic, but very clean and there was always plenty of hot water. We enjoyed just relaxing by the pool or sitting in the pleasant gardens. We agree with another review here that the owners did not speak very much English, but they were incredibly helpful and they were happy to assist in whatever way they could. They were constantly looking after their gardens and cleaning the poolside areas. We would certainly visit again for relaxation and a laid back holiday time.",10.0,"Posted January 21, 2025",,Stayed in January 2025,,,Couple,
Paradise Gumusluk,"Gumusluk is a little village with a beautiful bay 30 mins away from Bodrum. Even though Bodrum is a famous attraction for many travelers not as many people are aware of Gumusluk, a quiet nice town with some great fish restaurants, and little gift shops. I was there with my 8 month old son and wife recently and we picked Paradise Garden Apart to stay there, and that was a perfect pick , thanks to some friends who knew about this place. It is a little paradise with a nice garden a swimming pool . The most important is that it is a baby friendly place, Ayse Teyze , is a great help in finding fresh, organic food for your baby or kids. She will be happy to let you use her kitchen if you need to cook something special for your baby.. If you are traveling with your kids and if you happen to be in Gumusluk ,Paradise is your place. No hesitation in recommending it. It is 2 mins away from the Beach and the shore is lined with several small and big scale restaurants.",10.0,"Posted January 21, 2025",,Stayed in January 2025,,,Family,
Paradise Gumusluk,"Paradise Gardens lives up to it's name. My wife and I stayed there for 2 nights as part of a longer stay in rhe Bodrum area. Our stay was wonderful. The owners were so welcoming and friendly and went out of their way to be helpful, they were there if you meeded anything but left you to yourselves othwrwise. The room was spacious, clean and comfortable with a kitchen/living room, bedroom and bathroom and ww had a view of the swimming pool and the gardens. The gardens really are beautiful. Beakfast was included and it was delicious, fresh and plenty of it. It's situated just a minute away from the beach making it simply perfect. My wife and I thoroughly enjoyed our stay, it was just what we needed and wouldn't hesitate to return at a future time when we get the chance, hopefully next time for a longer stay.",10.0,"Posted June 24, 2024",,Stayed in June 2024,,,Couple,
Paradise Gumusluk,"Perfect stay Paradise Gumusluck lives up to it's name. Our stay was wonderful. The owners were so welcoming and friendly and went out of their way to be helpful. The room was spacious, clean and comfortable with a view of the swimming pool and the gardens are beautiful. Beakfast was included and itbwas delicious, fresh and plenty of it. It's situated just a minute away from the beach making it simply perfect. My wife and I thoroughly enjoyed our stay, it was just what we needed and wouldn't hesitate to return at a future time when we get the chance, hopefully next time for a longer stay.",10.0,"Posted June 25, 2024",,Stayed in June 2024,,,,
Paradise Gumusluk,Really great family oriented and family friendly place.,10.0,"Posted November 13, 2024",,Stayed in November 2024,,,,
Paradise Gumusluk,A little cold and very basic accomodations. Lovely little balcony overlooking swimming pool( which was empty as it was out of season ). The owner and his wife were very pleasant and helpful.,6.0,"Posted May 8, 2024",,Stayed in May 2024,,,,
Paradise Gumusluk,"Had an excellent stay in paradise garden,nice quiet relaxing environment,great size balconies and lovely garden all round, breakfast was large and well varied cooked by a lovely lady ,whose husband memet is a true gentleman who goes above and beyond ,also Dursun his brother,thanks very much for the stay,we shall be back.gule gule",10.0,"Posted October 9, 2023",,Stayed in October 2023,,,Couple,
Paradise Gumusluk,"Wenig einladend, die Besitzer spielten den ganzen Tag Karten umd wollten nicht gestört werden. Anstatt Zimmer mit Balkon bekamen wir eins im Parterre (obwohl keine anderen Gäste da waren). Zimmer feucht und kalt, TV keine Sender E/D.",4.0,"Posted November 7, 2025",,Stayed in November 2025,,,,
Paradise Gumusluk,"Yüksek puanlar abartı verilmiş Pozitifler 1. Kibar bir işletme sahibi var. 2. Ellerinden geldiğince güzel ama mütevazı bir kahvaltıları var. (Olay şeyler beklemeyin, kendi evinizde ne yiyorsanız “en fazla” o kadar) 3. Park sorun değil. Negatifler 1. Odalarda inanılmaz bir rutubet kokusu var. 2. Çekyatlar çok zayıf ve kırılgan 3. Odalar birbirine çok yakın. Yan odanın sohbeti kulağınızın içinde 4. Odalar inanılmaz küçük 5. Eşyalar eski ve bakımsız 6. Bulması zor. Dar sokaklardan geçerek ancak varıyorsunuz. 7. Sahil yok. Anlaşmalı bir sahili de yok. 8. Gece saatlerinde civardan gelen cıstak disko müzikleri var. 9. Sadece yatağın bulunduğu odada klima mevcut. Sonuç: piyasa ve performans mekanı değil. Az buçuk daha fazla paraya çok çok çok daha iyi yerler var. Bir gece zor dayandık ve sa ah hemen çıktık. Bir daha? ASLA",2.0,"Posted August 17, 2025",,Stayed in August 2025,,,,
Paradise Gumusluk,"Tavsiye Ediyorum Öncelikle çok nazik bir ev sahibi ile karsılaştık..Kendisini tanıdığıma memnun oldum.. Otel konumu itibariyle , otopark hizmeti ile ***et yeterli ve güzeldi.. Havuz şahaneydi..4 kişinin rahatlıkla sığabildiği odalarla temiz guzell bir tatil geçirdik..",10.0,"Posted August 5, 2025",,Stayed in August 2025,,,,
Paradise Gumusluk,Konum olarak yer olarak aile icin ideal Restaurant ve kafeler çoK yakin denizi guzel degil Allahtan havuz var bodrumu genel olarak beğenmedim ama tekrar gidecek olursam buraya gelirim ilgi ve alakaları çok iyiydi hersey icin teşekkürler,10.0,"Posted July 5, 2024",,Stayed in July 2024,,,,
