otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Vega Aparts,Alles was goed. Prima locatie prima eten prima personeel. Zeer tevreden,10.0,"Posted August 2, 2026",Netherlands,Stayed in July 2026,18 Reviews,Diamond,Family,One-Bedroom Apartment
Vega Aparts,Apart değil tam anlamıyla Resort sınıfında bir konaklama gerçekleştirdik..,10.0,"Posted August 26, 2024",Türkiye (Turkey),Stayed in August 2024,30 Reviews,,Traveling with friends,"Junior Double Room, 1 Queen Bed, Sea View"
Vega Aparts,"Disappointment beyond the pretty picture: excellent grounds with a complete lack of service. The hotel leaves very mixed, but primarily negative, impressions. The reality completely fails to match the beautiful photos on the website! The main and most significant drawback is the rooms and the service, which is simply nonexistent: the rooms are dirty, the furniture and decor don't match the photos on the website. We arrived late and were greeted by a completely unprepared room—there weren't even the most basic extra bed linens and towels! We had to clean the room ourselves that night, as they couldn't provide another room, which was even worse. It felt like guests weren't welcome here at all. During our entire stay, there was no cleaning at all. Not at all. The only positive aspects are the natural and architectural aspects: the hotel grounds themselves are truly beautiful and well-maintained. The beach, although small, was always spacious and there weren't many people. The sea is magnificent (clean and refreshing), but there's no gradual entry; it's deep right away (for some, this might be a deciding factor). The concept and grounds are wonderful, but the terrible service, the dirt, and the lack of attention to room preparation completely ruin the entire vacation experience. I don't recommend it until the hotel improves its cleaning and basic hospitality.",5.0,"Posted July 27, 2026",Russia,Stayed in July 2026,3 Reviews,Gold,Family,One-Bedroom Apartment
Vega Aparts,"Do Not Stay Here This hotel is not as advertised at all and there is NO beach, NO restaurant, No bar, NO gym, and NO amenities. The reason we chose this hotel instead of staying in Bodrum town was because we’d have access to the restaurant and beach, both of which were closed in late May. Instead we had to drive 45 minutes into Bodrum to visit the beach, wasting time. The hotel was not clean and only came with 1 roll of toilet paper. There was dirt all over the floor of the room and in the lobby. I understand if it was early in the season. But simply put a statement on the website or send an email saying “hotel amenities are closed, however you can still rent the room.” I’ve never felt more mislead and disappointed from a hotel before. Do yourself a favor and Bodrum town so that you’re closer to shops, beaches and restaurants.",2.0,"Posted May 19, 2025",,Stayed in May 2025,,,,
Vega Aparts,The most stunning private beach and beautifully kept grounds,10.0,"Posted September 16, 2025",,Stayed in September 2025,,,,
Vega Aparts,Jakuzili full paket oda aldık oda gayet ferah ve kullanışlı buzdolabı berbat apart otel olmasına rağmen aşırı kalitesiz terasa cıkınca jakuzi pim pis teslim edildi bana ben temizligini yaptım ve lekeler vardı temizlikcilrr cıkartabılırdı bız cıkarttık :) ayrıca terasa 2 adet şezlong koyulmus ama berbat durumda aşırı kirli hiç kullanmadık konaklama ıcınde restorant mevcut ve dışardan yiyecek icecek sokmak getirmek yasak deniz ve havuz etrafında ve fiyatlar aşırı pahalı fırsatcılık başka değil uygun olsa sürümden kazanıcaklar ama akıl edemiyorlar sanırım insanları yurt dışına kaçırmaya devam edin manzara konum mükemmel çalışanlar güler yüzlü,6.0,"Posted August 19, 2024",,Stayed in August 2024,,,,
Vega Aparts,Great place to stay with spectacular views,10.0,"Posted September 23, 2024",,Stayed in September 2024,,,,
Vega Aparts,"Beautiful views of the Aegean Sea, good spacious rooms and a great beach club on the property!! We had a great time at Vega. We booked the junior suite which has a balcony overlooking the sea. The rooms are good and upgraded. Breakfast was served everyday and was made to order and included many local fresh items. We loved spending time at the beach club with access to the sea to swim and relax. They have a beach side bar and lunch restaurant too which was great for cocktails and fresh seafood! We had a car and there is parking on the property. We also visited Gumusluk which is a lovely fishing village just 10 mins away. Overall it was a great stay!",10.0,"Posted October 17, 2023",,Stayed in October 2023,,,Family,
Vega Aparts,I stayed in this hotel with my sister one night and we had the best time. It was such great hotel with amazing view. We really enjoyed our time here. We will definitely come back and I strongly recommend this hotel to all travellers!,10.0,"Posted September 13, 2023",,Stayed in September 2023,,,,
Vega Aparts,"Such a beautiful location, yet such terrible management... If you're planning a reservation at this hotel, I suggest you take my review below into consideration beforehand. You might even avoid this hotel solely because of the person named ER..N (grey-haired) who manages the pool and beach area. There's no problem with charging for food and drinks at the beach bar/restaurant. But you can't charge for water everywhere in the hotel, for goodness sake! This person's eyes are always on you, driven by a desire to make money; customer comfort and convenience are secondary. If they were, the beach would be tidy, clean, and well-maintained. The sea is naturally clean, and that's what makes the hotel attractive. The situation that I'm complaining about, and that humiliated me in front of everyone, is that one morning when I went down to the beach early to swim, the person in question couldn't even respond to my ""good morning."" He was busy staring at the towel in my hand with a skeptical look. Around 9 am, after swimming, as I was returning to my room from the breakfast area, this person blocked my way and had the audacity to say that if I didn't take the towel from the sun lounger within an hour, he would have my towel collected. The fact that he did this in front of other guests, making me feel like I'd committed a shameful crime, proves why the hotel only received a 3 rating. Okay, leaving towels early is something I hate too, but I've already swum and I'm going to get my child from the room and come back down, so this kind of behavior is rude. To use an analogy, would you tell a guest in your house, ""Don't forget to lift the toilet seat""? Go away, sir, don't give me a lecture on morality. You're the homeowner. Since you're responsible for the pool and beach area, first ensure the cleanliness and safety of the pool. It's covered in rust and dirt, cigarette butts in the children's pool, and most importantly, rusty nails and screws left exposed in the same area. A murky pool, rusty railings, and the rooms are inadequately cleaned. Just so you know, they don't go into the rooms to clean them. They leave you with a mop full of dirty customer hair, and they expect you to clean it. You will need to buy your own detergent and wipe the floor. The hotel has no security at the entrance; entry is left to God's mercy. I came here expecting comfort and quality based on the reviews, but the behavior of a person named Er...n could ruin your vacation. For your information.",2.0,"Posted July 25, 2024",,Stayed in July 2024,,,Family,
