otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Baia Bodrum Hotel,"Everything form the food to the spa to the staff was 10/10. A wonderful experience in Bodrum. Special mention Casim, Cafer and Dönne. The kindest and most hardworking young people I have ever met on holidays. Well done Baia. We will be back Enshallah.",10.0,"Posted July 5, 2026",,Stayed in June 2026,2 Reviews,Gold,Family,Deluxe Room Wood Terrace
Baia Bodrum Hotel,"If you want to waste your money, this is the only place to go. From the first day until the last day of our 6-night stay, we experienced problems. Despite reporting these issues and them acknowledging them, they refused our requests to cancel the reservation. There's no welcome at the hotel; you have to find your way around on your own. Upon arrival, they gave us a different room than the one we booked, and the room was carpeted and smelled unbearable. We changed rooms, and then went down to the pier by the sea, only to be told, ""This is the hotel's property,"" and then escorted us out. We went to this ultra all-inclusive hotel, but the minibars weren't refilled for three days despite us calling twice a day to ask for water. When we asked for cola at mealtimes, we were told that canned colas were extra. The same food was served for dinner three days straight; the rice pudding was spoiled, and we complained, which the hotel acknowledged. The onion croquettes and potatoes were so unusable you couldn't even put a fork in them; it's unclear how many days they'd been sitting before being reheated. We became afraid to eat there for fear of food poisoning. In the Starbucks area, the cups were rinsed with water and then served again in a filthy state; cleanliness is out of the question. At the à la carte restaurant, we asked for melon, and despite having a melon display case right in front of us, we were told it was out of stock. When I asked why, and pointed out that I could see it, they replied that it takes a long time to prepare. Finding a good sun lounger on the piers is a hassle; you have to search for one yourself. Looking at the reviews on the apps that sell this hotel, I'm shocked and see that the reported satisfaction is a complete deception. I chose this hotel based on these reviews and ratings, and I've been completely disappointed. They don't offer a realistic experience. There's no one in the hotel who cares about you, and if you have a negative review, they won't even look at you. I absolutely do not recommend going to this hotel; it's a complete disaster, and they have a system designed to deceive customers. They ruined our vacation.",3.0,"Posted July 17, 2026",Türkiye (Turkey),Stayed in July 2026,1 Review,Gold,Family,Deluxe Room With Garden View
Baia Bodrum Hotel,Beautiful views from almost every room. Room cleanliness isn't perfect. Food is mediocre. Nothing fancy. The room wasn't ready for occupancy. There was no water or coffee capsules for the coffee machine. They only brought them after several reminders on the second day. There are no irons at the hotel at all. Ironing is only available for a fee. The grounds are small. The hotel has no soul. I wouldn't go back. Only if I need to.,7.0,"Posted October 5, 2025",Türkiye (Turkey),Stayed in October 2025,11 Reviews,Diamond,Couple,Deluxe Room With Garden View
Baia Bodrum Hotel,ужас ужас и один сплошной ужас. больше сюда никогда не приедем. единственно вид из окна красивый,2.0,"Posted August 24, 2026",Russia,Stayed in August 2026,1 Review,Gold,Family,Deluxe Room With Sea View
Baia Bodrum Hotel,Otel tüm imkanları ile çok güzeldi denizi ve havuzu da güzeldi . Eşim ve kızım ile konakladık ve memnun kaldık,10.0,"Posted September 17, 2025",Türkiye (Turkey),Stayed in September 2025,2 Reviews,Gold,Family,Deluxe Room With Garden View
Baia Bodrum Hotel,"Resepsiyonda Caner ismindeki arkadaş 4 aylık kızım ve eşim ile engelli odasına almaya çalıştı. Engelli odası dedikleri oda normalden daha özel olması gerekirken depodan bozma, rutubet kokan, oteldeki en sesli ve gürültülü alanın tam ortasında ve toplama kampı gibi bir oda. Bebek bakım odasına kapı çalmadan girmeye çalışan çalışanlar var. Onun dışında otelin konumu ve hizmet güzel. Ana bina ve deniz arası uzak.",6.5,"Posted September 20, 2025",Türkiye (Turkey),Stayed in September 2025,1 Review,Gold,Family,Deluxe Room With Garden View
Baia Bodrum Hotel,Müthiş bir hotel,10.0,"Posted October 22, 2025",Türkiye (Turkey),Stayed in October 2025,1 Review,Diamond,Couple,Deluxe Room With Sea View
Baia Bodrum Hotel,Stuff was really good Foods and other things 10/10. It is family place and safe place. We appreciate everything.,10.0,"Posted September 19, 2025",,Stayed in September 2025,,,,
Baia Bodrum Hotel,"Lovely hotel, pool area and beach front overall really enjoyed our stay and would recommend to others. Some things people may want to be aware of though: -loud music by pool area which is heard to the rooms playing till around 11pm every night. - cocktail drinks are quite strong rather than mixed for taste, often had the same cocktails taste different to each other, depending who pours so no consistency. - lovely Starbucks in hotel that is part of all inclusive! - people secure the nice beds with their towels and personal belonging from the morning but are hardly at the pool, feel the hotel should not allow this as people actually at the pool can’t enjoy the comfortable beds. -walkable distance to a Main Street with other restaurants (mainly other hotels), however felt other harbours had a bit more options. -food at buffet for breakfast, and dinner is average , they serve the same thing every night.",10.0,"Posted September 7, 2025",,Stayed in September 2025,,,Couple,
Baia Bodrum Hotel,the room was dirty the bed was unconfortable definitely definitly not even a 3 star resort,2.0,"Posted May 29, 2025",,Stayed in May 2025,,,,
