otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Costa Farilya Special Class Hotel Bodrum,This place is beautiful. The rooms are nice and kept clean. The pool area is beautiful. The beach area is beautiful. The food is good. Breakfast is included . The owner is very friendly and she will make your stay nice. She is attentive. The staff is wonderful. The bartender is amazing along with the waitstaff and the young men who maintain the grounds. I will definitely come back. The only downside was the spa/hamam was not yet open. And the hot tub was being worked on at the time.,10.0,"Posted June 18, 2026",United States,Stayed in June 2026,1 Review,Gold,Traveling with friends,Deluxe Suite Room
Costa Farilya Special Class Hotel Bodrum,"AMAZING 🫶🏼 Great location, nice beach sun beds. GREAT local food! Pool with clean water (no chemicals products), very nice and gentle staff! Best massage ever 🫶🏼. Thank you for this amazing experience",10.0,"Posted August 2, 2026",,Stayed in August 2026,,,,
Costa Farilya Special Class Hotel Bodrum,Really beautifully designed hotel always happy with my stays at Costa Farilya! Great location and also delicious food wits friendly service.,10.0,"Posted June 24, 2026",,Stayed in June 2026,,,,
Costa Farilya Special Class Hotel Bodrum,It was a nice stay. Good beach access and clean rooms. Also good wifi. Recommend!,10.0,"Posted June 25, 2026",,Stayed in June 2026,,,,
Costa Farilya Special Class Hotel Bodrum,"The location and rooms are very nice. The reason why I am rating the hotel is due to very poor breakfast and over crowded beach area. Breakfast buffet is not rich at all , ı cannot say continental :( and out first day the bread and coffee were finished. But they did help :) the beach area due to number of too many sunbeds literally feels like a public beach. The staff is friendly.",6.0,"Posted August 21, 2025",,Stayed in August 2025,,,Family,
Costa Farilya Special Class Hotel Bodrum,"special one Her şey çok güzeldi tekrar gelmeyi düşünüyoruz, plajı ve denizi çok temiz ve dalgasız, çalışanları ilgili saygılı…",8.0,"Posted August 3, 2025",,Stayed in August 2025,,,,
Costa Farilya Special Class Hotel Bodrum,Costa Farilya is in great location with great staff and accomodation facilities The special breakfast under the large tree is a special experience The sea is very near and is very clean Gundogan is a great place compared to other parts of Bodrum if you like a peaceful vacation and an entertainment at the sama time,10.0,"Posted January 18, 2025",,Stayed in January 2025,,,Couple,
Costa Farilya Special Class Hotel Bodrum,"I went to Costa Farilya with my mother for 4 days in May 2025, and we had an excellent vacation. The front desk staff helped us organize our airport transfer, check in was very easy and everything went very smoothly. The room was very clean, and the lady who cleaned our room, Kader, was excellent—she brought us extra towels when needed and changed the sheets regularly. We were also very pleased with the food and service. Overall, everything was great, and I highly recommend Costa Farilya! I’m already planning to go there again in September. —Sibel B",10.0,"Posted June 1, 2025",,Stayed in June 2025,,,Family,
Costa Farilya Special Class Hotel Bodrum,"We stayed at Costa Farilya Hotel in November 2017. No matter it was considered off-season we found hotel clean, well kept with welcoming, polite and guest oriented staff. Rooms are quite spacious, modern with all necessary facilities in them with attention to details. Good, pleasant surprise regarding room accommodation. Breakfast quite good but to be honest could be improved. Thank you very much for comfortable and pleasant stay! Highly recommend Costa Farilya Special Class Hotel & if we will return one day back to Bodrum we will choose this hotel again!",10.0,"Posted January 18, 2025",,Stayed in January 2025,,,Couple,
Costa Farilya Special Class Hotel Bodrum,"I stayed here for 2 nights while attending a friends wedding. The staff,although not many were English speakers, were so friendly and helpful to a guest visiting their country. I don’t go to another country expecting the locals to speak English, so this wasn’t a problem for me. They have English versions of the menus etc and with a bit of patience and a few laughs we worked together. The rooms are clean and tidy, though I did have a bathroom issue. The shower tray isn’t deep enough nor the glass screen big enough which means the bathroom floor becomes flooded if you don’t put loads of towels down. This doesn’t bother me but does result in a heavier work load for the cleaners. The area is beautiful with lots of restaurants and bars. The locals are friendly, and wasn’t over charged once in local shops. On the day of the wedding I realised I had forgotten to get my clothes pressed and the hotel staff rushed my shirt and trousers through their laundry service, with only an hour to go they got my clothes back to me in emmaculate condition. Would definitely stay here again!",10.0,"Posted January 18, 2025",,Stayed in January 2025,,,Solo traveler,
Costa Farilya Special Class Hotel Bodrum,"We stayed at the end of july for 5 days with our 1.5 years old son and had a pleasure time. Hotel is located at a beatiful spot of the bay, beach and sea was amazing and the hotel crew was very firendly, polite and helpful. Room was always clean. Also thanks to the chief cook of the hotel for delicious dishes. Prices was a bit expensive but it is worth to pay. The hotel is located at the center ofthe town so you can walk and buy anything you need or taste something different then hotel dishes.",10.0,"Posted January 18, 2025",,Stayed in January 2025,,,Family,
Costa Farilya Special Class Hotel Bodrum,"Next to sea, really, after a thin pedestarian way. Very silent as whole Gündoğan is, and very friendly. Kitchen is delicious but expensive. Service time is their development area. Perfect breakfast solely a decision making criteria. Stay in, you will definitely enjoy. Not for this year but when the expansion construction finishes room number will at least double, real threat for this nice place.",10.0,"Posted January 17, 2025",,Stayed in January 2025,,,,
Costa Farilya Special Class Hotel Bodrum,"My friend and I were so lucky to accidently bomp into this fantastic yoga retreat. We felt so welcome and we were offered all their exellent facilities. This lovely hotel, next to the seaside in the bay, with its own pier, and a view you can rest your eyes on. Lovely to swim in this crystal clear water. The hotelowners and their staffs personality were serviceminded in a special way that made us feel so at home and relaxed. Its clean and tidy everywere, estecticly beatyful, which also includes Yesims powerful paintings and decorations. Special thanks to the exellent yogainstructor, Pinar, who took the extra effort to speak english through the lovely yoga lessons. We will highly recomend her. And at least, my wormest recomendation to Yesim, the hotelowner, who make all this possible! I look forward to come back to Hotel Cost Farilya on the next yoga retreat! Best regards your Norwegian guest, Monica",10.0,"Posted January 17, 2025",,Stayed in January 2025,,,Traveling with friends,
Costa Farilya Special Class Hotel Bodrum,"costa farilya has modern, clean, spacious rooms. room 1304 (delux) has beatiful view.staff at reception and vale are perfect.but in bar and restaurant service was so slow. breakfast is enough and fresh foods were served. wifi is free but did not work properly",8.0,"Posted January 17, 2025",,Stayed in January 2025,,,Family,
Costa Farilya Special Class Hotel Bodrum,"Pros: I really like the hotel's design. Friendly staff, comfy bed. Sea is clean and warm (mostly). Cons: Breakfast is limited with nothing special. If you want filter coffee u need to ask it from the bar (which is not tasty actually). No local tastes included and most of the breakfast area is under direct sinlight. sunlight. You need to walk like 50 stairs for breakfast breakfast and beach. In this case if you have any proclems with walking, you should reconsider coming.",8.0,"Posted January 17, 2025",,Stayed in January 2025,,,Traveling with friends,
Costa Farilya Special Class Hotel Bodrum,"Everything was just right; nothing overdone. Clean, comfortable, charming with a wonderful beach right there. Stayed 10 days with combined 2 families and everyone loved it. Best we’ve stayed in Gündoğan over many years.",10.0,"Posted September 7, 2024",,Stayed in September 2024,,,Family,
Costa Farilya Special Class Hotel Bodrum,It's a very nice hotel. Staffs were so friendly and helpful. Very nice room. It's own beach. Very good breakfast. We loved staying there,10.0,"Posted July 3, 2024",,Stayed in July 2024,,,Family,
Costa Farilya Special Class Hotel Bodrum,"the only minus point for this hotel is the music playing at the beach. sometimes the volume is high, sometimes it gets lower. sometimes jazz is played, sometimes techno there is no style.",10.0,"Posted June 19, 2024",,Stayed in June 2024,,,Couple,
Costa Farilya Special Class Hotel Bodrum,"Visited the hotel in April during off season, so it was lovely and quiet. Our room looked out over the pool and then to the bay, and walking in for the first time was a genuine wow moment - probably the best view i've ever had from a hotel room! The rooms were lovely and clean. The staff were always on hand to help with anything, and the restaurant next to the sea was just fantastic, with great food to match! The whole feel of the hotel, with so much outside space, is just amazing. I'd certainly recommend this to friends and family and a place to stay.",0.0,"Posted February 29, 2024",,Stayed in February 2024,,,,
Costa Farilya Special Class Hotel Bodrum,Nice place,10.0,"Posted June 28, 2024",,Stayed in June 2024,,,Family,
Costa Farilya Special Class Hotel Bodrum,Bad experience,6.0,"Posted September 21, 2023",,Stayed in September 2023,,,Business traveler,
Costa Farilya Special Class Hotel Bodrum,"Mr. Ömer and Mr. Bünyamin were very attentive, thank you, all the employees were very friendly, the environment was very good, it was very good that all the employees did their job properly, I always recommend it, I strongly recommend it, Costa Farilya is the best choice for a good holiday.",10.0,"Posted July 14, 2024",,Stayed in July 2024,,,Traveling with friends,
Costa Farilya Special Class Hotel Bodrum,"I came for the first time. The entire establishment is spotlessly clean, the rooms are comfortable. It has a pier and a beach area. The meals are successful. Many thanks to Mr. Mahir, Mr. Nadir and of course Mr. Mustafa, who never lacked attention from the entrance to the exit. I hope to visit again soon.",10.0,"Posted June 23, 2024",,Stayed in June 2024,,,Solo traveler,
Costa Farilya Special Class Hotel Bodrum,"The hotel is aimed at Turkish citizens. But the attitude towards other nationalities is very good. English speaking staff available. The hotel is located in the most convenient location of Gundogan Bay, where swimming in the sea is a pleasure! There are also many restaurants, cafes nearby and a promenade along the embankment. The rooms are cleaned every day, no complaints. A very picturesque place. We would like to especially mention our employee Nadir. Energetic, cheerful, friendly, always on time, helps everyone. In principle, all hotel staff are sympathetic and customer-oriented. Have a nice holiday everyone!",10.0,"Posted June 22, 2024",,Stayed in June 2024,,,Family,
Costa Farilya Special Class Hotel Bodrum,"We opened the season as a family in Costa Farilya, we are glad we came, it is a decent quality hotel, the sea pier is perfect, the staff is excellent, cleanliness is perfect, hygiene is our sensitive point, so it is highly recommended, thank you for your efforts, interest and care.",10.0,"Posted April 23, 2024",,Stayed in April 2024,,,,
Costa Farilya Special Class Hotel Bodrum,"Habitaciones amplias! Buena zona de playa! El personal habla muy poco inglés, la comunicación fue complicada!",8.0,"Posted September 19, 2023",,Stayed in September 2023,,,Traveling with friends,
Costa Farilya Special Class Hotel Bodrum,"Sakin ortam,güzel deniz,enfes lezzetler.. Sahil tarafı oldukça güzel,odalar ferah ve temiz. Çalışanlar,başta Tuğçe hanım,Ferhat bey,İbrahim bey ve ismini sayamadığım diğer arkadaşlar;teşekkürler… Mutlaka deneyin memnun kalacaksınız",10.0,"Posted August 15, 2026",,Stayed in August 2026,,,,
Costa Farilya Special Class Hotel Bodrum,"Ilk defa deneyimledim ve 2 haftalik rezervasyonu 3 haftaya cikarttim.tertemiz,24 saat ulasilabilir personel ve ozellikle housekeeping Medine Hanim sayesinde evimde gibi hissettim.Seneye yine burdayiz insallah…",10.0,"Posted July 29, 2026",,Stayed in July 2026,,,,
Costa Farilya Special Class Hotel Bodrum,Konaklamamdan çok memnun kaldım otelin genel alanlarından odalara kadar her yer tertemizse bakımlıydı hijyen standartları beklentimin üzerindeydi gönül rahatlığıyla konaklayabileceğiniz pırıl pırıl bir işletme titiz misafirler için kesinlikle doğru adres güler yüzlü personele gerçekten teşekkür ederim,10.0,"Posted May 29, 2026",,Stayed in May 2026,,,,
Costa Farilya Special Class Hotel Bodrum,"Gündoğan’ın sakin ve keyifli atmosferini yaşamak için çok doğru bir seçim oldu. Costa Farilya’da birkaç gün geçirip gerçekten dinlenmiş hissettik. Otelin en güçlü tarafı bence konumu; denizin hemen yanında, gürültüden uzak ama çevrede yürüyerek ulaşılabilecek güzel noktalar da var. Kahvaltılar oldukça başarılıydı, özellikle açık havada uzun uzun oturmak çok keyifliydi. Odalar temiz ve düzenliydi, otelin genelinde de özenli bir işletme hissi var. Çalışan ekip samimi ve çözüm odaklıydı. Bodrum’un daha sakin, daha rafine tarafını deneyimlemek isteyenler için rahatlıkla önerilebilecek bir otel.",10.0,"Posted May 16, 2026",,Stayed in May 2026,,,,
Costa Farilya Special Class Hotel Bodrum,Güler yüzlü personel ilgi alaka çok güzeldi manzarası konumu yemekleri mükemmel iyi bir tatil için Costa Farilya en iyi tercih,10.0,"Posted May 12, 2026",,Stayed in May 2026,,,,
Costa Farilya Special Class Hotel Bodrum,"Odalar temizdi, çalışanlar çok ilgiliydi. Denizin dibinde olması büyük avantaj tekrar tercih ederim.",10.0,"Posted May 12, 2026",,Stayed in May 2026,,,,
Costa Farilya Special Class Hotel Bodrum,Gündoğan koyunda harika bir otel denize sıfır kahvaltısı çok güzel tekrar görüşmek üzere...,10.0,"Posted May 12, 2026",,Stayed in May 2026,,,,
Costa Farilya Special Class Hotel Bodrum,Kesinlikle tavsiye etmem cok berbat ozellikele restorant mutfak bok görüyor tezgahlar hindistan usulu adam tuvalete gidiyo geliyo et kesiyo gerci personelde sorun yok yonetim otel sahibi cok cimri kesinlile tavsiye etmem saglik konusunda cok berbat,2.0,"Posted November 26, 2025",,Stayed in November 2025,,,,
Costa Farilya Special Class Hotel Bodrum,***et güzel bir oteldi hizmet çok iyi,10.0,"Posted June 26, 2026",,Stayed in June 2026,,,,
Costa Farilya Special Class Hotel Bodrum,"Otel tertemiz, odalar şahane güzellikte konforlu hijyen üst seviye ,huzurlu ve manzarası harika. Personel çok ilgiliydi, kendimizi evimizde gibi hissettik. Tatilimiz beklentimizin üstünde geçti, tekrar gelmek isteriz",10.0,"Posted September 18, 2025",,Stayed in September 2025,,,Family,
Costa Farilya Special Class Hotel Bodrum,"Otele adım attığımız andan itibaren temizlik ve hijyen standartlarının ne kadar yüksek olduğunu fark ettik. Odalar son derece düzenli, ferah ve tertemizdi; en küçük ayrıntıya kadar özen gösterilmişti. Yatak takımlarından banyoya, havuz alanından ortak kullanım bölgelerine kadar her yerin titizlikle temizlenmiş olması büyük bir konfor sağladı. Günlük temizlik hizmetinin düzenli ve profesyonel şekilde yapılması sayesinde konaklama boyunca huzurlu hissettik. Bu titizlik ve kalite, otelin misafirlerine verdiği değeri en güzel şekilde yansıtıyor. Hijyene önem veren herkese gönül rahatlığıyla tavsiye edebileceğimiz bir otel Costa Farilya ailesine çok teşekkür ederiz",10.0,"Posted September 10, 2025",,Stayed in September 2025,,,Couple,
Costa Farilya Special Class Hotel Bodrum,"Otelin temizliği, düzeni ve genel hijyen anlayışı bizleri son derece memnun etti. Özellikle sahil boyunca uzanan yürüyüş yolu, günün her saatinde huzur verici bir atmosfer sundu. Manzara eşliğinde yapılan yürüyüşler, konaklamamıza ayrı bir değer kattı. Sessiz, sakin ve düzenli ortamıyla tatilimizi hem dinlendirici hem de keyifli hale getiren bu otelde geçirdiğimiz vakitten büyük bir memnuniyet duyduk. Tüm bu özenli hizmet için teşekkür ederiz",10.0,"Posted September 6, 2025",,Stayed in September 2025,,,Couple,
Costa Farilya Special Class Hotel Bodrum,Prachtig hotel en geweldige ligging. Lieve mensen in de bediening. Je loopt ook heel mooi langs kust over de promenade.,10.0,"Posted September 3, 2025",,Stayed in September 2025,,,,
Costa Farilya Special Class Hotel Bodrum,Giriş saati 15:00 çıkış saati 11:00 ve eğer bir ya da iki günlüğüne gidiyorsanız giriş yaptığınız gün ve çıkacağınız gün hiçbir işe yaramıyor,6.0,"Posted September 26, 2025",,Stayed in September 2025,,,,
Costa Farilya Special Class Hotel Bodrum,"Старый, дешевый отель, не соответсвующий 5 звездам, максимум 4 звезды! Грязные, вонючие номера, с дешевой мебелью и отделкой! Не рекомендую",2.0,"Posted August 31, 2025",,Stayed in August 2025,,,Family,
Costa Farilya Special Class Hotel Bodrum,3 tane traş makinam bunların odalarında 'kayboldu'...... aman dikkat edin !!!!! Üzerine bir de beni polisle tehdit ediyorlar................................,2.0,"Posted August 14, 2025",,Stayed in August 2025,,,,
