otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Mivara Luxury Bodrum,From the begining till the end everything was perfect... All staff were kind. And the view of the room and hotel is amazing.,10.0,"Posted July 5, 2026",Türkiye (Turkey),Stayed in July 2026,1 Review,Gold,Couple,Premium Queen Room With Sea View
Mivara Luxury Bodrum,"This hotel clearly doesn't deserve its 5 stars. It's outdated, the service is very average, and I wouldn't recommend it considering the price. It's a shame.",4.0,"Posted July 13, 2026",France,Stayed in July 2026,5 Reviews,Platinum,Family,Room Deluxe King Land View
Mivara Luxury Bodrum,Selin and mehmet were great Hotel was nice,10.0,"Posted July 11, 2026",,Stayed in July 2026,,,Couple,
Mivara Luxury Bodrum,"We had such a great stay at Mivara Hotel! The location was perfect and close to everything, with absolutely beautiful views. The staff was incredibly friendly, welcoming, and helpful throughout our stay. We loved our time here and will definitely be back!",10.0,"Posted August 24, 2026",,Stayed in August 2026,,,,
Mivara Luxury Bodrum,Overall it was really good. Not far from Yalikavak Marina. The breakfast was also good and food was great. The beach and the sea fantastic. The only thing is we thought the hotel is adult only but it turned out kids were allowed also. But we are delighted with our experience!,8.0,"Posted August 21, 2026",,Stayed in August 2026,,,,
Mivara Luxury Bodrum,"We had a wonderful Time at this hotel. The staff were friendly and helpful. We had a beautiful suite with sun lounges on the balcony overlooking the ocean with magnificent views. The hotel is modern with all the necessary amenities. Breakfast is fresh and there is a good selection. The staff only wanted to help us and please. In afternoon , a DJ plays in the bar which creates a good vibe. There are decks built overlooking the water which have sun loungers ( be warned people keep them for hours on end without occupying them) . One can easily jump into the ocean or use steps provided to go for a swim in the clear ocean. Views are fantastic. The resort has water sports that one can book for a very costly fee. The concierge was wonderful and made some excellent restaurant recommendations and even booked us a beach club for the day which I would highly recommend. There are some lovely Restuarants 1.2 km away at the marina that serve wonderful fresh fish and meat. Some things I did notice which would make this hotel even better are: People tend to put their items down on the sun loungers very early and only arrive hours later and at times not at all, leaving those that genuinely want to sit on the loungers not able too do so. A policy of some sort should be implemented for this. It’s very unpleasant on holiday to worry about not getting a lounger. There was no information supplied about the hotel ( lots of QR codes for room service etc). No information supplied on any activities , which Restuarant’s they had and where. The hotel is priced in euros .and is expensive. Turkish Lira would be an advantage too. Most resorts have a happy hour or food and beverage special .There was no such thing at Mivara. Some background music whilst sitting on the loungers on the decks would be nice. Overall we had a wonderful stay and would definitely book again at Mivara.",10.0,"Posted August 13, 2026",,Stayed in August 2026,,,Couple,
Mivara Luxury Bodrum,"Great seafront luxury resort with its own private beach in Kucukbuk area in Gundogan, Bodrum. Rooms are spacious and clean, the staff is friendly and service is great. Special thanks to the guest relations supervisor Ms Selin and the reception supervisor Ms Dicle - they are very passionate and dedicated to their job.",10.0,"Posted August 10, 2026",,Stayed in August 2026,,,Traveling with friends,
Mivara Luxury Bodrum,"Amazing hotel, my trip was great with my friends and I had the best time ever, I would definitely recommend this hotel, the staff also very amazing!!!",10.0,"Posted July 11, 2026",,Stayed in July 2026,,,Traveling with friends,
Mivara Luxury Bodrum,Art spa is amazing! I come from London to have a Thai massage so relaxing. Would recommend to anyone visiting bodrum. Deren is so lovely thank you Art Spa,10.0,"Posted July 5, 2026",,Stayed in July 2026,,,,
Mivara Luxury Bodrum,From the begining till the wnd everything was so perfect... all staff were incredibly kind and helpful... the view of the hotel is a hidden gem...,10.0,"Posted July 4, 2026",,Stayed in July 2026,,,,
Mivara Luxury Bodrum,Thank you so much ceren being so pleasant and so kind. We had a wonderful end of our trip with this massage.,10.0,"Posted July 4, 2026",,Stayed in July 2026,,,,
Mivara Luxury Bodrum,"The massage was so perfect and relaxing and the service excellent, I recommended it's a really good experience",10.0,"Posted July 3, 2026",,Stayed in July 2026,,,,
Mivara Luxury Bodrum,"I had an amazing stay at this hotel and can’t recommend it enough! The service was exceptional from the moment we arrived. We were welcomed with a refreshing welcome drink, which made us feel special right away. The hotel is beautiful, the rooms were spotless, and the beach, sea, and sunbeds were absolutely amazing perfect for a relaxing holiday. A special thank you to Selin and Mehmet at the reception. They were incredibly kind, professional, and always made sure we had everything we needed. Their hospitality truly made our stay unforgettable. Everything exceeded our expectations, and I will definitely be coming back. Thank you for such a wonderful experience! Emily and lydia",10.0,"Posted June 29, 2026",,Stayed in June 2026,,,,
Mivara Luxury Bodrum,"Had the best stay at Mivara recently. The location and atmosphere were perfect for a relaxing, peaceful break. We were upgraded on arrival and the rooms were spotless. We had a great experience at the spa and water sports facilities - all staff were really attentive and friendly. Only a short cab ride away from the marina and other hotspots made it the perfect base to relax and explore Bodrum.",10.0,"Posted June 23, 2026",,Stayed in June 2026,,,,
Mivara Luxury Bodrum,"Our staying was amazing! Room with seaview, tasty breakfast and professional staff. Selin and Mehmet, were very kind and helpful.",10.0,"Posted June 21, 2026",,Stayed in June 2026,,,,
Mivara Luxury Bodrum,"This hotel was MAGICAL - the location, the views, the staff...all exceptional; customer service was off the charts and the amenities were numerous. CLEAN, CLEAN, CLEAN!!",10.0,"Posted June 15, 2026",,Stayed in June 2026,,,,
Mivara Luxury Bodrum,Truly relaxing experience. One of the best spas I’ve visited.,10.0,"Posted July 8, 2026",,Stayed in July 2026,,,,
Mivara Luxury Bodrum,"İt’s a luxury hotel,you have everthing in this hotel",10.0,"Posted June 27, 2026",,Stayed in June 2026,,,,
Mivara Luxury Bodrum,Beautiful sea voew. Very clean. Exceptional hospitality.,10.0,"Posted June 6, 2026",,Stayed in June 2026,,,,
Mivara Luxury Bodrum,"My husband and I have been fortunate to stay at several 5 star hotels and although this hotel had beautiful grounds they definitely fell short of a five star experience. While the property and rooms were spacious, clean, and had excellent views - basic amenities did not function as they should have. Our air conditioner kept malfunctioning and we had to call maintenance multiple times to address, but they did not provide a lasting solution for during our stay. The waterfall shower did not work, and one of the sink drain stoppers was broken as well. And the baby crib was VERY broken and hazardous and even though I reported this to them they did nothing to remedy it. They did not offer turn down service, and when they did clean the room they discarded our robes without replacing them. We were happy with the breakfast service but nothing blew our minds. And although they say they are an English speaking hotel, while the front desk was able to help us, the restaurant and security did not speak any English, and we encountered issues trying to enter the property many times due to the language barrier. We did not have a bad experience but we did not have a five star experience and do not plan to return on our next trip to Bodrum.",6.0,"Posted June 17, 2025",,Stayed in June 2025,,,Family,
