otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Titanic Luxury Collection Bodrum,"The main restaurant feels more like a canteen, although all the food is high-quality and delicious. A la carte restaurants are not free, 10-25 euros, and you need to book in advance. When the hotel is not fully booked (May 2026), the staff can't cope. You have to hunt for waiters. Dishes are almost never cleared. A la carte brings the main course first, then the salad, and only then the drinks 🤡 The main pool is not heated, the water is freezing, and no one swims. The clientele is 60% Turkish, 30% Russian, 10% other. Fresh juices are only available at breakfast; the rest of the time, they are very limited. Upon arrival, we were asked to check in at 2:30 PM, although check-in is at 2:00 PM. They didn't give us a beach bag; they said we were out of it. The shower has very good pressure ;) There are elevators and escalators. In terms of price/quality ratio, I would recommend He said it doesn't match, there's no luxury here, no atmosphere either, it's better to pay a little extra and go to the neighboring Lujo",6.5,"Posted April 30, 2026",Singapore,Stayed in April 2026,31 Reviews,Diamond,Traveling with friends,
Titanic Luxury Collection Bodrum,"The hotel's reception, cleanliness, service, food taste and variety are excellent. All alacart restaurants are satisfactory. We stayed at the hotel with two girlfriends. The only problem is that the entertainment in the evenings is weak. The events need to be more striking and entertainment activities for young customers need to be organized. We had stayed in the season before and we were a large group and had a lot of fun. We stayed between May 18-21. I don't know if that's why it happened, but the entertainment was weak.",10.0,"Posted May 21, 2025",Türkiye (Turkey),Stayed in May 2025,3 Reviews,Gold,Traveling with friends,
Titanic Luxury Collection Bodrum,Translate,10.0,"Posted August 12, 2026",Türkiye (Turkey),Stayed in August 2026,19 Reviews,,Family,Family Suite
Titanic Luxury Collection Bodrum,Everything was amazing. Best hotel,10.0,"Posted May 22, 2026",,Stayed in May 2026,,,,
Titanic Luxury Collection Bodrum,Everything in the Hotel was Excellent.,10.0,"Posted April 23, 2026",,Stayed in April 2026,,,Family,
Titanic Luxury Collection Bodrum,Food at the buffet is really good but at the restaurants can be better,10.0,"Posted August 7, 2025",,Stayed in August 2025,,,Family,
Titanic Luxury Collection Bodrum,"Liked: - sea view visible everywhere - sea is great - al carte restaurants were good. Disliked: - Major issue is about the staff. They quarrel in front of guests. They are not accessible for ordering. - Given a room that did not match our request (requested king bed but got 2 double beds, which were only able to fit 1 person for each) - Toilet was smelling bad and our room was positioned far from the activity areas. - Open buffet quality was bad and variety was limited.",6.0,"Posted June 10, 2025",,Stayed in June 2025,,,Couple,
Titanic Luxury Collection Bodrum,"Great staff and place to stay. We travelled with a toddler and though it had heap loads of activities to do which was great, some downfalls i wish i knew - baby / toddler food pouches always hidden in fridge and difficult to obtain - above food pouches not avalable in kids kitchen -95% of toys has no batteries - our room had no bathtub so was extremely dangrous to wash a toddler - the place is huge and got lost often in the first few days and couldnt find pushchair friendly routes so would have to use it on escalators or carry up the stairs Despite the above it was a great stay and the staff were 10/10, but above info may help those with little ones ahead of their stay",8.0,"Posted May 18, 2025",,Stayed in May 2025,,,Family,
Titanic Luxury Collection Bodrum,Excellent resort with great kids club and nightly entertainment,10.0,"Posted July 1, 2025",,Stayed in July 2025,,,Family,
Titanic Luxury Collection Bodrum,Amazing environment,10.0,"Posted April 21, 2026",,Stayed in April 2026,,,Family,
Titanic Luxury Collection Bodrum,It was our first taste of all inclusive holidays and was a fantastic experience. Although we have nothing to benchmark it against we found it very good and the kids club was fantastic. Only criticism is we were shocked to experience how cold the pools were and that they weren’t being used.,10.0,"Posted November 1, 2024",,Stayed in November 2024,,,Family,
Titanic Luxury Collection Bodrum,"We visited with our two children aged 2 and 8 months. We were delighted to see so many activities laid on by the kids club. The facilities for children were great. The entertainment was very good. The spa facilities were amazing, we managed to take advantage of the hammam and really I enjoyed it.",10.0,"Posted October 2, 2024",,Stayed in October 2024,,,,
Titanic Luxury Collection Bodrum,Amazing place with great spot by the river followed by great service and courteousness,10.0,"Posted October 24, 2024",,Stayed in October 2024,,,,
Titanic Luxury Collection Bodrum,It is not same level of service that we experienced last year. Staff has been significantly reduced and you need to wait for buggy for a long time. They cut back entertainment significantly. Food is still good. They also cut serving staff at Park fora restraunt and eliminated international food section. Kids club - absolutely no supervison kids do not want to stay. We paid double what we paid 2022 and get quarter what we used to get. Absolutely not going back.,6.0,"Posted July 8, 2024",,Stayed in July 2024,,,Family,
Titanic Luxury Collection Bodrum,Excellent visit. Wonderful staff and incredible hospitality. Restaurant choices spectacular and food was delicious!,10.0,"Posted July 16, 2024",,Stayed in July 2024,,,Family,
Titanic Luxury Collection Bodrum,"This was an amazing property, well kept and thought out with activities for everyone. The staff were very helpful especially Polina and Aruzhan. The hotel is a little far from some locations as its close to the airport but if you plan to mostly stay on the resort this is perfect and they arrange taxis easily. Would happily stay again",10.0,"Posted May 27, 2024",,Stayed in May 2024,,,Traveling with friends,
Titanic Luxury Collection Bodrum,"Excellent resort with a great range of activities for families including the amazing kids club and activities, beach, entertainment, indoor and outdoor pools. The food and service were great. The staff and guest assistants were amazing and extremely friendly. Thanks for a great stay - highly recommended!",10.0,"Posted June 6, 2024",,Stayed in June 2024,,,,
Titanic Luxury Collection Bodrum,There’s a lot to like about this resort but I think it’s over rated and over priced. Service isn’t 5 star and food is hit and miss. For what you’re paying you’d expect a lot better. Very commercial feel and not as focused on delivering and amazing experience. Could do a lot better.,6.0,"Posted May 16, 2024",,Stayed in May 2024,,,Family,
Titanic Luxury Collection Bodrum,Great experience,10.0,"Posted August 31, 2025",,Stayed in August 2025,,,,
Titanic Luxury Collection Bodrum,"We were traveling with another couple and our group like it a lot. The services that our guests assistants Polina and Arina were providing best service and assistance in what needed, it was more than excellent and all the staff working there was perfect. Really grate memories... Location like on the picture. We are planing to visit again by the end of the season and bringing another few couple's with us... Definitely would recommend to visit!!!",10.0,"Posted April 19, 2024",,Stayed in April 2024,,,Family,
Titanic Luxury Collection Bodrum,"Great hotel, excellent service!",10.0,"Posted November 3, 2024",,Stayed in November 2024,,,Family,
