otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Azure by Yelken Hotel,"Sadly, I must report that this establishment was terrible across the board. Both the customer service and cleanliness were extremely poor throughout.",4.5,"Posted August 29, 2025",Türkiye (Turkey),Stayed in August 2025,1 Review,Gold,Solo traveler,
Azure by Yelken Hotel,"Our stay at Azure by Yelken involved 5 adults and a 15-month-old child. Overall, the experience was mixed — the hotel has some very strong points, but unfortunately also several serious issues, mainly regarding cleanliness and room standards. Upon check-in, we were given rooms on the top (3rd) floor, and the condition of the rooms was honestly shocking. They appeared to still be under renovation rather than newly renovated. There was construction dust everywhere, styrofoam pieces on the floor, equipment wrapped in foil, and visible plaster and renovation residue throughout the rooms. The conditions were simply not suitable for guests to stay in. Although the rooms were recently renovated, the work was done very carelessly. Water leaked from the shower due to poor drainage and incorrectly installed shower screens. The hot water from the sink was brown. Ventilation systems were covered in thick dust, the air conditioning did not work, and the new TVs were not configured. There was initially no internet access, and even the refrigerators, telephones, and safes were not functioning until we complained directly to the hotel manager. We specifically chose this hotel because it advertised facilities for small children, yet there was no baby cot prepared despite our request. The cot was only delivered on the second day after asking approximately five times. The rooms were later cleaned, but unfortunately the cleaning quality was extremely poor — perhaps 2/10. It looked like only the middle of the room had been cleaned while the rest was ignored. Hallways throughout the hotel were also dirty, covered with plaster dust and renovation marks. Even after cleaning attempts, the dirt remained visible on floors and skirting boards. We had to ask for duvets, and after 2 days cleaning service brought two of them, new, packed in foil and toss it on the bed. Without bed linen. We had to ask about it the next day. Unacceptable in every other hotel we’ve been to. Honestly, this standard of cleanliness would be unacceptable in many European hotels. Poor cleanliness stayed the same through all our 10 day stay. On the second day of our stay, the ants invided our rooms. Cleaning staff didn’t do anything about it. Dead ants which we got rid off ourselves, stayed on the room floor til the 10th day. Unbelievable. On the positive side, the food in every restaurant was excellent. There was a wide variety of tasty meals and everyone could easily find something to enjoy. The alcohol served in the bars was original and high quality, and most cocktails were very good, although occasionally some drinks were poorly prepared and impossible to drink. On several occasions I had to ask for replacements. The hotel staff were one of the biggest positives of this stay — very helpful, polite, and professional, especially considering that most employees were very young. Restaurant service was outstanding, particularly waiter Kerem, who was exceptionally professional, cultured, and",6.0,"Posted May 18, 2026",,Stayed in May 2026,,,Family,
Azure by Yelken Hotel,"The staff was excellent, very understanding, nice, always with smile. The rooms were tidy, spacious and comfortable. Services were chef's kiss. The food was variable, fulfilling and delicious. Spa: We got a wonderful SPA Treatment as well! Tarzan was always upfront, nice and ready to help us all the time! Me and my daughters had great memories and friends! Thank you all! Highly Recommend the Turkish Bath and Massage treatments y'all! The pool was very clean.",10.0,"Posted June 30, 2026",,Stayed in June 2026,,,Family,
Azure by Yelken Hotel,"We were very pleased with the hotel.We came As a family and everthing was perfect.the service was execellent,especially the snack restauracja chef mr Çagri Çalli, who was very attentive and provided execellent service. He was professional,and we would Like to thank the manager Mr. Ali Bulut,and his team.We arę thinking od coming again because od this wonderful service.",10.0,"Posted May 12, 2026",,Stayed in May 2026,,,Family,
Azure by Yelken Hotel,"Amazing place! Rooms are very clean, staff is so friendly, Food & Service is excellent. Animation Team from Ibo is wonderful every day from the morning until the evening they have a program with sports, games, shows for kids and adults It is an amazing team. Half of september this year we will go back to this hotel as we liked it so much!",10.0,"Posted August 19, 2026",,Stayed in August 2026,,,,
Azure by Yelken Hotel,"We are truly enjoying the amazing service at this hotel. The entire team is dedicated and works nonstop. There is absolutely nothing missing — everything you could possibly want, from food and drinks to entertainment and relaxation, is right here. ️ A special thank you to Esra from the fish à la carte restaurant, who made our experience even more special. ❤️ Granada was simply perfect! The staff are incredibly friendly, helpful, attentive, and always smiling. It really feels like paradise here! ✨",10.0,"Posted August 8, 2026",,Stayed in August 2026,,,Traveling with friends,
Azure by Yelken Hotel,"We have just returned from this hotel as a family from the UK and can honestly say that this hotel can be improved in so many ways. The hotel itself is very much aimed at Turkish visitors, many staff do not speak a word of English or even understand it all making it near impossible to ask about simple things. Food in the buffet was the same every single day, no theme nights or cuisine change for 7 days straight which is very dissapointing for a 5 star hotel. I have been to dozens of all inclusive hotels in so many countries and pretty much all hotels have theme dinner nights. Nothing changed even after speaking to guest relations. No personal touches at all by management or staff, not 1 person asked how our stay was, not even when we checked out. I would not reccomend this hotel as a British family as we felt very isolated.",6.0,"Posted August 7, 2026",,Stayed in August 2026,,,,
Azure by Yelken Hotel,"hi everyone i prefered to this hotel it was amazing,everthing is great,special thanks for the guest relations see you again azure by yelken💗💗💗💗",10.0,"Posted July 29, 2026",,Stayed in July 2026,,,,
Azure by Yelken Hotel,"Lovely hotel with excellent quality of food and drinks (original brands) Nice pool, promenade and direct access to beach. Not overcrowded, beds always available, umbrellas available, free beach towels. Friendly staff without being pushy. Entertainment repeatable but sufficient for a 1 week stay",8.0,"Posted July 27, 2026",,Stayed in July 2026,,,,
Azure by Yelken Hotel,"A fantastic stay! We had a wonderful holiday at the hotel. The room was clean, the bed was comfortable, and the windows offered a beautiful view. The reception staff were incredibly friendly and helpful. The breakfasts were delicious, featuring fresh bread and a wide selection of dishes. Special thanks to Casmin, the bartender at the snack bar—he was always smiling, polite, kind, helpful, and multilingual, providing professional service. I highly recommend this place, and we will definitely be back!",10.0,"Posted July 15, 2026",,Stayed in July 2026,,,,
