otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Yasmin Bodrum Resort,V v nice,10.0,"Posted September 15, 2025",United States,Stayed in September 2025,4 Reviews,Diamond,Couple,
Yasmin Bodrum Resort,"Overall it went well, thank you",8.0,"Posted September 22, 2025",Türkiye (Turkey),Stayed in September 2025,24 Reviews,Diamond,Couple,
Yasmin Bodrum Resort,"The sea is magnificent. The food is very diverse but it was much better last year. The hotel is far from Bodrum center, it is a pain to go there by public transportation. It is recommended to go by car. Bakery products, breakfast variety and breads are quite successful. Desserts were very average.",8.0,"Posted October 31, 2024",Türkiye (Turkey),Stayed in August 2024,4 Reviews,Gold,Family,
Yasmin Bodrum Resort,"5/5spent a wonderful holiday with my daughter at Yasmin Bodrum Resort. The hotel is beautiful, with lots of greenery, spotless rooms, and delicious food. There were great animations and pool activities, as well as an amazing spa area. I highly recommend the hammam. The hotel staff was incredibly nice and friendly :) I wholeheartedly recommend this hotel!",10.0,"Posted June 30, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"The only real positives of this hotel are the beautiful views and the well-equipped gym. Unfortunately, everything else was a major disappointment and far below what you would expect from a 5-star hotel. Our room was located very high up in the resort, requiring us to climb countless stairs every time we wanted to get there. It honestly felt like climbing Montmartre several times a day. The hotel offers shuttle services, but with the resort being so overcrowded, finding an available one is almost impossible. The room itself is nowhere near 5-star standard. The materials and finishes feel cheap and low quality. For a hotel claiming to be 5-star, this is simply unacceptable. The restaurant is very poorly managed. The staff are clearly overwhelmed, and around 20–30 minutes before the end of the service, many dishes are no longer replenished. For example, arriving around 8:30 PM means you often have to eat whatever is left. The food itself is bland, repetitive and of disappointing quality. The sunbed situation is also ridiculous. Guests reserve sunbeds for hours without using them, while management does nothing to control the situation. Finding an available sunbed is almost impossible. What is perhaps most disappointing is seeing the hotel staff working under such obvious pressure, in extremely hot conditions and with an overwhelming workload. You can genuinely feel sorry for them. The problem does not seem to be the employees themselves, but rather the way the hotel is managed and the lack of resources provided to them. The attitude of some managers and reception staff is also far from what you would expect from a 5-star property: little warmth, little consideration and very little willingness to help. Apart from the view and the gym, this hotel was a huge disappointment. In my opinion, it does not deserve 5 stars —honestly, not even 4. We definitely will not be coming back.",2.0,"Posted August 9, 2026",,Stayed in August 2026,,,Family,
Yasmin Bodrum Resort,"We had a wonderful stay at Yasmin Bodrum Resort. The staff were friendly and helpful, the food was delicious with plenty of variety, and the sea views were absolutely stunning. Also, Elis was so friendly with us thank you so much for her We would definitely recommend this hotel to anyone looking for a relaxing holiday and would love to come back again.",10.0,"Posted August 1, 2026",,Stayed in August 2026,,,Family,
Yasmin Bodrum Resort,"Great stay with wonderful staff I recently stayed at Yasmin Bodrum Resort in room 2520, and overall, I had a very pleasant experience. The room was always spotless thanks to the housekeeping team. They were incredibly kind, polite, and professional every single day. I truly appreciated their hard work. The room also had a beautiful view, which made my stay even more enjoyable. The food was good overall. There was a decent variety, and while it wasn’t extraordinary, everyone could find something to enjoy. I would like to give a special thank you to Lunara and Tomris at the reception. They were always smiling, energetic, and genuinely helpful whenever I needed assistance. Their positive attitude and excellent customer service made a real difference during my stay, and they deserve recognition. The only area that I think could be improved is the swimming pools. They are quite small and limited in number for a resort of this size. Apart from that, everything else was great. Thank you to the entire Yasmin Bodrum Resort team for your hospitality and for making my holiday a memorable one. I would be happy to visit again in the future.",8.0,"Posted July 5, 2026",,Stayed in July 2026,,,Family,
Yasmin Bodrum Resort,"Overall experience is very mixed. We stayed there from 22nd to 30th of May. The view is great. Area is big and green. Some people from the staff are friendly and willing to help while others don't understand what is asked from them and just refusing to help, including management. Our first room had a lot of woodlice in there. They were coming from under the main door, through the holes in balcony door, even for some reasons falling from the curtains. Several of them were found in the bathroom and I believe they were coming via/on pipes as i could see the main water tap just outside of the door and it was covered by the wooden box giving free access to insects to get on the pipe. After several attempts from cleaning team to remove the insects, we were moved to the main building. Room we got was not next to the lobby bar but was close enough (6th room from it) to hear their noise all night long. All the glasses, bottles, trolleys going in the corridor. For some reasons staff was not closing the door to their extra room so we heard all that noise. Ventilation system in the bathroom was weak and nothing left in the bathroom would dry even over the night. We used our balcony for it. However water sprinklers were set so powerful that we got water on all our balcony and even up to the door to the room. I asked reception to turn these sprinklers off as we couldn't keep the balcony door open. The room looked nice, beds were good but I think having separated closets for each part of the room will be beneficial. Overall safety is fine however what was very concerning is that 2 out of 3 lifeguards that I saw at auqapark were not doing their job properly. One was just sitting there without paying much attention and when the water stopped several kids were on the top of the slides, while others were on the slide, trying to get down. Another lifeguard was sitting all the time in her phone without even lifting her head. For 45 minutes I was there she stood up for 3 min and then disappeared in her phone again. For the first breakfast it took us 10 minutes to find a table as all of them were taken. When outside terrace was open the same day for lunch, it was better. However in the second part of our stay, cues for food were so long that we ended up choosing food based on shortest cue. I don't know if hotel was fully booked at that period but in case it wasn't, then I don't want to know how eating experience will be when they are fully booked. If there were fully booked - it looks like hotel is not ready to handle full booking with amount of personnel and how stations are arranged in the buffet. Bar personnel is nice but it seems like they have a guidance to serve local alcohol and not original even if original is requested. Every single order I needed to say clear that it should not be the local brand. Food was the same the whole week we were staying there. We tried even their a-la carte restaurant. Be aware that you need to stand in the cue at 10.00 at guest rela",2.0,"Posted June 17, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"We stayed here in May 2026, We had a lovely holiday, but on booking didnt realise that some of the rooms were on a hill, we made this work for my nan who isnt the best of her feet anymore as they offer an amazing golf cart drop off and pick up. But if we were to return we would book the more costly rooms in the main building. Rooms were very clean, cleaners were brilliant cleaning each day! We loved laying on the beach and by the pool, we even used the free drop off to the market on saturday too. If we had more time we would of loved to of explored the area more! We loved all the puddings, and the snack bar during the day, however wasnt so keen on the choices of food in the main restaurant, brussel sprouts, carrot and chips arent for us at breakfast, but this is personal preference- however we did love the pastries. Staff are all super friendly, polite and helpful, I wish we could remember some of the names of the people who were always super helpful to me and my nan, as they made our stay even more easier. Getting our drinks and helping me to carry mine and my nans plates as my nan walks with a stick! I would rate this hotel a 5 stars as the food was lovely quality and it was just our personal preference.",10.0,"Posted June 7, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"I highly recommend this hotel. The staff were incredibly kind and friendly, the food was delicious, and the views were absolutely stunning. The heated pool was amazing and the water temperature was very pleasant. Everything was perfect — we truly enjoyed our stay and were sad to leave.",10.0,"Posted May 15, 2026",,Stayed in May 2026,,,Family,
Yasmin Bodrum Resort,"I spent four wonderful nights at this hotel, and it is truly one of the best places I’ve ever stayed. The room was clean, comfortable, and the beach view was absolutely beautiful. The hotel itself is beautiful, with excellent facilities including the gym, spa, indoor pool, and restaurants. Everything was perfect. I would especially like to thank Serkan for his warm welcome. He took the time to explain everything to us and made sure we felt comfortable from the very beginning. I highly recommend this hotel to anyone looking for an exceptional stay. I will definitely be back!",8.0,"Posted August 20, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"It was good vacation in this hotel! We really enjoyed with everything. With restaurants, drinks and entertainment team. Especially staff so good here, everyone try to do best. Thanks to Alexa and Zeynep this girls so kind and helpful. The environment and weather so good and comfortable also. Thanks so much, wish we will be here again",10.0,"Posted August 14, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"Abaolutely loved it. Amazing nature, mesmerizing sea water, great food, but most importantly unbelieveably welcoming and great staff: from the momwnt we entered the hotel we felt the warmth, and carebfor families, as our room was upgraded to a bigger one without any pay: as it was not our room was given to us clean and kneat, and during our whole stay it remained the same way, thanks to cleaning manager ESIN hanım and our lovely PINAR hanim. I will name some personel who took great care of us among many; Burak who helped us with tables at the majn restaurants, Yusuf who was amazing at Ela a la carte, Esma who was at several different bars who gained our kids' love in a heartbeat, Batuhan who was excellent at the bar, the entertainment team: to sum it up it all starts from the top, Fatih bey, the ceo at the moment, whom we could see at the different spots of the hotel daily checking on staff and talking to guests: Bravo and keep it up!!!",10.0,"Posted August 10, 2026",,Stayed in August 2026,,,Family,
Yasmin Bodrum Resort,"I would not recommend this hotel, especially not for a 5-star rating. The manager and reception staff were condescending, despite informing them that I’m six months pregnant and unable to walk uphill to reach my room, they refused to accommodate this and seemed indifferent to whether I cancelled my reservation altogether. The one time I contacted guest relations, to ask about the kids club schedule, they couldn’t even provide that information, I’m still not sure what purpose they serve. The food was by far the worst I’ve experienced at a 5-star hotel. I ended up eating plain white rice and raw vegetables like tomatoes just to get by. There was no variety, the same meals, starters, and desserts every single day. Despite having a sweet tooth, I couldn’t bring myself to eat a single dessert; they were that unappetizing. Service at the restaurants was equally disappointing. When servers were available, they were grumpy and unpleasant, not even acknowledging a simple thank you. Most of the time they were so overwhelmed that they didn’t clear the tables, we ended up doing it ourselves. The spa staff, on the other hand, were overly pushy, hounding us every time we walked by. On top of that, the internet was extremely poor, we had to pay €20 per person for 4G just to get a working connection. The TVs weren’t smart TVs, so we couldn’t watch Netflix, YouTube, or cast anything from our phones, and out of 100 channels, only one (France 24) was in French Overall, this stay fell far short of what I’d expect from a 5-star property. Between the lack of consideration for my pregnancy, the poor food quality, unhelpful and unpleasant staff, and inadequate amenities, I won’t be returning to this hotel. Update : Following our disappointment, they did offer us a dinner at an à la carte restaurant for our last evening, which was significantly better than the main restaurant. I appreciate the gesture.",2.0,"Posted August 9, 2026",,Stayed in August 2026,,,Family,
Yasmin Bodrum Resort,"Writing Yasmin Bodrum exceeded all my expectations and made my holiday truly unforgettable. From the moment I arrived, I was welcomed with genuine warmth and outstanding hospitality. The staff were always friendly, professional, and eager to help with every request, making me feel valued throughout my stay. The hotel itself is beautifully designed, with elegant architecture, spotless facilities, and breathtaking views of the sea. My room was spacious, modern, and exceptionally clean, offering everything needed for a comfortable and relaxing vacation. Housekeeping maintained the highest standards every day, ensuring that everything was fresh and perfectly organized. The food was another highlight of the experience. Every meal offered a wide variety of fresh, delicious, and beautifully prepared dishes. Whether it was breakfast, lunch, or dinner, there were plenty of options to suit every taste, including local specialties and international cuisine. The restaurants provided excellent service, and the quality of the ingredients was impressive. The swimming pools, private beach, and landscaped gardens created the perfect atmosphere for relaxation. There were plenty of activities during the day, while the evening entertainment was enjoyable and suitable for guests of all ages. The resort managed to combine a peaceful environment with a lively holiday atmosphere, making every day exciting and enjoyable. The location is fantastic, offering stunning sunsets and easy access to the beauty of the Bodrum Peninsula. Every detail at Yasmin Bodrum reflects care, quality, and a commitment to guest satisfaction. It is the perfect destination for families, couples, and anyone looking for a luxurious and relaxing seaside escape. I had an amazing experience and left with wonderful memories that I will always cherish. I highly recommend Yasmin Bodrum to anyone looking for exceptional service, beautiful surroundings, delicious food, and a truly memorable holiday. I will definitely return in the future and cannot wait to experience this wonderful resort again.",10.0,"Posted August 6, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"Everything is good in this hotel. Pretty views, delicious food especially dinner and la cart. We had fun with entertainment team, thanks a lot for Alena and Momo, they are so kind and funny. Advise to play to bingo! Room and house kipper is okey, kinda nice.",10.0,"Posted August 6, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"I had a wonderful stay at this hotel. The location was excellent, the rooms were clean and comfortable, and the food was very enjoyable. A special thanks to Ms. Zeyneb from the Guest Relations team for her kindness and helpful support. I truly enjoyed my stay and would gladly return.",10.0,"Posted August 4, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"Nice atmosphere, from start until end really great service and really nice staff. Our family enjoyed also enjoyed great dinner in Italian restaurant. Only downside is bad wifi in whole resort.",10.0,"Posted August 3, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"I really enjoyed my stay at this hotel. The location was perfect, making it easy to get around, and the food was fresh and delicious. The rooms were clean, comfortable, and well maintained, and the staff were always kind and welcoming. I would especially like to thank Ms. Zeyneb from the Guest Relations team for her kindness and helpful recommendations during my stay. Overall, it was a great experience, and I would be happy to stay here again in the future.",10.0,"Posted August 3, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"We were very pleased with our stay at the hotel. The cleanliness, quality of service, and the friendly, professional attitude of the staff made us feel comfortable throughout our holiday. As a small suggestion, we would like to mention that the main restaurant and the bar were quite crowded at certain times. However, this did not have a significant impact on our overall holiday experience. We would also like to express our special thanks to Zeyneb from the Guest Relations team. She was exceptionally kind, welcoming, and always willing to help. Her caring and professional approach made us feel truly valued and at home during our stay. Overall, we had a wonderful and memorable holiday, and we would be delighted to return to this hotel in the future.",10.0,"Posted August 3, 2026",,Stayed in August 2026,,,,
Yasmin Bodrum Resort,"To be honest, I really loved the hotel's location and the quality of its services. You can easily get wherever you want, and the food is absolutely delicious. At first, I was a bit worried about staying at this hotel, but once I arrived, my opinion completely changed. I was very impressed by the quality of the rooms and the attention and care shown to the guests. I would also like to thank Ms. Zeyneb from the Guest Relations team. She was extremely helpful in recommending places to visit and assisted me with everything I needed throughout my stay. Overall, I was very satisfied with every aspect of my experience, and I will definitely come back again next year.",10.0,"Posted August 2, 2026",,Stayed in August 2026,,,Solo traveler,
Yasmin Bodrum Resort,"We really enjoyed our stay at Yasmin Bodrum Resort. The hotel has a beautiful location, the staff were very kind, and everything was clean and well organized. We would happily visit again.",10.0,"Posted August 1, 2026",,Stayed in August 2026,,,Family,
Yasmin Bodrum Resort,"We had a wonderful stay at Yasmin Bodrum Resort! The hotel has a beautiful location with amazing sea views, clean rooms, delicious food, and a lovely beach. There was always something to do during the day, and the atmosphere around the resort was friendly and relaxing. The entertainment team really made our holiday special. They organized fun activities every day and great evening shows. A special thank you to the Slovak animators, especially Adrianna, who was always smiling, kind, and full of positive energy. She made everyone feel welcome and included. We also want to thank Alena from Russia, who was an amazing animator as well. She was friendly, enthusiastic, and always made the activities enjoyable. Both Adrianna and Alena helped create such a fun and memorable holiday experience. We would definitely recommend Yasmin Bodrum Resort to anyone looking for a relaxing vacation with great entertainment and hope to come back again!",10.0,"Posted August 1, 2026",,Stayed in August 2026,,,Couple,
Yasmin Bodrum Resort,"The food was very delicious, the employees were very caring and friendly, thank you to the Sultan A'la Carte team",10.0,"Posted July 30, 2026",,Stayed in July 2026,,,,
Yasmin Bodrum Resort,Very good restaurant. Delicious food and cozy atmosphere. Burgu is excellent! She is very kind and lovely,10.0,"Posted July 30, 2026",,Stayed in July 2026,,,,
Yasmin Bodrum Resort,"Location low, atmosphere never exist, rooms ok, value bad, cleanliness ok, noise level ok, service SOMTHING BAD (the reception is all you don’t whant!!!)",2.0,"Posted July 25, 2026",,Stayed in July 2026,,,,
Yasmin Bodrum Resort,"Yasmin is really good hotel. Our stay for a week-long holiday was met with our expectations that we had. Overall the location is acceptable. It took like an hour and something long ride from Milas Bodrum airport. The hotel is placed on something like a small ""peninsula"", there is basically just hotel beach around you. But there's nothing really interestin' in walking distance (as it is also under a hill). However, you can make up yourself a lift to near towns (Turgutreis and Bodrum) on the reception. Anyways, the views on opposite islands or just the sea was stunning - we had a sea-view room in main building and it completely met our expectations. WiFi worked on point, as it should baby. Basically everywhere from our room, over hallways, reception, pools to the beach and restaurant. Talking about the room - there wasn't anything wrong. It was cleaned everyday, the minibar was being filled everyday, AC was clean and working well. Maybe we would appreciate more spaces for smaller things - there are just two drawers in the bedside tables and nothing more, but it wasn't any big deal. Whole hotel was clean and without any bigger problem that would make our stay worse. Beach area is narrow, so you are pretty close to other people, but you can find more room (usually on the furthest left side, near the watersports). Anyways beach was clean, allways quiet and chill in the morning, in afternoon it was more noisy as there is a lot of families with kids or just loud guests, that are sleeping till noon :). Sea is clear, with few pebbles in first meters, then it is just sand and some seagrass deeper. Good for snorkeling, but nothing spectacular - it usually got more cloudy after noon. Bars around were totally okay, no long queues and lot of drinks or meal for noon. We weren't using the pools, so I can't review them fully, but they seemed okay with a lot of activities throughout the day. Restaurant was above average I guess, good choices of food for everyone. There are even special themed dinners (mexican, sea, asian...). In the evenings it was pretty crowded for dinner time, so I'd recommend to go there right at it's opening time or wait a little longer to go there. Staff seemed like they couldn't really handle it sometimes, as they couldn't keep up with so many people coming and leaving... But they made it everytime somehow. There was a lack of tabels for two people, so even there was just two of us, we had to sit at a table for 4-6 people usually, which didn't really help the situation. Breakfast and lunch times were without problems :). Food itself was nice, tasty and it did not repeat that much. Even tho, I don't know how they washed their dishes, but we had our dishes dirty so many times... You can look for a fully clean one, but it will take some time I guess. Staff was nice everyday and everywhere - reception, bars, animators... There are some activities throughout the day as volleyball, boccia, water polo, yoga... And every evening there is a p",8.0,"Posted July 18, 2026",,Stayed in July 2026,,,,
Yasmin Bodrum Resort,Its my first tíme here i like this hotel Ánd the activities are so good all team really good thanks to all animation teams,10.0,"Posted July 16, 2026",,Stayed in July 2026,,,,
Yasmin Bodrum Resort,"Our stay at Yasmin Bodrum Resort was absolutely amazing! From the moment we arrived, we felt welcomed by the warm and friendly staff, who were always smiling and ready to help. The hotel is located in a beautiful setting with breathtaking sea views and crystal-clear water. The rooms were spacious, clean, and comfortable, and housekeeping did an excellent job every day. The food exceeded our expectations. There was a huge variety of delicious dishes, fresh seafood, desserts, fruits, and local specialties. Every meal offered something new, and everything was prepared with great quality. The pools, beach, and hotel facilities were spotless and well maintained. There were plenty of activities throughout the day, and the evening entertainment was fun and enjoyable for both adults and children. What made our vacation truly special was the outstanding hospitality. Every member of the team worked hard to make sure guests had a wonderful experience. We had an unforgettable holiday and would definitely recommend Yasmin Bodrum Resort to anyone looking for a relaxing and enjoyable vacation. We can't wait to come back!",10.0,"Posted July 13, 2026",,Stayed in July 2026,,,,
Yasmin Bodrum Resort,"I had an amazing stay at Yasmin Bodrum Resort, and one of the main reasons was the outstanding Guest Relations team. A very special thank you to Kamila and Derin, who went above and beyond every single day to make every guest feel welcome, cared for, and valued. Their kindness, professionalism, genuine smiles, and attention to every detail made a real difference throughout my stay. No request was ever too much for them. They were always available, patient, and incredibly efficient, solving every situation with grace and making sure everyone felt at home. Their positive energy and dedication truly reflect the highest standards of hospitality. Kamila and Derin are a real asset to Yasmin Bodrum Resort. Their passion for their work shines through in everything they do, and they deserve the highest recognition for their exceptional service. Thank you both for making my holiday so special. I hope to return soon and see your wonderful smiles again. I highly recommend Yasmin Bodrum Resort, especially because of the fantastic Guest Relations team!",10.0,"Posted July 7, 2026",,Stayed in July 2026,,,Solo traveler,
Yasmin Bodrum Resort,"I am very satisfied with the reception staff named Serkan, he was very helpful and kind, he helped us and accommodated us during our hotel stays, he is a good worker.",10.0,"Posted June 29, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,We liked our stay here a lot. Very friendly staff. We liked a lot our waiter Recep Zerey.,10.0,"Posted July 26, 2026",,Stayed in July 2026,,,Family,
Yasmin Bodrum Resort,"There are animals leaving in the territory like cats. They seemed nice, but they enter restaurants even closed inside areas… a cat today scratched my mom and draw blood. Hotel did not offer any help, not even a normal excuse, only medical center helped with antiseptic. Doctor was not available, by phone advised to get a tetanus shot… if a cat is infectious nobody knows and they allow them to wonder around everywhere. Horrible",2.0,"Posted June 25, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"We had a wonderful stay at Yasmin Bodrum. The hotel is very clean, well-maintained, and has a relaxing atmosphere. The rooms and all public areas were spotless. A special thank you to Nelly for her attention, kindness, and beautiful smile. She always made guests feel welcome and brought positive energy every day. Her yoga classes were professional, enjoyable, and helped make our vacation even more relaxing. Thank you to the whole team for a great holiday. We would be happy to come back again! 🌸😊",10.0,"Posted June 25, 2026",,Stayed in June 2026,,,,
Yasmin Bodrum Resort,"So the hotel itself is beautiful... well kept and clean. however i feel is understaffed. the queues just to simply get a drink is ridiculous. theres only 1 barman on at a time and you could be waiting 20 minutes for a drink. The staff seem like they cant be bothered and they look miserable all the time. no table service for drinks while your eating. the hotel is mainly russians who dont seem to know how to queue, they push in and are so rude its unbelievable. had a few arguments while we was there. The hill to the family rooms is bad. so if your unfit in anyway goodluck. they do offer buggy service but sometimes can be waiting a while, especially if a Russian is in the queue. Food is very basic its the same thing everyday and luke warm, also not many things are labeled. coffee machines are always broke and out of order. you are constantly hassled for massage everyday. the ""live evening music"" is the same playlist of songs everynight. and only a couple in english. the entertainment shows are really good. however there the same every week so if your there more than 7 days its repetitive. the shops within the hotel are ridiculous. suncream is 45 euros!! a snorkel for the kids is 60 euros. and there nothing around the hotel so if you run out of anything it would be cheaper getting a taxi in to town. its beautiful and alot cheaper in turgutreis town.",4.0,"Posted June 15, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"Starting my vacation at Yasmin Resort with a massage at Mojo Spa was the best decision ever! It completely washed away all travel fatigue and set the perfect relaxing mood for the rest of the holiday. The staff was incredibly professional, and the experience was truly unforgettable. Highly recommend it to anyone staying here!",10.0,"Posted June 13, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"The entertainment team are the best! Especially momo, baris and jason!! The hotel is clean, the rooms are lovely and the food has been amazing! So much choice of drinks and lovely cocktails! We will definitely be coming back!",10.0,"Posted June 4, 2026",,Stayed in June 2026,,,,
Yasmin Bodrum Resort,"Was bad second times be there Wasnt nice at all deffinetly not going back again,foods very low qwality,same day eavery day,the bad thing no one speak english at all,and room very bad soecial bed old ,i give 3 stars,not 5 stars hotels,",6.0,"Posted June 4, 2026",,Stayed in June 2026,,,,
Yasmin Bodrum Resort,"We had a wonderful stay at the hotel! A special thanks to Nelya and Lada for their amazing work. They organized a variety of fun activities and events that made every day enjoyable and memorable. Their energy, friendliness, and enthusiasm created a fantastic atmosphere for all guests. Thank you for making our vacation so special!",10.0,"Posted June 2, 2026",,Stayed in June 2026,,,,
Yasmin Bodrum Resort,"We had a fabulous 10 night holiday as a family of 4, the hotel is lovely with gorgeous views. We stayed within the hotel and had a lovely view of the palms trees and sea. The room was comfortable and spacious. We had a few problems with the room at the start but these issues were quickly resolved. The resort is very picturesque. The beach is nice and we spent quite a lot of time at the activity pool which is heated. The relaxation pool is also nice and a bit quieter. We enjoyed the food and drinks served throughout our stay. Bar service was sometimes a bit slow and some cocktails questionable, but there's plenty of bars which is good The best thing -- the friendly people working at Yasmin! Guest Relations were going around checking on people's stays, asking for feedback, the 2 members we spoke to were nice. Mustafa and Baki from the Golden Eye excursion were brilliant! Nice men and friendly faces throughout our stay and we really enjoyed our day out on the boat trip, the staff on the boat were also very helpful and friendly. A fab day out! Mustafa will always be remembered by our kids. The 3 guys doing the resort photography were also always friendly, polite and chatty. We all had a brilliant time and a large part of that was also down to the fantastic Animation Team. Momo and Baris were so so good, our kids loved them. They are a credit to the resort, so helpful and kind. The Animation team is definitely the best team we've had so far on a family holiday. They really get to know you/always say hi. Bade, Habis and Cary were all super friendly and nice too. I'm sure there is someone within that team to ensure every guest has a fab time, even outside of ones we got to know. The Head of Animation was super friendly himself too. Early in the season, but the evening entertainment (generally dance themed) was always fun and impressive too! 10/10 and we'd definitely visit again.",10.0,"Posted June 1, 2026",,Stayed in June 2026,,,Family,
Yasmin Bodrum Resort,"We had a wonderful holiday at Yasmin Bodrum. The hotel is beautiful, clean, and the atmosphere is very friendly. The staff always made us feel welcome and comfortable. A special thank you to Nelly for her attention, kindness, and care. 🫶🫶🫶She is truly number one in this hotel! Nelly always has a smile, helps everyone, and creates a positive mood every day. Her yoga classes are excellent, professional, and enjoyable for all levels. Thanks to her, our vacation became even more relaxing and memorable. We are very happy with our stay and would love to come back again. Thank you, Yasmin Bodrum, for a great holiday!",10.0,"Posted May 31, 2026",,Stayed in May 2026,,,,
Yasmin Bodrum Resort,"Lovely stay at the hotel. The front of house team is great and really helpful - Kemal, Elvin and the rest of the team. I would also recommend the hotel Spa if you have back issues and need an effective massage. Roj was very good and even a few sessions make a difference.",10.0,"Posted May 30, 2026",,Stayed in May 2026,,,Family,
Yasmin Bodrum Resort,"Very nice location Lovely atmosphere Clean rooms Good food Staff friendlyy and make sure to do yoga with Nelly, it will boost your day!",10.0,"Posted May 30, 2026",,Stayed in May 2026,,,Traveling with friends,
Yasmin Bodrum Resort,"Location and the hotel is beautiful but needs major renovations in rooms. Food is pretty good and service is excellent. They overworked their employees, not enough staff at location. Property is beautiful with beach is amazing. They just need ASAP renovations in rooms. Rooms conditions are pretty bad, it’s not 5 star or even 4 stars. Room conditions are motel style. Since the beach was amazing and we were at the beach all day. It was worth it for me and hubby.",8.0,"Posted September 10, 2023",,Stayed in September 2023,,,Family,
Yasmin Bodrum Resort,"Temiz , çalışanlar ilgili",10.0,"Posted May 20, 2026",,Stayed in May 2026,,,Traveling with friends,
Yasmin Bodrum Resort,iyi seviyede bir konaklama oldu.,8.0,"Posted July 22, 2025",,Stayed in July 2025,,,,
Yasmin Bodrum Resort,Ne mérite pas les 5 étoiles.,8.0,"Posted September 16, 2024",,Stayed in September 2024,,,,
