otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Amfora Hotel,Eşim ve dostlarımla gerçekten çok keyifli bir tatil geçirdik gerek işletme olsun gerek konum olsun gerek yemekleri olsun çok keyifli tatil tadında tatil geçirdik,10.0,"Posted June 4, 2026",,Stayed in June 2026,,,Traveling with friends,
Amfora Hotel,Çok güzel samimi hizmet aldım. Yemekleri çok lezzetli odaları ferah denizi çok güzel görevliler çok iyi herkes güzel davrandı bana öneririm bu hoteli.,10.0,"Posted June 15, 2026",,Stayed in June 2026,,,Business traveler,
Amfora Hotel,Çok güzeldi personeller güler yüzlüydü ilk defa gittik odalar herşey süperdi herkese tavsiye ederim ..,10.0,"Posted June 15, 2026",,Stayed in June 2026,,,Family,
Amfora Hotel,Çalışanların ve işletmecilerin ilgisi güleryüzü için bile gelinir. Yemekler harika odalar tertemiz ve rahat. Gelmeyi düşünen herkes için tavsiye ediyorum,10.0,"Posted June 4, 2026",,Stayed in June 2026,,,Couple,
Amfora Hotel,Bunca yıl gidip gördüğüm konakladigim en berbat yerdi tavsiye etmiyorum.,2.0,"Posted August 7, 2026",,Stayed in August 2026,,,,
Amfora Hotel,"Igrenc rezil bir isletme. Ailemle bir haftalik tatil icin geldik paramizla rezil olup geri donduk. Ilk gunumuz temizlik yaparak gecti tuvaletten kan ve diski temizledik, dustan bir yumak sac cikti. Bunlari otel sahibi Erdal Bey’e ilettigimizde ise “Illa ki konusacaksiniz dimi” seklinde inanilmaz saygisiz bir tutumla karsilastik. Kahvalti cok sinirli, otel misafirine kizarmis ekmek dahi cikmazken otel sahipleri kallavi bir kahvalti edebiliyor gozumuzun onunde. Kisacasi otelcilikten, hijyenden, saygidan anlamayan bir cift insanin yonettigi bu otel demeye bin sahit yere adiminizi dahi atmayin. 3 yildizi nasil alabildigini anlamis degilim. Ikinci gecemizde kavga seslerine uyandik calisanlar icip icip taskinlik yapiyor. Resepsiyonist diye calistirdiklari kisi gozumuzun onunde adam dovdu Teksasa mi geldik tatile mi belli degil. GELMEYIN!",2.0,"Posted August 22, 2025",,Stayed in August 2025,,,Family,
Amfora Hotel,"konaklamamız çok güzeldi. Odalar temizdi, çalışanlar ilgiliydi. Genel olarak rahat ve keyifli bir tatil geçirdik..",10.0,"Posted December 12, 2025",,Stayed in December 2025,,,Family,
Amfora Hotel,"Итак наши впечатления от посещения отеля: пляж вся территория грязная в ошметках от старых матрасов, лежаки поломанные на 70%. Еда нормальная, цены на пляж относительно недорогие. Но сервис это что то ужасное, менеджер как ошпаренный бегал за нашими детьми и орал, что бы они не делали. То они громко играют в бассейне и мешают спать (!!!! Днем ) постояльцам, то они хватаются за перила для спуска в море, а перил тоже жалко …. Короче испортил нам всё настроение, уехали оттуда заплатив нехилый счет!!!!! Но блин, это пляжная территория, где нормально что дети играют … как счет платить, то мы замечательные люди, как дело касается детей, то они нелюди! Вот такая политика отеля! Больше ни ногой туда",2.0,"Posted August 22, 2025",,Stayed in August 2025,,,Family,
Amfora Hotel,Kanalizasyon sisteminde tıkanıklık vardı. Geçen geldiğimizde de sular çok tazyiksiz akıyordu. Bu tesisat problemi dışında konum itibarıyla mükemmel bir otel. Çalışanları kibar. Açık büfesi çok iyi.,8.0,"Posted September 3, 2025",,Stayed in September 2025,,,,
Amfora Hotel,"Tavsiye ederim. Kaliteli, fiyatı uygun, yemekler güzel. Personel ilgili ve çözüm odaklı.",10.0,"Posted August 11, 2024",,Stayed in August 2024,,,,
