otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Celeste Bella Luxury Hotel & Spa,"A cozy, new, intimate hotel with a large pool and Turkish breakfast. The rooms are spacious and clean, and the staff is friendly. There's even a Russian-speaking lady at the reception. The hotel's location is excellent for the beach (10-minute walk). A car (or taxi) is recommended if you want to get to Turgutreis (15 minutes), Bodrum (20-25 minutes), or Yalıkavak (20 minutes). Camel Beach is just 7 minutes away. I highly recommend it.",10.0,"Posted June 14, 2026",Russia,Stayed in June 2026,1 Review,Gold,Family,Standard Double Room
Celeste Bella Luxury Hotel & Spa,"I enjoyed swimming Beakfast not that good and need more variety such as pancake,beans and so on. Need to provide iron,tissue in the room Door of the room not sealed which make easy insects entry",5.5,"Posted June 25, 2026",Saudi Arabia,Stayed in June 2026,5 Reviews,Platinum,,Standard Double Room
Celeste Bella Luxury Hotel & Spa,"Fantastic hotel! I highly recommend. New hotel, great location. Pool, room - everything is modern. I want to go back.",10.0,"Posted July 9, 2025",Russia,Stayed in July 2025,28 Reviews,Diamond,Traveling with friends,Standard Double Room
Celeste Bella Luxury Hotel & Spa,"This experience booking [Hotel Name] through Ctrip was absolutely fantastic, deserving a full five-star review! First, the location is unbeatable. The hotel is right next to the subway station/near attractions, and within minutes' walk of [a certain shopping district/famous attraction], making it incredibly convenient for tourists. Second, the service was truly impressive. The receptionists, Mr. Wang and Ms. Li, were warm and attentive, and because we arrived early, they kindly prioritized our room assignment. During check-in, they provided detailed information about the hotel facilities and nearby restaurants, answering all our questions promptly. Most importantly, the room facilities were a pleasant surprise. It was exactly as pictured, very clean and tidy. The mattress was the perfect firmness, making for a comfortable sleep. The toiletries were of good quality, and the hot water flow was quick and consistent. Small details such as the [complimentary minibar, smart toilet, and large floor-to-ceiling windows] greatly enhanced the quality of our stay.",10.0,"Posted September 9, 2025",China,Stayed in July 2025,7 Reviews,,Couple,Standard Double Room
Celeste Bella Luxury Hotel & Spa,"Excellent apartments. Small but cozy area. Gorgeous pool. Not far from the street where the nightlife is. Great room. There are small nuances, like a hook for towels in the bathroom, but these are all trifles when you come with a positive attitude on vacation But there is one problem. When checking in, there was no one at the reception. I had to go to another place and register. Although the website warned that late check-in",9.0,"Posted September 17, 2024",Russia,Stayed in September 2024,1 Review,Platinum,Couple,
Celeste Bella Luxury Hotel & Spa,"The road is a bit wrong, it's a bit tiring with a minibus without a car, but the inside is heaven, the breakfast is wonderful, the employees are very sweet, we loved it, I will definitely come here again when I come by car.",8.5,"Posted May 25, 2024",Türkiye (Turkey),Stayed in May 2024,3 Reviews,Gold,Traveling with friends,
Celeste Bella Luxury Hotel & Spa,"The facility is new, I think the rooms are clean, nice price performance is good, maybe because the number of staff is low and the number of guests is low.",7.0,"Posted June 28, 2024",Türkiye (Turkey),Stayed in June 2024,1 Review,Gold,Solo traveler,
Celeste Bella Luxury Hotel & Spa,"Not 5 Stars, i would just Give 3 the spa is closed in 2025 they said… I would not recommended it again breakfast was ok Not Really Fresh, Service was also just ok Just the Location to Bus Station and Beach is nice and there is a süpermarket 1km from Hotel",4.0,"Posted August 21, 2025",,Stayed in August 2025,,,,
Celeste Bella Luxury Hotel & Spa,"Will definitely go back. Super nice, clean, charming hotel with friendly staff and good food. Rooms are large and the pool is great. Will definitely go back.",10.0,"Posted July 26, 2025",,Stayed in July 2025,,,,
Celeste Bella Luxury Hotel & Spa,"Hotel isn’t horrible but I wouldnt stay again, wifi didn’t work the entire week, they did nothing to accommodate or update guests. They messed up my bill and after my trip invoiced me for things they missed. Chased me over €30 euros. Breakfast was limited, set menu with little choice, and charge you extra and extra egg.",4.0,"Posted September 11, 2024",,Stayed in September 2024,,,,
Celeste Bella Luxury Hotel & Spa,"Had high expectations coming to this place but it just was the biggest disappointment. First off, the location is so far away from the main attractions with only a very crowded beach nearby and nearly no options to eat. WiFi was not working and they had no ETA of when it will be fixed so for an international traveler even with the roaming services, this was very inconvenient. Breakfast was supposed to be a free buffet style and open at 8. However, we walk in at 8:05 because we were traveling and rushing to get a quick bite before hitting the road and they had just started to open doors. We were told to come back in 25 min. Breakfast was not even a buffet, you just sit and they serve you a cheese plate and a jam plate and take your egg order which again takes forever to arrive (1 egg per person as I initially asked for 2 and they said you are allowed only 1 WHAT?!). Staff is not professional and so not trained. We patiently waited for our drinks that never arrived so had asked the server after we were almost done with breakfast and he said he forgot… Terrible experience all around.",2.0,"Posted August 27, 2024",,Stayed in August 2024,,,Family,
Celeste Bella Luxury Hotel & Spa,"Gorgeous hotel, modern, small and private . Comfortable rooms, beautiful pool side set up for breakfast or just drinks by the pool. Pool itself was amazing. Attached to a fantastic spa . I had a deep tissue massage treatment i recommend highly.",10.0,"Posted August 22, 2024",,Stayed in August 2024,,,Couple,
Celeste Bella Luxury Hotel & Spa,The pool was nice,4.0,"Posted August 1, 2025",,Stayed in August 2025,,,,
Celeste Bella Luxury Hotel & Spa,Modern bathroom and room. The room was spotless . So nice with a welcome fruit plate and lots of water. The pool was huge and very nice. Breakfast was simple but plentiful. Very nice people!,10.0,"Posted September 9, 2023",,Stayed in September 2023,,,Couple,
Celeste Bella Luxury Hotel & Spa,New properties excellent staff,10.0,"Posted May 27, 2024",,Stayed in May 2024,,,Family,
Celeste Bella Luxury Hotel & Spa,Veiw Excellent veiw,10.0,"Posted May 27, 2024",,Stayed in May 2024,,,,
Celeste Bella Luxury Hotel & Spa,Tavsiye etmiyorum ortalamanin altinda Odal temiz havuz ve ortam guzel ancak Kahvalti cok kotuydu ozensiz ve ilgisizdi Calisanlar hic profesyonel degil kahvalti yaparken herkesin onunden cop posetleri ellerinde yanimizdan geciyorlar Havuz basinda calinan muzikler cok kotu sanki 2016 geri gitmis gibi olduk Farkli bir muzik calmalarini rica ettik ancak “Size kalsa biz cehennemlik olucaz” diye bize cevap verdiler Odamizda herhangi bir sorun yasamadik Ancak kadro calisanlar ve oda kahvalti gercekten hayal kirikligi tavsiye etmiyorum,4.0,"Posted July 27, 2025",,Stayed in July 2025,,,,
Celeste Bella Luxury Hotel & Spa,"Oda, havuz ve otel güzeldi ancak kokteyller ve yemek servisi pek iyi değildi.",6.0,"Posted July 20, 2025",,Stayed in July 2025,,,,
Celeste Bella Luxury Hotel & Spa,her şey düzenli ve rahattı,8.0,"Posted October 27, 2025",,Stayed in October 2025,,,,
Celeste Bella Luxury Hotel & Spa,"Très très mauvaise expérience ! Un séjour à oublier... que nous avons dû écourter ! En lisant les avis, nous étions confiants dans notre choix de cet hôtel, mais malheureusement, l'expérience a été très décevante. Dès notre arrivée, nous avons été placés dans une chambre avec vue... sur des buissons ! Pourtant, notre réservation mentionnait une chambre avec jardin et vue sur la piscine. Lorsque nous avons demandé à changer de chambre, notre requête a été refusée ! L'hôtel a prétendu ne pas être responsable des annonces et nous a demandé d'attendre le lendemain pour un éventuel changement. Le petit déjeuner laissait à désirer.. Lors de notre deuxième jour, nous avons dû patienter 25 minutes pour être servis, et obtenir un repas complet. Les assiettes arrivaient au compte-gouttes, il a fallu qu’on relance 2 fois pour avoir du thé, le pain afin de commencer notre déjeuner. Quant au SPA, chaque fois que nous nous y rendions, surprise ! Il était fermé. Nous l'avons signalé à la réception à plusieurs reprises, mais on nous a simplement répondu qu'ils ne pouvaient rien faire et qu'il fallait attendre le retour de la personne responsable (en balade en ville). En résumé, cet hôtel soi-disant de luxe déçoit grandement. Mis à part la beauté des chambres, le service laisse à désirer, le personnel est loin d'être serviable et aimable, parfois même arrogant. Nous avions l'impression de les déranger à chaque demande qui n’était pas honoré. Nous avons dû écourté notre séjour et partir dans un autre hôtel. Une honte !",2.0,"Posted August 15, 2024",,Stayed in August 2024,,,,
Celeste Bella Luxury Hotel & Spa,"Wir haben kürzlich in diesem Hotel übernachtet und leider war unser Aufenthalt weniger zufriedenstellend, insbesondere im Bereich des Frühstücks und des Service. Obwohl wir schon mehrfach hier waren, mussten wir feststellen, dass die Qualität in diesen Bereichen deutlich nachgelassen hat. Das Frühstück war sehr begrenzt und bot kaum Auswahl. Wer Wert auf ein umfangreiches Frühstück legt, könnte hier enttäuscht werden. Darüber hinaus war der Service sehr langsam. Es dauerte oft lange, bis Bestellungen an den Tisch gebracht wurden, und auf Nachfragen wurde nicht immer prompt reagiert. Ein weiterer Punkt, der uns störte, war das wiederholte Hervorheben von kostenpflichtigen Bestellungen. Jedes Mal, wenn wir etwas zusätzlich bestellten, wurden wir gebeten, eine Unterschrift zu leisten, was den Eindruck erweckte, dass mehr Wert auf zusätzliche Einnahmen als auf den Komfort der Gäste gelegt wird.",6.0,"Posted August 18, 2024",,Stayed in August 2024,,,Family,
Celeste Bella Luxury Hotel & Spa,Tavsiye ediyorum Onceki yilda tercih ettigimiz bir yerdi. Kahvaltiyi bu yil daha guzel yapmislar. Gecen yil bu konuda elestirmistim. Onun disin da cok konforlu ve guzel bir otel. Onumuzdeki yilda tercih edecegim. Herkese tavsiye ederim.,10.0,"Posted September 13, 2025",,Stayed in September 2025,,,,
Celeste Bella Luxury Hotel & Spa,Tavsiye ederim 3 yildir bu otelde kaliyorum yine tercih edecegim. Cok temiz kulanisli. Gecen yila gore kahvaltisi daha guzel olmus.,10.0,"Posted September 13, 2025",,Stayed in September 2025,,,,
