otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Khai Hotel Bodrum,"Lovely hotel,very nice services and friendly staffs",10.0,"Posted May 18, 2024",United Kingdom,Stayed in May 2024,5 Reviews,Platinum,Couple,
Khai Hotel Bodrum,Average hotel. Room was small. Staff do not speak english . Garden / grass not well maintained. Iron we borrowed was rusty and left marks on clothing. Pool area and beach area are small - not many beach chairs available. Cigarette butts on the sand. Prices are high at bar.,6.0,"Posted October 13, 2025",,Stayed in October 2025,,,Couple,
Khai Hotel Bodrum,"Average Hotel with Poor Service and Shabby Rooms As a family of four, including two young children, we stayed at KHAI Hotel based on a recommendation. Unfortunately, the experience was disappointing. The room felt shabby, with a broken cupboard that had nails sticking out and what appeared to be black mould in the bathroom, alongside visible dust. I raised these issues with staff, but nothing was resolved. I was particularly concerned about the exposed nails with young children in the room and ended up blocking access using the cot bed. The restaurant food was quite good, although breakfast was only average and often didn’t seem very fresh. Service throughout our stay was poor — we frequently had to ask for items two or three times, and often just handled things ourselves, such as fetching a highchair or bottles of water. For the price, both the rooms and service were below expectations. I would not recommend staying here for families.",6.0,"Posted September 29, 2025",,Stayed in September 2025,,,,
Khai Hotel Bodrum,"Wonderful hotel Sea view room, private beach area, wonderful breakfast, very clean",10.0,"Posted September 14, 2025",,Stayed in September 2025,,,,
Khai Hotel Bodrum,"Khai Bodrum Keyifli bir kaç gün geçirdik. Denize yakınlığı, yemekler, kahvaltı çok güzeldi. Çalışanlar tatlı insanlar. Servis biraz yavaş, plajda yer bulmak zor ve akşam restaurant için toplanıyor.",8.0,"Posted July 23, 2025",,Stayed in July 2025,,,,
Khai Hotel Bodrum,Great hotel Nice hotel in front of the sea. Very good location. Staff are friendly and helpful. If you don’t like driving to Bodrum centre easy way to use mini buses nearby. Takes 30 minutes to centre and cost 60 Turkish liras (one way),10.0,"Posted July 20, 2025",,Stayed in July 2025,,,,
Khai Hotel Bodrum,"The property makes the best of its structure. Compared to similar hotels in the area it is cleaner, with better service. The food was the highlight as it was way ahead of its competition in the area.",10.0,"Posted April 24, 2025",,Stayed in April 2025,,,,
Khai Hotel Bodrum,everything was amazing. highly recommended,10.0,"Posted October 5, 2025",,Stayed in October 2025,,,Family,
Khai Hotel Bodrum,Best hotel ever. Great staff.,10.0,"Posted September 7, 2025",,Stayed in September 2025,,,,
Khai Hotel Bodrum,"Ortakent yahşi çok sevdik. Khai otel süper, çok memnun kaldık. Çalışanlar saygılı ilgili güleryüzlü. Tesis ortam ambiyans cok iyi. Deniz çok güzel. Fiyat performans oldukça iyi . Konum çok iyi. Her yıl gidilir.",10.0,"Posted September 2, 2024",,Stayed in September 2024,,,,
