otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Petunya Beach Resort,A wonderful holiday to spend with the family,8.0,"Posted August 4, 2024",Türkiye (Turkey),Stayed in July 2024,2 Reviews,Gold,Family,
Petunya Beach Resort,"Harika konum, muhteşem tatil imkanı",9.5,"Posted August 11, 2024",Türkiye (Turkey),Stayed in August 2024,1 Review,Gold,Couple,
Petunya Beach Resort,"Petunia Beach is a small but very cozy hotel with delicious cuisine, friendly staff, and crystal-clear water. The Greek island of Kos is nearby; ferry tickets can be purchased to the left of the hotel for 40 euros, or 45 euros if purchased in Bodrum itself. I thoroughly enjoyed my vacation!",10.0,"Posted June 2, 2026",,Stayed in June 2026,,,Family,
Petunya Beach Resort,Thank you Petunya family for a lovely surprise on my birthday.,6.0,"Posted June 16, 2026",,Stayed in June 2026,,,Couple,
Petunya Beach Resort,"No complaints about this resort.. Staff helpful and friendly. Clean room , decent food everything you need for a holiday by the beach . What you see is what you get",8.0,"Posted August 25, 2026",,Stayed in August 2026,,,,
Petunya Beach Resort,"Everything was wonderful, we are so happy to be back, it was worth every penny. Everyone was so friendly and helped us with our problems. Benisa had a great rapport with the children and constantly organized activities for them. Kubra and Berk did a fantastic job; thanks to them, we were never bored. And let's not forget Selvinaz from guest relations, she helped us with all our problems. Thank you all so much!",10.0,"Posted August 20, 2026",,Stayed in August 2026,,,,
Petunya Beach Resort,"We had a wonderful holiday at the hotel. Our rooms were meticulously cleaned every day. We would like to thank the housekeeping team for their friendly smiles and hard work. Ms. Güler (the Guest Relations Manager) and Ms. Selvinaz took great care of us throughout our stay and assisted us with everything. Ömer and Büşra from the reception team were also very attentive and solution-oriented. The energy of the animation team—Kübra, Berk, and Benisa—and the fun activities they organized added a special touch to our holiday; we thank everyone involved. This wasn't our first visit, and we would certainly choose this place again.",10.0,"Posted August 18, 2026",,Stayed in August 2026,,,,
Petunya Beach Resort,"We loved everything; the staff were incredibly friendly and delightful. The animation team was great fun—you can confidently entrust your children to Ms. Benisa, who looks after the kids; also, Kubra and Berk took great care of us, and we had a wonderful time. And before I forget, a special thank you to Ms. Selvinaz from Guest Relations.",10.0,"Posted August 17, 2026",,Stayed in August 2026,,,,
Petunya Beach Resort,"The hotel is nice, and the food is delicious. The sea is beautiful and clean. We would like to thank Ms. Güler and Selvinaz for their attentiveness, and Kübra, Benisa, and Berke for the activities.",10.0,"Posted August 17, 2026",,Stayed in August 2026,,,,
Petunya Beach Resort,"We returned from this holiday yesterday and we are missing it already! I travelled with my son and we had a lovely time. The rooms were on the smaller side but clean and air con was great. They were cleaned daily if you pressed the button to request it. Both pools were well maintained and clean. If you want to get one of the best sunloungers you have to get there by 6.30, but other ones are available during the day. The beach is very busy but the sea is lovely and clean. There are some dogs and cats that wander the beach road and cats at the resort. This was a plus for us! All the animals are very well behaved and dont bother guests. The sea is pebbley at points but fine with the right shoes. The restaurant had a great selection of food. If you are from the UK and expecting all English food you will.be disappointed but if you are looking to try a variety of food it is great. Always fresh salad and a variety of hot dishes different every day. We are vegetarian but there looked to be a good selection of meat and fish. You can sit inside or by the pool or on the roof terrace. We only had one day where we had to wait a minute for a table all week. Staff work very hard to clear tables. Drinks are available at the pool bar and beach bar. There is often a short queue but the friendly staff are wonderful and help as quickly as they can. They serve branded soft drinks, beer and a good selection of cocktails and mocktails. Entertainment wise, there is darts in the morning and then water polo or volley ball in the afternoon. In the evening there was a mini disco for the kids then either outside Entertainment (we saw an acrobatic act and a dance act) or karaoke done by the entertainment team. A big shout out to Berk from the entertainment team- he really made our holiday! He was very kind and always made sure my son felt included and had fun at all the activities. Because of him and the work of all the other great staff a good holiday became truly unforgettable!",10.0,"Posted August 15, 2026",,Stayed in August 2026,,,,
