otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Regia Mare Beach Hotel Bodrum,"Beautiful location by the beach. Excellent service, a friendly employee even carried my suitcase up to my room which I didn’t expect at the price. The room was freshly renovated and with all the amenities required for a short stay. I left fully satisfied!",10.0,"Posted June 21, 2025",France,Stayed in May 2025,16 Reviews,Diamond,Traveling with friends,Superior Double Room
Regia Mare Beach Hotel Bodrum,"We visited during off season and Ramadan and it was the perfect quiet getaway. The staff was so kind and helpful, the room was comfortable and spacious and the beach loungers were comfortable, with towels provided and food service while you enjoy the calm sea waters. They played calm relaxing music and their breakfast was delicious. Highly recommend! Their spa and gym looked very nice, and their pool has a great ambiance too! Parking available on site was a hit. A short drive into the nearby town offered many cafe and restaurant options as well.",10.0,"Posted March 24, 2026",,Stayed in March 2026,,,,
Regia Mare Beach Hotel Bodrum,"Excellent welcoming great hotel we love it here. very clean local. Thank you, everyone, but Thank you melisa x you are great.",10.0,"Posted January 5, 2026",,Stayed in January 2026,,,Couple,
Regia Mare Beach Hotel Bodrum,Very relaxing env breakfast was great,8.0,"Posted April 27, 2026",,Stayed in April 2026,,,Couple,
Regia Mare Beach Hotel Bodrum,tavsiye edilir Otel tavsiye edilir. Odalar güzel ve cok temiz. Denizde iyi. Seyzlonglar daha kaliteli olabilirdi. Kahvaltı iyi. Otelin tek eksiği personeli.,10.0,"Posted June 13, 2025",,Stayed in June 2025,,,,
Regia Mare Beach Hotel Bodrum,"Excellent welcoming. Great food professional waitress excellent petite hotel, very clean rooms. we really enjoyed our week holiday. I felt like we are home. Special thank you for melisa And yagmur taking care of us see you very soon.",10.0,"Posted June 1, 2025",,Stayed in June 2025,,,Family,
Regia Mare Beach Hotel Bodrum,"Excellent customer service, very clean amazing beach relaxing Holiday I'll be back soon thank you",10.0,"Posted February 21, 2025",,Stayed in February 2025,,,Couple,
Regia Mare Beach Hotel Bodrum,We are very pleased with the accommodation’s location as we needed to be in a quiet and accessible place. The staff are very helpful and kind. The food is delicious. The breakfast is the best we have ever had in a hotel across quite a few European destinations we had been in recent years. Thank you.,10.0,"Posted January 15, 2025",,Stayed in January 2025,,,,
Regia Mare Beach Hotel Bodrum,"Great place to spend a week of holidays. Safe and quiet off peak, perfect for a peaceful time.",10.0,"Posted November 10, 2024",,Stayed in November 2024,,,Couple,
Regia Mare Beach Hotel Bodrum,Peaceful great place to be. Loved it here. Very helpfull staff.,10.0,"Posted February 17, 2025",,Stayed in February 2025,,,Couple,
Regia Mare Beach Hotel Bodrum,Entrance small Not convenient,6.0,"Posted March 31, 2025",,Stayed in March 2025,,,,
Regia Mare Beach Hotel Bodrum,"A gem of a hotel. As a frequent visitor to the area I am so glad to have found the Regia Mare! It is a really pretty spacious hotel with beautiful planting and gardens, and is in a fantastic location. The hotel is modern with fantastic facilities such as the pool, gym and spa and sea front location next to popular restaurants and beach bars. The staff team are really lovely and all very professional. They work hard to look after guests and keep the hotel and areas clean and tidy. The food is also very good. I was spoilt for choice at breakfast and all meals were delicious. They also make great coffees! I look forward to visiting again. Thank you to all the team at Regia Mare.",10.0,"Posted July 1, 2024",,Stayed in July 2024,,,,
Regia Mare Beach Hotel Bodrum,Long check in Took to long checking in 45 mins waiting in heat ?????,6.0,"Posted June 25, 2024",,Stayed in June 2024,,,,
Regia Mare Beach Hotel Bodrum,"The hotel rooms were modern and well equiped with tea, coffee, etc. The beach is walking distance from the hotel and the restaurant is right on the beach. The walkway to our room had a bad odour. We are unsure if it was due to the rain or if it a was sewerage issue. It was fine once we were in the room. The breakfast was amazing. They prepare food for your table individually and serve it to you. There is so much food to choose from, it is amazing. All fresh and hot.",8.0,"Posted December 11, 2023",,Stayed in December 2023,,,Couple,
Regia Mare Beach Hotel Bodrum,"everything was perfect, specially breakfast omg",10.0,"Posted May 13, 2024",,Stayed in May 2024,,,Couple,
Regia Mare Beach Hotel Bodrum,"Booooodrum! This was our spoil of the trip. Right on the beach. It is more resort as things are a drive away, however, it is a lovely get away!",10.0,"Posted October 20, 2023",,Stayed in October 2023,,,,
Regia Mare Beach Hotel Bodrum,"Fantastic stay, fab food, gorgeous beach I would highly recommend a stay at this hotel. The staff are friendly and helpful. My room was clean, neat, and comfortable. My friends and I spent our days on the beach - the sea water was the perfect temperature - or by the pool. The food is fantastic, tasty and flavorful. I particularly enjoyed the truffle lunguine and the chocolate brownie. The only downside is the loud music from the beach club next door. There was a band two out of the five nights we stayed there and the music was overwhelming.",10.0,"Posted November 5, 2023",,Stayed in November 2023,,,,
Regia Mare Beach Hotel Bodrum,"Not worthy of its high rating. Really don’t see how it’s ever rated this high. Very small and tightly packed beach, extremely slow service. Staff is not cooperative. The location is not walking distance of anything. Have to either rent a car or taxi. The only decent thing is the room. I wouldn’t recommend this hotel to my friends or family and definitely would not go back.",4.0,"Posted September 8, 2023",,Stayed in September 2023,,,Couple,
Regia Mare Beach Hotel Bodrum,"Best place in Bodrum Stunning! Amazing location, perfect beach, service and the food was delicious. Servixes were fantastic and the price very nice too. Can’t wait to go back!",10.0,"Posted September 28, 2023",,Stayed in September 2023,,,,
Regia Mare Beach Hotel Bodrum,"Decent, clean option with good food in Ortakent The hotel is pretty good for the money. The rooms are minimal and very clean, the a/c works well, and the staff tries to be responsive. The breakfasts are quite delicious. There were two odd things- one is they were reluctant to give more than one key per room so we struggled to gain access if someone was sleeping. Second is that they forced people out of the pool before 8 pm which seems unnecessary (can understand wanting more quiet or less music). I would also encourage the staff to share more information about how to access the Ortakent boardwalk and shops— directions were vague and making information clear would be helpful for tourists who don’t want to just sit at the resort every day. There is a windsurf/SUP/hobie rental next door which was lovely. Also a small gym or space for exercise with a/c would be terrific!",8.0,"Posted August 28, 2023",,Stayed in August 2023,,,,
Regia Mare Beach Hotel Bodrum,"Çalışanlar çok iyi,temizlik güzel ama otel yanlış olmuş pansiyon olması gerekirdi.İstedikleri ve ödediğim paraya göre yer değil.Arıtmanın yanında oda,bahçe manzaralı dedikleri verdikleri oda inşaat manzaralı.Kapılar dökülüyor.Parasını peşin ödememiş olsam kapıdan dönerdim.Çalışanların hatırına iş yapıyor.",4.0,"Posted October 12, 2025",,Stayed in October 2025,,,Business traveler,
Regia Mare Beach Hotel Bodrum,"Yine görüşmek üzere Regia Mare Personel son derece ilgili, tesis gayet güzel, düzenli ve konforlu, sadece kahvaltı kısmında bir gün kediler masalara atlayarak rahatsız etti, o sabah beslenmemişlerdi diye düşündüm bu ufak aksaklık sadece bir sabah yaşandı. Deniz çok temiz plaj-şezlong oldukça yeterliydi. Spa masaj deneyimide güzeldi. Tekrar tercih edeceğim bir yer diyebilirim",10.0,"Posted July 4, 2025",,Stayed in July 2025,,,,
Regia Mare Beach Hotel Bodrum,"Bodrum un kalabalığından azade, oldukça güzel bir konumda. Resepsiyon çok kibar. Sezon yeni başladığı için ufak tefek eksiklikler çok normal. ( yemek çeşitliliği ) Biz beğendik. Tekrar geleceğimiz listemizde ön sıralarda. Otel yönetimine teşekkürler 🙏",10.0,"Posted June 11, 2025",,Stayed in June 2025,,,,
Regia Mare Beach Hotel Bodrum,Godt ophold Rigtig hjælpsomt og smilende personale. Renlige forhold og fin strand.,10.0,"Posted July 12, 2025",,Stayed in July 2025,,,,
Regia Mare Beach Hotel Bodrum,Küçük bir otel havuz yok denebilir denizi güzel ama odaları kötü her yer şap beton,4.0,"Posted March 10, 2025",,Stayed in March 2025,,,,
Regia Mare Beach Hotel Bodrum,"sehr hübsches Boutique-Hotel mit schönem kleinen Privatstrand. Die Umgebung lädt zum entspannen ein, alles gepflegt und ansprechend. Das Personal ist sehr nett und zuvorkommend. Gerne komme ich wieder.",8.0,"Posted November 3, 2024",,Stayed in November 2024,,,Family,
Regia Mare Beach Hotel Bodrum,"Ótimo O lugar é muito bem mantido, os ambientes são muito agradáveis. A praia da frente é pequena e muito limpa, com toda a estrutura disponivel para os hospedes. O cafe da manha é delicioso.",10.0,"Posted October 6, 2024",,Stayed in October 2024,,,,
Regia Mare Beach Hotel Bodrum,Her anlamda mükemmel bir otel.,10.0,"Posted July 18, 2025",,Stayed in July 2025,,,,
Regia Mare Beach Hotel Bodrum,"Oda bakımsız, yatak rahat değil, gürültülü. Kahvaltı zayıf.. otelin yeri çok merkezi.",6.0,"Posted May 15, 2026",,Stayed in May 2026,,,Family,
Regia Mare Beach Hotel Bodrum,Odalar ***et temiz yeterli büyüklükte. . Kahvaltınızı plajın hemen yanında yapıyorsunuz.,10.0,"Posted March 26, 2026",,Stayed in March 2026,,,,
